Bait	PreyGene	#Rep	AvgP	BFDR
LMNA	ACOT7	3	0.4436	0.2166
MAPRE3	ACOT7	3	0.0617	0.7124
ACTB	MYO1C	3	0.3108	0.4766
CTNNA1	MYO1C	3	0.1119	0.6647
KRT8	MYO1C	3	0.2762	0.515
LMNA	MYO1C	3	0.2268	0.5656
MAPRE3	MYO1C	3	0.1379	0.6424
ACTB	SNAP23	3	0.2067	0.5831
CTNNA1	SNAP23	3	0.1465	0.6349
KRT8	SNAP23	3	0.1101	0.6662
LMNA	SNAP23	3	0.001	0.8552
MAPRE3	SNAP23	3	0.0036	0.8414
ACTB	AIP	3	0.1638	0.6202
CTNNA1	AIP	3	0.0231	0.7679
KRT8	AIP	3	0.3175	0.4678
LMNA	AIP	3	0.1832	0.6035
MAPRE3	AIP	3	0.0089	0.8194
ACTB	GTPBP1	3	0.3901	0.2727
KRT8	GTPBP1	3	0.0075	0.8248
MAPRE3	GTPBP1	3	0.0037	0.8409
ACTB	AP4M1	3	0.0084	0.8215
KRT8	AP4M1	3	0.3835	0.2815
ACTB	SMAP	3	0.1342	0.6454
CTNNA1	SMAP	3	0.0387	0.7392
KRT8	SMAP	3	0.1292	0.6511
LMNA	SMAP	3	0.3279	0.458
MAPRE3	SMAP	3	0.0977	0.6772
ACTB	AP3B1	3	0.0125	0.8041
CTNNA1	AP3B1	3	0.0006	0.8588
KRT8	AP3B1	3	0.0101	0.8144
LMNA	AP3B1	3	0	0.8672
MAPRE3	AP3B1	3	0.0049	0.8357
ACTB	APBB1	3	0.0106	0.8123
CTNNA1	APBB1	3	0.0001	0.865
KRT8	APBB1	3	0.0186	0.7799
LMNA	APBB1	3	0.0385	0.7395
MAPRE3	APBB1	3	0.0018	0.8502
ACTB	PSMD11	3	0.0131	0.8017
KRT8	PSMD11	3	0.0075	0.8248
ACTB	PSMD12	3	0.205	0.5849
CTNNA1	PSMD12	3	0.0844	0.6886
KRT8	PSMD12	3	0.1598	0.6233
LMNA	PSMD12	3	0.0514	0.7227
MAPRE3	PSMD12	3	0.0394	0.7382
ACTB	PSMD9	3	0.0763	0.697
CTNNA1	PSMD9	3	0.009	0.819
KRT8	PSMD9	3	0.0282	0.7564
LMNA	PSMD9	3	0.0032	0.8433
LMNA	CBX4	3	0.0055	0.833
MAPRE3	CBX4	3	0.0226	0.769
ACTB	PGRMC1	3	0.166	0.6186
KRT8	PGRMC1	3	0.1123	0.6644
LMNA	PGRMC1	3	0.096	0.6788
MAPRE3	PGRMC1	3	0.006	0.831
ACTB	SUPT5H	3	0.0009	0.856
KRT8	SUPT5H	3	0.0028	0.8451
LMNA	SUPT5H	3	0.4505	0.2132
ACTB	TAF4	3	0	0.8672
LMNA	TAF4	3	0.0042	0.8388
ACTB	DFFA	3	0.0146	0.795
CTNNA1	DFFA	3	0.0006	0.8588
KRT8	DFFA	3	0.0162	0.7886
LMNA	DFFA	3	0.0911	0.6828
ACTB	CLIC1	3	0.0273	0.7584
CTNNA1	CLIC1	3	0.0133	0.8007
KRT8	CLIC1	3	0.0639	0.71
LMNA	CLIC1	3	0.1331	0.6465
MAPRE3	CLIC1	3	0.0032	0.8433
ACTB	EIF3F	3	0.1974	0.5913
CTNNA1	EIF3F	3	0.0412	0.7361
KRT8	EIF3F	3	0.2772	0.5136
LMNA	EIF3F	3	0.1022	0.6734
MAPRE3	EIF3F	3	0.0703	0.7033
KRT8	SLC28A1	3	0.0065	0.8289
MAPRE3	SLC28A1	3	0.0038	0.8404
ACTB	SLC33A1	3	0.0039	0.84
LMNA	SLC33A1	3	0.7244	0.0424
ACTB	WASL	3	0.994	0.0004
CTNNA1	WASL	3	0.0021	0.8485
KRT8	WASL	3	0.0137	0.7987
LMNA	WASL	3	0.0019	0.8497
MAPRE3	WASL	3	0.0069	0.8272
ACTB	PDE2A	3	0.0168	0.7862
CTNNA1	PDE2A	3	0.0018	0.8502
KRT8	PDE2A	3	0.0675	0.7063
LMNA	PDE2A	3	0.0001	0.865
MAPRE3	PDE2A	3	0.0091	0.8188
ACTB	IPO5	3	0.3419	0.3643
CTNNA1	IPO5	3	0.0246	0.7648
KRT8	IPO5	3	0.3849	0.2791
LMNA	IPO5	3	0.3114	0.476
MAPRE3	IPO5	3	0.1911	0.5972
KRT8	POLRMT	3	0.6298	0.1376
ACTB	EEF2K	3	0.0306	0.7521
KRT8	EEF2K	3	0.0289	0.7551
MAPRE3	EEF2K	3	0.0001	0.865
ACTB	SAP18	3	0.0001	0.865
ACTB	IGF2BP3	3	0.2703	0.5219
CTNNA1	IGF2BP3	3	0.1068	0.6686
KRT8	IGF2BP3	3	0.2986	0.4892
LMNA	IGF2BP3	3	0.136	0.644
MAPRE3	IGF2BP3	3	0.133	0.6468
ACTB	DNM1L	3	0.2441	0.5503
CTNNA1	DNM1L	3	0.0594	0.7146
