Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	OddsScore	FoldChange	BFDR	boosted_by
KRT8	CAD	CAD	8.005|9.136|10.101	27.242	9.081	3	6.408|6.905|8.025|1.204|1.568|1.241|1.434|1.425|1.497	0.046	0.058	0.046	0.058	0.046	-3.332	3.799	0.752	
KRT8	MAP4	MAP4	24.260|25.175|24.061	73.495	24.498	3	28.740|27.548|28.208|3.095|3.276|3.047|5.675|5.520|5.993	0.021	0.022	0.021	0.022	0.021	-3.860	3.074	0.829	
KRT8	CANX	CANX	0.519|0.615|0.815	1.949	0.650	3	1.003|0.966|1.146|0.363|0.348|0.429|0.321|0.336|0.456	0.001	0.003	0.001	0.003	0.001	-8.498	1.240	0.960	
KRT8	PSMB4	PSMB4	0.418|.|0.516	1.778	0.593	3	.|.|.|.|.|.|.|0.223|.	0.012	0.028	0.012	0.028	0.012	-4.979	2.654	0.899	
KRT8	ABCD3	ABCD3	3.801|4.288|8.047	16.136	5.379	3	2.423|2.292|2.657|.|.|.|.|.|.	0.113	0.334	0.113	0.334	0.113	-6.504	2.193	0.582	
KRT8	ITPRID2	ITPRID2	7.080|6.582|7.153	20.815	6.938	3	5.728|6.252|6.290|.|.|.|0.451|0.954|0.365	0.019	0.019	0.019	0.019	0.019	-3.993	3.828	0.846	
KRT8	NDUFS1	NDUFS1	1.721|1.988|2.412	6.121	2.040	3	2.228|1.473|0.513|.|.|.|.|.|.	0.007	0.011	0.007	0.011	0.007	-5.698	1.716	0.932	
KRT8	POLD1	POLD1	0.673|0.804|1.111	2.588	0.863	3	3.105|2.996|2.860|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-17.026	0.289	0.986	
KRT8	SMARCA1	SMARCA1	0.892|0.683|.	2.420	0.807	3	1.511|1.888|2.561|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-17.026	0.416	0.987	
KRT8	SHC1	SHC1	1.834|1.733|2.195	5.761	1.920	3	1.722|1.657|2.314|.|.|0.244|0.184|0.241|.	0.017	0.020	0.017	0.020	0.017	-4.172	2.979	0.859	
KRT8	TKT	TKT	2.812|3.162|3.898	9.872	3.291	3	5.197|4.457|5.025|1.310|1.340|1.158|1.165|1.214|1.303	0.006	0.010	0.006	0.010	0.006	-5.635	1.675	0.933	
KRT8	EEF1D	EEF1D	3.050|3.064|3.529	9.643	3.214	3	5.184|4.644|5.347|.|.|0.569|0.671|0.660|0.799	0.011	0.012	0.011	0.012	0.011	-4.585	2.019	0.906	
KRT8	MARCKS	MARCKS	0.957|0.675|0.995	2.627	0.876	3	1.032|1.015|1.513|0.589|0.715|0.508|0.560|0.534|0.578	0.000	0.001	0.000	0.001	0.000	-10.526	1.200	0.968	
KRT8	PRDX6	PRDX6	3.357|3.474|3.575	10.406	3.469	3	3.345|4.031|4.725|2.092|2.615|2.475|2.230|2.263|2.403	0.000	0.000	0.000	0.000	0.000	-8.485	1.240	0.969	
KRT8	PRDX5	PRDX5	1.668|1.643|1.967	5.278	1.759	3	1.216|1.990|2.145|1.448|1.639|1.030|1.225|1.219|1.396	0.000	0.001	0.000	0.001	0.000	-8.875	1.223	0.969	
KRT8	PRDX3	PRDX3	1.248|1.620|1.812	4.680	1.560	3	1.313|1.748|2.358|1.832|1.863|1.700|1.630|1.843|1.752	0.000	0.000	0.000	0.000	0.000	-12.923	0.884	0.978	
KRT8	RPL12	RPL12	0.371|.|0.343	1.558	0.519	3	.|0.542|0.464|.|0.570|0.725|0.339|.|0.368	0.000	0.000	0.000	0.000	0.000	-12.935	1.071	0.983	
KRT8	PDIA3	PDIA3	1.291|1.428|1.715	4.434	1.478	3	2.022|2.197|2.616|1.821|2.368|2.014|1.878|1.836|1.833	0.000	0.000	0.000	0.000	0.000	-14.087	0.721	0.983	
KRT8	PPP2R1A	PPP2R1A	0.572|0.496|0.493	1.561	0.520	3	0.169|1.094|1.285|0.297|0.136|0.415|0.303|.|0.323	0.004	0.005	0.004	0.005	0.004	-5.571	1.387	0.943	
KRT8	CDC27	CDC27	0.392|0.722|0.875	1.988	0.663	3	1.118|1.049|1.221|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-17.026	0.588	0.983	
KRT8	CDC25C	CDC25C	1.001|1.318|1.247	3.566	1.189	3	1.483|1.410|1.044|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-12.102	0.916	0.978	
KRT8	NMT1	NMT1	0.831|0.974|0.889	2.694	0.898	3	1.268|1.195|1.374|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-13.747	0.703	0.983	
