Protein	ACTB_1	ACTB_2	ACTB_3	CTNNA1_1	CTNNA1_2	CTNNA1_3	EGFP_1	EGFP_2	EGFP_3	Empty_1	Empty_2	Empty_3	KRT8_1	KRT8_2	KRT8_3	LMNA_1	LMNA_2	LMNA_3	MAPRE3_1	MAPRE3_2	MAPRE3_3	NminiTurbo_1	NminiTurbo_2	NminiTurbo_3
TECR	244904.95	70474.03	251650.55	16192.037	12019.408	19453.875	246951.55	137454.73	206943.31	23761.043	27517.61	28629.14	399980.3	443266.6	483148.66	60595.074	236978.52	180249.88	68260.12	37904.395	35630.562	9682.677	11288.616	10949.224
UBAP1	154548.11	141572.38	284148.97	16272.098	6869.131	0	274301.8	306745.8	382078.12	0	9649.56	0	211010.23	254450.5	393850.47	0	21493.613	0	23419.074	33063.21	38715.562	0	0	0
USE1	22032.367	15947.457	40278.6	0	0	0	73284.195	80071.98	106028.81	0	0	0	0	0	0	196147.48	277631.44	135934.06	0	0	0	0	0	0
CISD1	62714.977	50357.098	59261.61	0	0	0	127190.61	107923.93	147334.39	0	0	0	56852.914	49867.11	31816.988	9218.932	12422.15	0	0	0	0	0	0	0
C9orf78	0	0	0	0	0	0	89106.48	55195.35	158470.12	0	0	0	0	0	0	97247.28	193461.94	133159.6	0	0	0	0	0	0
RTEL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM120A	303724.03	248681	381097.22	36605.82	66706.664	46185.086	645174.1	487415.5	704196.25	0	0	0	363406.2	398452.78	513639.25	17378.438	59467.94	0	65182.164	69744.65	55514.867	0	23300.365	0
SMARCAL1	5988.0117	1336115.8	2021704.9	0	0	0	233264.6	2163933.5	2180337.5	0	0	0	0	1703627.5	2549986	25198.867	2535446.8	44860.188	0	0	0	0	0	0
IGF2BP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8432.453	0	0	0	0	0	0
DTL	6175.247	0	18448.059	0	0	0	37541.938	7102.96	14970.609	0	0	0	0	19264.727	0	16358.245	0	0	0	0	0	0	0	0
SACS	175606.69	86717.95	339320.66	0	0	0	362236.62	271412.28	535991.8	0	0	0	1445372.4	1738457	2162136	0	6843.839	0	0	0	6388.1562	0	0	0
COQ3	0	0	0	0	0	0	0	0	10753.566	0	0	0	12405.537	19640.494	30806.324	0	27139.477	0	0	0	0	0	0	0
MTCH1	23653.982	0	13184.67	0	0	0	32355.574	0	23121.684	6157.003	13660.625	7896.0386	0	0	28465.658	0	16412.264	0	0	11975.166	0	8557.232	0	0
HSPBP1	7741.158	0	9998.75	0	0	0	0	0	29288.424	10379.358	12544.862	7468.4897	14920.929	13440.45	13786.546	9916.529	0	0	0	0	0	0	12516.47	7864.118
MYOF	641855.94	379577.7	659119.44	123952.766	78331.09	73206.41	1660638.9	1746922.9	2061165.1	82572.34	134789.97	112799.41	756484.75	961727.3	875292.1	130331.53	158823.56	118109.91	103768.39	86145.76	91075.61	111060.08	90126.266	59563.156
EHD2	169252.72	157635.5	220989.64	27430.426	34554.18	32565.178	711172.25	362595.25	504725.75	0	0	0	140082.5	229827.86	327126	97001.22	193440.05	72672.18	30723.723	28434.4	10109.243	0	0	0
CNOT2	0	0	49649.35	0	0	0	13611.817	43546.312	0	0	0	0	0	28945.754	18781.914	0	0	0	0	0	0	0	0	0
CALML5	67986.06	0	197237.06	0	0	0	22386.63	0	0	0	0	0	0	0	0	0	11640.709	0	55289.734	0	0	0	0	0
OGFR	0	0	0	0	0	0	18609.79	0	0	0	0	0	0	0	0	0	14227.877	0	0	0	0	0	0	0
PALS2	0	0	0	0	0	0	127318.14	122276.28	148567.58	0	0	0	0	60841.625	0	0	0	0	17857.215	0	0	0	0	0
CHMP5	84284.56	74808.03	76614.58	0	16179.158	4435.2646	110857.34	93636.08	122765.49	0	0	0	80856.94	71701	112705.73	67313.58	75395.75	42489.754	26057.47	34389.473	19349.404	0	0	0
COMMD9	16087.179	13712.309	14734.029	7473.4404	5176.25	0	18664.852	15812.282	21837.059	0	0	0	16239.082	14916.5	19109.664	11287.605	19092.207	6239.504	0	0	4186.7856	0	0	0
