Bait	PreyGene	#Rep	AvgP	BFDR
ACTB	A2M	3	0.0989	0.6744
CTNNA1	A2M	3	0.0626	0.7042
KRT8	A2M	3	0.1395	0.6456
LMNA	A2M	3	0.1373	0.6470
MAPRE3	A2M	3	0.0629	0.7039
ACTB	A2ML1	3	0.3333	0.4096
LMNA	A2ML1	3	0.3333	0.4096
ACTB	AAAS	3	0.3474	0.3671
CTNNA1	AAAS	3	0.0184	0.7619
KRT8	AAAS	3	0.1080	0.6680
LMNA	AAAS	3	0.4980	0.2117
MAPRE3	AAAS	3	0.0110	0.7857
CTNNA1	AADAC	3	0.3333	0.4096
ACTB	AAGAB	3	0.0122	0.7807
KRT8	AAGAB	3	0.0182	0.7626
LMNA	AAGAB	3	0.0001	0.8514
MAPRE3	AAGAB	3	0.0001	0.8514
ACTB	AAK1	3	0.0181	0.7628
CTNNA1	AAK1	3	0.0004	0.8448
KRT8	AAK1	3	0.0268	0.7447
LMNA	AAK1	3	0.0001	0.8514
MAPRE3	AAK1	3	0.0019	0.8289
LMNA	AAMDC	3	0.6667	0.0721
ACTB	AAR2	3	0.0090	0.7935
KRT8	AAR2	3	0.9827	0.0008
LMNA	AAR2	3	0.0039	0.8165
ACTB	AARS1	3	0.2033	0.6079
CTNNA1	AARS1	3	0.0020	0.8282
KRT8	AARS1	3	0.0224	0.7534
LMNA	AARS1	3	0.0041	0.8156
MAPRE3	AARS1	3	0.0063	0.8048
ACTB	AARS2	3	0.0777	0.6913
CTNNA1	AARS2	3	0.0394	0.7262
KRT8	AARS2	3	0.3633	0.3371
LMNA	AARS2	3	0.1115	0.6656
CTNNA1	AARSD1	3	0.2450	0.5876
LMNA	AARSD1	3	0.2186	0.5998
KRT8	AASDH	3	0.2240	0.5973
LMNA	AASDH	3	0.4207	0.2559
MAPRE3	AASDH	3	0.0006	0.8417
ACTB	AASDHPPT	3	0.0074	0.8000
KRT8	AASDHPPT	3	0.0258	0.7468
LMNA	AASDHPPT	3	0.0161	0.7684
MAPRE3	AASDHPPT	3	0.0000	0.8553
ACTB	AASS	3	0.0701	0.6972
LMNA	AATF	3	0.0007	0.8404
MAPRE3	AATF	3	0.0000	0.8553
LMNA	ABAT	3	0.3333	0.4096
LMNA	ABCA12	3	0.3333	0.4096
ACTB	ABCA3	3	0.3333	0.4096
