Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	OddsScore	FoldChange	BFDR	boosted_by
MAPRE3	CCDC138	CCDC138	0.263|0.355|0.405	1.024	0.341	3	0.669|0.537|0.838|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.026	0.509	0.997	
MAPRE3	CCDC14	CCDC14	0.639|0.674|0.587	1.900	0.633	3	0.958|1.308|1.524|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-13.742	0.510	0.997	
MAPRE3	CCDC174	CCDC174	0.363|0.307|0.225	0.895	0.298	3	1.076|1.559|1.832|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-19.150	0.205	0.998	
MAPRE3	CCDC18	CCDC18	1.341|1.091|1.088	3.520	1.173	3	5.584|2.658|2.764|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-16.685	0.340	0.997	
MAPRE3	CCDC186	CCDC186	0.612|0.568|.	2.153	0.718	3	1.420|1.463|1.564|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.203	0.484	0.997	
MAPRE3	CCDC22	CCDC22	0.862|0.971|0.404	2.236	0.745	3	1.497|1.039|1.260|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-16.509	0.596	0.997	
MAPRE3	CCDC34	CCDC34	0.549|0.556|0.616	1.721	0.574	3	0.818|0.831|0.745|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-11.466	0.719	0.997	
MAPRE3	CCDC43	CCDC43	0.765|0.771|0.855	2.390	0.797	3	2.220|1.944|2.043|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.462	0.386	0.997	
MAPRE3	CCDC50	CCDC50	0.762|0.638|0.830	2.230	0.743	3	1.626|1.603|1.484|.|.|.|.|.|0.344	0.000	0.000	0.000	0.000	0.000	-10.840	0.692	0.996	
MAPRE3	CCDC6	CCDC6	0.464|0.392|0.439	1.295	0.432	3	1.402|1.542|1.988|0.156|.|.|.|0.179|0.337	0.000	0.000	0.000	0.000	0.000	-8.093	0.737	0.991	
MAPRE3	CCDC66	CCDC66	0.654|0.536|0.528	1.718	0.573	3	0.610|0.573|1.825|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-12.119	0.665	0.997	
MAPRE3	CCDC77	CCDC77	0.832|0.813|0.877	2.521	0.840	3	0.986|1.338|0.954|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-10.990	0.778	0.996	
MAPRE3	CCDC85C	CCDC85C	0.722|0.700|0.663	2.085	0.695	3	1.288|1.494|1.645|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-14.052	0.473	0.997	
MAPRE3	CCDC88A	CCDC88A	1.776|1.696|1.894	5.366	1.789	3	3.041|2.719|2.794|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-12.293	0.628	0.997	
MAPRE3	CCDC88C	CCDC88C	0.639|0.493|0.866	1.999	0.666	3	1.202|2.030|0.943|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.388	0.505	0.997	
MAPRE3	CCHCR1	CCHCR1	0.477|0.088|0.377	0.942	0.314	3	0.716|0.961|1.346|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-19.150	0.322	0.997	
MAPRE3	CCNB1	CCNB1	2.972|3.661|2.636	9.269	3.090	3	2.320|1.921|2.644|.|0.509|.|.|.|0.401	0.002	0.003	0.002	0.003	0.002	-6.433	2.593	0.966	
MAPRE3	CCNB2	CCNB2	0.733|.|0.829	2.535	0.845	3	0.162|0.955|0.973|.|.|.|.|.|.	0.000	0.001	0.000	0.001	0.000	-7.383	1.588	0.990	
MAPRE3	CCNT1	CCNT1	0.814|1.129|1.095	3.039	1.013	3	3.572|3.252|3.362|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-18.962	0.299	0.998	
MAPRE3	CCP110	CCP110	1.862|1.611|1.696	5.169	1.723	3	1.675|1.767|1.839|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-10.029	0.980	0.995	
MAPRE3	CCSER2	CCSER2	0.827|0.799|0.836	2.463	0.821	3	.|.|.|.|.|.|.|0.955|.	0.000	0.000	0.000	0.000	0.000	-10.362	0.860	0.996	
MAPRE3	CCT2	CCT2	1.019|1.002|1.122	3.143	1.048	3	2.325|3.473|2.999|0.618|1.142|1.029|0.760|0.951|0.932	0.000	0.000	0.000	0.000	0.000	-10.616	0.796	0.996	
MAPRE3	CCT3	CCT3	1.643|1.751|1.711	5.105	1.702	3	2.983|3.726|4.383|1.091|1.534|1.453|0.859|1.267|1.459	0.000	0.000	0.000	0.000	0.000	-10.019	0.951	0.995	
MAPRE3	CCT4	CCT4	0.990|0.724|0.931	2.645	0.882	3	1.722|2.110|2.752|0.662|1.105|0.996|0.598|0.839|0.874	0.000	0.000	0.000	0.000	0.000	-11.903	0.775	0.996	
MAPRE3	CCT5	CCT5	1.335|1.289|1.249	3.872	1.291	3	2.517|3.209|3.743|0.912|1.298|1.206|0.954|0.921|0.955	0.000	0.000	0.000	0.000	0.000	-10.449	0.866	0.996	
MAPRE3	CCT6A	CCT6A	1.532|1.456|1.556	4.544	1.515	3	3.743|3.773|3.852|0.825|1.247|0.920|0.604|0.862|0.850	0.000	0.000	0.000	0.000	0.000	-8.440	1.070	0.993	
MAPRE3	CCT7	CCT7	0.866|0.986|0.973	2.825	0.942	3	1.622|2.075|2.791|0.742|1.254|1.066|0.869|0.923|0.911	0.000	0.000	0.000	0.000	0.000	-11.377	0.761	0.996	
MAPRE3	CCT8	CCT8	14.412|14.211|13.567	42.190	14.063	3	85.565|80.852|84.508|2.048|2.740|2.799|5.546|5.231|6.662	0.001	0.001	0.001	0.001	0.001	-7.704	1.320	0.990	
MAPRE3	CCZ1;CCZ1B	CCZ1;CCZ1B	0.843|0.905|1.122	2.869	0.956	3	1.924|1.868|2.043|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-14.326	0.492	0.997	
MAPRE3	CD2AP	CD2AP	6.062|6.099|6.454	18.615	6.205	3	14.043|13.314|18.124|0.205|0.290|0.342|0.741|0.904|1.069	0.005	0.005	0.005	0.005	0.005	-5.231	4.023	0.939	
MAPRE3	CD44	CD44	0.129|0.159|.	1.261	0.420	3	0.681|0.845|1.178|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-19.150	0.478	0.998	
MAPRE3	CDA	CDA	0.528|.|0.430	1.930	0.643	3	.|0.972|0.986|.|.|0.159|.|.|.	0.000	0.000	0.000	0.000	0.000	-8.396	1.205	0.993	
MAPRE3	CDC123	CDC123	1.107|1.107|1.246	3.461	1.154	3	3.421|2.920|3.206|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.909	0.363	0.997	
MAPRE3	CDC16	CDC16	1.213|1.225|1.097	3.535	1.178	3	2.021|2.091|1.712|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-12.583	0.609	0.997	
