Positives,Negatives,Mean AUC,Std AUC,Mean AUC@Top300,Std AUC@Top300
5,100,0.2965458847241431,0.0009964969079328887,0.5872063130419722,0.04031397418929297
5,200,0.29685232186659133,0.0010370567732830697,0.5978418867478476,0.038902216915850135
5,500,0.2972929646628696,0.0009691523687844944,0.597773424147787,0.03880463490331892
5,1000,0.29964537379769807,0.0010202371779729897,0.606622941539485,0.03894387859835147
10,100,0.30275476339307,0.0009531476536699299,0.6199778023738978,0.039171893188422124
10,200,0.30741966731812503,0.0009620066361516636,0.6389262908061935,0.03918194299174094
10,500,0.3055365934804433,0.0009629569512818456,0.6359282217166676,0.038698927900542884
10,1000,0.30759001384851975,0.0009730622458349307,0.6363819047749253,0.03873282406826517
15,100,0.3102977875090248,0.0009941897529531269,0.648408169328102,0.03627733684384911
15,200,0.3101574864161969,0.0009104869349207696,0.6399732409554076,0.03780128962559473
15,500,0.30869657013562773,0.0008905901891618856,0.6467315533922369,0.03647209789265839
15,1000,0.3086224824315987,0.0009990539915555252,0.6428557825665699,0.03740061150932453
20,100,0.30917624320854387,0.0007942521481408365,0.5919556619791719,0.0361649494601008
20,200,0.31057105396616774,0.0008111567887482429,0.6007336773396078,0.039777516308841535
20,500,0.30739370334292204,0.0008167206238611273,0.5659645124908077,0.04120995437263403
20,1000,0.3094411292923334,0.0009048749025586096,0.5984680081697177,0.03805866986580662
25,100,0.304704801691574,0.00043306744050112454,0.5114130215032675,0.037970640207511494
25,200,0.3061936811832964,0.0005665457001082527,0.5109544616960523,0.043259733985074954
25,500,0.3042047332911396,0.000544249697342878,0.5044769891931034,0.044216606810204145
25,1000,0.3050824685827827,0.0005361860267349304,0.5073337865549084,0.038304174566809616
30,100,0.3000589898448269,0.0002947579705374791,0.45111756673848746,0.02996579000944604
30,200,0.2979273934564952,0.0002975105634541721,0.41110405708234155,0.03795157299098704
30,500,0.30146627969883855,0.00039549270196293917,0.4618380399496527,0.03696853271650084
30,1000,0.30189256061064357,0.00038092359994509065,0.4710130645734962,0.040789945771734046
