initial_positives,initial_negatives,fdr_hits,kl_divergence,wasserstein_distance,roc_auc,median_score_difference
1,100,629,1.0971220326336277,0.05503329448037299,0.4167534243889638,-0.1084
1,200,831,1.076624136779522,0.053604918032786886,0.4109368672485169,-0.0991
1,500,636,1.0736502436573707,0.05554297638742667,0.4118887321668627,-0.10569999999999997
1,1000,824,1.1207741210666824,0.05264568732140171,0.420422855668665,-0.09649999999999995
5,100,405,0.7222828339230801,0.10031274627763573,0.4163782663421127,-0.23135000000000006
5,200,414,0.7352170479214727,0.09844117912468038,0.41650843438111446,-0.2307
5,500,280,0.70237935390771,0.09848895698601294,0.41680428201473263,-0.23095000000000002
5,1000,329,0.721135426869459,0.10005757256730335,0.4206240878171492,-0.2362000000000001
10,100,612,0.9345463005463399,0.1433458452398857,0.4539495685242083,-0.23230000000000006
10,200,615,1.0106363210262252,0.14793592645510603,0.43669983073772356,-0.25125
10,500,715,0.9178814803571969,0.14594269815009778,0.43003599380816676,-0.2494
10,1000,675,0.9878164696763402,0.1415622913220033,0.43090782306832465,-0.24390000000000003
15,100,431,0.9415419880649244,0.14970081591216725,0.45148050034878484,-0.2605500000000001
15,200,505,0.9278443535129104,0.15311979620995636,0.4382528120390595,-0.24904999999999994
15,500,612,0.9199788083433048,0.1525527823732892,0.43363265601656087,-0.24400000000000013
15,1000,555,0.8826881371761413,0.1490286584448789,0.43213614910163156,-0.23989999999999986
20,100,844,0.9025350032323444,0.1527615656489697,0.45311021977642163,-0.2538000000000001
20,200,475,0.97017937747088,0.15631940893367424,0.43710432868940563,-0.23630000000000007
20,500,532,0.9658990299157344,0.15543185441419757,0.4340359798631059,-0.23385
20,1000,503,0.9374860384974415,0.15059300646713789,0.4340845140189256,-0.23209999999999986
25,100,478,1.063882529340693,0.15974242743269657,0.44946155199117943,-0.27030000000000004
25,200,659,1.1025458831595294,0.16422766205444425,0.4330415502759256,-0.2611000000000001
25,500,446,1.0800718074802296,0.16068906978493,0.43114916847287055,-0.2478
25,1000,422,1.0639044598333018,0.15805580162430438,0.4307704266132292,-0.24780000000000008
30,100,222,1.0667380368733355,0.15842519175815906,0.4595310812674493,-0.28889999999999966
30,200,390,1.1197581885967498,0.16396219732290565,0.45144164178063295,-0.28885000000000005
30,500,95,1.1218488044123178,0.16444311174612722,0.44643514791185657,-0.28740000000000016
30,1000,137,1.1190789704339685,0.1638603211009174,0.4345432477110364,-0.27360000000000007
