Positives,Negatives,Mean AUC,Std AUC,Mean AUC@Top300,Std AUC@Top300
5,100,0.22208478683742558,0.002931967516249334,0.5987680749502102,0.04179175317872248
5,200,0.22299501591241763,0.0030739248034278954,0.6060134906927839,0.040281397407184796
5,500,0.22361128214198098,0.0031008852558880584,0.6098008734988726,0.03982337386084276
5,1000,0.22404539475739696,0.003044102271417406,0.5996903183174771,0.03924714264966611
10,100,0.2257701265383168,0.0032122661298743167,0.6401775876569259,0.04034280658414849
10,200,0.22965789595434333,0.0033611789489846043,0.6481310860938335,0.03959988841521113
10,500,0.2292701076973553,0.0032739080879611946,0.6423119251127604,0.039354745003659625
10,1000,0.22968229625351824,0.0032552580214516625,0.6337961796147425,0.039571855211234165
15,100,0.233632542229664,0.003020553283072989,0.6426163509859392,0.03951068951849076
15,200,0.23336599845201253,0.003023463458126379,0.6342031599661702,0.03937998469424396
15,500,0.23279562870809564,0.0030341687848625455,0.6471893387187823,0.0390580800449721
15,1000,0.2329821665934337,0.0032719429416129425,0.6377493041579861,0.0381430747659958
20,100,0.231860529626481,0.0029833635474859213,0.6402907159181918,0.036603863953465585
20,200,0.230061538307493,0.0027108116502544306,0.6287737074753368,0.03735920960566276
20,500,0.22874439756364018,0.002690047427072944,0.6114160127662916,0.038120259732349955
20,1000,0.23360957890573267,0.002840166781786029,0.638421095519573,0.03692228926581457
25,100,0.22211362268322532,0.0013652211459311869,0.5395391993385747,0.03647159285008523
25,200,0.21762284105481433,0.0017396551420900575,0.5406079540321858,0.04130100412441585
25,500,0.2178724882681954,0.0016754294122307695,0.49086811780608963,0.04146241981609143
25,1000,0.22013232728361212,0.0020016503471465873,0.5389349767836882,0.0405180673221915
30,100,0.19991328960558769,0.0006066127706625776,0.35433929888153076,0.032423311497179634
30,200,0.20447263209732414,0.0012810110878259185,0.502387989802574,0.043569119060934525
30,500,0.20063953124194767,0.0010695162681439024,0.4040775509774262,0.03840864421964534
30,1000,0.21475114730122097,0.0016528693128632138,0.5218553938885531,0.04229432316621382
