Protein	ACTB_1	ACTB_2	ACTB_3	CTNNA1_1	CTNNA1_2	CTNNA1_3	EGFP_1	EGFP_2	EGFP_3	Empty_1	Empty_2	Empty_3	KRT8_1	KRT8_2	KRT8_3	LMNA_1	LMNA_2	LMNA_3	MAPRE3_1	MAPRE3_2	MAPRE3_3	NminiTurbo_1	NminiTurbo_2	NminiTurbo_3
RANBP6	32.51081848	24.70208359	47.23181915	0	5.414459705	60.42591858	74.00813293	73.93287659	136.6125031	0	0	0	102.9994583	97.72227478	116.6787567	70.04152679	115.5185699	48.23667145	34.326828	5.981424332	7.434717178	0	0	0
NEMF	33.93360138	24.8634243	29.66726112	13.96177673	13.92453003	23.54522896	53.2182312	49.12393951	50.89651489	0	11.63278198	0	37.86811066	41.95066833	56.26232147	37.76805496	82.5049057	36.04967117	14.39843559	21.05988693	16.55309677	0	0	0
GMDS	13.41371346	0	18.15704918	7.50749588	6.846477032	6.111206532	14.63775349	10.11750698	19.92427826	2.095360994	10.55491161	6.13812542	26.05985641	11.29190826	20.08371353	10.66667175	6.922049522	6.492133141	0	0	0	10.76757431	3.264352798	8.099040985
CCNT1	48.1619339	47.64391708	82.1064682	3.829062939	10.72792816	5.79374218	449.184967	413.158905	482.419281	4.372379303	0	0	51.02562332	60.33144379	98.9269104	319.5680237	538.3140869	209.334671	78.03725433	85.52602386	79.05408478	9.569187164	23.11536026	8.902686119
BUB1B	1185.204224	1061.617188	1102.864014	136.6268616	175.2872009	185.5525818	1064.657104	1061.033081	1239.001953	9.053738594	23.57021332	22.06752396	961.2025146	1098.61853	1026.268311	169.6383057	249.7957611	128.748764	578.8093872	564.7639771	571.3166504	24.66532516	43.10091782	52.6044693
EIF4E2	58.69327927	70.55448151	111.4227982	1.4633497	10.15295792	15.02332401	110.6801147	100.3085251	180.8080444	0	0	0	88.77145386	81.7048645	141.4933777	10.80843544	11.9533453	9.462962151	47.29914474	58.3323822	41.3244133	0	0	0
DIAPH1	1042.399292	857.6099854	1321.185303	46.10676575	71.31918335	65.52429962	634.6848145	680.1362305	797.7590942	6.672644138	10.10954666	11.12864113	569.7940063	517.1480103	818.196167	100.1787033	217.3745728	92.9986496	167.6589661	164.4298553	205.6579437	12.20658398	14.76780891	14.78094959
SELENOF	10.429533	7.0471735	7.70186615	0	0	2.94383359	11.01169491	10.19242191	28.94700623	2.39315033	0	0	13.25232601	12.64154625	18.62162399	9.887825012	7.887281895	1.460422516	0	1.661016464	5.079144478	0	0	0
EXOC3	61.8716774	52.42868423	97.20352936	7.9422369	14.0109272	9.472541809	90.11029816	113.6034164	164.5708466	0	0	0	87.22371674	94.13160706	122.9067307	15.44282246	30.45030975	14.22973728	19.76795387	22.14859009	24.94225502	0	0	0
PDE8A	19.97186089	18.64360809	29.75951958	8.475470543	6.644912243	7.604416847	30.19683838	41.37220764	33.40446854	0	0	0	26.35162544	24.53964806	45.79049301	0	5.380297661	0	4.498309612	5.662724495	8.069890976	0	0	0
PLIN3	425.0413818	329.4212036	572.5626831	34.90915298	58.80579758	41.3521843	616.6752319	572.0840454	633.6356201	2.659168005	8.167487144	9.903697014	426.0256958	351.8828125	654.505188	165.5427856	219.5255737	98.2678299	114.9209671	106.5629578	108.5843048	9.679419518	24.1597805	14.69153404
RAD1	78.19530487	98.16364288	278.7836914	70.36341095	64.0115509	30.22918701	122.7636337	0	272.1159973	0	76.9755249	4.375982285	0	0	95.06704712	0	1.223724127	74.00732422	65.71108246	0	0	43.79964066	37.92950439	64.03557587
MAFK	5.883575439	10.85464287	0	0	16.9678688	16.49108505	0	0	1.650959969	0	12.90443802	12.12594223	0	0	32.09878159	5.756292343	0	0	5.335817814	9.272939682	11.63523579	0	2.949688911	0
PRMT3	64.92720795	41.70434189	90.35523224	25.64174843	42.99615097	25.10407639	54.37816238	103.5327301	113.9988785	22.75298882	57.84578705	42.77803421	116.194931	101.5327911	154.3320007	76.64628601	95.88653564	31.79384232	19.59763908	26.98831558	39.80648041	19.74147034	33.40786362	37.5771904
KPNA6	56.45640182	44.28343201	134.4881897	28.22273254	7.473223686	9.141723633	167.7323303	196.5224457	319.7397461	13.64069176	21.58626747	0	135.444397	94.68634033	494.6992188	197.1800842	380.4700012	173.8225861	11.20126534	28.45156097	0	0	16.01680946	28.99417877
UGDH	46.57115936	42.28926086	83.16519165	17.25976563	31.39859962	12.74616909	70.38557434	78.13213348	117.3596954	8.303554535	22.51650238	15.80766869	62.60424805	55.05799103	93.61647034	26.34007263	59.12509155	30.66098022	19.83128548	22.41475677	14.75665474	7.737627506	14.46054649	16.81989479
CTNND1	292.2258911	257.3065796	378.5222778	1174.249023	1315.714355	1337.089233	494.1022339	480.6038513	639.7062378	0	0	7.764155388	371.0526733	346.6247559	426.0775146	62.80587006	86.74705505	47.4244194	77.7302475	71.34081268	81.10574341	6.30848217	6.729952335	13.4888401
ICMT	20.62416077	11.23426056	31.34266281	0	0	3.202298641	24.4622879	39.58111191	62.0920372	0	0	0	119.4424438	101.8805237	186.0351257	17.74846649	51.62741089	12.93012238	0	1.264797211	0	0	0	0
EIF1B;EIF1	39.82445145	10.71098328	91.91110229	10.27763653	7.558838367	5.172878265	34.84757614	47.07815552	56.2293129	5.988297462	9.985020638	12.52838898	26.70329094	19.377388	61.76067734	11.06411743	27.18172264	14.73355865	8.760648727	5.564891338	1.56677866	9.728564262	4.162901878	5.423029423
SNX2	405.4620361	336.9450684	538.5513306	96.49251556	124.61409	80.49893951	526.8501587	527.7153931	604.2740479	53.53240967	130.8198853	95.41403198	461.8570251	434.048584	660.4528809	93.20230865	111.4878006	79.44277954	133.8086395	143.3038635	139.8758698	67.79431152	69.57041168	100.8304443
USO1	196.3719482	216.0462799	274.2857361	28.64107132	28.02933121	27.01512527	386.4804688	432.8085327	538.3974609	5.026891708	11.55514717	15.99077606	291.522583	257.502533	360.3359375	80.93247986	103.7257919	56.21725082	72.19389343	61.19116211	83.77545166	7.028654099	12.73364639	12.02518463
