Bait,Prey,log_fold_change,snr,mean_diff,median_diff,replicate_fold_change_sd,bait_cv,bait_control_sd_ratio,zero_or_neg_fc,composite_score,global_cv
ACTB,BSTAR,1.7930655105229572,2.7282740783781136,4120326.666666666,6174746.0,0.5407722532086326,0.15604474591107975,0.425732835336298,1,22.687752309037418,0.646997504298374
ACTB,CCT8,2.188429384034638,3.4170438227089166,3607450.9222222227,4587256.9,0.1865014144963342,0.04091666183788772,0.1398140265790239,1,18.328788531509886,1.2170677545366346
ACTB,FLNA,1.7219932541979484,2.5528662512611136,3226408.033333333,4348742.0,0.36542487761957715,0.11077144085655322,0.28278467296626114,1,16.853468062302834,1.0372752130213938
ACTB,AHNAK,1.3876162762065678,2.0466533329632473,2558778.4333333336,3848550.0,0.0665648894367955,0.025440916539392476,0.05206873662898741,1,14.152581313624182,0.7877422444102735
ACTB,IGLC2;IGLC3;IGLC6;IGLC7,6.550428442791327,1553.0158988787102,157147.11022222223,0.0,12424.127191029682,1.4142135623730951,4392.5922935506305,1,13.684223825206695,4.795831523312719
ACTB,ACTB;ACTG1,3.4642623081027692,45.88415008175358,2664820.555555556,2606398.0,2.3508561159833437,0.21299998599112116,9.773323324628015,1,12.519796706165991,1.5864250865338962
ACTB,TAGLN2,2.2670157503842123,3.6837887945995433,2114059.0999999996,2573840.5,0.4649672480751207,0.09660142288709077,0.3558592391738368,1,10.619436025946968,0.9985258203392824
ACTB,ACTBL2,3.146416065830597,15.30283705597801,2070438.4,2176369.0,0.8431730537749402,0.09522513448451156,1.4572147166500728,1,9.895840810282593,1.4192102478120348
ACTB,LTF,6.199497779620476,954.7608214901057,96603.7768888889,0.0,7638.086571920845,1.414213562373095,2700.47140514757,1,8.587168672711002,4.795831523312719
ACTB,IGKC,6.177918396930254,926.6217853940266,93756.11022222223,0.0,7412.974283152213,1.414213562373095,2620.8821921892077,1,8.347050752450228,4.795831523312719
ACTB,BPIFB1,6.157767496691785,901.0947422306632,91172.7768888889,0.0,7208.757937845305,1.414213562373095,2548.6808108913838,1,8.129178965744423,4.79583152331272
ACTB,MYH9,2.4432321639286476,4.29972040417215,1627351.888888889,1796726.2,0.590184057737833,0.10851808090155422,0.4665974066740167,1,7.887121813719755,1.2602175423631112
ACTB,BPIFA1,6.078845532232049,807.7085838090273,81722.11022222223,0.0,6461.668670472218,1.4142135623730951,2284.5448673357846,1,7.331747008641638,4.795831523312719
ACTB,ACTC1,4.702420695009872,31.865660429409004,1436867.3,1446949.0,1.8001632683701325,0.06914207059854811,2.2032577430795586,1,7.116299108555689,2.0003372709778486
ACTB,POTEF,5.466396130393551,99.90411560504612,993363.0222222222,1044525.4,9.185380771092241,0.2077533612933187,20.755415823984624,1,5.820842256787007,2.314426100795249
ACTB,TUBA1D,3.96829369554547,12.25452833353537,946557.8722222222,1016563.4,3.358001769201836,0.21453875900053146,2.6290713008135294,1,4.815649120287163,1.1802152175836862
