Bait,Prey
LMNA,LMNB1
LMNA,TMPO
LMNA,EMD
LMNA,LMNB2
LMNA,TOR1AIP1
LMNA,KPNA6
LMNA,PARP1
LMNA,NUP50
LMNA,PCBP1
LMNA,LBR
LMNA,LEMD3
LMNA,PCNA
LMNA,NUP155
LMNA,SUN2
LMNA,NUP133
LMNA,NUP98
LMNA,POM121
LMNA,TMEM201
LMNA,SENP1
LMNA,SMURF2
LMNA,NUP153
LMNA,AHCTF1
LMNA,MYC
LMNA,DDX39B
LMNA,BANF1
LMNA,RNF123
LMNA,KPNA1
LMNA,PGRMC2
LMNA,FAM169A
LMNA,SUN1
LMNA,TPX2
LMNA,ANLN
LMNA,RB1
LMNA,SREBF1
LMNA,RPA1
LMNA,VRK2
LMNA,STX5
LMNA,COMMD1
LMNA,WDR70
LMNA,MCM3AP
LMNA,ORF7b
LMNA,RNF113A
LMNA,CDKAL1
LMNA,USP7
LMNA,SMPD4
LMNA,ORF3b
LMNA,ACTB
LMNA,SUGP1
LMNA,WDR76
LMNA,S
LMNA,SNW1
LMNA,MDC1
LMNA,ALDH3A2
LMNA,E
LMNA,KPNA3
LMNA,EGFR
LMNA,NPM1
LMNA,TOP2A
LMNA,NONO
LMNA,RBBP4
LMNA,YKT6
LMNA,CCDC47
LMNA,MATR3
LMNA,CXorf56
LMNA,C9orf78
LMNA,HIST1H4A
LMNA,PML
LMNA,LSG1
LMNA,PARK2
LMNA,DUSP13
LMNA,SYCE1
LMNA,UBE2I
LMNA,TPR
LMNA,WRNIP1
LMNA,SENP6
LMNA,HNRNPM
LMNA,NCL
LMNA,HDAC2
LMNA,GPKOW
LMNA,PIAS2
LMNA,CLCN7
LMNA,SIRT6
LMNA,TP53
LMNA,PCYT1A
LMNA,SEC22B
LMNA,HIST1H3A
LMNA,LRRC59
LMNA,FUS
LMNA,nsp6
LMNA,nsp4
LMNA,CHMP4B
LMNA,DEK
LMNA,NFE2L2
LMNA,ORF10
LMNA,VAPB
LMNA,ZRANB2
LMNA,SRRM1
LMNA,VAMP4
LMNA,ORF7a
LMNA,SNRPD1
LMNA,ZKSCAN1
LMNA,MCM6
LMNA,ORF8
LMNA,MORF4L1
LMNA,nsp13
LMNA,SRRM2
LMNA,BRD3
LMNA,ZNF439
LMNA,M
LMNA,ING1
LMNA,HIST1H2AB
LMNA,URB2
LMNA,H2AFX
LMNA,ATP6AP2
LMNA,KAT2B
LMNA,PSIP1
LMNA,C1QBP
LMNA,NARF
LMNA,PPIL2
LMNA,MFAP1
LMNA,YWHAZ
LMNA,ALKBH5
LMNA,KBTBD6
LMNA,CMTR1
LMNA,PPIL4
LMNA,POM121C
LMNA,KIAA1143
LMNA,TEX264
LMNA,TMEM209
LMNA,TMEM214
LMNA,NOSIP
LMNA,RPA2
LMNA,CACTIN
LMNA,F2RL1
LMNA,EZH2
LMNA,DNAJC8
LMNA,PRR14
LMNA,SF3B3
LMNA,SLU7
