Bait,Prey,mean_diff,mean_diff_FDR_shuffle,mean_diff_FDR_pairs,FDR
ACTB,VCAN,11633.81022222222,1.0,1.0,0.08339429407461595
ACTB,HOXB13,11619.843555555552,1.0,1.0,0.08339429407461595
ACTB,KRT23,4344.596888888889,1.0,1.0,0.07858546168958742
ACTB,EEF1A2,215348.15555555568,1.0,1.0,0.03372243839169909
ACTB,TUBA4A,132960.25555555563,1.0,1.0,0.11054153522607782
ACTB,SETD3,4157.9035555555565,1.0,1.0,0.05020408163265306
ACTB,LCN2,10967.476888888888,1.0,1.0,0.08339429407461595
ACTB,FCGBP,10933.710222222222,1.0,1.0,0.08339429407461595
ACTB,HSPA8,224546.55555555556,1.0,1.0,0.008113590263691683
ACTB,PRSS51,10626.276888888888,1.0,1.0,0.08339429407461595
ACTB,RAP1GAP2,3842.233555555555,1.0,1.0,0.05020408163265306
ACTB,CORO1C,197113.8755555555,1.0,1.0,0.0
ACTB,PIP,10393.043555555554,1.0,1.0,0.08339429407461595
ACTB,MAP1B,155414.11111111118,1.0,1.0,0.08522212148685404
ACTB,ENAH,178011.43333333335,1.0,1.0,0.0
ACTB,MYCLP1,10011.776888888888,1.0,1.0,0.08339429407461595
ACTB,TMOD3,197763.601,1.0,1.0,0.0
ACTB,CFTR,9797.343555555555,1.0,1.0,0.08339429407461595
ACTB,SLC8A2,3511.873555555556,1.0,1.0,0.05218498090793382
ACTB,COL1A2,9611.67688888889,1.0,1.0,0.08339429407461595
ACTB,ATL1,9420.17688888889,1.0,1.0,0.08339429407461595
ACTB,PLCH1,3258.8568888888885,1.0,1.0,0.065323897659227
ACTB,VCL,169231.30666666664,1.0,1.0,0.0
ACTB,IGHG1,9101.343555555555,1.0,1.0,0.08339429407461595
ACTB,IGKV3D-15,8932.343555555555,1.0,1.0,0.08339429407461595
ACTB,EYA2,8800.943555555556,1.0,1.0,0.08339429407461595
ACTB,AFAP1,159604.0888888889,1.0,1.0,0.0
ACTB,NRCAM,3024.926888888889,1.0,1.0,0.05218498090793382
ACTB,ZNF560,8547.743555555555,1.0,1.0,0.08339429407461595
ACTB,LMO7,168787.14333333334,1.0,1.0,0.0
ACTB,CTSG,8270.976888888888,1.0,1.0,0.08339429407461595
ACTB,CEP41,2831.540222222222,1.0,1.0,0.05218498090793382
ACTB,ZNF333,8191.810222222221,1.0,1.0,0.08339429407461595
ACTB,TUBB4B,177170.8333333333,1.0,1.0,0.009765625
ACTB,NKD2,8013.110222222223,1.0,1.0,0.08339429407461595
ACTB,GDF5-AS1,7957.743555555557,1.0,1.0,0.08339429407461595
ACTB,GAD1,7917.676888888889,1.0,1.0,0.08339429407461595
ACTB,NOTCH4,7917.176888888889,1.0,1.0,0.08339429407461595
ACTB,VPS26B,7871.310222222222,1.0,1.0,0.08339429407461595
ACTB,SUOX,7869.643555555555,1.0,1.0,0.08339429407461595
ACTB,FKRP,2627.2035555555553,1.0,1.0,0.05218498090793382
ACTB,ENDOD1,7710.743555555557,1.0,1.0,0.08339429407461595
ACTB,PPP1R12A,157340.30333333334,1.0,1.0,0.026785714285714284
ACTB,EPX,7597.376888888889,1.0,1.0,0.08339429407461595
ACTB,NEXN,154356.82,1.0,1.0,0.0
ACTB,MUC5AC,7563.643555555555,1.0,1.0,0.08339429407461595
ACTB,UBE2N,2534.5468888888886,1.0,1.0,0.07792207792207792
ACTB,SLC25A5,137430.19999999998,1.0,1.0,0.08496732026143791
ACTB,TLN1,156386.07888888888,1.0,1.0,0.005305039787798408
ACTB,MPO,7474.376888888889,1.0,1.0,0.08339429407461595
ACTB,TMCO1,7402.376888888889,1.0,1.0,0.08339429407461595
ACTB,AGR2;AGR3,7332.676888888889,1.0,1.0,0.08339429407461595
ACTB,WASL,129049.43777777778,1.0,1.0,0.0
ACTB,ECT2L,7258.310222222222,1.0,1.0,0.08339429407461595
ACTB,MPRIP,147475.92888888888,1.0,1.0,0.0
ACTB,LCP1,7197.643555555555,1.0,1.0,0.08339429407461595
ACTB,NEBL,2350.8635555555556,1.0,1.0,0.05170239596469105
ACTB,PDPK1;PDPK2P,7112.976888888888,1.0,1.0,0.08339429407461595
ACTB,SLIT2,7069.343555555556,1.0,1.0,0.08339429407461595
ACTB,PFDN5,11004.594666666668,1.0,1.0,0.0489065606361829
ACTB,IL1RAPL2,2277.536888888889,1.0,1.0,0.05099502487562189
ACTB,RCVRN,6927.976888888888,1.0,1.0,0.08339429407461595
ACTB,SHANK2,6829.976888888888,1.0,1.0,0.08339429407461595
ACTB,PALM2AKAP2,132111.8811111111,1.0,1.0,0.011235955056179775
ACTB,TAGLN,137928.07866666667,1.0,1.0,0.008385744234800839
ACTB,RNF130,6589.610222222223,1.0,1.0,0.08339429407461595
ACTB,ANKUB1,6493.310222222222,1.0,1.0,0.08339429407461595
ACTB,PPP1R14B,2035.2002222222225,1.0,1.0,0.0492
ACTB,COMMD2,2026.1768888888892,1.0,1.0,0.05152911604524508
ACTB,HSPA5,139217.84444444446,1.0,1.0,0.003003003003003003
ACTB,PLEKHD1,6351.676888888889,1.0,1.0,0.08339429407461595
ACTB,SALL4,6339.343555555556,1.0,1.0,0.08339429407461595
ACTB,CLCA2,6335.310222222222,1.0,1.0,0.08339429407461595
ACTB,SCRIB,137679.85333333333,1.0,1.0,0.008456659619450317
ACTB,IGKV2-28;IGKV2-29;IGKV2-30;IGKV2-40;IGKV2D-26;IGKV2D-28;IGKV2D-29;IGKV2D-30;IGKV2D-40,6264.976888888888,1.0,1.0,0.08339429407461595
ACTB,IQCN,6229.643555555555,1.0,1.0,0.08339429407461595
ACTB,ADH7,6228.343555555556,1.0,1.0,0.08339429407461595
ACTB,SORBS1,1959.8668888888892,1.0,1.0,0.04650337238196663
ACTB,YOD1,1943.5002222222224,1.0,1.0,0.0492
ACTB,ASAH1,6154.943555555556,1.0,1.0,0.08339429407461595
ACTB,ZSCAN2,6144.2768888888895,1.0,1.0,0.08339429407461595
ACTB,PDLIM1,127027.09888888888,1.0,1.0,0.0
ACTB,DMBT1,95577.76222222224,1.0,1.0,0.0
ACTB,MYO18B,6035.710222222222,1.0,1.0,0.07967589466576637
ACTB,IRX6,6022.943555555556,1.0,1.0,0.07967589466576637
ACTB,GRIN1,5971.910222222223,1.0,1.0,0.07967589466576637
ACTB,TNKS1BP1,123323.04777777776,1.0,1.0,0.005361930294906166
ACTB,MAN1A2,5924.643555555555,1.0,1.0,0.07967589466576637
ACTB,SVIL,113229.34444444445,1.0,1.0,0.0
ACTB,BPIFB4,5833.310222222222,1.0,1.0,0.07967589466576637
ACTB,PRSS22,5824.2768888888895,1.0,1.0,0.07967589466576637
ACTB,DGCR2,5772.976888888888,1.0,1.0,0.07967589466576637
ACTB,ABLIM1,95753.45588888889,1.0,1.0,0.0
ACTB,KRT18,115961.81111111112,1.0,1.0,0.04578313253012048
ACTB,TUBB;TUBB5,125659.24444444444,1.0,1.0,0.019130434782608695
ACTB,RTN4RL1,5578.2768888888895,1.0,1.0,0.07967589466576637
ACTB,POLH,5572.943555555556,1.0,1.0,0.07967589466576637
ACTB,DBN1,110252.7,1.0,1.0,0.0
ACTB,KRT17,103695.92222222225,1.0,1.0,0.0853211009174312
ACTB,HSPA1A;HSPA1B,132053.64444444445,1.0,1.0,0.005305039787798408
ACTB,CABLES1,1657.1502222222225,1.0,1.0,0.0492
ACTB,MARCHF6,5475.57688888889,1.0,1.0,0.07967589466576637
ACTB,ATG14,5454.010222222223,1.0,1.0,0.07967589466576637
ACTB,SPTAN1,120472.23666666668,1.0,1.0,0.005376344086021506
ACTB,CSTA,5389.376888888889,1.0,1.0,0.07967589466576637
ACTB,PRR4,5367.910222222223,1.0,1.0,0.07967589466576637
ACTB,SYNJ2,115105.22733333336,1.0,1.0,0.009746588693957114
ACTB,SIGIRR,5322.910222222223,1.0,1.0,0.07967589466576637
ACTB,SNAP91,5283.576888888889,1.0,1.0,0.07967589466576637
ACTB,CARD14,5253.610222222223,1.0,1.0,0.07967589466576637
ACTB,DUSP16,5252.2768888888895,1.0,1.0,0.07967589466576637
ACTB,QTRT1,1565.166888888889,1.0,1.0,0.0492
ACTB,DPYSL3,116863.74888888888,1.0,1.0,0.005509641873278237
ACTB,ASCC3,111065.89666666668,1.0,1.0,0.04938271604938271
ACTB,IGLV1-47,5228.2768888888895,1.0,1.0,0.07967589466576637
ACTB,BICDL1,5202.243555555556,1.0,1.0,0.07967589466576637
ACTB,PIGR,100608.18777777776,1.0,1.0,0.0
ACTB,USP26,5170.610222222223,1.0,1.0,0.07967589466576637
ACTB,SAMD11,5099.310222222222,1.0,1.0,0.07967589466576637
ACTB,LPP,116740.7577777778,1.0,1.0,0.0
ACTB,TRAPPC11,5069.2768888888895,1.0,1.0,0.07967589466576637
ACTB,USP12;USP46,1468.8135555555557,1.0,1.0,0.0492
ACTB,PRTN3,4985.876888888889,1.0,1.0,0.07967589466576637
ACTB,ANXA1,110237.32555555557,1.0,1.0,0.005479452054794521
ACTB,TMC5,4941.576888888889,1.0,1.0,0.07967589466576637
ACTB,KRT5,103534.04,1.0,1.0,0.0028735632183908046
ACTB,CFL2,1431.8535555555554,1.0,1.0,0.05133555926544241
ACTB,C21orf140,4860.2768888888895,1.0,1.0,0.07967589466576637
ACTB,EIF4G2,105815.3722222222,1.0,1.0,0.018211920529801324
ACTB,ARID3B,4840.2768888888895,1.0,1.0,0.07967589466576637
ACTB,GSTCD,1403.8102222222224,1.0,1.0,0.0492
ACTB,ZNF257,4761.976888888889,1.0,1.0,0.07967589466576637
ACTB,SCGB1D2,4761.210222222222,1.0,1.0,0.07967589466576637
ACTB,DDX3X,106882.4888888889,1.0,1.0,0.08455882352941177
ACTB,PAFAH1B3,1367.8102222222224,1.0,1.0,0.0492
ACTB,SLBP,4743.543555555556,1.0,1.0,0.07967589466576637
ACTB,KCNAB3,4726.610222222223,1.0,1.0,0.07967589466576637
ACTB,TES,99295.50555555556,1.0,1.0,0.018900343642611683
ACTB,KRT15,4705.910222222223,1.0,1.0,0.07967589466576637
ACTB,TOP1MT,4676.243555555556,1.0,1.0,0.07967589466576637
ACTB,PADI3;PADI4,4663.243555555556,1.0,1.0,0.07967589466576637
ACTB,PXN,103703.71888888888,1.0,1.0,0.0030959752321981426
ACTB,LASP1,95774.7588888889,1.0,1.0,0.0
ACTB,IGSF11,4575.976888888889,1.0,1.0,0.07967589466576637
ACTB,DNAH5,3292.3195555555553,1.0,1.0,0.0489065606361829
ACTB,MTIF2,4542.2768888888895,1.0,1.0,0.07991940899932841
ACTB,IGBP1,97491.0611111111,1.0,1.0,0.018363939899833055
ACTB,RPS9,99251.43333333336,1.0,1.0,0.0875
ACTB,SEPTIN9,104411.91066666668,1.0,1.0,0.0
ACTB,NCK2,1273.1535555555556,1.0,1.0,0.05133555926544241
ACTB,STK25,1264.4802222222222,1.0,1.0,0.047729918509895226
ACTB,RPL6,112062.53333333334,1.0,1.0,0.008658008658008658
ACTB,BUB1B,98932.04077777776,1.0,1.0,0.0234375
ACTB,MCPH1,4452.576888888889,1.0,1.0,0.0655379574003277
ACTB,PLPP4,4433.976888888889,1.0,1.0,0.0655379574003277
ACTB,SLC27A2,1246.1435555555556,1.0,1.0,0.047729918509895226
ACTB,UTY,4401.610222222223,1.0,1.0,0.0655379574003277
ACTB,MYH14,60501.16,1.0,1.0,0.0
ACTB,TRAK1,1225.8202222222224,1.0,1.0,0.047729918509895226
ACTB,SNIP1,1206.146888888889,1.0,1.0,0.05020408163265306
ACTB,PCDHA2,4300.910222222223,1.0,1.0,0.0655379574003277
ACTB,ACTN1,66390.62222222223,1.0,1.0,0.0
ACTB,TRPM1,4275.576888888889,1.0,1.0,0.0655379574003277
ACTB,IGHM,17869.06333333333,1.0,1.0,0.07761966364812418
ACTB,UMOD,4255.543555555556,1.0,1.0,0.0655379574003277
ACTB,FSIP2,4254.243555555556,1.0,1.0,0.0655379574003277
ACTB,COL5A3,4245.910222222223,1.0,1.0,0.0655379574003277
ACTB,CAP2,44975.77,1.0,1.0,0.0
ACTB,GVINP1,4237.676888888889,1.0,1.0,0.0655379574003277
ACTB,FMNL2,54739.66888888888,1.0,1.0,0.0
ACTB,TSPYL2,4230.610222222223,1.0,1.0,0.0655379574003277
ACTB,ALAS1,1169.4768888888889,1.0,1.0,0.047729918509895226
ACTB,GLP1R,4190.2768888888895,1.0,1.0,0.0655379574003277
ACTB,SPTBN1,87686.582,1.0,1.0,0.0
ACTB,NUCB2,4177.210222222222,1.0,1.0,0.0655379574003277
ACTB,FRY,1147.8102222222224,1.0,1.0,0.053934571175950484
ACTB,MAGEC2,4155.976888888889,1.0,1.0,0.0655379574003277
ACTB,EEF1A1,99405.6555555556,1.0,1.0,0.05652173913043478
ACTB,PRKCH,4137.910222222223,1.0,1.0,0.0655379574003277
ACTB,PCDHA10;PCDHA8,4122.910222222223,1.0,1.0,0.0655379574003277
ACTB,CAPZB,122801.11111111112,1.0,1.0,0.08735440931780367
ACTB,DHTKD1,4082.9102222222223,1.0,1.0,0.0655379574003277
ACTB,PAK2,91519.46333333332,1.0,1.0,0.08765652951699464
ACTB,EIF4G1,91508.55666666669,1.0,1.0,0.03197674418604651
ACTB,ZFP92,4041.210222222222,1.0,1.0,0.0655379574003277
ACTB,GSPT1,90175.03222222225,1.0,1.0,0.031791907514450865
ACTB,CHSY1,4005.576888888889,1.0,1.0,0.0655379574003277
ACTB,CNN3,81169.40777777779,1.0,1.0,0.0
ACTB,SIPA1L1,78959.95555555556,1.0,1.0,0.0
ACTB,PDLIM4,3975.543555555555,1.0,1.0,0.0655379574003277
ACTB,PIGW,3973.876888888889,1.0,1.0,0.0655379574003277
ACTB,MICALL2,8414.323333333334,1.0,1.0,0.04657441781977725
ACTB,PPP1R18,76376.91111111111,1.0,1.0,0.0
ACTB,CPZ,3952.910222222222,1.0,1.0,0.0655379574003277
ACTB,VMO1,3937.910222222222,1.0,1.0,0.0655379574003277
ACTB,DCC,3934.876888888889,1.0,1.0,0.0655379574003277
ACTB,JARID2,3932.210222222222,1.0,1.0,0.0655379574003277
ACTB,TUBB2A,66509.79555555555,1.0,1.0,0.0
ACTB,KIAA1671,83365.31855555555,1.0,1.0,0.0
ACTB,DVL2,87874.04555555555,1.0,1.0,0.008583690987124463
ACTB,FBXL19,3867.576888888889,1.0,1.0,0.0655379574003277
ACTB,AKT1,4303.582333333333,1.0,1.0,0.07822685788787484
ACTB,TUBA1C,11841.688888888806,1.0,1.0,0.7494817413490671
ACTB,TXNDC16,3835.6435555555554,1.0,1.0,0.0655379574003277
ACTB,PAAF1,1019.8068888888888,1.0,1.0,0.04570383912248629
ACTB,OR13C5,3816.910222222222,1.0,1.0,0.0655379574003277
ACTB,ALDH1A1,3796.2768888888886,1.0,1.0,0.0655379574003277
ACTB,BAHD1,3779.210222222222,1.0,1.0,0.0655379574003277
ACTB,RPS27A;UBA52;UBB;UBC,87801.67777777778,1.0,1.0,0.033921302578018994
ACTB,C19orf85,3734.2435555555553,1.0,1.0,0.0655379574003277
ACTB,NSG1,3696.910222222222,1.0,1.0,0.0655379574003277
ACTB,LCN1,13715.853333333334,1.0,1.0,0.060759493670886074
ACTB,ZNF559,3673.910222222222,1.0,1.0,0.0655379574003277
ACTB,DMC1,3648.610222222222,1.0,1.0,0.0655379574003277
ACTB,ADD1,71786.63333333333,1.0,1.0,0.0
ACTB,RPS15A,95642.51111111107,1.0,1.0,0.03342245989304813
ACTB,RMC1,3622.210222222222,1.0,1.0,0.0655379574003277
ACTB,DAPK1,46436.42666666666,1.0,1.0,0.003257328990228013
ACTB,EVL,936.1502222222222,1.0,1.0,0.0460645629307218
ACTB,UNC5D,3569.543555555555,1.0,1.0,0.0655379574003277
ACTB,GIGYF2,80279.34666666665,1.0,1.0,0.04600484261501211
ACTB,ADD3,76283.42,1.0,1.0,0.0
ACTB,LONP2,3533.2435555555553,1.0,1.0,0.0655379574003277
ACTB,ARHGAP40,3517.576888888889,1.0,1.0,0.0655379574003277
ACTB,NEDD9,3476.8768888888885,1.0,1.0,0.0655379574003277
ACTB,HSP90AB1,89130.19999999998,1.0,1.0,0.07922705314009662
ACTB,DBNL,67258.67044444445,1.0,1.0,0.0
ACTB,IGLV3-21;IGLV3-9,3448.2435555555553,1.0,1.0,0.0655379574003277
ACTB,SIM1,3447.6435555555554,1.0,1.0,0.0655379574003277
ACTB,TRAP1,90741.91000000002,1.0,1.0,0.009940357852882704
ACTB,GDI1,3436.2435555555553,1.0,1.0,0.0655379574003277
ACTB,IQGAP1,70178.78555555556,1.0,1.0,0.0
ACTB,EIF4B,79529.77777777778,1.0,1.0,0.045177045177045176
ACTB,LPCAT4,3382.610222222222,1.0,1.0,0.0655379574003277
ACTB,AGPAT5,3366.8435555555557,1.0,1.0,0.0655379574003277
ACTB,CYP2U1,3364.610222222222,1.0,1.0,0.0655379574003277
ACTB,SRBD1,3341.210222222222,1.0,1.0,0.0655379574003277
ACTB,AKAP13,75889.8188888889,1.0,1.0,0.050292397660818715
ACTB,GRID2,3307.286888888889,1.0,1.0,0.0655379574003277
ACTB,ALKBH8,3302.6168888888888,1.0,1.0,0.0655379574003277
ACTB,CTTNBP2NL,68822.74444444444,1.0,1.0,0.005449591280653951
ACTB,FDCSP,3260.1935555555556,1.0,1.0,0.0655379574003277
ACTB,TMEM200C,3240.1968888888887,1.0,1.0,0.0655379574003277
ACTB,PPP1R13L,76262.51644444445,1.0,1.0,0.008492569002123142
ACTB,MRPL49,3187.220222222222,1.0,1.0,0.0655379574003277
ACTB,KIF14,72603.78888888887,1.0,1.0,0.0
ACTB,AZGP1,9097.577777777778,1.0,1.0,0.05893813930832927
ACTB,IGHV3-23;IGHV3-30;IGHV3-30-3;IGHV3-30-5;IGHV3-33;IGHV3-53;IGHV3-66;IGHV3-74,3153.883555555555,1.0,1.0,0.0655379574003277
ACTB,XYLT1,3152.5468888888886,1.0,1.0,0.0655379574003277
ACTB,FASN,78810.41111111111,1.0,1.0,0.008565310492505354
ACTB,CCDC170,3148.9468888888887,1.0,1.0,0.0655379574003277
ACTB,DENND2B,70325.86666666667,1.0,1.0,0.006741573033707865
ACTB,EPS8,12431.84333333333,1.0,1.0,0.043389484430832057
ACTB,SH3BP4,72606.79233333333,1.0,1.0,0.08463661453541858
ACTB,STX11,3108.5168888888884,1.0,1.0,0.0655379574003277
ACTB,LRIG1,3105.2668888888884,1.0,1.0,0.0655379574003277
ACTB,MX2,3098.8568888888885,1.0,1.0,0.0655379574003277
ACTB,CYP2A13,3087.9002222222225,1.0,1.0,0.0655379574003277
ACTB,AGFG1,70180.26,1.0,1.0,0.05813953488372093
ACTB,CNN2,68392.33444444445,1.0,1.0,0.0
ACTB,S100A7,3057.530222222222,1.0,1.0,0.0655379574003277
ACTB,MROH2A,3037.5468888888886,1.0,1.0,0.0655379574003277
ACTB,UGGT1,7255.455555555556,1.0,1.0,0.046613011401743794
ACTB,DPF3,3028.206888888889,1.0,1.0,0.0655379574003277
ACTB,PDZD7,3025.520222222222,1.0,1.0,0.0655379574003277
ACTB,NRP1,3009.850222222222,1.0,1.0,0.0655379574003277
ACTB,EXOC8,4903.061222222223,1.0,1.0,0.05893813930832927
ACTB,TAF1L,2978.8868888888887,1.0,1.0,0.0655379574003277
ACTB,PON3,2970.246888888889,1.0,1.0,0.0655379574003277
ACTB,NDUFAF7,8380.071111111112,1.0,1.0,0.04632248939179632
ACTB,LPIN3,19402.114444444447,1.0,1.0,0.045187362233651725
ACTB,FABP7,2926.220222222222,1.0,1.0,0.0655379574003277
ACTB,VDAC2,76540.02222222221,1.0,1.0,0.023006134969325152
ACTB,PFDN2,39193.506666666675,1.0,1.0,0.0030120481927710845
ACTB,SIRPD,2917.543555555555,1.0,1.0,0.0655379574003277
ACTB,ARHGEF9,2916.8568888888885,1.0,1.0,0.0655379574003277
ACTB,MALSU1,2894.556888888889,1.0,1.0,0.0655379574003277
ACTB,NPHS1,2877.226888888889,1.0,1.0,0.0655379574003277
ACTB,PTPRN,2861.2002222222222,1.0,1.0,0.0655379574003277
ACTB,THEMIS,2856.5235555555555,1.0,1.0,0.0655379574003277
ACTB,IGLL1,2844.896888888889,1.0,1.0,0.0655379574003277
ACTB,ALAD,2839.5135555555553,1.0,1.0,0.0655379574003277
ACTB,PALMD,60527.788888888885,1.0,1.0,0.0
ACTB,ATP1A2,2827.1935555555556,1.0,1.0,0.0655379574003277
ACTB,MCM9,2812.8468888888883,1.0,1.0,0.0655379574003277
ACTB,DIAPH1,63849.604444444434,1.0,1.0,0.0
ACTB,CYP26A1,2792.5468888888886,1.0,1.0,0.0655379574003277
ACTB,C4orf54,665.800888888889,1.0,1.0,0.04618689581095596
ACTB,NUDC,73285.96333333332,1.0,1.0,0.006993006993006993
ACTB,TNPO1,72332.84666666666,1.0,1.0,0.03443708609271523
ACTB,RPS11,82025.76888888888,1.0,1.0,0.019642857142857142
ACTB,DEPDC1B,8648.22222222222,1.0,1.0,0.046279814880740476
