initial_positives,initial_negatives,fdr_hits,kl_divergence,wasserstein_distance,roc_auc,median_score_difference
1,100,15,0.6746584395654434,0.04776121740415158,0.4109632224897002,-0.07919999999999998
1,200,15,0.6716313825355904,0.043910149959370606,0.41017162608460195,-0.0755
1,500,15,0.6646885995457126,0.04233106793725838,0.41003230576487043,-0.07099999999999998
1,1000,15,0.7172236782818467,0.048333811036418706,0.4104467475557687,-0.0868
5,100,415,0.8859744439836819,0.09159980793381105,0.3898899652420345,-0.11399999999999999
5,200,408,0.9357779528960218,0.09410464406195365,0.39743430142227376,-0.12179999999999994
5,500,350,0.9094749601215841,0.09211774888576987,0.3969198364888422,-0.11430000000000001
5,1000,298,0.9002028916890904,0.09198833813498805,0.3909968616034092,-0.12129999999999998
10,100,530,1.015431672614157,0.10897861170618797,0.39505659331032505,-0.16140000000000004
10,200,519,0.9743925830707352,0.10899739971928787,0.3937881620309316,-0.1587000000000001
10,500,527,1.0024738001422961,0.10985435719386374,0.39380504148761997,-0.16419999999999998
10,1000,470,1.009918108986006,0.10916459826155475,0.38860995144844696,-0.17060000000000014
15,100,432,0.9711787613193088,0.1151173573662308,0.39117237193666987,-0.18400000000000002
15,200,474,1.0067259845409946,0.11569621038634852,0.38784699103237397,-0.17880000000000013
15,500,480,1.002317444473188,0.11629377016079387,0.38976037781160244,-0.18080000000000002
15,1000,427,1.005720610044368,0.11523206027923467,0.3898651073263475,-0.18259999999999998
20,100,574,1.0103269761288676,0.13017512989091623,0.38719690624167,-0.22429999999999997
20,200,564,1.0032237996933215,0.12976061165694022,0.3899233709652782,-0.2212
20,500,507,1.0299265657840595,0.12634091256063626,0.38949245687163914,-0.21270000000000003
20,1000,533,1.0261348409352564,0.12641372288296274,0.38693113354658515,-0.2115000000000001
25,100,947,1.0960712299890183,0.13861365393612565,0.3882656695890321,-0.2339999999999999
25,200,1051,1.162483190450728,0.1391176750141587,0.38893907644888714,-0.22860000000000014
25,500,924,1.1133270629989513,0.13594343650735022,0.38924239340670697,-0.22830000000000014
25,1000,1006,1.2097870317598052,0.13720730343995466,0.3911387109463944,-0.22090000000000007
30,100,1793,1.334854198864299,0.15254720395951832,0.3884670786119945,-0.23359999999999992
30,200,2036,1.324432826371877,0.14898187190662623,0.3888737098986869,-0.2322
30,500,1649,1.30811069136715,0.14749264484991748,0.3891970926035807,-0.22889999999999996
30,1000,1403,1.3514733218388622,0.14795600699317915,0.39069220312941855,-0.22600000000000003
