Bait,Prey
LMNA,LIPJ
LMNA,BECN1
LMNA,KRT222
LMNA,PRPF19
LMNA,KRT7
LMNA,HIF3A
LMNA,LOC100653049
LMNA,ITGB4
LMNA,FANCL
LMNA,SUN1
LMNA,PEMT
LMNA,GLI3
LMNA,DRG1
LMNA,SRSF3
LMNA,SETD1A
LMNA,SFPQ
LMNA,THOC7
LMNA,NDFIP2
LMNA,MSANTD1
LMNA,PRKCE
LMNA,KAT5
LMNA,DLX1
LMNA,EXD2
LMNA,INO80
LMNA,MX1
LMNA,RAB40B
LMNA,MTDH
LMNA,PRKAA1
LMNA,BNIP3L
LMNA,ZNF174
LMNA,SRSF7
LMNA,RPA4
LMNA,HOXA2
LMNA,RNF113A
LMNA,CYP4F2
LMNA,MAGOH
LMNA,THAP7
LMNA,SARNP
LMNA,DZIP1
LMNA,SNX5
LMNA,RBM4
LMNA,VPS37A
LMNA,BMP2
LMNA,DSG2
LMNA,VTA1
LMNA,OR51E2
LMNA,NEMP2
LMNA,DOT1L
LMNA,APBB3
LMNA,NRM
LMNA,MVK
LMNA,HMG20B
LMNA,GTF2B
LMNA,ACSS3
LMNA,OSBPL8
LMNA,CANX
LMNA,NHEJ1
LMNA,shieldin_human
LMNA,APEX2
LMNA,ATP2B1
LMNA,HSPA1A
LMNA,CD38
LMNA,AKAP9
LMNA,RETREG1
LMNA,EGR2
LMNA,PRPF6
LMNA,KLK6
LMNA,PEA15
LMNA,QSOX1
LMNA,DUSP2
LMNA,KRTAP5-4
LMNA,SMU1
LMNA,AK9
LMNA,WDR48
LMNA,HSD3B2
LMNA,MAD2L2
LMNA,PRPF40B
LMNA,SON
LMNA,CYP1A2
LMNA,PDXDC1
LMNA,ERCC6
LMNA,PLCB1
LMNA,TMEM38A
LMNA,NOP53
LMNA,SUZ12
LMNA,SLC16A10
LMNA,RC3H2
LMNA,TDP1
LMNA,CDK4
LMNA,SRSF5
LMNA,RSRC1
LMNA,CLUAP1
LMNA,TAX1BP3
LMNA,MAPK14
LMNA,AGXT
LMNA,ANXA11
LMNA,RIC3
LMNA,SLC7A14
LMNA,AKAP17A
LMNA,LAMP3
LMNA,IDI2
LMNA,CBLL1
LMNA,BCL2
LMNA,PSMA6
LMNA,MYO1C
LMNA,INCENP
LMNA,KRT28
LMNA,KRT34
LMNA,PIN1
LMNA,CYP2E1
LMNA,INKA2
LMNA,GMCL1
LMNA,ZWINT
LMNA,ZFHX3
LMNA,YME1L1
LMNA,ARL14EP
