Positives,Negatives,Mean AUC,Std AUC,Mean AUC@Top300,Std AUC@Top300
5,100,0.027389726784842167,0.0008996894624245209,0.04227128105541936,0.027707817682645793
5,200,0.027124851429736436,0.000924629247059133,0.044722347435735416,0.030347843208355027
5,500,0.028148981185369428,0.0010316780656994067,0.041542018092078824,0.029885228791308154
5,1000,0.030348280904827475,0.001427697993175373,0.045077685366920604,0.03159366877732881
10,100,0.04195303067160193,0.0050233155540813324,0.12517916706936327,0.047629959026439295
10,200,0.04076824040193019,0.004957743502555505,0.11510818178364472,0.050879551810911944
10,500,0.04445421313776429,0.004913993687907623,0.11893397300675508,0.046349601423065115
10,1000,0.0482803515951634,0.004496954860027511,0.12982863725708074,0.04563865993640287
15,100,0.054281978668475526,0.004763729506109711,0.13106329404633482,0.03600372672057034
15,200,0.05430689640508463,0.004850998267332072,0.1343670271792913,0.036183578924977186
15,500,0.05096340928365887,0.003890067120926394,0.11596059002469387,0.03424301975641342
15,1000,0.05168391485833144,0.003204611838962159,0.12110562053183709,0.03545085962953343
20,100,0.04945851883099259,0.0036840689166022507,0.10984548802986416,0.029559952246995223
20,200,0.05062245524719572,0.003916022255180453,0.11284721403525153,0.029452642777383787
20,500,0.05009778909332667,0.004239889899537431,0.11133792469347506,0.03065593357393096
20,1000,0.05079494556326881,0.0035007779459626923,0.11171438490100877,0.027730562346932247
25,100,0.047676894608762364,0.0038303592309989784,0.10655600586971385,0.030471767539801336
25,200,0.048388131584724575,0.003320330662079418,0.10780036303711739,0.030293671702209084
25,500,0.043772596194947715,0.0025329838340850596,0.09156412765908502,0.035004596510382915
25,1000,0.04720437988144723,0.003115159884530241,0.09928238265559731,0.027314331145674164
30,100,0.04737513772231442,0.0034042678651351817,0.10067964864054899,0.027998267383588075
30,200,0.04799947195782571,0.0030492101147198214,0.09899666188627938,0.030705712733051612
30,500,0.04577482476293818,0.0038270899964943333,0.09529381918263882,0.030450332009412568
30,1000,0.047325187891603476,0.00226677092565675,0.09478725559585223,0.02444543841010352
