Bait,FDR Bin,Method,Precision,TP
EIF4A2,0-0.01,PU Learning,0.5714285714285714,24
EIF4A2,0-0.01,SAINTq,0.29545454545454547,26
EIF4A2,0-0.01,SAINTexpress,0.5357142857142857,15
EIF4A2,0-0.01,limma,0.08469055374592833,26
EIF4A2,0.01-0.05,PU Learning,0.0,0
EIF4A2,0.01-0.05,SAINTq,0.05714285714285714,2
EIF4A2,0.01-0.05,SAINTexpress,0.6,3
EIF4A2,0.01-0.05,limma,0.04132231404958678,10
MEPCE,0-0.01,PU Learning,0.788235294117647,67
MEPCE,0-0.01,SAINTq,0.5172413793103449,150
MEPCE,0-0.01,SAINTexpress,0.7346938775510204,36
MEPCE,0-0.01,limma,0.5378151260504201,128
MEPCE,0.01-0.05,PU Learning,0.7346938775510204,36
MEPCE,0.01-0.05,SAINTq,0.21138211382113822,26
MEPCE,0.01-0.05,SAINTexpress,0.7142857142857143,5
MEPCE,0.01-0.05,limma,0.34502923976608185,59
