Positives,Negatives,Mean AUC,Std AUC,Mean AUC@Top300,Std AUC@Top300
5,100,0.22763340341801797,0.002425083351721704,0.29214129976781694,0.040938885492107974
5,200,0.2251498611306499,0.0020358332916188297,0.2812065745040362,0.04177464308893585
5,500,0.2374894480884091,0.002354381849958878,0.28739040577377856,0.04291193547347307
5,1000,0.24553309977794946,0.002742149596523684,0.3020236852389404,0.0445610730887618
10,100,0.2753258288179682,0.007118648425347429,0.5018403703156055,0.04329448531135995
10,200,0.2738081020487221,0.006854733414226309,0.48830941863179633,0.042606815464637154
10,500,0.2898472291796623,0.006980258216825257,0.5121001015251462,0.03883633417009863
10,1000,0.3156716493563939,0.007176020700034004,0.5881407773905074,0.034343512975067304
15,100,0.34948006748892946,0.00827068573846,0.6508614614143433,0.033732626934201815
15,200,0.3463078857582804,0.007961502560452563,0.6447442233114263,0.03350950702513527
15,500,0.3554896320704893,0.007771175689244402,0.6580822716766273,0.03357551857924755
15,1000,0.3645387740489577,0.0075149277667395835,0.6648595430579479,0.03274999621166251
20,100,0.3375288183548716,0.0061284671311970275,0.5852339091501559,0.03409832618622474
20,200,0.34088606807986066,0.00671495959043641,0.6016896784463776,0.03346953118029338
20,500,0.35135220860353233,0.006267698203257939,0.6141428350983587,0.03243407972747571
20,1000,0.36277178847017644,0.0067204559318553465,0.6297143753353355,0.03247233638470188
25,100,0.3432599720275924,0.004947207909042674,0.5635963867033409,0.031322007540730126
25,200,0.3486521895803535,0.0059046743514377265,0.5811676756709038,0.031069967860595845
25,500,0.3524961651045216,0.005097331115236229,0.5833301805813035,0.031095986577870653
25,1000,0.36148667935919976,0.005739814190209997,0.5989025705993551,0.030931555264594547
30,100,0.3455086729937126,0.004962972718287201,0.5462273264655338,0.03075800842191813
30,200,0.3460925107603476,0.005172717999190288,0.5579403812112856,0.031298778973110744
30,500,0.3515184144676218,0.004490417115939993,0.5639576611883292,0.02976542087160237
30,1000,0.36274654751557756,0.004253233785695834,0.5795073011334023,0.029891767890953172
