Bait,Prey,log_fold_change,snr,mean_diff,median_diff,replicate_fold_change_sd,bait_cv,bait_control_sd_ratio,zero_or_neg_fc,nonzero_reps,reps_above_ctrl_med,single_rep_flag,composite_score,global_cv,predicted_probability,FDR,global_cv_flag
EIF4A2,A0A3Q1M3L6,-5.5365468248122705,0.0,-148.42266666666666,0.0,0.0,0.0,0.0,0,0,0,0,-0.4048032010745703,2.052990714815945,0.0,1.0,
EIF4A2,A2M,-0.8638995615448967,26.887837171418163,-4507.463333333334,-4562.210000000001,0.0535116429543256,0.0973903374192679,2.618615534598751,0,3,0,0,-0.052032854835998,0.2430988304356929,0.018200000000000008,1.0,
EIF4A2,AAAS,0.3834568225016784,54.965448094885296,371.6700000000001,210.27,0.371874000053409,0.2850802552499092,15.669563972815538,1,3,2,0,0.1685510806658078,0.219284455381476,0.49559999999999993,0.7654584221748401,likely background
EIF4A2,AAR2,-1.0587724797966005,4.497333273929059,-501.7516666666669,-628.56,0.1986882861478992,0.4139077762770023,1.861481214588547,0,3,0,0,0.0118746810705254,0.3901899772451771,0.030999999999999986,1.0,
EIF4A2,AARS1,-0.8020227831539064,6.17944302644211,-283.14,-287.883,0.0199084141815536,0.0347118015709329,0.2144996001527439,0,3,0,0,0.0428637518781261,0.7880980447401136,0.0009,1.0,
EIF4A2,AARS2,0.5018786217233636,0.708947179953239,94.4936666666667,0.0,2.835788719812956,1.4142135623730951,2.0052054337920597,1,1,1,1,0.1740055625095461,2.0008673816079807,0.4576000000000002,0.9921602787456446,
EIF4A2,AASS,-5.5365468248122705,0.0,-794.2116666666666,-856.276,0.0,0.0,0.0,0,0,0,0,-0.4214952675846057,1.4363855228775664,0.0,1.0,
EIF4A2,ABCB7,1.2768630810073651,43.93303331490596,85.55906666666668,0.0,8.303523777859802,1.414213562373095,124.26138310025804,1,1,1,1,0.2488835043308581,1.977540786775144,0.5729000000000002,0.36037441497659906,
EIF4A2,ABCD3,-5.5365468248122705,0.0,-17.563266666666667,0.0,0.0,0.0,0.0,0,0,0,0,-0.4040108993946751,1.4359833726402411,0.0,1.0,
EIF4A2,ABCE1,-0.1974960191138068,14.333042043060717,-226.63666666666657,-243.78999999999996,0.0434583932776759,0.0498345879427281,0.7142812441817288,0,3,0,0,0.1018197889288997,0.1772094152246784,0.004700000000000002,1.0,likely background
EIF4A2,ABCF1,-0.6742781575326676,3.2937193141690986,-992.2766666666668,-838.6200000000001,0.0763388384342326,0.1218233193988488,0.4012518200201793,0,3,0,0,0.042506658612843,0.2382584087532387,0.006100000000000002,1.0,
EIF4A2,ABCF2,-0.6139064108019942,14.724586081565835,-987.4333333333336,-1076.0499999999995,0.0900402550522884,0.1377994890354309,2.02904043829799,0,3,0,0,0.0449851411226411,0.204948987998554,0.012400000000000008,1.0,likely background
EIF4A2,ABCF3,-0.2306971733309691,1.0392373290108994,-47.984333333333325,81.07500000000005,0.603371908166407,0.7080060218392465,0.735786287059851,0,2,2,0,0.1043191496211889,0.7701556078662147,0.03629999999999998,1.0,
EIF4A2,ABHD12,-5.5365468248122705,0.0,-17.563266666666667,0.0,0.0,0.0,0.0,0,0,0,0,-0.4040108993946751,2.8284271247461903,0.0,1.0,
EIF4A2,ABI1,-0.2587277298359961,14.791465697930088,-218.9416666666666,-138.56000000000017,0.1584513403155175,0.1895771196884966,2.804123462984785,0,3,0,0,0.097591811593993,0.1336775544426883,0.05269999999999997,1.0,likely background
EIF4A2,ABI2,-5.5365468248122705,0.0,-17.563266666666667,0.0,0.0,0.0,0.0,0,0,0,0,-0.4040108993946751,2.8284271247461903,0.0,1.0,
EIF4A2,ABLIM1,-5.5365468248122705,0.0,-90.04833333333333,0.0,0.0,0.0,0.0,0,0,0,0,-0.404449767676872,2.169161108926236,0.0,1.0,
EIF4A2,ABRAXAS2,-0.5877182286232451,1.589732489580992,-293.94900000000007,-476.057,0.6261286221069495,1.4142135623730951,4.496442494621168,0,1,1,1,0.0603897798670964,0.5631052719985835,0.06709999999999998,1.0,
EIF4A2,ACACA,-0.5422282799496535,10.926650999637822,-634.1600000000003,-663.9100000000001,0.0557761855049754,0.0812235769051304,0.8875016777846026,0,3,0,0,0.0600557838723458,0.1744424984712217,0.003700000000000001,1.0,likely background
EIF4A2,ACADM,-5.5365468248122705,0.0,-17.563266666666667,0.0,0.0,0.0,0.0,0,0,0,0,-0.4040108993946751,2.8284271247461903,0.0,1.0,
