Bait,Prey
PSMA4,CIB1
PSMA4,ZC3H12B
PSMA4,URS000050DE77_9606
PSMA4,GAK
PSMA4,PSMB10
PSMA4,PSMA8
PSMA4,ATP1A2
PSMA4,H1-1
PSMA4,IGF2BP2
PSMA4,SLC39A12
PSMA4,TUBB
PSMA4,URS00003B6B84_9606
PSMA4,ZC3H12A
PSMA4,UBQLN1
PSMA4,PSMD8
PSMA4,URS000075A53F_9606
PSMA4,RBM20
PSMA4,VCP
PSMA4,DCP1B
PSMA4,URS00005030C1_9606
PSMA4,UBAP2
PSMA4,TXNL1
PSMA4,ATP1A1
PSMA4,LZTS2
PSMA4,URS0000574A2C_9606
PSMA4,LSM3
PSMA4,LIM2
PSMA4,FBLN2
PSMA4,SPRN
PSMA4,PLOD1
PSMA4,KIF9
PSMA4,PSMA2
PSMA4,GSTP1
PSMA4,GNB1
PSMA4,URS00004449AE_9606
PSMA4,URS00005540D2_9606
PSMA4,SLC30A7
PSMA4,TARDBP
PSMA4,EIF4E2
PSMA4,SNRPB2
PSMA4,KCNC2
PSMA4,URS0000547F6A_9606
PSMA4,RBP3
PSMA4,ARHGEF2
PSMA4,SNX1
PSMA4,PSME1
PSMA4,URS00002C6949_9606
PSMA4,PRICKLE1
PSMA4,NFKBIZ
PSMA4,ATP1A3
PSMA4,PCCB
PSMA4,RAB4A
PSMA4,CARHSP1
PSMA4,URS00003380CC_9606
PSMA4,IFT172
PSMA4,UPF2
PSMA4,URS00004176D4_9606
PSMA4,POLDIP3
PSMA4,LPL
PSMA4,PSMC2
PSMA4,DNAJC3
PSMA4,TNRC6A
PSMA4,DCP2
PSMA4,GAPDH
PSMA4,URS0000010D30_9606
PSMA4,MAPT
PSMA4,URS00005070A9_9606
PSMA4,SLC34A1
PSMA4,EPS8L2
PSMA4,PIP4K2C
PSMA4,NANOS3
PSMA4,USP3
PSMA4,URS0000316FA5_9606
PSMA4,URS00000A07C1_9606
PSMA4,BMP6
PSMA4,RPLP0
PSMA4,TFRC
PSMA4,URS000025576D_9606
PSMA4,MOV10
PSMA4,MEX3A
PSMA4,CPEB1
PSMA4,TUBA1A
PSMA4,SERBP1
PSMA4,PSME3
PSMA4,CALM1
PSMA4,CDC42
PSMA4,FGB
PSMA4,PSMD2
PSMA4,ZAR1L
PSMA4,AKT1
PSMA4,PSMA1
PSMA4,NHERF1
PSMA4,CAPS
PSMA4,YTHDC2
PSMA4,URS000030F801_9606
PSMA4,SAMD4A
PSMA4,URS000075A2F8_9606
PSMA4,PSMB4
PSMA4,FLOT2
PSMA4,PSMD4
PSMA4,NEU2
PSMA4,URS000075BC79_9606
PSMA4,ZC3H12D
PSMA4,SLC26A6
PSMA4,URS00003E6479_9606
PSMA4,HSPA1A
PSMA4,URS000059273E_9606
PSMA4,EID1
PSMA4,BCL2L14
PSMA4,CDK9
PSMA4,FLG
PSMA4,NLRP6
PSMA4,RAB3B
PSMA4,ECPAS
PSMA4,LGR6
PSMA4,DNMT3L
PSMA4,CD9
PSMA4,TUT4
PSMA4,IBSP
PSMA4,DPP7
PSMA4,URS000075BAE6_9606
PSMA4,TSPAN1
PSMA4,URS00004BCD9C_9606
PSMA4,SLC1A2
PSMA4,RC3H1
PSMA4,MAN1B1
PSMA4,PSMB5
PSMA4,STX5
PSMA4,FAP
PSMA4,CTSF
PSMA4,PICALM
PSMA4,URS00002F4D78_9606
PSMA4,CSH1
PSMA4,HOXD10
PSMA4,RC3H2
PSMA4,SLC39A2
PSMA4,URS00002373FD_9606
PSMA4,PRKCZ
PSMA4,GIGYF2
PSMA4,PSMB6
PSMA4,TNRC6B
PSMA4,NOCT
PSMA4,URS00001234DF_9606
PSMA4,LSM6
PSMA4,CALM2
PSMA4,ANXA1
PSMA4,NCL
PSMA4,DHX9
