Bait,Prey,log_fold_change,snr,mean_diff,median_diff,replicate_fold_change_sd,bait_cv,bait_control_sd_ratio,zero_or_neg_fc,nonzero_reps,reps_above_ctrl_med,single_rep_flag,composite_score,global_cv,predicted_probability,FDR,global_cv_flag
ACTB,AAAS,0.1010195402327804,3.78443269030513,2481.8741111111085,-6371.0589999999975,0.469603935615788,0.4378505156045656,1.657015804720875,1,3,1,0,0.0705238213652794,1.4602437997871431,0.5726,1.0,
ACTB,AAGAB,-0.3586804317230899,0.2130489489581868,-8242.653777777776,0.0,0.8601233141108158,1.414213562373095,0.6025934261320023,0,1,1,1,0.0289889839886328,1.658101009868065,0.07089999999999998,1.0,
ACTB,AAK1,1.5356912972485668,1.962860286105733,911197.888888889,1375249.1,0.4811237030530633,0.1659468858160623,0.3257305517712715,1,3,3,0,0.3019123328855846,1.137329057311263,0.9466999999999999,0.04055766793409379,likely background
ACTB,AAR2,1.5227779447301355,1.9773249764215468,8724.624777777779,10667.6,0.9803468377557564,0.3411767482374837,0.6746173056642624,1,3,3,0,0.1862146445126892,1.816431386704196,0.8576000000000001,0.24862670169572487,
ACTB,AARS1,0.933878723636026,1.2956108986844803,18965.699666666675,49838.05,0.7288175293078378,0.3815009069991458,0.4942767329661077,1,3,3,0,0.1396524732868693,1.455288893863074,0.8845000000000002,0.17542903840915283,
ACTB,AARS2,2.8965363949902363,9.80197542561567,2066.3782666666666,0.0,78.41580340492536,1.4142135623730951,27.724173169906944,1,1,1,1,0.3054450609368138,4.79583152331272,0.7071999999999999,0.9346080305927342,
ACTB,AASDH,-0.0360461053970093,0.2532781875061485,-623.8296666666665,0.0,1.3452670791120322,1.414213562373095,0.7163788956489422,0,1,1,1,0.0559136424736836,2.086055385874456,0.1445,1.0,
ACTB,AASDHPPT,-5.5365468248122705,0.0,-7878.272222222222,0.0,0.0,0.0,0.0,0,0,0,0,-0.3949318267049722,2.1706376692221263,0.0,1.0,
ACTB,AATF,-5.5365468248122705,0.0,-9805.791,0.0,0.0,0.0,0.0,0,0,0,0,-0.3950538061366379,2.2923957184110257,0.0,1.0,
ACTB,ABCB7,-5.5365468248122705,0.0,-1028.6725555555556,0.0,0.0,0.0,0.0,0,0,0,0,-0.3944983625623087,2.4616789934483254,0.0,1.0,
ACTB,ABCC1,1.7627142092533226,2.340503376936653,23199.11588888889,42753.215,1.560638956879861,0.459911080155902,1.0764234361954723,1,3,3,0,0.2084754635947768,1.5380267491541713,0.8977,0.14552696078431374,
ACTB,ABCD1,-0.3505968716485595,0.5453684876583659,-5887.8691111111075,23209.758,0.1629257287658992,0.2077472983421569,0.1132988299119734,0,3,3,0,0.0311044055527567,1.3315836438099105,0.07149999999999995,1.0,
ACTB,ABCD3,0.1724577240800063,0.790341578665949,18419.716666666645,161755.84,0.206505838595058,0.1832404040769214,0.1448225102335404,1,3,3,0,0.0815300895396563,2.050279452116434,0.7433000000000003,0.7998798076923077,
ACTB,ABCE1,-0.0336447745248007,0.5061846723470821,-2308.431111111102,105495.28,0.5985073096341136,0.6126352625064745,0.3101065796201084,0,3,3,0,0.0607004368237811,2.091581774766889,0.157,1.0,
ACTB,ABCF1,0.9375009039367193,1.410832935189937,204382.46706666664,401916.813,0.3407854450179836,0.1779374704209982,0.2510400436743294,1,3,3,0,0.1666427279307419,0.9251031293554528,0.9275000000000011,0.07396449704142012,likely background
ACTB,ABCF2,0.3740194835322979,0.8998354744809767,83823.75711111113,301776.301,0.3901912579435238,0.3010854735556128,0.2709273899562444,1,3,3,0,0.1081760821644836,1.0778202172913,0.8731999999999996,0.20983858570330516,likely background
ACTB,ABCF3,1.0646195246908876,1.4784154957706364,94886.0822222222,146995.19,0.6291215599146973,0.3007836561898747,0.4446832181856583,1,3,3,0,0.1594327036615752,1.2455863724789722,0.9226999999999996,0.08073472874839813,
ACTB,ABHD12,-5.5365468248122705,0.0,-37.951166666666666,0.0,0.0,0.0,0.0,0,0,0,0,-0.3944356666065811,3.3956131207436675,0.0,1.0,
ACTB,ABI1,1.604668230608063,2.05954268843589,68281.39455555555,80024.19,1.435411967153571,0.47198122179211,0.9720654744209783,1,3,3,0,0.1996905626410232,1.461542461669375,0.9241999999999997,0.07878521126760564,
ACTB,ABL1,3.928815441760126,5.38450787837809,72760.86988888889,67844.33,3.6705415166750304,0.241012257358742,1.2977323985338345,1,3,3,0,0.3929219196658038,2.2058255171210144,0.9374999999999999,0.05547652916073969,
ACTB,ABL2,5.748528235487525,19.007909498831246,23432.70738888889,5850.6943,58.40971080239221,1.0864399001388405,20.650951297758333,1,3,3,0,0.5494735003226543,3.835988480486976,0.9124000000000002,0.09857142857142857,
ACTB,ABLIM1,2.2933207365675994,3.202293268364666,1478788.0666666664,1860941.8,0.2223320283614391,0.0453570274641221,0.1452465037213895,1,3,3,0,0.4215302229659462,1.4369084611089042,0.9517999999999996,0.040160642570281124,
ACTB,ABLIM3,3.2845736403509034,6.364687301502552,523699.1205555555,560428.2,0.5980753742677765,0.061376366953033,0.3906413833583301,1,3,3,0,0.3904706390559843,1.2844531261575336,0.9528999999999995,0.034482758620689655,
ACTB,ABR,-0.4571067741818037,0.5147380425225058,-12920.679999999991,29962.928,0.4202881623107677,0.5769736374394847,0.2969902807226903,0,3,3,0,0.0221977429576593,1.4880267376193528,0.07409999999999997,1.0,
ACTB,ABRACL,-0.8017370956033388,0.140051077594437,-8325.163444444444,-12348.444,0.4653802748004703,1.4142135623730951,0.3961242667180391,0,1,0,1,-0.0078664969026554,1.370784732946287,0.06719999999999998,1.0,
ACTB,ABRAXAS2,1.7024351210569049,2.232272688978122,50460.0838888889,76092.17,0.4607140356450583,0.1415626684792004,0.3160064786249832,1,3,3,0,0.2065673084603352,1.0396213425439205,0.9215000000000001,0.08254230293025175,likely background
ACTB,ABTB2,0.6166927824981413,0.552230358824777,61784.904111111115,10896.258,2.1023192418124976,1.3710663495238948,0.7571444621701575,1,2,2,0,0.1140333432964159,3.2556321257120295,0.8074999999999997,0.4925085616438356,
ACTB,ACAA1,-5.5365468248122705,0.0,-37.951166666666666,0.0,0.0,0.0,0.0,0,0,0,0,-0.3944356666065811,3.3167288122221574,0.0,1.0,
ACTB,ACAA2,0.52199587302153,0.3644984915497981,10101.704444444444,0.0,2.9159879323983837,1.414213562373095,1.0309574204285188,1,1,1,1,0.10236934418723,3.378184687471843,0.7642,0.7096708655018286,
