Protein	BirA_1	BirA_2	BirA_3	BirA_4	PSMC2_1	PSMC2_2	PSMC2_3	PSMC2_4	PSMA4_1	PSMA4_2	PSMA4_3	PSMA4_4
A0AVF1	43248.18359	61240.25	43381.83984	57191.97656	71427.53125	112240.8984	93119.25	73827.80469	81446.5	92274.26563	56576.95703	68032.45313
A0AVT1	54429.72266	55349.73828	57547.8125	70366.00781	88984.75	123353.4219	154512.9375	129410.4453	110330.2813	129257.6406	126904.1875	175008.75
A0FGR8	226691.2188	297154.5938	223641.2031	204130.9688	184884.8906	202353.9531	184136.9063	186825.8906	123137.9063	154174.4063	171557.375	129205.2109
A0JNW5	50239.25781	38329.85938	50625.85547	20915.89063	131383.75	140555.1875	151294.6719	113193.2656	60387.59375	81967.89844	75319.08594	73301.94531
A0MZ66	174301.2344	136922.2656	151132.5156	172101.9844	358329.875	402026.1875	376774	358796.9688	277694.5625	379089.9375	384793.125	275747.625
A1A4S6	60529.57031	43092.71875	52411.26953	50051.125	96121.24219	88032.76563	80305.29688	69614.875	95502.73438	59332.39063	59934.36719	76388.8125
A1KXE4	759039.4375	1196715.125	1067846.75	991483.0625	206143.0469	350655.9688	231187.75	299238.9063	270361.2188	385782.3125	231257.2344	248835.8438
A1L0T0	158805.9063	195295.9063	198184.6563	148906.9375	130348.25	139972.0781	119400.4531	159569.5	74189.96875	84385.60156	78436.60938	79384.65625
A1L170	285422.25	161457.25	105380.9688	121202.3438	176983.1563	207347.5313	91831.32813	151157.625	135680.2656	210962.125	134489.7969	128779.75
A1L390	97445.35938	24483.88086	34149.13672	22370.89648	54922.58984	75625.80469	63610.42188	92633.36719	118797.1406	59954.76172	37663.85547	117831.25
A1L3X0	21982.68945	61990.53516	16669.36719	11617.2207	21172.69727	37573.41406	26042.47266	25161.07813	175894.2969	11112.08887	120373.7969	47736.36719
A1X283	45661.48438	83026.40625	84849.47656	63089.71094	139537.4531	131248	179615.5781	107606.7031	98540.98438	117727.2422	84249.71875	119427.875
A1XBS5	81063.14063	65175.96094	82735.23438	64270.82031	77183.53125	42349.9375	41943.45703	80630.84375	181414.7031	47303.89844	38765.29688	132419.4375
A2RRP1	32410.74219	33717.28125	29642.69336	22153.11914	70481.00781	52943.48828	73775.05469	66879.77344	29402.10352	50173.55859	41115.63672	36963.26953
A2RTX5	65724.41406	41156.40625	31651.04297	52692.43359	44513.73047	59689.42188	36518.6875	47913.07813	25744.91602	46047.82813	36532.55469	42972.16016
A2RUB6	21054.14453	20716.92578	35849.77344	12551.11621	40951.80859	49502.17969	47397.25781	40164.35156	97009.8125	25348.40234	25740.69141	292717
A2RUS2	14590.80078	20286.57813	16656.67188	17325.30469	45627.9375	46661.47656	42869.01563	45742.36719	20077.77344	33656.52344	30132.9375	25693.93945
A3KMH1	114916.4688	117488.9844	86123.50781	91139.59375	67854.29688	56845.40625	66810.59375	64203.31641	49248.51563	47380.55859	60098.81641	64140.93359
A3KN83	84190.42969	133644.4375	125981.3906	108523.8281	52701.3125	69624.32031	62944.25781	64114.49219	117097.0156	185093.5625	189747.1563	152680.0469
A4D1E9	40718.50391	58204.10938	49376.63281	38942.1875	23099.98633	22259.99609	22617.61914	24962.81055	43018.22266	42394.88281	35888.02734	33881.31641
A5LHX3	29278.01367	11113.92285	21099.96875	27369.7207	11888.7334	24612.62109	8955.380859	15895.40137	579650.3125	67027.125	58796.57031	5875586.5
A5YKK6	61966.28906	92962.10938	68258.13281	60820.125	173192.625	173841.75	190785.375	218355.0938	118516.8438	174935.3125	178244.7813	136087.2188
A6H8Y1	13435.45117	6307.8125	9929.527344	15040.72363	7790.376953	6747.984863	6077.21582	4453.625977	6186.418457	13462.25195	14778.64355	11034.70117
A6NDU8	47853.85938	44646.56641	29235.29102	20568.8125	73080.50781	58552.17969	70225.99219	78854.77344	65516.75	33337.91797	33292.125	57061.34375
A6NEK1	52095636	31512676	63699636	69682392	7828409.5	1982254.125	2397223.75	3538786.75	14630083	13926965	8957204	35536400
A6NFI3	128857.7109	126068.3281	90385.1875	104515.1016	57800.82031	97631.85156	45973.70313	108747.5234	19297.33203	58156.03516	111791.8828	26839.51367
A6NHL2	154602.9219	49884.43359	11606.32715	73147.15625	98734.28125	20493.73242	4649565	2056957.125	238972.3906	1029234.313	1639160.625	309723.5
A6NHR9	247141.125	240885.9375	279851.1875	361281.0625	110591.7266	112798.3594	113180.7031	106418.1641	186396.0156	177013.5469	193559.0781	252890.375
A6NIH7	76617.03906	36087.70313	50885.85156	87403.76563	140864.5469	116977.8828	114366.0391	98114.9375	103844.3828	54072.92969	41835.23047	154043.6406
A6NKD9	69801.07031	55874.07813	41917.6875	74550.5625	244278.5781	171276.0938	253971.0938	138248.9219	58946.40625	106583.5938	72683.74219	121380.9453
A6QL63	6680.325684	4476.243652	3366.050293	5909.460449	15618.20215	16701.00195	10509.00684	24868.27148	9124.149414	11708.06348	8405.759766	8335.083008
A7E2V4	145472.375	84468.84375	109069.6563	128075.3438	47103.92188	40392.80469	34937.96094	57071.28125	323913.4063	42322.74219	43962.65625	243713.1875
A7KAX9	96132.29688	157759.3906	124889.5938	121456.7422	88188.53125	127728.4219	118488.2344	100077.25	79461.53906	101987.4688	114530.4609	70349.14844
A7MCY6	28417.24609	29432.48828	23448.4375	21223.31641	100871.2969	101264.8281	110883.5625	87254.29688	73678.26563	73382.17188	45296.41797	55143.29688
A8CG34	581714.375	495970.9375	722899.3125	765158.8125	272948.3125	314570.5625	240787	402904.625	132362.1875	295581.2813	258830.0313	87609.70313
A8MQ14	12660.63574	10115.34961	14916.06738	13949.64746	16741.10938	9212.529297	11856.49805	7577.21582	4185.938965	7648.62793	9018.427734	13765.1582
A8MTY0	95509.96875	160988.9844	125970.7734	116116.8047	52525.80469	70339.1875	74089.01563	59135.83594	85869.96875	70322.67188	75292.28125	59536.96484
A8MV65	50926	91516.83594	59734.65625	51536.85156	41325.94141	40132.625	87827.63281	72885.70313	16236.62305	35610.05859	42071.35547	19430.9082
A8MVW0	2733.180908	19534.06641	2236.702393	9468.087891	128817.2969	117189.4688	150980.1406	138232.3125	35376.08203	29697.0957	26641.83203	23985.13477
A8MXV4	8078.042969	7374.23291	2873.325928	1228.465332	40492.35547	26000.65039	41950.42969	16644.20703	10063.57715	7420.512207	7297.89209	14544.29688
B1AJZ9	34168.26563	23475.04688	129006.1563	707895.3125	697622.4375	537162.625	885896.5	729006.5	28684.05469	208075.3906	178187.8594	716337.3125
B2RTY4	51187.07813	37259.21875	47174.84375	43249.04688	62226.06641	73618.25781	69999.79688	63857.68359	99428.72656	67299.85938	69569.32031	78214.04688
B7ZAP0	139928.0313	103556.3203	109676.2969	114157.8047	219304.4688	147589.7031	146633.2813	115923.7422	297338.3125	121057.1797	129875.1172	263662.5
C9JLW8	333361.6563	345816.4375	309770.5313	291055.7188	397349.625	356734.25	414864.0625	439174.7188	251250.3438	368198.25	319153.6875	253332.8438
O00116	103084.6484	162859.25	167529.1094	103849.7656	85568.48438	114508.4297	94598.1875	109834.625	42077.13672	78312.72656	71900.61719	81477.48438
O00139	217986.8281	304669.4063	272786.4688	264761.625	329839.2188	348047.5	291428.9688	279575.7188	406916.6563	312092.7188	255929.3438	364996.6875
O00148	584201.875	678992.4375	671791.125	543961.5	575846.625	541542.5625	577321.125	454615.875	261982.9375	378523.5625	342278.0313	363429.2813
O00151	172641.4063	172502.4063	165089.9219	148322.4688	559020.1875	572078	497334.5938	459014.0625	381026.8125	355686.6875	381096.75	522935.8125
O00154	416410.8125	676252.6875	527162.375	409238.9688	123162.5156	303933	156725.4375	299753.5625	104655.8906	221007.5469	163537.2813	84922.73438
O00159	205564.5781	107166.1953	130446.2422	165607.875	94979.25	62227.5625	71586.08594	76684.1875	247560.5	51203.69531	60807.36328	169893.7656
O00161	114378.5469	126169.2031	106014	106888.4453	144283.0781	142308.2969	149690.8594	136268.625	301124.9375	176753.0938	160774.7344	361337.0313
O00165	207481.2031	403111.7188	219977.9219	194242.4844	223652.7031	220306.8281	243908.9375	334613.9375	96071.67969	90361.00781	61560.41797	117359.5938
O00170	41040.75	55208.60938	54558.08984	51553.85156	298936.0938	325244	317122.25	273411.3125	65551.97656	56050.5	100834.8828	79354.07031
O00178	223727.9688	264952.8125	153836.1406	173264.5938	166202.2813	142365.9531	152292.2344	129242.7734	69283.49219	147551.9063	151511.2969	100918.6641
O00186	93199.07031	179850.3594	160558.3281	90683.92188	112531.3828	123891.5234	109386.7813	129668.9375	90701.60156	83309.88281	70448.25	107633.9375
O00193	124339.2188	133751.875	161770.2188	121793.7188	66345.3125	74685.80469	70884.14844	52140.78125	175369.7969	260791.625	323594.7813	152086.9063
O00203	154111.1719	217846.5469	175329.7344	121855.9375	253841.4063	249606.8125	302695.0313	304731.5313	178596.0781	208131.4063	268688.9375	170809.1875
O00213	125481.3984	112687.9297	85140.25	101577.6484	193643.5781	214642.8281	204815.3438	236696.2969	162851.5625	111836.6484	143844.3438	112982.0391
O00217	93098.75781	113336.4141	108213.2578	95490.88281	113284.1719	88257.10156	118499.25	110615.3516	49908.04688	125347.1328	113641.375	72304.24219
O00221	40408.77344	20907.51172	30830.77344	12983.23242	104907.9063	148131.9844	127498.3516	95758.4375	96728.875	135681.8281	141313.875	55751.96875
O00231	39945.57813	74508.42188	51414.04688	46807.82813	341988.5	264242.875	397945.3125	259415.0938	66059.82813	153963.2188	152282.5625	105750.8594
O00232	56019.125	69364.4375	51546.3125	54521.03906	257527.25	282786.0938	331979.5313	222980.1406	84273.82031	151956.2188	142218.7344	61639.31641
O00233	72678.54688	42256.02344	86292.40625	54908.50391	1835760.875	1984779.75	2094216.625	1268222	82333.60156	75063.4375	81134.57813	84569.15625
O00255	126305.7969	261128.0781	170894.2188	112129.0781	277584.4063	265534.1875	248641.625	250502.2969	78737.03906	67793.03906	95915.32031	128878.0703
O00257	272053	353826.3125	263777.875	236900.3125	98120.53906	139815.5313	96143.01563	121901.4375	91745.27344	142181.625	103018.4063	106961.625
O00264	106886.6719	202962.9688	118063.0547	105122.5703	158812.1406	147976.0313	145379.7656	176079.4063	195531.8125	112575.375	105460.2813	167252.6719
O00267	102756.2578	84012.9375	104127.6719	119515.4844	69602.8125	115221.2109	63958.10547	59732.50781	84292.64844	139144.8125	130750.2813	97826.58594
O00268	151745.7656	262686.625	161777.2813	133017.4688	78882.3125	78606.10938	87148.51563	101069.2969	79905.89063	206380.9063	173442.625	74788.46875
O00273	21605.33789	19704.32031	31762.0293	3397.668457	34169.38672	32409.52539	37531.62891	28711.55859	64593.1875	78177.23438	109774.5859	69156.89844
O00287	7027.469238	42354.88281	25907.98047	21719.24805	7356.480469	19839.21484	15013.72559	7461.447266	35786.57422	72554.49219	71944.71875	54880.67578
O00291	16372.17773	37852.58594	19793.7832	36183.92578	69964.3125	51655.91016	74307.21875	80204.49219	46200.38281	45365.62891	49776.17578	25064.87695
O00299	42439.84375	58642.16797	133709.4219	58494.64453	65642.15625	56617.01563	76968.48438	58788.78906	98227.99219	103306.2813	77991.22656	82873.28125
O00303	198528.1875	246493.375	185430.0938	187563.9531	163790.4063	198885.4688	206045.3438	375454.375	143758.8438	127802.2656	206585.3438	161967.4375
O00311	156839.9531	221788.1406	197494.6563	183167.6875	90900.29688	122543	123678.9688	130836.8438	68023.05469	100585.6641	112764.9922	74665.8125
O00330	231259.1875	338466.75	289721.0625	243436.0938	138170.0313	126607.9844	118289.8359	105241.0156	150337.8594	169112.2031	115338.1094	106443.9688
O00370	4585.325684	1942.43457	7026.57959	16495.19727	11625.59863	18175.69531	26222.65625	18881.87695	162443.0781	358859.4688	410450.875	220311.4219
O00400	62060.42578	108510.8281	78919.34375	65649.46875	72762.96875	78326.57813	71790.16406	75811.39844	37097.85547	65268.38672	43151.625	45160.49219
O00401	74955.07031	98315.07031	179795.2656	334125.3438	65793	147514.0625	96319.84375	135529.3125	57566.89063	96294.67969	143081.7813	64734.44141
O00410	199198.7188	163459.2969	134402.8438	142873.6406	264866.6875	219397.6875	215117.1875	180266.4219	179184	137048.0156	186721.5	209595.9219
O00411	128511.8203	146205.1875	123928.1094	88368.02344	71698.59375	76716.29688	66676.28906	67037.58594	47503.69531	51413.48438	88781.60156	36885.00391
O00418	34199.43359	24663.65625	50930.24219	75263.92969	69122.84375	55777.70313	72040.09375	62892.66016	44252.01172	62138.74609	57713.80469	58269.50781
O00422	288510.375	127177.4375	245866.2969	349546.5313	67198.23438	48698.92578	47716.46875	52559.27344	63961.66406	101279.9766	153702.6563	59588.22266
O00423	82737.78125	78341.125	74790.61719	51323.90234	154748	160737.0625	148261.5469	98473.98438	138285.3906	90757.78125	85895.25781	153422.4844
O00425	717204.5	923673.125	871925.375	872275.375	386289	381822.3125	349004.875	433073.4375	719865	416003.25	600053	1265557.25
O00429	122131.3594	129003.7969	99938.19531	93727.03125	164307.625	135638.9531	160051.75	130233.3438	155509.875	181827.3125	175388	148083.125
O00442	290918.5	310897.1875	311751.3438	304970.6875	153464.7344	191015.2031	152486.8906	244889.9375	135959.1875	148212.2813	133406.5938	97370.32813
O00443	252284.1563	345311.0625	312902.4688	308733.6875	201411.4844	224644.3125	210699.1875	233996.125	125435.8125	172615.1875	166414.1406	143243.5313
O00458	31565.11133	38473.26953	49125.41016	37902.89453	30981	17177.00781	15190.35156	23935.75781	38612.72656	17445.43555	10059.00098	42608.76172
O00459	121887.1719	78577.99219	83679.85938	124976.625	196165.3594	165762.8594	180712.2813	199684.3594	87446.09375	116957.7969	100960.0234	89068.57813
O00463	21738.67969	22606.08594	17271.6875	55910.35156	94318.39844	93630.32031	97096.03125	83131.59375	54879.84375	51469.65625	45411.48438	40598.42188
O00468	65524.30469	10993.38086	28210.20703	77250.40625	14564.73047	10742.48438	13389.10352	9322.439453	104754	4929.148926	13088.14063	133806.1563
O00469	15927.02051	15082.49512	11305.78125	8074.259277	25136.03711	20684.23047	25021.02734	12109.33496	1034.813965	7622.853027	11047.63574	1386.161499
O00471	28126.08008	16233.16797	35927.01953	21718.47656	152310.6875	113629.0469	113976.1328	97026.07031	45595.42188	44456.65234	45049.25	33727.95313
O00483	393593.5938	513878.5938	537849.625	323541.4063	400564.5938	425670.875	392611.3125	289809.625	522654.1563	145275.3438	222238.3438	371570.2188
O00487	139238.375	264669.25	209214.875	164381	246815.5625	293155.4375	289869.9375	273825.5	62224.13281	213336.2969	162748.2813	87606.17188
O00505	73294.13281	61153.19531	69238.0625	75211.91406	56723.55859	101229.0313	58911.92188	87202.5625	106986.5234	80630.65625	86345.13281	78045.00781
O00512	80768.42188	100064.9609	76372.21875	100711.9844	67638.29688	58281.79297	73459.1875	79979.71094	122315.1094	230982.4375	177962.3438	171351.625
O00541	160396.8594	190706.2813	121112.3906	289697.8125	65508.99609	29657.94336	35854.42969	72067.58594	287962.375	121284.3438	114205.4297	212633.3906
O00560	36739.01172	25343.37695	35087.4375	10709.50879	76170.79688	95586.375	78361.03906	80315.36719	34191.36719	67321.83594	62661.58594	24934.67578
O00566	184184.0938	152189.125	243255.5938	417790.25	69328.14063	32022.54492	50167.74219	60587	222292.1406	104456.1719	83380.57813	214563.2813
O00567	415830.8438	264607.75	288876.7188	614734.75	92455.4375	91591.5625	79269.42188	119379.6094	407388.5	234000.5625	137226.5	326418.2813
O00571	618660.375	859128.6875	559372.3125	693960.5	330405	557151.9375	420570.375	424379.75	259592.0938	353906.25	226495.7188	224860.4063
O00629	42198.86719	48158.21484	37358.07813	37055.55078	36889.45313	31295.00586	33130.92969	29884.80078	37961.57813	58937.14844	40233.86328	77913.11719
O00712	258547.9375	329128.5625	346618.625	290347.1875	75703.44531	111549.2891	94946.66406	119868.8203	126186.1797	210651.1563	202240.5938	212588.9531
O00716	29363.67188	17531.41602	128969.7109	115479.4141	66267.57031	35753.51172	42495.42188	38597.27734	89414.21094	60934.1875	59885	72293.80469
O00743	109914.2188	143171.625	123034.8438	137787.3125	416817.25	423020.0938	494714.25	420346.75	162684.3281	409174.0625	411255.6875	295014.0625
O00750	34908.34375	34605.51563	34924.03125	24907.65625	111980.4531	106463.2813	105358.8906	94425.11719	36727.47656	88203.61719	83491.39063	62517.38672
O00763	339409.0625	381570.3125	309783.1875	263239.4375	175273.5	187435.375	205839.5625	175106.7813	102283.1406	209421.6563	203327.1875	105269.4531
O00764	55951.42969	43632.91016	38630.44922	50143.82813	36271.57422	37491.16406	35609.97656	34533.35938	55068.24609	35678.48047	25736.72656	50853.80469
O00767	235915.5	636477.25	499789.5313	371774.9688	86880.5	118223.3594	98751.79688	99446.625	80601.24219	109578.6328	99584.5	52153.27734
O14492	25946.47461	42161.83984	34345.30078	23243.68945	63287.64844	110290.0781	83795.03906	113343.3594	126223.4297	89517.57031	114156.5	132526.2656
O14497	106829.5	133474.0469	125666.2734	135568.2813	75632.92969	89510.85156	77788.84375	82761.98438	105847.8281	330432.1875	277221.375	111710.5234
O14519	26311.07031	39552.58594	34875.19922	31033.31641	23494.28906	25535.56055	28211.21094	16512.82422	18144.67188	66373.54688	64548.00781	23764.71484
O14524	372172.75	600163.0625	564113.75	542126.25	1065593.75	1008673.688	1107291.375	1141522.875	569593.5	1074605.75	1043819.625	837892.3125
O14530	56530.34766	75069.60156	90550.38281	62759.85156	72993.94531	68163.26563	73487.64063	76619.99219	63536.56641	94925	90702.39063	86970.74219
O14531	98322.84375	116427.4297	103038.1406	82978.69531	244990.7031	270898.875	266506.75	314128.1875	92691.41406	296679.5	172632.4688	134937.1563
O14559	301818.9063	421195	293872.125	271678.75	89836.17969	153756.7344	137993.3438	165634.5938	143774.875	207788.9375	153214.4531	112937.6094
O14562	699165.3125	151862.7188	200583.9375	177446.1094	599351.5625	741195.1875	688508.25	610329.5	208001.4063	563256.125	647325.625	209208.9688
O14578	122179.2734	82485.60938	71262.125	106993.2969	68191.90625	62427.60938	71576.35938	75608.01563	216156.5313	66657.92188	77124.3125	165454.4219
O14579	72434.29688	84125.29688	84139.75	82029.1875	126610.5781	140769.2813	142406.5938	85023.45313	55501.46094	56105.25781	47558.47656	68408.78125
O14617	121996.9063	130394.0469	132797.5625	120094.2188	237622.5	222672.2656	247550.4688	180680.7188	125007.8594	241444.9688	250122.1875	145533.4844
O14628	79692.5	110544.0469	88553.1875	72181.25781	62189.60156	39508.57031	60191.85156	63390.28125	30304.55859	71534.10156	86341.27344	31167.98828
O14639	294516.7188	160166.1875	197975.0313	208403.0625	165575.0469	144120.3438	167295.9531	130291.5859	373093.4375	97215.1875	117048.8906	280024.375
O14640	33999.59375	37962.98047	45802.11719	40013.12891	58929.59375	92548.33594	75203.42188	51896.53906	54394.97656	34734.45313	44242.67969	44933.86719
O14641	220481.1719	202264.375	149888.1094	181640.8906	345068.25	382255.5	382415.6563	363613.2813	433257.9375	181065.5	196621.3594	317853.2188
O14646	267389	162381.3594	309676.5938	377907.5	66335.09375	42731.875	34553.16016	45379.89453	161159.9688	81280.95313	79347.85156	221556.5469
O14647	81059.19531	75595.19531	84340.89063	118698.5	29387.22656	23805.70898	37845.58594	27948.10156	71052.45313	59840.64844	28776.57813	51829.46484
O14654	445980.625	213108.2656	295158.4688	401875.2188	871678.8125	899322.625	781221.8125	610068.6875	585934.9375	530831.1875	414675.8125	519133.3438
O14657	524449.3125	55600.05859	483137.7813	221620.4688	680541.0625	376877.5625	660611.4375	944553.125	668450.5	3423484.75	4667139	803284.5
O14681	1813746.875	2916232.5	2851174.5	1897948.125	1139230.75	1132308.875	1272381.25	1189338.625	487758	1059133.5	999246.5	605084.125
O14683	46231.80469	40975.22656	57677.26563	28755.27344	44077.5625	29959.23633	44320.12891	26667.5293	9773.595703	26065.53711	17327.48242	2415.836914
O14686	164629.9688	244010.4063	199282.375	164837.8125	127959.1016	150107.75	126095.8359	126798.9844	74537.47656	153106.7188	198584.0469	87189.53906
O14727	13943.98926	24327.08398	9577.296875	9449.023438	61746.39844	62355.5625	62502.97266	57797.62109	11427.65723	31395.94336	18328.71875	20735.7793
O14732	79383.10938	165232.5469	97608.42969	77956.54688	125792.6719	164790.625	174387.4844	152906.2031	68122.9375	63107.70313	131611.8281	149803.4688
O14733	168143.7969	224687.7344	191562.1563	179664.3125	98574.71875	147243.7344	146189.6719	143092.2969	174081.875	130140.0938	196029.6563	113510.6641
O14734	322250.5938	873027.625	429421.125	337390.0938	346362.9375	440827.1563	378066.9375	448744.4688	41064.23047	138229.4063	183969.3125	60778.01172
O14735	137053.3125	72372.57031	127716.7188	113941.0234	278376.8438	265160.0938	270167.1563	104732.875	107109.7266	106810.2656	110293.7266	77855.75781
O14737	101323.75	132586.4688	141314.0625	126424.9219	362137.625	419805.4375	497231.4375	454772.0313	144608.4375	405919.125	333334.875	203405.7813
O14744	443120.625	394702.0313	400231.0938	438563.9375	507314.1875	503140.4375	494296.4688	557151.625	355756.625	487877.7813	452325.375	451538
O14745	25098.39844	38053.73438	44212.33594	51901.49219	48587.65625	91441.3125	56162.30469	44054.4375	20442.61523	61890.60156	68027.96875	32574.29883
O14757	86017.30469	106609.3984	102561.7578	88475.48438	48424.19141	88858.01563	69243.22656	49848.12891	88936.65625	60612.29688	82992.35938	87805.95313
O14772	27237.24219	31981.93945	36964.89063	25673.63867	40775.49609	33339.97656	19547.25	19762.08984	183381.8125	13911	14035.05859	98522.07031
O14776	189213.625	262306.6563	212760.1875	204060.75	106650.5781	115985.4063	131526.2813	142474.9688	125181.0703	242033.4844	216151.3125	122394.0625
O14777	56379.14063	55530.81641	56631.35938	49848.08594	113202.2344	94601.625	120565.7188	79728.4375	50213.61719	37541.28906	46085.16797	90363.57813
O14787	18604.72461	15614.16992	12898.86816	11881.37305	40457.46875	40568.53906	35120.73438	26719.14453	51586.07031	38278.91406	27378.11328	37615.65625
O14795	20552.25977	21261.26563	16885.64453	18534.96289	62487.5	58932.57422	69700.32031	57391.42969	59563.82813	31301.70508	36721.55859	22141.51367
O14802	55434.83984	86359.70313	81299.75781	60852.00781	128819.8281	188870.0781	170202.7813	184196.1719	59552.64844	72164.33594	81714.07813	61938.82813
O14818	54398.84375	129165.9766	207037.5	80646.77344	111162.7109	147602.2188	133578.25	86151.78125	613441.4375	2937766	2926865.75	2138361.75
O14828	312190.375	142081.7656	341389.25	183421.4531	242857.0156	260612.9688	230957.0938	279749.4063	82426.79688	135524.9531	58635.375	187912.0625
O14867	36828.69531	45104.84375	47768.49219	55195.04688	45192.92969	81269.67188	38079.77344	36825.27344	54205.89844	87381.34375	94166.59375	56684.26563
O14874	300394	340362.6875	300925	214124.0625	195027.7656	158096.8438	172245.3125	138569.7031	65472.51563	126223.9688	164373.1719	80031.26563
O14893	88503.78125	59774.10938	58210.88281	58268.05078	95057.36719	119222.5234	121109.9688	168668.9688	150132.75	212863.4844	265589.75	252825.75
O14920	46411.46094	58281.45313	35210.44141	39559.25781	62399.14063	60525.60156	68519.41406	55668.85547	30207.03906	25605.64453	25118.13477	31563.27344
O14929	72900.54688	89646.03125	67829.85938	68516.86719	39435	55972.05469	17528.00781	38854.72656	63194.10547	131761.5313	105127.3203	112643.6953
O14936	85260.76563	50426.92969	54584.84375	60484.30859	75531.78125	70455.55469	74793.61719	81555.95313	93185.10938	81416.13281	69223.01563	85485.73438
O14964	39593.77344	61769.57031	60610.875	40741.14844	232046.5313	157603	226421.5625	195307.6875	86693.10156	137706.125	136080.5781	107539.5
O14965	49231.02344	33102.44531	35497.46094	39936.39063	43109.125	22508.11914	31894.46289	35942.96875	57437.65234	36048.53125	29669.0625	27195.69141
O14966	222038.8281	267353.5938	297947.3438	245569.1875	156819.0469	205056.1563	193511.1406	182027.5938	85777.54688	141256.3438	110514	107962.9844
O14967	31777	62479.48438	35427.24609	29341.88477	70884.875	73429.34375	96627.90625	24901.14258	17145.83984	41311.73438	17454.19336	19683.7168
O14972	104586.1719	144444.6719	124273.125	85823.625	102503.5391	104411.0469	111144.3594	87907.79688	26825.57422	44054.30859	58742.75781	51607.48438
O14974	288758.75	134917.4531	142644.9219	200553.6406	192459.4063	183320.9375	185487.9063	157894.7656	409566.6875	176037.7344	151095.5781	334702.2188
O14976	50657.47266	36480.77344	55657.90234	62942.73438	113463.6094	108117.3359	112246.6406	128235.9219	94850.39063	84954.28125	75855.97656	81208.90625
O14978	44813.80078	101113.9688	80882.27344	68033.33594	39009.51172	57222.78516	50291.00391	63092.76563	102484.6953	35033.46094	40236.86328	52775.63281
O14979	1828343.375	1115138.375	2459716.5	3095961	307100.1875	111079.5234	124515.1016	179515	1041604.063	406344.375	374833	952016.0625
O14980	110550.4688	131852.9375	112916.8047	131175.5313	118613.9844	118566.9375	107554.2969	114443.9531	94160.78125	111633.8906	139349.9375	105139.6953
O14981	67253.05469	64392.73438	74254.69531	54603.12891	87221.35156	45999.15625	63731.05469	65181.26172	69509.21094	86179.6875	87382.38281	38843.03516
O15013	29753.78516	26541.16016	29375.49609	21107.57422	101109.8125	115979.5469	121675.4375	116764.6641	48040.55078	75304.07813	78278.23438	57045.19531
O15014	280264.9063	380857.75	263528.7188	323009.1563	100635.7344	99243.90625	65098.28125	112590.9219	126853.9453	157469	106299.8281	152252.125
O15020	248797.0469	87366.83594	101642.25	141343.3438	81017.95313	50458.10156	54646.94531	58131.97656	390201.5	53083.8125	56580.59766	245545.3594
O15021	15365.82617	20844.5	45646.96875	17819.19336	151467.5	123149.5781	148251.1406	109812.6563	47739.12109	199672.0625	178322.7813	120280.5625
O15027	423388	407508.75	397341.1563	448850.0625	317021.5625	408437.3438	336828.7188	370637.0625	492412.5938	291408.3438	286975.6875	348958.75
O15042	131751.1563	143463.0469	179393.0938	163736.1563	77446.46875	100731.7109	87985.71875	110900.9766	248673.1875	262577.625	265680.4063	231994.4688
O15047	63605.0625	72417.6875	79190.96094	60973.45703	47288.30859	56793.35938	57562.99219	48651.71875	66178.40625	118796.8281	131959.375	91324.13281
O15056	43993.60156	54733.03125	42422.63672	42416.89844	111178.7656	138900.3906	141345.6719	104973.0781	82496.39063	95833.17969	80280.91406	76989.0625
O15063	48978.30078	45086.72656	60695.64844	58799.75	104899.0938	114079.6563	116788.4688	116303.8203	57264.69922	79819.6875	104673.0313	58996.90625
O15066	42611.98438	36181.65625	46081.35938	47588.96875	55677.22656	66089.64844	72190.00781	56746.58594	70469.60938	41580.57422	40946.87109	68145.84375
O15067	123685.5781	150764.1563	148940.9219	108848.1172	116705.6484	153797.4375	122495.9141	197804.4531	76425.35156	113435.0703	82184.77344	74787.07031
O15068	5331.415527	3505.849365	3363.908447	3046.60376	17182.12305	16373.27637	19954.70117	13215.4248	16010.6084	6606.42334	7855.368164	3585.354492
O15075	130472.4609	93940.53906	131770.5938	131689.4844	105409.8281	94550	138091.2188	101846.1406	71721.41406	69582.3125	114930.1484	49438.47656
O15078	89761.15625	41371.35156	49708.19922	121006.4063	141723.5625	207455.3438	166851.0781	156446.7188	189126.3906	69751.39063	93025.625	282733.1875
O15084	23216.41602	24916.71289	16102.24023	28364.1543	119159.2891	113169.8906	166672.7656	159819.25	60563.95313	87793.99219	110491.0938	66276.36719
O15085	35811.5625	44386.84766	29750.33984	30142.34375	57701.92969	56237.42188	50365.73438	42892.09375	60772.57031	46529.78125	47677.625	39217.86719
O15090	100871.8047	113336.9063	93792.92188	78138.49219	83474.85938	72456.94531	69195.32031	69432.53906	96990.28125	160582.5	162514.2031	128046.4609
O15091	120726.4766	109499.9688	155009.0469	118354.8203	95534.29688	130107.5391	61988.61328	107060.2734	53177.9375	84601.125	84160.17188	30739.91602
O15111	110810.2109	116834.8125	147454.6563	118145.375	123155.6406	161203.8125	170762.3438	130291.6563	113800.0391	69028.27344	67234.26563	104289.25
O15126	87109.5625	107061.2813	110044.9219	82738.96875	76207.26563	64081.45313	78153.09375	59992.98047	57825.67578	74069.36719	61272.90234	41761.50781
