Protein	BirA_1	BirA_2	BirA_3	BirA_4	PSMC2_1	PSMC2_2	PSMC2_3	PSMC2_4	PSMA4_1	PSMA4_2	PSMA4_3	PSMA4_4
Q96QR8	56793.625	37575.35938	47517.625	57650.35547	29086.12891	27141.85547	33779.16406	25112.22656	24763.05078	46218.21875	41571.36328	34545.03125
Q96QT4	13421.44434	17653.92578	13781.38867	11701.89551	23576.14453	25288.26563	23258.45313	31752.48438	40617.70703	38007.82813	33460.50391	51920.10156
Q96QT6	35723.42969	85042.61719	51783.16016	52731.05859	29881.25	40723.94531	34171.8125	50544.73047	99163.65625	78303.24219	90982.50781	50904.875
Q96QZ7	110310.4922	59776.75	62498.82813	116512.8906	80689.42188	58395.58594	76794.04688	52494.24609	264876.625	76714.54688	63949.33203	205924.8281
Q96R06	46999.20313	46916.58984	51205.58203	37692.53125	200908.75	200399.25	212233.0938	256730	109513.7734	93792.17969	90949.42188	99024.34375
Q96RE7	62652.23828	60060.54688	50776.04297	44818.05859	81657.71094	44868.07813	74771.14844	59497.67188	226996.3281	137731.9063	89629.57813	55064.18359
Q96RF0	21244.40625	53618.17188	53808.80469	40979.0625	156473.2188	135768.5	155998.5469	171948	120898.8516	105342.2891	89635.11719	91066.67188
Q96RG2	35599.94922	51492.08203	44337.63281	26132.70898	123293.25	141293.5625	152652.4375	128488.3438	119406.5625	142479.0938	143082.4063	106168.4219
Q96RK0	73227.50781	93830.76563	102285.5625	78325.20313	49211.07031	60257.28516	84317.35938	62836.88281	102474.6719	193061.7813	256370.8906	139788.9063
Q96RK4	78926.71094	83484.53906	99403.57031	86588.91406	151370.8438	161494.5625	163138.6875	211481.7656	84018.76563	78242.11719	75947.69531	96804.39844
Q96RL1	68308.23438	52298.91797	61617.01563	57458.1875	29400.91992	38836.21094	28163.21289	30502.53125	23204.74609	109138.8125	91231.98438	86371.69531
Q96RL7	47006.32031	52712.65234	47791.59375	35060.97656	68960.10938	106650.9297	85293.17969	71976.65625	39569.08984	61046.02734	67318.47656	32631.62695
Q96RN5	77189.6875	132810.9063	82037.89063	72303.35156	44360.75391	157063.3438	119527.3594	105718.1328	84013.32031	81061.70313	159631.0313	97784.375
Q96RP9	88067.54688	98259.26563	79602.96094	95253.6875	61232.08594	61209.47266	51579.89453	78437.96094	52443.45313	31810.95703	44802.74219	57401.32031
Q96RQ1	79451.04688	109451.1641	71941.35938	65747.82031	18453.69727	87588.34375	19574.03516	80659.64063	28462.05078	58231.63281	73891.71094	29255.6875
Q96RQ3	2170140.5	2432918	1725180.75	1731756.5	787485.875	1162695.125	885087.3125	840602.375	249904.8906	670543.625	670243.625	264816.2813
Q96RR4	30868.83594	71029.10938	86636.89063	66320.02344	63667.25781	76362.5625	71734	53372.80078	69148.17969	109606.1484	72533.25781	91176.6875
Q96RS0	62425.86328	86310.95313	88129.3125	78009.64844	90360.05469	93256.39063	83779.84375	86511.01563	72579.99219	74799.32813	62331.69531	77272.55469
Q96RS6	52545.80469	69189.00781	56511.58594	62179.625	130501.1563	132163.0313	141451.3125	116277.1719	67689.32031	120009.7031	174882.7813	113808.9063
Q96RT1	145784.2656	149257.6563	146302.7969	140982.1094	239315.2188	283326.9063	266845.2188	243834.2813	107785.8438	197288.0313	211190.375	139795.7656
Q96RT7	33338.41406	13886.30762	7555.907227	10163.73047	51201.35547	51646.87109	51639.97656	69121.78906	61075.84766	31906.41016	16102.18652	83712.38281
Q96RT8	30292.79492	29618.64258	55061.83984	68364.85938	44873.36328	41426.86328	42327.71094	47374.19141	33845.12109	12730.7168	67346.69531	27468.44531
Q96RU2	64702.71484	66911.71875	45051.94141	50870.38281	59018.79297	54293.34766	45636.18359	54721.64453	56536.59375	121712.5078	118880.5625	80909.375
Q96RU3	102611.6719	94641.89063	108413.5313	87089.875	243045.3438	222308.0938	232605.3438	218715.125	154989.4375	133486.8281	134638.8906	168469.0625
Q96RY7	21417.98438	21601.8418	26665.79102	63219.13672	68387.99219	47667.07813	52487.61719	61759.85938	22423.86914	39389.10156	29458.10938	184442.2813
Q96S38	13178.5957	19378.44141	10306.70605	8661.730469	63445.875	62519.58594	70597.58594	55046.43359	33408.8125	26625.37891	37862.58594	25897.82422
Q96S53	8502.182617	16947.65039	12416.94824	9128.493164	34994.60938	32674.78125	31401.6875	42329.875	17718.44336	35472.91406	36877.46484	23021.27344
Q96S55	279589.3438	371532.625	358891	283915.6875	224433.0313	199716.9219	249689.875	217155.9688	211974.7031	765191.3125	750530.0625	348439.4063
Q96S59	39849.79297	47291.73438	28427.05078	30974.28516	59024.98047	63617.36328	81861.10156	92575.26563	10302.22266	115293.8984	95450.35938	46030.29688
Q96S66	33895.38281	10388.94922	23201.91797	27507.0918	28226.36523	23344.11914	30499.37891	27642.5	17543.05078	33981.67578	17845.32617	65609.3125
Q96S94	43295.42188	53539.94531	29250.04297	20657.67969	42196.69141	25543.9082	38554.8125	46437.71484	98179.04688	76666.24219	82045.61719	100093.0391
Q96SB3	134063.3125	66552.64063	78982.5625	109109.3281	94476.35156	118361.7578	110950.4688	74729.42188	224607.9688	91052.57813	111748	222690.6406
Q96SB4	110173.2031	86559.63281	103279.4609	152253.4375	77830.71875	65105.48047	62984.1875	55966.57031	77369.94531	114460.9063	118728.0313	102207.9609
Q96SB8	84524.60938	77903.70313	94313.03125	129930.3438	49495.36719	58831.34375	41619.625	37026.19141	77308.3125	55455.60938	53017.22656	65686.53906
Q96SI1	26471.19531	87614.63281	72972.24219	72989.61719	3262868	3169527.75	3621794.25	2815958.25	757359.9375	735156.875	1035406.813	1144500.875
Q96SI9	83250.6875	87353.61719	115800.9375	171868.9688	44402.85156	39659.13281	44191.37109	36529.35938	113517.7578	79264.60156	65526.26172	79692.70313
Q96SK2	90011.15625	127222.1484	94061.14844	114429.2578	84351.05469	62220.12891	79966.17188	65946.29688	35973.69531	52390.85938	44542.73438	39326.54297
Q96SK3	59487.39063	173798.8438	141461.6719	125563.5469	63591.73047	49986.17969	81384.47656	70518.375	200918.2813	70664.60938	58573.10938	90229.48438
Q96SN8	100516.8047	55350.55469	64014.65234	96486.92188	82046.67188	111931.0156	85141.89063	80183.96875	262931.1875	51829.25781	41597.60938	220923.5938
Q96ST2	11483.10254	16782.27148	11012.81055	11655.10156	9624.128906	6405.004883	9992.876953	8392.436523	13092.5	25110.01758	30538.58984	12233.26563
Q96ST3	108670.1406	131870.1563	144080.3594	121304.2734	96167.85938	87089.875	114153.7734	92761.5	135284.4063	302307.6875	261070.9844	147964.2188
Q96ST8	33420.5625	18809.375	17494.11328	18921.35156	33982.54688	50394.71094	39374.65234	35069.60547	90263.60938	24869.65039	39304.11719	75901.01563
Q96SU4	42577.63672	73253.84375	60181.95313	43927.92969	120499.6719	122414.3594	129807.0313	121728.5781	112634.9688	99249.89063	98177.98438	98841.78906
Q96SY0	11462.05566	25038.25	13158.66992	9897.394531	38189.55469	28712.62305	43068.6875	64581	11348.12891	26340.5625	23963.625	17152.23047
Q96SZ6	79773.85156	173057.3438	87817.29688	93620.35938	74863.47656	70292.72656	77304.5625	71115.71094	88911.40625	47547.5	59722.46484	40739.41406
Q96T17	492526.0313	511260.1875	491171.5313	527076.6875	325364.4375	384182.125	348435.9375	364096.75	225051.6719	268750.3125	215612.0781	174159.1875
Q96T21	78667.19531	102551.7969	88356.90625	78826.5	105338.5469	101067.2656	95906.60156	81533.99219	56924.5	85610.98438	74268.85938	71914.08594
Q96T23	193691.8594	142101.5625	207414.5	302644.4063	56316.60156	36443.25781	35660.28125	48746.91406	186390.75	78684.125	63722.33594	179473.6875
Q96T37	156053.3594	204083.8125	124171.4219	170062.5469	97504.46875	91595.85156	102078.8125	133270.7188	100120.3203	88381.10938	78225.89063	118818.3281
Q96T51	103934.4219	97855.73438	77660.46094	112917.2109	253946.2969	278819.9375	291679.9375	245479.1563	140657.4375	205252.6875	190523.4844	185459.7656
Q96T58	121359.7266	117606.5391	149446.4844	176502.125	49391.73828	65113.45313	47717.56641	66627.33594	109974.7578	193227.5	186176.7344	202573.0938
Q96T76	51483.42969	51449.17578	52232.14453	41999.07031	62659.75781	97321.80469	70536.14063	75774.46875	13749.05664	29614.68945	39496.79297	33097.59766
Q96T88	98376.70313	100051.2734	139312.7031	124094.5781	42273.57813	33358.83594	40740.75391	41896.92188	113569.0625	47373.16016	56935.22656	96369.80469
Q96TA1	20787.6875	26071.85547	20178.93164	18228.98047	33079.125	37754.8125	35302.75	44406.26563	18411.98242	25138.10742	30678.81055	26415.21875
Q96TA2	109303.9609	119668.8047	124679.4063	85539.23438	63249.1875	63166.04688	80756.33594	76209.5625	76096.34375	43357.47266	41313.04688	82381.24219
Q99081	115914.2344	182349.2031	141127.7344	127619.3438	52634.67969	78711.11719	66022.76563	79552.03125	51813.30469	48064.47266	44781.17188	26362.31445
Q99426	114858.6641	118515.7734	112314.2734	115088.9297	204634.8594	220656.5469	200596.0156	191712.4531	132466.3594	141444.9063	168611	168793.25
Q99436	19825.16211	52677.54688	51822.99609	33864.07422	60025.01172	185150.4375	69786.72656	39811.04688	338304.9063	1809306	1933183.875	1167784.875
Q99439	204839.4375	162461.2969	171074.6719	191543.8906	361955.7188	320083.1875	439845.8125	353582.2813	74973.40625	350573.6875	414080.0625	307427.1875
Q99459	269102.625	273863.0625	327384.8125	357695.5	130411.125	145949.0156	122676.1797	114905.8672	240627.9531	304301.3125	283978.4375	288023.9688
Q99460	65855.25	66934.64063	60811.30469	55408.64844	1541977.625	2014379.125	2138790.5	1391783.375	164251.3906	271399.5	336553.3125	170155.4063
Q99470	288851.7813	265948.375	283434.25	250302.1563	147708.0156	138194.4844	131259.5	178408.0781	96447.34375	103249.7969	100504.5469	100528.4922
Q99471	70550.00781	78705.05469	82187.99219	93498.72656	483756.2188	394277.9688	530148.25	400173.1875	99915.6875	194878.3125	155942.9531	100163.9688
Q99496	297648	271174.2188	264285.1875	309263.375	124904.8281	151285.3438	116417.7188	138468.0313	82809.82031	241529.25	187828.0625	104027.0391
Q99497	171503.6094	188571.3125	199267.1563	215311.0313	146185.2188	187247.9688	146321.6406	181164.875	122020.6406	211780.8281	215504.5156	231791.0938
Q99504	35255.53906	47114.20313	42462.63672	43295.71484	47967.23828	52764.88672	47323.44141	44453.85938	188081.8125	91068.28906	101643.9375	54878.94922
Q99536	143862.3281	248227.125	171481.6875	152093.1719	174890.0313	209236.2188	212082	72111.0625	127900.8828	73491.46094	83035.07031	87037.33594
Q99543	92394.96875	74096.84375	108700.75	70251.82813	110429.9531	100842.3281	123856.8438	116474.8906	43182.65625	53907	71897.09375	43473.61719
Q99547	59133.83594	74370.58594	70955.17188	88429.98438	62044.22656	43095.12891	52275.71875	50569.57813	59008.02734	126678.3906	125025.2344	83869.57813
Q99549	144591.7188	134564.125	186328.5625	199669.4219	35912.99219	44338.08594	41533.77344	31983.24414	131581.625	65992.58594	62336.1875	147411.5938
Q99550	72159.65625	63245.40625	66847.46875	73623.67188	231814.375	275578.25	242107.2344	217192.9688	167690.3125	137150.125	133299.75	188151.5313
Q99567	699455.0625	703296	704291.5	633605.75	366041	463920.3125	481043.0625	298867.25	219443.6875	493960.9063	323040.2188	186061.4375
Q99569	182394.9063	292299.8125	225096.625	213495.1406	126869.9688	151258.0781	163463.5156	154000.8438	76853.64063	100778.5	82074.1875	90977.61719
Q99570	56771.26563	51106.74609	44107.50391	42785.20313	67846.32813	77354.21094	73506.64063	58527.81641	73870.07031	66733.07813	63447.23047	66859.17969
Q99575	89331.63281	70835.3125	68744.00781	83626.91406	72022.82813	38022.55469	72048.89844	50937.47656	41887.61719	106667.125	86779.4375	69437.54688
Q99590	153541.1875	101865.2344	195171.5625	162797.0781	73748.52344	79812.82031	40687.09375	70867.32031	70839.82031	168866.2188	134390.1563	93024.36719
Q99598	76627.1875	91887.65625	109088.0313	49397.20313	107994.7578	95133.96094	138296.8125	106939.6797	53517.60547	117704.6563	128184.3984	157115.4063
Q99613	133090.6875	143336.5938	168866.5156	138881.5313	197307.6406	283742.7813	259407.1719	215417.3438	97992.20313	179723.5469	181743.1875	117771.1641
Q99614	55376.08594	52880.77734	57333.06641	54440.09766	112345.4375	145471.375	121212.9844	139500.3125	65423.86719	42666.74609	49779.94531	40855.07813
Q99615	56424.03125	41334.85938	21904.17188	57759.35547	149751.5625	154604.7188	168931.5938	170641.4063	81495.17969	59575.08203	58687.07031	73873.95313
Q99618	37073.62109	35935.45313	24299.68359	27447.50586	23981.12109	30176.26563	21182.01758	28865.64453	22043.06445	24699.38867	33062.69531	31238.92578
Q99623	365320.25	373678.5	331427.2188	249541.6719	318343.25	308053.875	357311.4375	325470.7813	283156.4375	210869.8594	360441.6563	315578.6563
Q99627	84552.78125	116711.8906	81222.01563	64912.83984	117161.4375	116760.7422	91231.02344	149935.1406	341605.3125	434442.9063	399346.0625	359920.125
Q99661	162522.1719	248993.6563	200278.8438	179042.8438	149753.6094	165379.6406	133708.7188	172657.2188	235908.5625	128924.8125	146803.6563	171804.2656
Q99666	12205.2832	10797.28809	13746.62207	10377.01465	61765.8125	64533.10547	72629.375	55639.39453	11864.36426	32711.87305	30995.0332	4727.480957
Q99676	176615.3438	290552.0313	289978.4375	230385.9844	78278.69531	95812.375	123900.1563	127492.9766	64282.98047	131360.9375	132350.1406	105852.5547
Q99683	17109.51953	21381.60156	17934.48633	15053.81445	51054.85156	63930.73438	52819.63672	54017.91016	207670.4688	29581.24023	41520.55859	32610.53516
Q99684	33670.53906	50025.71875	45651.17188	46106.84375	33578.16797	46251.89453	30019.62109	36329.85547	83390.22656	33331.77734	22053.60938	23066.93555
Q99698	1	169.7494965	1	1	4894.695801	5707.833008	5174.385742	4050.633789	1	2552.469971	23.19013596	544.7815552
Q99700	253711.75	280532.2813	216198.8438	294009.0938	207002.7344	207539.7656	202746.4375	200213	100044.3594	210666.0313	199202.6094	128102.6719
Q99707	58655.60156	76134.75	60745.46875	64351.13281	223538.375	207769.7969	200112.2813	193310.1094	69455.19531	106848.7969	113149.4766	64453.0625
Q99714	188244.625	366489.9063	207929.1563	233511.3906	190650.3125	197264.7188	184449.3594	197486.8438	59231.05469	102772.8906	144515.4063	133928.0469
Q99729	532628.625	271671.5	544486.875	766280.625	96532.92188	44860.82031	42922.33594	73329.67969	360349.8125	154258.4375	170218.75	144612.0156
Q99733	81096.10938	110344.5	97995.59375	81630.00781	306077.6875	191472.4375	294754.4375	241541.75	168453.3438	121840.8594	133979.0313	218216.0625
Q99747	49076.58984	67379.17188	46357.46875	41773.3125	93004.10156	92618.91406	113963.25	106139.2109	121424.5547	80501.50781	106537.9766	122689.4453
Q99755	27938.50781	68619.42969	25228.93359	24930.18164	38419.33594	30464.16797	31904.76953	63785.53125	53185.45703	30743.85547	24342.66406	29383.56445
Q99797	125623.4063	136607.3438	92956.54688	79064.625	100729	48475.48828	92831.90625	94269.95313	69415.28125	64162.88672	81384.45313	77446.8125
Q99798	126392.3438	230496.4688	149611.9688	171911.75	78580.14063	77053.0625	97414.23438	89175.375	59553.32031	81571.59375	103515.2891	102251.875
Q99808	137207.3594	43292.9375	218909.5	108394.1016	380035.4375	410190.6563	333665.5	294733.5938	10661.80176	125705.5547	131431.1563	41965.40625
Q99816	55907.71094	62469.39844	47021.49609	40020.71875	164270.0313	132784.7188	153484.1094	147462.75	30539.27344	78388.29688	109290.3984	33788.81641
Q99829	213877.0156	351724.5625	320007.75	253878.25	210815.9375	226642	250534.8125	210097.3125	163017.9219	130732.5547	133916.1719	341892.5625
Q99832	159718.6563	156575.1719	104899.7188	124254.2266	725424.0625	730039.3125	736167.25	761689.5625	354200.9688	1068074.625	603417.75	422326.0625
Q99848	452100.6875	267351.4688	344199.3438	796695.8125	90679.24219	70534.78906	72590.67188	80624.32813	547213.375	168294.9688	101800.9531	435026
Q99856	69566.20313	107278.6094	85840.30469	64759.92969	36361.84375	41918.69141	71279.52344	67352.60938	129083.4297	166170.1094	186902.75	117772.8906
Q99871	39853.12109	39182.82813	22222.92188	27917.22461	176817.8438	203480.6406	185859.1094	158543.25	67740.65625	96137.71094	62807.8125	74467.92188
