Bait	PreyGene	#Rep	AvgP	BFDR
EIF4A2	A2M	3	0.0000	0.7045
MEPCE	A2M	3	0.0000	0.7045
EIF4A2	AAAS	3	0.3333	0.1871
MEPCE	AAAS	3	0.0034	0.5657
EIF4A2	AAR2	3	0.0000	0.7045
MEPCE	AAR2	3	0.0001	0.6759
EIF4A2	ABCE1	3	1.0000	0.0000
MEPCE	ABCE1	3	0.2694	0.2554
EIF4A2	ABCF1	3	0.0000	0.7045
MEPCE	ABCF1	3	0.0000	0.7045
EIF4A2	ABCF2	3	0.0000	0.7045
MEPCE	ABCF2	3	0.0000	0.7045
EIF4A2	ABI1	3	0.0000	0.7045
MEPCE	ABI1	3	0.0000	0.7045
EIF4A2	ABRAXAS2	3	0.0020	0.5922
MEPCE	ABRAXAS2	3	0.0081	0.5197
EIF4A2	ACACA	3	0.0000	0.7045
MEPCE	ACACA	3	0.0000	0.7045
EIF4A2	ACAP2	3	0.0000	0.7045
MEPCE	ACAP2	3	0.0000	0.7045
EIF4A2	ACLY	3	0.0000	0.7045
MEPCE	ACLY	3	0.0000	0.7045
EIF4A2	ACSL3	3	0.6396	0.0617
MEPCE	ACSL3	3	0.0001	0.6759
EIF4A2	ACTA1	3	0.0035	0.5647
MEPCE	ACTA1	3	0.2819	0.2473
EIF4A2	ACTA2	3	0.0037	0.5612
MEPCE	ACTA2	3	1.0000	0.0000
EIF4A2	ACTBL2	3	0.0120	0.4994
MEPCE	ACTBL2	3	0.1023	0.3319
EIF4A2	ACTG1	3	0.0044	0.5539
MEPCE	ACTG1	3	1.0000	0.0000
EIF4A2	ACTN4	3	0.0000	0.7045
MEPCE	ACTN4	3	0.0000	0.7045
EIF4A2	ACTR10	3	0.0000	0.7045
MEPCE	ACTR10	3	0.0000	0.7045
EIF4A2	ACTR1A	3	0.0000	0.7045
MEPCE	ACTR1A	3	0.0000	0.7045
EIF4A2	ACTR2	3	0.0000	0.7045
MEPCE	ACTR2	3	0.0000	0.7045
EIF4A2	ACTR3	3	0.0000	0.7045
MEPCE	ACTR3	3	0.0000	0.7045
EIF4A2	ADD1	3	0.0001	0.6759
MEPCE	ADD1	3	0.6714	0.0357
EIF4A2	ADD3	3	0.0008	0.6216
MEPCE	ADD3	3	0.0027	0.5803
EIF4A2	ADRM1	3	0.0000	0.7045
MEPCE	ADRM1	3	0.0000	0.7045
EIF4A2	AGPAT1	3	0.0001	0.6759
MEPCE	AGPAT1	3	0.0008	0.6216
EIF4A2	AHCY	3	0.0000	0.7045
MEPCE	AHCY	3	0.0004	0.6406
EIF4A2	AIMP1	3	0.0000	0.7045
MEPCE	AIMP1	3	0.3002	0.2371
EIF4A2	AIMP2	3	0.0000	0.7045
MEPCE	AIMP2	3	0.0000	0.7045
EIF4A2	AKAP12	3	0.0001	0.6759
MEPCE	AKAP12	3	0.0979	0.3360
EIF4A2	AKAP5	3	1.0000	0.0000
EIF4A2	ALB	3	1.0000	0.0000
MEPCE	ALB	3	0.0000	0.7045
EIF4A2	ALDH16A1	3	0.0000	0.7045
MEPCE	ALDH16A1	3	0.0000	0.7045
EIF4A2	ALDH18A1	3	0.0000	0.7045
MEPCE	ALDH18A1	3	0.0001	0.6759
EIF4A2	ALDH1A2	3	0.0000	0.7045
MEPCE	ALDH1A2	3	0.0000	0.7045
EIF4A2	ALDH1L1	3	0.0000	0.7045
MEPCE	ALDH1L1	3	0.0000	0.7045
EIF4A2	ALDH3A2	3	0.0000	0.7045
MEPCE	ALDH3A2	3	0.0005	0.6342
EIF4A2	ALDOA	3	0.0000	0.7045
MEPCE	ALDOA	3	0.0000	0.7045
EIF4A2	ALG13	3	0.1474	0.3044
MEPCE	ALG13	3	0.0012	0.6085
EIF4A2	ALYREF	3	0.0001	0.6759
MEPCE	ALYREF	3	1.0000	0.0000
EIF4A2	AMD1	3	0.0000	0.7045
MEPCE	AMD1	3	0.0000	0.7045
EIF4A2	AMPD2	3	0.0000	0.7045
MEPCE	AMPD2	3	0.0045	0.5528
EIF4A2	ANGEL2	3	0.0001	0.6759
MEPCE	ANGEL2	3	0.6974	0.0231
EIF4A2	ANKFY1	3	0.0000	0.7045
MEPCE	ANKFY1	3	0.0000	0.7045
EIF4A2	ANKHD1	3	0.3024	0.2340
MEPCE	ANKHD1	3	0.9999	0.0000
EIF4A2	ANKRD28	3	0.0000	0.7045
MEPCE	ANKRD28	3	0.0167	0.4810
EIF4A2	ANP32A	3	0.0000	0.7045
MEPCE	ANP32A	3	0.0000	0.7045
EIF4A2	ANP32B	3	1.0000	0.0000
MEPCE	ANP32B	3	0.0002	0.6584
EIF4A2	ANP32E	3	0.2486	0.2636
MEPCE	ANP32E	3	0.0000	0.7045
EIF4A2	ANXA2	3	0.0158	0.4838
MEPCE	ANXA2	3	0.1111	0.3245
EIF4A2	AP1B1	3	0.0000	0.7045
MEPCE	AP1B1	3	0.0000	0.7045
EIF4A2	AP1G1	3	0.0000	0.7045
MEPCE	AP1G1	3	0.0000	0.7045
EIF4A2	AP2A2	3	0.0000	0.7045
MEPCE	AP2A2	3	0.0000	0.7045
EIF4A2	AP2B1	3	0.0000	0.7045
MEPCE	AP2B1	3	0.0031	0.5751
EIF4A2	AP3B1	3	0.0000	0.7045
MEPCE	AP3B1	3	0.0000	0.7045
EIF4A2	AP3D1	3	0.0000	0.7045
MEPCE	AP3D1	3	0.0000	0.7045
EIF4A2	AP3M1	3	0.0000	0.7045
MEPCE	AP3M1	3	0.0000	0.7045
EIF4A2	AP3S1	3	0.0000	0.7045
MEPCE	AP3S1	3	0.0000	0.7045
EIF4A2	APEX1	3	0.0000	0.7045
MEPCE	APEX1	3	0.0000	0.7045
EIF4A2	API5	3	0.0000	0.7045
MEPCE	API5	3	0.0000	0.7045
EIF4A2	APLP2	3	0.0000	0.7045
MEPCE	APLP2	3	0.0037	0.5612
EIF4A2	APOB	3	0.0000	0.7045
MEPCE	APOB	3	0.0000	0.7045
EIF4A2	APP	3	0.0000	0.7045
MEPCE	APP	3	0.0001	0.6759
EIF4A2	ARCN1	3	0.0000	0.7045
MEPCE	ARCN1	3	0.0000	0.7045
EIF4A2	ARF3	3	0.0000	0.7045
MEPCE	ARF3	3	0.0000	0.7045
EIF4A2	ARF4	3	0.0000	0.7045
MEPCE	ARF4	3	0.0000	0.7045
MEPCE	ARF5	3	0.3849	0.1260
EIF4A2	ARGLU1	3	0.0002	0.6584
MEPCE	ARGLU1	3	0.7059	0.0210
EIF4A2	ARHGAP22	3	0.0001	0.6759
MEPCE	ARHGAP22	3	0.0092	0.5110
EIF4A2	ARHGAP42	3	0.0016	0.5997
MEPCE	ARHGAP42	3	1.0000	0.0000
EIF4A2	ARHGEF2	3	0.0000	0.7045
MEPCE	ARHGEF2	3	0.3332	0.2021
EIF4A2	ARL1	3	0.0000	0.7045
MEPCE	ARL1	3	0.0002	0.6584
EIF4A2	ARL6IP4	3	0.0000	0.7045
MEPCE	ARL6IP4	3	0.0000	0.7045
EIF4A2	ARL8A	3	0.6666	0.0510
MEPCE	ARL8A	3	0.3452	0.1491
EIF4A2	ARPC3	3	0.0000	0.7045
MEPCE	ARPC3	3	0.0000	0.7045
EIF4A2	ASNS	3	0.0000	0.7045
MEPCE	ASNS	3	0.0000	0.7045
EIF4A2	ATP1A1	3	0.0000	0.7045
MEPCE	ATP1A1	3	0.1861	0.2842
EIF4A2	ATP1B3	3	0.0001	0.6759
MEPCE	ATP1B3	3	0.0528	0.3953
EIF4A2	ATP2A2	3	0.0000	0.7045
MEPCE	ATP2A2	3	0.3594	0.1383
EIF4A2	ATP2B1	3	0.0000	0.7045
MEPCE	ATP2B1	3	0.9997	0.0000
EIF4A2	ATP5F1A	3	0.0000	0.7045
MEPCE	ATP5F1A	3	0.0000	0.7045
EIF4A2	ATP5F1B	3	0.0000	0.7045
MEPCE	ATP5F1B	3	0.0000	0.7045
EIF4A2	ATP5F1C	3	0.0000	0.7045
MEPCE	ATP5F1C	3	0.0422	0.4182
EIF4A2	ATP5IF1	3	0.0015	0.6018
MEPCE	ATP5IF1	3	0.0246	0.4522
EIF4A2	ATP5PO	3	0.0000	0.7045
MEPCE	ATP5PO	3	0.0000	0.7045
EIF4A2	ATP6AP1	3	0.0008	0.6216
MEPCE	ATP6AP1	3	0.6769	0.0336
EIF4A2	ATP6V1A	3	0.0000	0.7045
MEPCE	ATP6V1A	3	0.0000	0.7045
EIF4A2	ATP6V1B2	3	0.0000	0.7045
MEPCE	ATP6V1B2	3	0.0000	0.7045
EIF4A2	ATP6V1E1	3	0.0000	0.7045
MEPCE	ATP6V1E1	3	0.0000	0.7045
EIF4A2	ATP6V1G1	3	0.0001	0.6759
MEPCE	ATP6V1G1	3	0.0014	0.6047
EIF4A2	ATP6V1H	3	0.0000	0.7045
MEPCE	ATP6V1H	3	0.0000	0.7045
EIF4A2	ATXN2	3	1.0000	0.0000
EIF4A2	ATXN2L	3	1.0000	0.0000
