"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Protein"	"Bait"
5.25044252787936	20.9090999068396	23.3420266434208	2.68089652575701e-11	1.33267366295381e-07	15.481730883792	"Q8WXE1"	"PSMA4"
7.65136663525108	20.1094158899441	18.7888462971195	3.31989154967882e-10	5.24434743492908e-07	13.5072882847237	"P25789"	"PSMA4"
4.071026266202	17.2128879347792	18.7276960356938	3.44704185706807e-10	5.24434743492908e-07	13.4761368070591	"O95456"	"PSMA4"
3.87375692794223	16.1486564109605	18.4017347586871	4.21995367928311e-10	5.24434743492908e-07	13.3076809430896	"Q9GZU8"	"PSMA4"
5.3339745648107	18.283247761295	14.2667978424611	7.69437859861051e-09	7.28083549126895e-06	10.7606337014123	"P25786"	"PSMA4"
3.78362105859124	17.3385559082894	13.9514094984062	9.89839447795916e-09	7.28083549126895e-06	10.52957092563	"Q8N0S6"	"PSMA4"
2.33308488980693	17.1851140524215	13.9078819750848	1.0252634970606e-08	7.28083549126895e-06	10.4972029245426	"Q9UNS2"	"PSMA4"
2.60654388771605	19.0981772558595	13.4502670823356	1.4928291145409e-08	9.27606691047852e-06	10.1496688129064	"P17980"	"PSMA4"
2.75963523719185	16.3530983877513	12.9348655206324	2.31091651551785e-08	1.27639622207103e-05	9.74178756855968	"Q13098"	"PSMA4"
-2.48999954545621	17.3767192969722	-11.9067986233874	5.79353315127327e-08	2.53186789137176e-05	8.87190041990626	"Q15738"	"PSMA4"
3.92619447493577	19.0829151267289	11.8584195446511	6.05969692732922e-08	2.53186789137176e-05	8.82899911019126	"Q96SI1"	"PSMA4"
-2.70561461449234	18.5150299415235	-11.8491940908925	6.11193214573751e-08	2.53186789137176e-05	8.82079728138675	"Q5EBL8"	"PSMA4"
1.95776369464896	16.8681993778031	10.8896636781978	1.54182731182043e-07	5.8957104361995e-05	7.92956612385339	"Q15051"	"PSMA4"
3.21194477638053	17.6213780128632	10.7094346429033	1.84844912979251e-07	6.3142857672911e-05	7.75332817513961	"O43242"	"PSMA4"
2.05275956374831	16.9117860131653	10.6795573265269	1.90533668294843e-07	6.3142857672911e-05	7.72382932650935	"Q6P1L5"	"PSMA4"
5.34005011700329	18.179870132801	10.6119991337956	2.04103733722908e-07	6.34124787710359e-05	7.65682660576516	"P28066"	"PSMA4"
-2.02449182813089	18.8624852911162	-10.5466088028495	2.18233283206632e-07	6.381397946001e-05	7.59157463649428	"P42694"	"PSMA4"
2.26827809050425	16.6772549878573	10.3837386059084	2.58211295972637e-07	7.13093529044432e-05	7.42732065064889	"Q53HC0"	"PSMA4"
2.16984121020998	17.2511679886408	10.2059909811456	3.11012792866432e-07	8.13707680704754e-05	7.2452005541473	"Q99627"	"PSMA4"
5.57062950493738	14.8810984925148	10.1343480609111	3.35482693090112e-07	8.31742042909896e-05	7.17093612951014	"O00370"	"PSMA4"
2.82008022835002	17.7875213226093	10.0715019304122	3.58656324813562e-07	8.31742042909896e-05	7.1053787037904	"P61201"	"PSMA4"
3.07729978132324	17.8711751153855	10.0130188447645	3.81772302050717e-07	8.31742042909896e-05	7.04402418354006	"P61289"	"PSMA4"
2.38763355458808	16.4074184147902	10.0055609732061	3.84833373303714e-07	8.31742042909896e-05	7.03617586864798	"Q9UBW8"	"PSMA4"
1.77616868048008	15.6789014031049	9.80068549436654	4.80143974867606e-07	9.68147783685496e-05	6.81840326517245	"Q9UKE5"	"PSMA4"
3.0246316869196	16.7861984414328	9.76469563678537	4.9936518920417e-07	9.68147783685496e-05	6.77971069327693	"Q9H9Q2"	"PSMA4"
1.86697628218022	17.9862870819524	9.75194168238442	5.06373815647212e-07	9.68147783685496e-05	6.7659672848825	"Q9UNH7"	"PSMA4"
-1.43982662316483	17.2791527367154	-9.68951432287276	5.42238156118867e-07	9.98320694098847e-05	6.69845656514509	"Q99470"	"PSMA4"
1.6274583146805	15.781855035612	9.59155366424491	6.0413216538188e-07	0.000106781705180104	6.59170915999005	"Q9NRY5"	"PSMA4"
1.58871827627197	16.9326896587287	9.55631066769441	6.28221397678258e-07	0.000106781705180104	6.55306102294902	"Q15208"	"PSMA4"
-2.01721031003784	16.4591767177977	-9.51849727529516	6.55219623632828e-07	0.000106781705180104	6.51144957108002	"Q9HA77"	"PSMA4"
-1.83580431737413	17.2452297224947	-9.50398635961363	6.65908843408415e-07	0.000106781705180104	6.4954412696631	"Q9H0S4"	"PSMA4"
-1.47632459739169	17.5201575393336	-9.44950293000982	7.07746079583261e-07	0.000108541844251263	6.43513738448171	"P09960"	"PSMA4"
-2.78252431002112	16.4320215457105	-9.43351122139636	7.20555393339705e-07	0.000108541844251263	6.41737762576744	"Q9Y580"	"PSMA4"
1.71368717696288	16.9891859631293	9.32363025910476	8.15593286274158e-07	0.000115057937748746	6.29461061588825	"Q9UPN7"	"PSMA4"
1.69535385431647	18.3000935588019	9.31344335975188	8.25062671264924e-07	0.000115057937748746	6.28316348236716	"P62195"	"PSMA4"
-2.38626358794463	18.0826965094228	-9.2853573251917	8.51787154026087e-07	0.000115057937748746	6.25154489837802	"Q8WXX7"	"PSMA4"
