Bait,FDR Bin,Method,Precision,TP
PSMA4,0-0.01,PU Learning,0.2388663967611336,59
PSMA4,0-0.01,PU excl. background,0.23949579831932774,57
PSMA4,0-0.01,SAINTq,0.29133858267716534,37
PSMA4,0-0.01,SAINTexpress,0.30952380952380953,26
PSMA4,0-0.01,limma,0.12920908379013313,165
PSMA4,0.01-0.05,PU Learning,0.13924050632911392,11
PSMA4,0.01-0.05,PU excl. background,0.1267605633802817,9
PSMA4,0.01-0.05,SAINTq,0.12345679012345678,10
PSMA4,0.01-0.05,SAINTexpress,0.15,6
PSMA4,0.01-0.05,limma,0.13378684807256236,118
PSMC2,0-0.01,PU Learning,0.24067796610169492,71
PSMC2,0-0.01,PU excl. background,0.23859649122807017,68
PSMC2,0-0.01,SAINTq,0.17338709677419356,86
PSMC2,0-0.01,SAINTexpress,0.17766497461928935,70
PSMC2,0-0.01,limma,0.13740886146943354,245
PSMC2,0.01-0.05,PU Learning,0.18064516129032257,28
PSMC2,0.01-0.05,PU excl. background,0.16129032258064516,20
PSMC2,0.01-0.05,SAINTq,0.15151515151515152,25
PSMC2,0.01-0.05,SAINTexpress,0.1276595744680851,12
PSMC2,0.01-0.05,limma,0.14913448735019974,112
