Positives,Negatives,Mean AUC,Std AUC,Mean AUC@Top300,Std AUC@Top300
5,100,0.10028283888921317,0.004810188038197586,0.3174767210763789,0.04685078810190254
5,200,0.10223433759390922,0.004881496888674702,0.32105289255240477,0.04828958009438238
5,500,0.09902000505271506,0.004628050953162847,0.3149848588433273,0.04780957622030649
5,1000,0.09929156556351844,0.004729003236007175,0.3138664714445865,0.04749278940693415
10,100,0.10659262825307658,0.007339402484917573,0.34885226094048577,0.049083310962288136
10,200,0.10594341709428658,0.007363426202684681,0.34876369589397077,0.04852533036913112
10,500,0.1066619987264565,0.006619567699910108,0.3473935389794752,0.04868016254816137
10,1000,0.10622586847781727,0.006828555327892929,0.3531119764766231,0.051258152270923674
15,100,0.11144398488057465,0.00859221491956396,0.367789785329329,0.0534382207505618
15,200,0.11123799499357392,0.008639016664857757,0.3681017956075992,0.05351599713322126
15,500,0.1108628423163842,0.008729558521242568,0.36115221770509626,0.053886388442875785
15,1000,0.10994160393213076,0.008840281874097806,0.3631375688356362,0.053511209951061796
20,100,0.11578764656195613,0.010441722849586684,0.3821277637956079,0.05555699469072054
20,200,0.11497117273860652,0.010193962966167237,0.3814694730377501,0.05504410883028806
20,500,0.11443731395141823,0.009923078855889323,0.3820943217998422,0.05521318859165191
20,1000,0.11362927628552276,0.010204137815600022,0.37884738405894863,0.05506921342780849
25,100,0.11486750850943896,0.01065974513723387,0.4040009162017999,0.05873526964466003
25,200,0.11334820419320063,0.009649797998759879,0.39459584308800755,0.05697562444364518
25,500,0.11447171263800589,0.010639975637788833,0.3979732649045041,0.05930078711902373
25,1000,0.11373662170212549,0.009444100312005623,0.39001519878736013,0.05786756745303534
30,100,0.11465624816432557,0.009359189949222751,0.38449875888304375,0.05632766550315904
30,200,0.11454043914491217,0.007140306832323461,0.38078492433735067,0.056676985648828004
30,500,0.11712634343380218,0.010676541473480558,0.40291671270449503,0.05762869064436994
30,1000,0.11499225204907575,0.009775086467838,0.388482782145896,0.05919368445515586
