initial_positives,initial_negatives,fdr_hits,kl_divergence,wasserstein_distance,roc_auc,median_score_difference
1,100,38,0.8045279284609501,0.044294799839066576,0.48939213562177025,-0.10809999999999999
1,200,38,0.7955338229130337,0.04165698048682357,0.49244333185584416,-0.10809999999999997
1,500,38,0.6680328131349106,0.03719123918728627,0.49136595553344387,-0.11099999999999999
1,1000,35,0.6376712882992451,0.035428746731040045,0.4917674341800022,-0.115
5,100,126,1.2004962230857659,0.06445303761818548,0.4663347506060194,-0.09970000000000005
5,200,170,1.0766715696523204,0.06350774492053911,0.4652874875849025,-0.10800000000000008
5,500,117,0.9345857480212773,0.056356175819754585,0.46819666619197625,-0.12810000000000002
5,1000,138,0.8856671303406418,0.053857946087306374,0.470805774073007,-0.1397
10,100,171,1.5480406729105456,0.11567351639509153,0.46323587287053486,-0.09620000000000001
10,200,172,1.3388885033614717,0.11259052504526253,0.4600904315640249,-0.09090000000000001
10,500,141,1.188994235936754,0.10732018708509355,0.4565498195710943,-0.15215
10,1000,119,0.9647811695515256,0.09940949507141418,0.452085023128108,-0.1849999999999999
15,100,405,1.6632087012078884,0.1313820860993764,0.4606081142685512,-0.09374999999999997
15,200,372,1.7181613615313736,0.1266532991349829,0.45857342532372736,-0.089
15,500,320,1.4365961419578617,0.11996481593240799,0.45582688788293363,-0.1393
15,1000,222,1.2219747857152838,0.11299432709716356,0.4510720820873721,-0.18195000000000006
20,100,481,1.7917366305558222,0.13893291088312212,0.45699777579403306,-0.1168499999999999
20,200,467,1.811259577168089,0.13495297726815528,0.4554523508528099,-0.10514999999999991
20,500,380,1.6351490802816742,0.12867490444578558,0.45302566796492283,-0.1537500000000001
20,1000,284,1.4266261374640241,0.12373069804868235,0.4473946070876341,-0.1859
25,100,832,2.5788330159436694,0.21085207201770267,0.47385349005321187,-0.1613
25,200,870,2.6493768348745714,0.20073112049889358,0.4678225186670094,-0.17224999999999993
25,500,595,2.469592955868616,0.19342159525246427,0.46502389882238326,-0.21695000000000003
25,1000,345,2.120631987441063,0.18442463287064978,0.4593779659300143,-0.27690000000000015
30,100,913,2.7527471511984585,0.21797172601086298,0.47174024247090574,-0.17335
30,200,841,2.6010693872380215,0.20401310601488634,0.46746834719223035,-0.17580000000000007
30,500,709,2.2859095659754485,0.19814678133172398,0.46338045010285167,-0.23095
30,1000,402,2.1086403577316664,0.18903393683363506,0.4575498057714831,-0.27494999999999997
