Bait,Prey
MEPCE,CDK9
MEPCE,LARP7
MEPCE,HEXIM1
MEPCE,HNRNPA1
MEPCE,SART3
MEPCE,PRPF3
MEPCE,SNRPF
MEPCE,SNRPG
MEPCE,SNRPB
MEPCE,HEXIM2
MEPCE,SNRPN
MEPCE,PRPF31
MEPCE,TRA2A
MEPCE,PRPF4
MEPCE,LUC7L
MEPCE,LUC7L2
MEPCE,LSM6
MEPCE,SNRNP70
MEPCE,LSM5
MEPCE,SRP68
MEPCE,SNRPE
MEPCE,HNRNPUL2
MEPCE,LSM4
MEPCE,YBX1
MEPCE,CCNT1
MEPCE,HNRNPH1
MEPCE,LSM3
MEPCE,CLK3
MEPCE,METTL16
MEPCE,SRSF3
MEPCE,SNRPD3
MEPCE,CHMP3
MEPCE,SRP72
MEPCE,CSNK2B
MEPCE,HSPA5
MEPCE,UBE2O
MEPCE,NHP2L1
MEPCE,SART1
MEPCE,SRP9
MEPCE,LRRC40
MEPCE,LSM2
MEPCE,ACTB
MEPCE,HNRNPA0
MEPCE,GTF2I
MEPCE,ACTG1
MEPCE,TRIM28
MEPCE,KPNA6
MEPCE,RPS4X
MEPCE,IGF2BP2
MEPCE,ZFR
MEPCE,HNRNPD
MEPCE,EFTUD2
MEPCE,CCT2
MEPCE,YWHAH
MEPCE,KPNB1
MEPCE,HNRNPR
MEPCE,HNRNPK
MEPCE,HNRNPA2B1
MEPCE,DDX5
MEPCE,CCAR2
MEPCE,CCT4
MEPCE,ILF2
MEPCE,KPNA2
MEPCE,PCBP2
MEPCE,IGF2BP1
MEPCE,TUT1
MEPCE,RUVBL2
MEPCE,SNRNP200
MEPCE,MFAP1
MEPCE,SYNCRIP
MEPCE,PPIH
MEPCE,HNRNPUL1
MEPCE,SERBP1
MEPCE,HSP90AB1
MEPCE,USP15
MEPCE,ILF3
MEPCE,HSPA6
MEPCE,U2AF1
MEPCE,C14orf166
MEPCE,RPS3
MEPCE,TRIM26
MEPCE,HNRNPAB
MEPCE,DDX6
MEPCE,PURA
MEPCE,RPL38
MEPCE,RPS14
MEPCE,RPS9
MEPCE,PRPF19
MEPCE,CCT8
MEPCE,GLB1
MEPCE,CTSA
MEPCE,G3BP2
MEPCE,SRSF7
MEPCE,MRPL9
MEPCE,RPS19
MEPCE,RPL23A
MEPCE,SFPQ
MEPCE,USP4
MEPCE,RPL29
MEPCE,CCNT2
MEPCE,KPNA5
MEPCE,RPLP0
MEPCE,CAPZB
MEPCE,AKAP7
MEPCE,SET
MEPCE,HSPA2
MEPCE,DDX17
MEPCE,DDX42
MEPCE,RPS2
MEPCE,RBMX
MEPCE,SNRPD2
MEPCE,DHX9
MEPCE,RPS16
MEPCE,YTHDF2
MEPCE,KPNA1
MEPCE,PHGDH
MEPCE,SNRPA1
MEPCE,ALYREF
MEPCE,YBX3
MEPCE,HNRNPC
MEPCE,HNRNPH2
MEPCE,TUBA8
MEPCE,NONO
MEPCE,KPNA3
MEPCE,IGF2BP3
MEPCE,CSNK2A2
MEPCE,RPL5
MEPCE,LIN28A
MEPCE,LIN28B
MEPCE,CHCHD2
MEPCE,LSM7
MEPCE,HNRNPU
MEPCE,NPM1
MEPCE,RPL10
MEPCE,UBA52
MEPCE,NOP56
MEPCE,RPL31
MEPCE,NIFK
MEPCE,ACTC1
MEPCE,FUS
MEPCE,RPL8
MEPCE,nsp8
MEPCE,RPS15
MEPCE,CAND1
MEPCE,POP1
MEPCE,TOP1
MEPCE,vpr
MEPCE,YBX2
MEPCE,YTHDF1
MEPCE,DDX21
MEPCE,tat
MEPCE,DRG1
MEPCE,PSPC1
MEPCE,ACTBL2
MEPCE,LARP1B
MEPCE,HSP90AA4P
MEPCE,EIF3H
MEPCE,HSP90AB2P
MEPCE,HSP90B1
MEPCE,POLDIP3
MEPCE,CCT5
MEPCE,MRPL37
MEPCE,DCTN2
MEPCE,CKAP4
MEPCE,PSMC1
MEPCE,SF3B4
MEPCE,STRBP
MEPCE,TFAM
MEPCE,PSMC2
MEPCE,TROVE2
MEPCE,THUMPD1
MEPCE,EIF3C
MEPCE,PIN4
MEPCE,RNASEH1
MEPCE,KRT6C
MEPCE,CDK1
MEPCE,TAF15
MEPCE,DHX15
MEPCE,AGL
MEPCE,YTHDF3
MEPCE,DDX4
MEPCE,KRT6A
MEPCE,KRT6B
MEPCE,HNRNPDL
MEPCE,KRT5
MEPCE,KRT75
MEPCE,KRT79
MEPCE,KRT76
MEPCE,NAP1L1
MEPCE,STAU1
MEPCE,EPRS
MEPCE,DHX36
MEPCE,SNIP1
MEPCE,EEF2
MEPCE,SLBP
MEPCE,SMC2
MEPCE,PHAX
MEPCE,EIF3A
MEPCE,PSMC4
MEPCE,RPL32
MEPCE,HNRNPCL1
MEPCE,MRPL46
MEPCE,RBBP4
MEPCE,PSMC3
MEPCE,MSI2
MEPCE,RPL37AP8
MEPCE,TRMT10C
MEPCE,PSMD13
MEPCE,ACAT1
MEPCE,PHF10
MEPCE,U2AF1L4
MEPCE,RPL6
MEPCE,PSMC5
MEPCE,GRWD1
MEPCE,MRPL4
MEPCE,DHX57
MEPCE,HNRNPA3
MEPCE,PSMD12
MEPCE,SF3B1
MEPCE,SLC25A4
MEPCE,ACTR1B
MEPCE,SLC25A6
MEPCE,SLC25A31
MEPCE,RPS26P11
MEPCE,MOV10
MEPCE,GTF2IRD2B
MEPCE,PSMD3
MEPCE,RPP25
MEPCE,PSMD11
MEPCE,CLTC
MEPCE,CLTCL1
MEPCE,MRPS34
MEPCE,RPP30
MEPCE,GTF2IRD2
MEPCE,KRT10
MEPCE,KRT26
MEPCE,MRPS16
MEPCE,ACTG2
MEPCE,ACTA1
MEPCE,POTEE
MEPCE,RPL36
MEPCE,FBXO21
MEPCE,MRPL49
MEPCE,RBMXL1
MEPCE,MRPS25
MEPCE,DISC1
MEPCE,PSMA7
MEPCE,KRT25
MEPCE,RBM3
MEPCE,MRPS24
MEPCE,NPM3
MEPCE,DDB1
MEPCE,CMBL
MEPCE,NKRF
MEPCE,TRIM21
MEPCE,EIF1AY
MEPCE,EIF1AX
MEPCE,ACTA2
MEPCE,POTEJ
MEPCE,POTEI
MEPCE,POTEF
MEPCE,MRPS6
MEPCE,EEF1B2
MEPCE,ATP5D
MEPCE,TRA2B
MEPCE,RPL15
MEPCE,MRPL13
MEPCE,YBEY
MEPCE,RPL21
MEPCE,MRPL23
MEPCE,ACTR1A
MEPCE,CNBP
MEPCE,CLEC5A
MEPCE,BOLA2
MEPCE,ELAVL1
MEPCE,PPM1G
MEPCE,PSMA3
MEPCE,RPL13A
MEPCE,RPL13AP3
MEPCE,DBN1
MEPCE,RBM15B
MEPCE,PSMD14
MEPCE,MRPL48
MEPCE,HADHA
MEPCE,NLRP5
MEPCE,PIP4K2A
MEPCE,PSMC6
MEPCE,KRT1
MEPCE,KRT2
MEPCE,KRT77
MEPCE,KRT8
MEPCE,KRT7
MEPCE,GFAP
MEPCE,KRT80
MEPCE,KRT9
MEPCE,PABPC1L
MEPCE,PABPC5
MEPCE,MRPL44
MEPCE,KRT14
MEPCE,KRT16
