Bait	PreyGene	#Rep	#Pep	AvgP	BFDR
ACTB	0	3	12	0.9657	0.0226
CTNNA1	0	3	12	0.7567	0.0905
KRT8	0	3	12	0.9639	0.0237
LMNA	0	3	12	0.6992	0.1100
MAPRE3	0	3	12	0.9551	0.0284
ACTB	A2M	3	5	0.3333	0.2872
ACTB	A2ML1	3	3	0.3333	0.2872
ACTB	AAAS	3	14	0.7174	0.1033
CTNNA1	AAAS	3	14	0.3805	0.2644
KRT8	AAAS	3	14	0.7837	0.0823
LMNA	AAAS	3	14	0.9460	0.0322
MAPRE3	AAAS	3	14	0.1265	0.4283
ACTB	AAGAB	3	5	0.8224	0.0695
KRT8	AAGAB	3	5	0.9357	0.0355
MAPRE3	AAGAB	3	5	0.1216	0.4320
ACTB	AAK1	3	17	0.9587	0.0268
CTNNA1	AAK1	3	17	0.5143	0.1938
KRT8	AAK1	3	17	0.9530	0.0295
LMNA	AAK1	3	17	0.1922	0.3829
MAPRE3	AAK1	3	17	0.7677	0.0871
ACTB	AAR2	3	7	0.4132	0.2476
KRT8	AAR2	3	7	0.9374	0.0350
LMNA	AAR2	3	7	0.3020	0.3159
ACTB	AARS1	3	14	0.6205	0.1453
CTNNA1	AARS1	3	14	0.0339	0.5014
KRT8	AARS1	3	14	0.6101	0.1501
LMNA	AARS1	3	14	0.0455	0.4927
MAPRE3	AARS1	3	14	0.1393	0.4200
ACTB	AARS2	3	3	0.1556	0.4093
CTNNA1	AARS2	3	3	0.0236	0.5089
KRT8	AARS2	3	3	0.4607	0.2220
LMNA	AARS2	3	3	0.1914	0.3836
ACTB	AARSD1	3	3	0.0181	0.5136
CTNNA1	AARSD1	3	3	0.2095	0.3714
LMNA	AARSD1	3	3	0.1070	0.4434
LMNA	AASDH	3	4	0.5906	0.1594
MAPRE3	AASDH	3	4	0.0270	0.5065
ACTB	AASDHPPT	3	6	0.7589	0.0899
KRT8	AASDHPPT	3	6	0.9481	0.0315
LMNA	AASDHPPT	3	6	0.8901	0.0491
ACTB	AATF	3	6	0.0078	0.5220
LMNA	AATF	3	6	0.1171	0.4350
MAPRE3	AATF	3	6	0.0001	0.5332
ACTB	ABCB10	3	1	0.3333	0.2872
KRT8	ABCB10	3	1	1.0000	0.0000
LMNA	ABCB10	3	1	0.3333	0.2872
ACTB	ABCB7	3	10	0.1926	0.3827
CTNNA1	ABCB7	3	10	0.1753	0.3937
KRT8	ABCB7	3	10	0.8456	0.0625
LMNA	ABCB7	3	10	0.9782	0.0118
MAPRE3	ABCB7	3	10	0.1222	0.4316
ACTB	ABCC1	3	15	0.4963	0.2034
CTNNA1	ABCC1	3	15	0.1550	0.4098
KRT8	ABCC1	3	15	0.9788	0.0113
LMNA	ABCC1	3	15	0.5791	0.1646
MAPRE3	ABCC1	3	15	0.0771	0.4691
KRT8	ABCC3	3	2	0.3327	0.2946
LMNA	ABCC3	3	2	0.1666	0.4005
ACTB	ABCD1	3	18	0.6390	0.1370
CTNNA1	ABCD1	3	18	0.0594	0.4825
KRT8	ABCD1	3	18	0.9755	0.0146
LMNA	ABCD1	3	18	0.3628	0.2738
MAPRE3	ABCD1	3	18	0.2417	0.3514
ACTB	ABCD3	3	18	0.8748	0.0538
CTNNA1	ABCD3	3	18	0.3033	0.3148
KRT8	ABCD3	3	18	0.9823	0.0079
LMNA	ABCD3	3	18	0.9311	0.0369
MAPRE3	ABCD3	3	18	0.6566	0.1291
ACTB	ABCE1	3	12	0.9661	0.0224
CTNNA1	ABCE1	3	12	0.3133	0.3083
KRT8	ABCE1	3	12	0.9556	0.0281
LMNA	ABCE1	3	12	0.0534	0.4869
MAPRE3	ABCE1	3	12	0.6766	0.1193
ACTB	ABCF1	3	19	0.9708	0.0188
CTNNA1	ABCF1	3	19	0.8105	0.0733
KRT8	ABCF1	3	19	0.9696	0.0197
LMNA	ABCF1	3	19	0.8798	0.0523
MAPRE3	ABCF1	3	19	0.9400	0.0341
ACTB	ABCF2	3	17	0.9496	0.0308
CTNNA1	ABCF2	3	17	0.5860	0.1616
KRT8	ABCF2	3	17	0.9648	0.0232
LMNA	ABCF2	3	17	0.5960	0.1566
MAPRE3	ABCF2	3	17	0.9079	0.0436
ACTB	ABCF3	3	20	0.9516	0.0301
CTNNA1	ABCF3	3	20	0.0907	0.4572
KRT8	ABCF3	3	20	0.9571	0.0276
LMNA	ABCF3	3	20	0.1692	0.3982
MAPRE3	ABCF3	3	20	0.4336	0.2361
ACTB	ABHD12	3	2	0.3825	0.2632
CTNNA1	ABHD12	3	2	0.0806	0.4662
KRT8	ABHD12	3	2	0.2441	0.3502
LMNA	ABHD12	3	2	0.5636	0.1709
MAPRE3	ABHD12	3	2	0.1513	0.4123
ACTB	ABHD14B	3	1	0.1349	0.4228
KRT8	ABHD14B	3	1	0.1440	0.4172
ACTB	ABI1	3	7	0.9484	0.0312
CTNNA1	ABI1	3	7	0.6376	0.1377
KRT8	ABI1	3	7	0.8747	0.0539
LMNA	ABI1	3	7	0.1182	0.4342
MAPRE3	ABI1	3	7	0.5621	0.1715
ACTB	ABI2	3	2	0.2953	0.3203
CTNNA1	ABI2	3	2	0.0005	0.5315
KRT8	ABI2	3	2	0.6266	0.1429
ACTB	ABL1	3	8	0.6431	0.1354
KRT8	ABL1	3	8	0.2536	0.3442
LMNA	ABL1	3	8	0.0339	0.5014
MAPRE3	ABL1	3	8	0.1169	0.4352
ACTB	ABL2	3	10	0.8159	0.0717
CTNNA1	ABL2	3	10	0.0365	0.4996
KRT8	ABL2	3	10	0.4482	0.2285
LMNA	ABL2	3	10	0.1466	0.4155
MAPRE3	ABL2	3	10	0.3429	0.2831
ACTB	ABLIM1	3	24	0.9888	0.0034
CTNNA1	ABLIM1	3	24	0.2532	0.3444
KRT8	ABLIM1	3	24	0.9358	0.0354
LMNA	ABLIM1	3	24	0.1497	0.4132
MAPRE3	ABLIM1	3	24	0.4871	0.2085
ACTB	ABLIM3	3	12	0.9709	0.0188
CTNNA1	ABLIM3	3	12	0.5027	0.1993
KRT8	ABLIM3	3	12	0.8535	0.0599
LMNA	ABLIM3	3	12	0.0552	0.4858
MAPRE3	ABLIM3	3	12	0.2417	0.3514
ACTB	ABR	3	10	0.9581	0.0271
CTNNA1	ABR	3	10	0.2152	0.3673
KRT8	ABR	3	10	0.9630	0.0243
LMNA	ABR	3	10	0.7614	0.0892
MAPRE3	ABR	3	10	0.5920	0.1586
LMNA	ABRAXAS1	3	2	0.1778	0.3923
ACTB	ABRAXAS2	3	2	0.4256	0.2405
KRT8	ABRAXAS2	3	2	0.4626	0.2211
MAPRE3	ABRAXAS2	3	2	0.0456	0.4925
ACTB	ABTB2	3	4	0.5012	0.1999
KRT8	ABTB2	3	4	0.8023	0.0760
MAPRE3	ABTB2	3	4	0.0775	0.4686
ACTB	ACAA1	3	1	0.0093	0.5206
KRT8	ACAA1	3	1	0.0113	0.5186
ACTB	ACAA2	3	5	0.3183	0.3043
KRT8	ACAA2	3	5	0.0521	0.4878
LMNA	ACAA2	3	5	0.1677	0.3991
ACTB	ACACA	3	178	0.5772	0.1656
CTNNA1	ACACA	3	178	0.6979	0.1105
KRT8	ACACA	3	178	0.7829	0.0826
LMNA	ACACA	3	178	0.7388	0.0966
MAPRE3	ACACA	3	178	0.4966	0.2031
ACTB	ACACB	3	62	0.5054	0.1979
CTNNA1	ACACB	3	62	0.6735	0.1204
KRT8	ACACB	3	62	0.6758	0.1196
LMNA	ACACB	3	62	0.6989	0.1101
MAPRE3	ACACB	3	62	0.4117	0.2487
ACTB	ACAD9	3	3	0.2141	0.3681
KRT8	ACAD9	3	3	0.7442	0.0946
MAPRE3	ACAD9	3	3	0.2056	0.3745
CTNNA1	ACADM	3	3	0.1030	0.4478
KRT8	ACADM	3	3	0.1918	0.3833
LMNA	ACADM	3	3	0.1022	0.4485
ACTB	ACADVL	3	7	0.2195	0.3644
CTNNA1	ACADVL	3	7	0.0675	0.4761
KRT8	ACADVL	3	7	0.0957	0.4532
LMNA	ACADVL	3	7	0.1008	0.4495
MAPRE3	ACADVL	3	7	0.0307	0.5039
ACTB	ACAP2	3	3	0.1656	0.4019
KRT8	ACAP2	3	3	0.1947	0.3813
ACTB	ACAT1	3	7	0.4859	0.2093
CTNNA1	ACAT1	3	7	0.3286	0.2978
KRT8	ACAT1	3	7	0.6066	0.1519
LMNA	ACAT1	3	7	0.0934	0.4552
MAPRE3	ACAT1	3	7	0.0940	0.4547
ACTB	ACAT2	3	1	0.2933	0.3216
KRT8	ACAT2	3	1	0.3993	0.2545
LMNA	ACAT2	3	1	0.0816	0.4654
ACTB	ACBD3	3	4	0.3596	0.2754
CTNNA1	ACBD3	3	4	0.1076	0.4427
KRT8	ACBD3	3	4	0.2525	0.3448
LMNA	ACBD3	3	4	0.0702	0.4742
MAPRE3	ACBD3	3	4	0.0311	0.5035
ACTB	ACBD6	3	2	0.9716	0.0183
CTNNA1	ACBD6	3	2	0.1165	0.4355
KRT8	ACBD6	3	2	0.8148	0.0719
LMNA	ACBD6	3	2	0.7751	0.0845
MAPRE3	ACBD6	3	2	0.4497	0.2277
ACTB	ACIN1	3	27	0.5609	0.1721
CTNNA1	ACIN1	3	27	0.1006	0.4497
KRT8	ACIN1	3	27	0.2665	0.3367
LMNA	ACIN1	3	27	0.8795	0.0525
MAPRE3	ACIN1	3	27	0.2407	0.3521
KRT8	ACKR3	3	1	0.1611	0.4051
ACTB	ACLY	3	38	0.9400	0.0341
CTNNA1	ACLY	3	38	0.4404	0.2328
KRT8	ACLY	3	38	0.9543	0.0289
LMNA	ACLY	3	38	0.8495	0.0611
MAPRE3	ACLY	3	38	0.7162	0.1038
ACTB	ACO1	3	6	0.5432	0.1799
CTNNA1	ACO1	3	6	0.0059	0.5239
KRT8	ACO1	3	6	0.7996	0.0769
LMNA	ACO1	3	6	0.0569	0.4845
MAPRE3	ACO1	3	6	0.1032	0.4476
ACTB	ACO2	3	3	0.2673	0.3363
CTNNA1	ACO2	3	3	0.1090	0.4411
KRT8	ACO2	3	3	0.3510	0.2793
LMNA	ACO2	3	3	0.1596	0.4061
KRT8	ACOT1	3	1	0.6666	0.1246
ACTB	ACOT2	3	11	0.8974	0.0469
CTNNA1	ACOT2	3	11	0.0975	0.4520
KRT8	ACOT2	3	11	0.9859	0.0050
LMNA	ACOT2	3	11	0.5365	0.1835
MAPRE3	ACOT2	3	11	0.5087	0.1962
ACTB	ACOT7	3	11	0.8681	0.0557
CTNNA1	ACOT7	3	11	0.4024	0.2529
KRT8	ACOT7	3	11	0.9448	0.0326
LMNA	ACOT7	3	11	0.9706	0.0190
MAPRE3	ACOT7	3	11	0.5915	0.1589
ACTB	ACOT8	3	2	0.0014	0.5295
KRT8	ACOT8	3	2	0.6357	0.1385
LMNA	ACOT8	3	2	0.0576	0.4841
ACTB	ACOT9	3	13	0.8067	0.0746
CTNNA1	ACOT9	3	13	0.4590	0.2230
KRT8	ACOT9	3	13	0.9677	0.0210
LMNA	ACOT9	3	13	0.9405	0.0339
MAPRE3	ACOT9	3	13	0.5304	0.1861
ACTB	ACP1	3	2	0.2710	0.3344
CTNNA1	ACP1	3	2	0.2259	0.3602
KRT8	ACP1	3	2	0.6814	0.1174
LMNA	ACP1	3	2	0.6129	0.1490
MAPRE3	ACP1	3	2	0.0426	0.4949
ACTB	ACSL3	3	8	0.3853	0.2614
CTNNA1	ACSL3	3	8	0.1169	0.4352
KRT8	ACSL3	3	8	0.6300	0.1411
LMNA	ACSL3	3	8	0.8654	0.0564
MAPRE3	ACSL3	3	8	0.1028	0.4480
ACTB	ACSL4	3	4	0.8191	0.0707
CTNNA1	ACSL4	3	4	0.3464	0.2817
KRT8	ACSL4	3	4	0.8431	0.0632
LMNA	ACSL4	3	4	0.7032	0.1084
MAPRE3	ACSL4	3	4	0.2911	0.3229
ACTB	ACTA1	3	17	0.9960	0.0004
CTNNA1	ACTA1	3	17	0.5639	0.1708
KRT8	ACTA1	3	17	0.6309	0.1405
LMNA	ACTA1	3	17	0.5026	0.1994
MAPRE3	ACTA1	3	17	0.5399	0.1813
ACTB	ACTB;ACTG1	3	14	0.9995	0.0000
CTNNA1	ACTB;ACTG1	3	14	0.8040	0.0755
KRT8	ACTB;ACTG1	3	14	0.8215	0.0699
LMNA	ACTB;ACTG1	3	14	0.7747	0.0847
MAPRE3	ACTB;ACTG1	3	14	0.6704	0.1216
ACTB	ACTBL2	3	10	0.9952	0.0006
CTNNA1	ACTBL2	3	10	0.7967	0.0781
KRT8	ACTBL2	3	10	0.7262	0.1007
LMNA	ACTBL2	3	10	0.8061	0.0747
MAPRE3	ACTBL2	3	10	0.6408	0.1364
ACTB	ACTC1	3	1	0.6667	0.1232
KRT8	ACTC1	3	1	0.3333	0.2872
ACTB	ACTL6A	3	2	0.0596	0.4824
KRT8	ACTL6A	3	2	0.1687	0.3985
LMNA	ACTL6A	3	2	0.0012	0.5299
MAPRE3	ACTL6A	3	2	0.0000	0.5341
ACTB	ACTMAP	3	3	0.3388	0.2848
KRT8	ACTMAP	3	3	0.0973	0.4521
LMNA	ACTMAP	3	3	0.0067	0.5232
ACTB	ACTN1	3	29	0.9933	0.0012
CTNNA1	ACTN1	3	29	0.1496	0.4133
KRT8	ACTN1	3	29	0.9055	0.0444
LMNA	ACTN1	3	29	0.1938	0.3818
MAPRE3	ACTN1	3	29	0.2289	0.3586
ACTB	ACTN4	3	48	0.9934	0.0011
CTNNA1	ACTN4	3	48	0.3837	0.2625
KRT8	ACTN4	3	48	0.9392	0.0344
LMNA	ACTN4	3	48	0.5324	0.1852
MAPRE3	ACTN4	3	48	0.5189	0.1912
ACTB	ACTR10	3	2	0.1404	0.4194
KRT8	ACTR10	3	2	0.1067	0.4438
ACTB	ACTR2	3	7	0.6806	0.1177
CTNNA1	ACTR2	3	7	0.2115	0.3699
KRT8	ACTR2	3	7	0.7603	0.0895
LMNA	ACTR2	3	7	0.4794	0.2128
MAPRE3	ACTR2	3	7	0.1721	0.3958
ACTB	ACTR3	3	7	0.8798	0.0523
CTNNA1	ACTR3	3	7	0.4811	0.2120
KRT8	ACTR3	3	7	0.8407	0.0637
LMNA	ACTR3	3	7	0.5241	0.1890
MAPRE3	ACTR3	3	7	0.4163	0.2461
KRT8	ACTR5	3	1	0.1636	0.4033
LMNA	ACTR5	3	1	0.1320	0.4248
ACTB	ACY1	3	2	0.1071	0.4432
KRT8	ACY1	3	2	0.1853	0.3877
ACTB	ACYP2	3	3	0.4881	0.2081
CTNNA1	ACYP2	3	3	0.4835	0.2107
KRT8	ACYP2	3	3	0.2947	0.3208
LMNA	ACYP2	3	3	0.5823	0.1631
MAPRE3	ACYP2	3	3	0.3780	0.2657
ACTB	ADA	3	10	0.3016	0.3162
CTNNA1	ADA	3	10	0.5389	0.1820
KRT8	ADA	3	10	0.3615	0.2743
LMNA	ADA	3	10	0.5814	0.1634
MAPRE3	ADA	3	10	0.3314	0.2957
LMNA	ADAM12	3	2	0.4999	0.2015
LMNA	ADAM17	3	12	0.9833	0.0069
ACTB	ADAR	3	30	0.8183	0.0709
CTNNA1	ADAR	3	30	0.2033	0.3759
KRT8	ADAR	3	30	0.9520	0.0299
LMNA	ADAR	3	30	0.8820	0.0516
MAPRE3	ADAR	3	30	0.7123	0.1050
ACTB	ADD1	3	15	0.9710	0.0187
CTNNA1	ADD1	3	15	0.2198	0.3640
KRT8	ADD1	3	15	0.7592	0.0897
LMNA	ADD1	3	15	0.2532	0.3444
MAPRE3	ADD1	3	15	0.2688	0.3356
ACTB	ADD3	3	19	0.9746	0.0154
CTNNA1	ADD3	3	19	0.4578	0.2238
KRT8	ADD3	3	19	0.8883	0.0497
LMNA	ADD3	3	19	0.6274	0.1422
MAPRE3	ADD3	3	19	0.4650	0.2200
ACTB	ADGRE5	3	1	0.2974	0.3190
KRT8	ADGRE5	3	1	0.6418	0.1360
LMNA	ADGRE5	3	1	0.3011	0.3166
MAPRE3	ADGRE5	3	1	0.2919	0.3224
ACTB	ADI1	3	4	0.3570	0.2763
CTNNA1	ADI1	3	4	0.2300	0.3579
KRT8	ADI1	3	4	0.4054	0.2516
LMNA	ADI1	3	4	0.3718	0.2689
MAPRE3	ADI1	3	4	0.0290	0.5052
CTNNA1	ADISSP	3	1	0.0604	0.4818
KRT8	ADISSP	3	1	0.5336	0.1846
LMNA	ADISSP	3	1	0.5207	0.1905
MAPRE3	ADISSP	3	1	0.0183	0.5134
ACTB	ADNP	3	48	0.4659	0.2195
CTNNA1	ADNP	3	48	0.0928	0.4558
KRT8	ADNP	3	48	0.4343	0.2357
LMNA	ADNP	3	48	0.9451	0.0325
MAPRE3	ADNP	3	48	0.6881	0.1149
LMNA	ADNP2	3	2	0.0558	0.4854
ACTB	ADPGK	3	4	0.2342	0.3555
KRT8	ADPGK	3	4	0.1878	0.3862
LMNA	ADPGK	3	4	0.1535	0.4109
MAPRE3	ADPGK	3	4	0.0050	0.5249
ACTB	ADRM1	3	2	0.4667	0.2190
CTNNA1	ADRM1	3	2	0.1582	0.4073
KRT8	ADRM1	3	2	0.5452	0.1788
LMNA	ADRM1	3	2	0.4018	0.2531
MAPRE3	ADRM1	3	2	0.2520	0.3452
ACTB	ADSL	3	11	0.9253	0.0387
CTNNA1	ADSL	3	11	0.2009	0.3776
KRT8	ADSL	3	11	0.9146	0.0416
LMNA	ADSL	3	11	0.3877	0.2601
MAPRE3	ADSL	3	11	0.4102	0.2495
ACTB	ADSS2	3	6	0.7106	0.1057
CTNNA1	ADSS2	3	6	0.4584	0.2233
KRT8	ADSS2	3	6	0.4338	0.2360
LMNA	ADSS2	3	6	0.5464	0.1782
MAPRE3	ADSS2	3	6	0.3088	0.3114
ACTB	AFAP1	3	16	0.9968	0.0003
CTNNA1	AFAP1	3	16	0.2503	0.3461
KRT8	AFAP1	3	16	0.7012	0.1091
LMNA	AFAP1	3	16	0.2472	0.3481
MAPRE3	AFAP1	3	16	0.3658	0.2723
ACTB	AFAP1L1	3	5	0.6888	0.1146
KRT8	AFAP1L1	3	5	0.0957	0.4532
ACTB	AFDN	3	43	0.9810	0.0094
CTNNA1	AFDN	3	43	0.9717	0.0182
KRT8	AFDN	3	43	0.5291	0.1867
LMNA	AFDN	3	43	0.0353	0.5004
MAPRE3	AFDN	3	43	0.1131	0.4375
ACTB	AFF1	3	14	0.0119	0.5181
KRT8	AFF1	3	14	0.0193	0.5126
LMNA	AFF1	3	14	0.5418	0.1804
MAPRE3	AFF1	3	14	0.0053	0.5245
ACTB	AFF4	3	16	0.0567	0.4847
KRT8	AFF4	3	16	0.0847	0.4627
LMNA	AFF4	3	16	0.8515	0.0604
MAPRE3	AFF4	3	16	0.1879	0.3862
ACTB	AFG2A	3	16	0.7281	0.1000
CTNNA1	AFG2A	3	16	0.0651	0.4780
KRT8	AFG2A	3	16	0.8529	0.0600
LMNA	AFG2A	3	16	0.0733	0.4720
MAPRE3	AFG2A	3	16	0.1969	0.3800
ACTB	AFG2B	3	12	0.8873	0.0500
CTNNA1	AFG2B	3	12	0.0702	0.4742
KRT8	AFG2B	3	12	0.9578	0.0273
LMNA	AFG2B	3	12	0.0530	0.4871
MAPRE3	AFG2B	3	12	0.2684	0.3359
ACTB	AFG3L2	3	2	0.1666	0.4005
KRT8	AFG3L2	3	2	0.5000	0.2009
LMNA	AFG3L2	3	2	0.1667	0.3994
ACTB	AFTPH	3	12	0.8964	0.0471
CTNNA1	AFTPH	3	12	0.0295	0.5047
KRT8	AFTPH	3	12	0.8513	0.0605
MAPRE3	AFTPH	3	12	0.2710	0.3344
ACTB	AGAP1	3	5	0.1468	0.4154
CTNNA1	AGAP1	3	5	0.0013	0.5297
KRT8	AGAP1	3	5	0.4431	0.2314
MAPRE3	AGAP1	3	5	0.0719	0.4730
ACTB	AGAP3	3	9	0.7515	0.0919
CTNNA1	AGAP3	3	9	0.1071	0.4432
KRT8	AGAP3	3	9	0.9609	0.0255
LMNA	AGAP3	3	9	0.6891	0.1144
MAPRE3	AGAP3	3	9	0.5656	0.1702
ACTB	AGFG1	3	16	0.9633	0.0241
CTNNA1	AGFG1	3	16	0.7437	0.0949
KRT8	AGFG1	3	16	0.9673	0.0213
LMNA	AGFG1	3	16	0.9433	0.0330
MAPRE3	AGFG1	3	16	0.9381	0.0347
ACTB	AGFG2	3	2	0.1709	0.3968
KRT8	AGFG2	3	2	0.3683	0.2710
LMNA	AGFG2	3	2	0.0688	0.4751
MAPRE3	AGFG2	3	2	0.0193	0.5126
LMNA	AGGF1	3	6	0.9378	0.0348
ACTB	AGK	3	3	0.3972	0.2555
KRT8	AGK	3	3	0.4561	0.2247
LMNA	AGK	3	3	0.4271	0.2398
MAPRE3	AGK	3	3	0.1277	0.4276
ACTB	AGL	3	2	0.1369	0.4216
KRT8	AGL	3	2	0.5411	0.1807
MAPRE3	AGL	3	2	0.0090	0.5209
ACTB	AGO1	3	7	0.0820	0.4651
KRT8	AGO1	3	7	0.8756	0.0536
MAPRE3	AGO1	3	7	0.1284	0.4271
ACTB	AGO2	3	17	0.8792	0.0525
CTNNA1	AGO2	3	17	0.4249	0.2411
KRT8	AGO2	3	17	0.9735	0.0165
LMNA	AGO2	3	17	0.4276	0.2395
MAPRE3	AGO2	3	17	0.8528	0.0601
ACTB	AGO3	3	9	0.4388	0.2336
CTNNA1	AGO3	3	9	0.0636	0.4792
KRT8	AGO3	3	9	0.8944	0.0477
MAPRE3	AGO3	3	9	0.3491	0.2802
ACTB	AGPS	3	11	0.5847	0.1621
CTNNA1	AGPS	3	11	0.2121	0.3695
KRT8	AGPS	3	11	0.9112	0.0427
LMNA	AGPS	3	11	0.4437	0.2312
MAPRE3	AGPS	3	11	0.2365	0.3542
ACTB	AGR2;AGR3	3	1	0.3333	0.2872
ACTB	AGTPBP1	3	8	0.1595	0.4062
KRT8	AGTPBP1	3	8	0.6261	0.1430
MAPRE3	AGTPBP1	3	8	0.0654	0.4779
ACTB	AHCTF1	3	96	0.3122	0.3091
CTNNA1	AHCTF1	3	96	0.0429	0.4947
KRT8	AHCTF1	3	96	0.5933	0.1579
LMNA	AHCTF1	3	96	0.9925	0.0014
MAPRE3	AHCTF1	3	96	0.1996	0.3783
ACTB	AHCY	3	13	0.9100	0.0430
CTNNA1	AHCY	3	13	0.3734	0.2681
KRT8	AHCY	3	13	0.9010	0.0459
LMNA	AHCY	3	13	0.6245	0.1437
MAPRE3	AHCY	3	13	0.5764	0.1660
ACTB	AHCYL1	3	10	0.9689	0.0202
CTNNA1	AHCYL1	3	10	0.2923	0.3221
KRT8	AHCYL1	3	10	0.9687	0.0204
LMNA	AHCYL1	3	10	0.3737	0.2679
MAPRE3	AHCYL1	3	10	0.6272	0.1424
ACTB	AHDC1	3	27	0.1332	0.4240
CTNNA1	AHDC1	3	27	0.0237	0.5088
KRT8	AHDC1	3	27	0.1553	0.4096
LMNA	AHDC1	3	27	0.9776	0.0125
MAPRE3	AHDC1	3	27	0.1000	0.4502
ACTB	AHI1	3	11	0.6910	0.1135
KRT8	AHI1	3	11	0.8877	0.0499
MAPRE3	AHI1	3	11	0.2551	0.3433
ACTB	AHNAK	3	419	0.9760	0.0142
CTNNA1	AHNAK	3	419	0.9634	0.0241
KRT8	AHNAK	3	419	0.9732	0.0168
LMNA	AHNAK	3	419	0.8813	0.0517
MAPRE3	AHNAK	3	419	0.9665	0.0221
ACTB	AHNAK2	3	227	0.9711	0.0186
CTNNA1	AHNAK2	3	227	0.9004	0.0461
KRT8	AHNAK2	3	227	0.9696	0.0197
LMNA	AHNAK2	3	227	0.5652	0.1704
MAPRE3	AHNAK2	3	227	0.9525	0.0297
ACTB	AHR	3	8	0.4715	0.2170
KRT8	AHR	3	8	0.8981	0.0467
LMNA	AHR	3	8	0.7658	0.0877
MAPRE3	AHR	3	8	0.0911	0.4569
ACTB	AHRR	3	2	0.0912	0.4569
LMNA	AHRR	3	2	0.1970	0.3799
MAPRE3	AHRR	3	2	0.0007	0.5310
ACTB	AHSA1	3	13	0.8935	0.0480
CTNNA1	AHSA1	3	13	0.4045	0.2520
KRT8	AHSA1	3	13	0.9524	0.0297
LMNA	AHSA1	3	13	0.7636	0.0883
MAPRE3	AHSA1	3	13	0.5628	0.1714
ACTB	AIMP1	3	3	0.2951	0.3205
KRT8	AIMP1	3	3	0.1059	0.4449
MAPRE3	AIMP1	3	3	0.0005	0.5315
ACTB	AIMP2	3	2	0.9506	0.0304
CTNNA1	AIMP2	3	2	0.7046	0.1078
KRT8	AIMP2	3	2	0.9517	0.0301
LMNA	AIMP2	3	2	0.8267	0.0681
MAPRE3	AIMP2	3	2	0.8102	0.0735
ACTB	AIP	3	10	0.9188	0.0403
CTNNA1	AIP	3	10	0.2399	0.3525
KRT8	AIP	3	10	0.9585	0.0269
LMNA	AIP	3	10	0.8759	0.0535
MAPRE3	AIP	3	10	0.4423	0.2317
ACTB	AJUBA	3	4	0.0095	0.5205
KRT8	AJUBA	3	4	0.6907	0.1137
MAPRE3	AJUBA	3	4	0.0057	0.5241
ACTB	AK1	3	6	0.6838	0.1167
CTNNA1	AK1	3	6	0.5178	0.1917
KRT8	AK1	3	6	0.7675	0.0872
LMNA	AK1	3	6	0.8076	0.0744
MAPRE3	AK1	3	6	0.5058	0.1976
ACTB	AK2	3	6	0.4942	0.2046
CTNNA1	AK2	3	6	0.3785	0.2655
KRT8	AK2	3	6	0.5640	0.1707
LMNA	AK2	3	6	0.4320	0.2370
MAPRE3	AK2	3	6	0.1998	0.3782
KRT8	AK4	3	1	1.0000	0.0000
LMNA	AK4	3	1	0.9998	0.0000
MAPRE3	AK4	3	1	0.6666	0.1246
CTNNA1	AK6	3	2	0.1623	0.4044
LMNA	AK6	3	2	0.1234	0.4307
ACTB	AKAP1	3	15	0.9499	0.0307
CTNNA1	AKAP1	3	15	0.0401	0.4973
KRT8	AKAP1	3	15	0.8058	0.0749
LMNA	AKAP1	3	15	0.0409	0.4964
MAPRE3	AKAP1	3	15	0.2447	0.3497
ACTB	AKAP10	3	7	0.7799	0.0833
KRT8	AKAP10	3	7	0.9626	0.0245
LMNA	AKAP10	3	7	0.2205	0.3637
MAPRE3	AKAP10	3	7	0.2725	0.3335
ACTB	AKAP11	3	23	0.7516	0.0918
CTNNA1	AKAP11	3	23	0.0476	0.4911
KRT8	AKAP11	3	23	0.7213	0.1019
MAPRE3	AKAP11	3	23	0.1226	0.4313
ACTB	AKAP12	3	33	0.9651	0.0230
CTNNA1	AKAP12	3	33	0.6098	0.1504
KRT8	AKAP12	3	33	0.7865	0.0813
LMNA	AKAP12	3	33	0.0551	0.4858
MAPRE3	AKAP12	3	33	0.6524	0.1308
ACTB	AKAP13	3	77	0.9649	0.0231
CTNNA1	AKAP13	3	77	0.7835	0.0824
KRT8	AKAP13	3	77	0.9603	0.0259
LMNA	AKAP13	3	77	0.5204	0.1908
MAPRE3	AKAP13	3	77	0.9409	0.0338
ACTB	AKAP17A	3	3	0.0002	0.5326
LMNA	AKAP17A	3	3	0.0590	0.4828
ACTB	AKAP8	3	11	0.3234	0.3007
KRT8	AKAP8	3	11	0.4798	0.2126
LMNA	AKAP8	3	11	0.9471	0.0317
MAPRE3	AKAP8	3	11	0.2291	0.3586
ACTB	AKAP8L	3	9	0.4698	0.2176
CTNNA1	AKAP8L	3	9	0.1493	0.4136
KRT8	AKAP8L	3	9	0.9767	0.0133
LMNA	AKAP8L	3	9	0.9565	0.0279
MAPRE3	AKAP8L	3	9	0.3388	0.2848
ACTB	AKAP9	3	137	0.9743	0.0157
CTNNA1	AKAP9	3	137	0.1371	0.4216
KRT8	AKAP9	3	137	0.9809	0.0095
LMNA	AKAP9	3	137	0.0927	0.4559
MAPRE3	AKAP9	3	137	0.9809	0.0095
ACTB	AKR1A1	3	2	0.3675	0.2712
