Bait	PreyGene	#Rep	AvgP	BFDR
ACTB	IGLV3-21;IGLV3-9	3	0.3333	0.4115
ACTB	IGKV3D-15	3	0.3333	0.4115
ACTB	IGKV2-28;IGKV2-29;IGKV2-30;IGKV2-40;IGKV2D-26;IGKV2D-28;IGKV2D-29;IGKV2D-30;IGKV2D-40	3	0.3333	0.4115
ACTB	IGKV3-11;IGKV3D-11	3	0.3333	0.4115
ACTB	IGHV3-49	3	0.3333	0.4115
ACTB	IGKV3D-20	3	0.3333	0.4115
KRT8	IFT56	3	0.6667	0.0696
LMNA	E2F8	3	0.6667	0.0696
KRT8	UBA6	3	0.1364	0.6573
LMNA	UBA6	3	0.0346	0.7569
ACTB	UBA6	3	0.0703	0.7169
CTNNA1	UBA6	3	0.0138	0.8025
MAPRE3	UBA6	3	0.0134	0.8040
KRT8	ESYT2	3	0.3567	0.3493
LMNA	ESYT2	3	0.1801	0.6187
ACTB	ESYT2	3	0.2383	0.5711
CTNNA1	ESYT2	3	0.0535	0.7334
MAPRE3	ESYT2	3	0.1217	0.6702
KRT8	BLTP3B	3	0.4071	0.2604
LMNA	BLTP3B	3	0.2032	0.6006
ACTB	BLTP3B	3	0.3466	0.3711
CTNNA1	BLTP3B	3	0.1717	0.6267
MAPRE3	BLTP3B	3	0.2753	0.5352
KRT8	SHTN1	3	0.3709	0.3215
LMNA	SHTN1	3	0.2262	0.5812
ACTB	SHTN1	3	0.4139	0.2496
CTNNA1	SHTN1	3	0.1658	0.6311
MAPRE3	SHTN1	3	0.3334	0.4112
KRT8	TMEM223	3	0.0538	0.7331
LMNA	TMEM223	3	0.1610	0.6355
ACTB	TMEM223	3	0.0174	0.7910
CTNNA1	TMEM223	3	0.0152	0.7977
KRT8	FAM168B	3	0.1210	0.6711
CTNNA1	FAM168B	3	0.0232	0.7767
KRT8	MEX3A	3	0.2603	0.5507
ACTB	MEX3A	3	0.0052	0.8354
MAPRE3	MEX3A	3	0.0002	0.8663
KRT8	ILVBL	3	0.1641	0.6324
LMNA	ILVBL	3	0.0021	0.8502
ACTB	ILVBL	3	0.0010	0.8573
KRT8	PLEKHG3	3	0.0303	0.7635
ACTB	PLEKHG3	3	0.7301	0.0420
CTNNA1	PLEKHG3	3	0.0030	0.8454
MAPRE3	PLEKHG3	3	0.0038	0.8415
KRT8	SH3PXD2B	3	0.0250	0.7727
LMNA	SH3PXD2B	3	0.0027	0.8469
ACTB	SH3PXD2B	3	0.1011	0.6880
CTNNA1	SH3PXD2B	3	0.0008	0.8590
MAPRE3	SH3PXD2B	3	0.0381	0.7517
KRT8	NBAS	3	0.0846	0.7026
LMNA	NBAS	3	0.0017	0.8526
ACTB	NBAS	3	0.0081	0.8234
MAPRE3	NBAS	3	0.0001	0.8682
KRT8	CCDC66	3	0.0629	0.7240
