Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	OddsScore	FoldChange	BFDR	boosted_by
PDHA1	MRPL42	MRPL42	0.724|1.560|1.189	3.472	1.157	3	.|.|.|.|.|.	0.015	0.038	0.015	0.038	0.015	-8.855	1.395	0.793	
PDHA1	NDUFB9	NDUFB9	0.920|1.993|3.404	6.317	2.106	3	.|.|.|.|.|.	0.370	0.920	0.370	0.920	0.370	-7.065	2.537	0.239	
PDHA1	IVNS1ABP	IVNS1ABP	0.421|0.426|0.486	1.332	0.444	3	.|0.331|0.602|0.430|0.514|0.571	0.000	0.000	0.000	0.000	0.000	-8.796	0.928	0.889	
PDHA1	PGP	PGP	.|0.330|0.407	1.567	0.522	3	.|.|.|.|0.310|0.204	0.010	0.023	0.010	0.023	0.010	-4.761	2.080	0.810	
PDHA1	TUBAL3	TUBAL3	.|0.390|0.705	1.925	0.642	3	0.956|1.060|1.085|.|0.256|0.411	0.002	0.005	0.002	0.005	0.002	-7.991	0.987	0.861	
PDHA1	KIF2A	KIF2A	.|0.227|.	1.887	0.629	3	0.520|0.891|0.638|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.944	0.927	
PDHA1	PDLIM1	PDLIM1	.|0.265|0.469	1.564	0.521	3	2.509|3.009|3.039|.|0.332|0.196	0.005	0.011	0.005	0.011	0.005	-5.516	0.481	0.837	
PDHA1	MYO1C	MYO1C	.|0.260|0.576	1.667	0.556	3	0.929|1.666|1.764|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.398	0.924	
PDHA1	APBB1	APBB1	.|0.204|.	1.864	0.621	3	7.406|7.661|7.431|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.083	0.927	
PDHA1	WWP2	WWP2	.|0.635|0.267	1.732	0.577	3	0.204|.|.|.|.|.	0.108	0.322	0.108	0.322	0.108	-6.144	2.826	0.526	
PDHA1	IGF2BP3	IGF2BP3	.|0.454|0.796	2.080	0.693	3	2.136|2.215|2.120|.|0.177|0.164	0.017	0.033	0.017	0.033	0.017	-3.980	0.888	0.784	
PDHA1	PEX7	PEX7	.|0.549|.	2.209	0.736	3	.|0.171|0.720|0.359|0.474|.	0.004	0.012	0.004	0.012	0.004	-4.434	1.935	0.844	
PDHA1	NDUFAB1	NDUFAB1	.|0.239|0.250	1.320	0.440	3	.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.530	0.924	
PDHA1	AP3D1	AP3D1	.|0.464|0.882	2.176	0.725	3	2.888|2.832|2.952|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.251	0.924	
PDHA1	PSMA7	PSMA7	.|0.352|.	2.012	0.671	3	.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.808	0.927	
PDHA1	MGST3	MGST3	.|0.658|0.392	1.879	0.626	3	0.292|0.350|0.678|.|.|.	0.004	0.012	0.004	0.012	0.004	-8.165	1.525	0.842	
PDHA1	SEC16A	SEC16A	.|0.326|0.514	1.670	0.557	3	6.085|6.355|6.327|0.224|.|.	0.003	0.007	0.003	0.007	0.003	-5.741	0.205	0.848	
PDHA1	EIF3H	EIF3H	.|0.320|0.312	1.462	0.487	3	1.075|1.097|1.411|0.565|0.701|0.498	0.000	0.000	0.000	0.000	0.000	-15.279	0.587	0.924	
PDHA1	RRP8	RRP8	.|0.222|0.234	1.285	0.428	3	0.450|0.850|0.254|.|.|.	0.000	0.000	0.000	0.000	0.000	-11.997	0.932	0.912	
PDHA1	TXNL1	TXNL1	.|0.185|0.487	1.502	0.501	3	5.882|6.006|6.632|.|0.307|0.276	0.005	0.012	0.005	0.012	0.005	-5.788	0.275	0.836	
PDHA1	EMC8	EMC8	.|0.305|0.308	1.443	0.481	3	.|.|.|.|0.216|.	0.009	0.013	0.009	0.013	0.009	-4.356	2.222	0.818	
PDHA1	EPB41L2	EPB41L2	.|0.388|0.504	1.722	0.574	3	2.623|2.837|2.991|0.179|.|0.283	0.000	0.000	0.000	0.000	0.000	-14.231	0.561	0.918	
PDHA1	XPOT	XPOT	.|0.436|0.863	2.129	0.710	3	1.573|1.886|1.414|.|0.233|.	0.005	0.012	0.005	0.012	0.005	-6.207	0.714	0.838	
PDHA1	NDUFB5	NDUFB5	.|0.241|.	1.901	0.634	3	.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.764	0.927	
PDHA1	GATC	GATC	.|0.375|0.678	1.883	0.628	3	.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.219	0.756	0.906	
PDHA1	NARS1	NARS1	.|0.224|.	1.884	0.628	3	.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.756	0.927	
PDHA1	AKAP8	AKAP8	.|0.305|0.344	1.479	0.493	3	0.607|0.708|0.588|.|.|.	0.000	0.000	0.000	0.000	0.000	-14.486	0.780	0.917	
PDHA1	SLC37A4	SLC37A4	.|0.261|.	1.921	0.640	3	.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.772	0.927	
PDHA1	RAD21	RAD21	.|0.365|0.167	1.361	0.454	3	0.448|1.131|1.087|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.554	0.924	
PDHA1	SMARCA5	SMARCA5	.|0.363|0.797	1.990	0.663	3	3.057|3.705|3.679|.|0.267|.	0.003	0.008	0.003	0.008	0.003	-6.423	0.363	0.847	
PDHA1	URB1	URB1	.|0.198|.	1.858	0.619	3	1.935|2.398|2.041|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.293	0.927	
PDHA1	AQR	AQR	.|0.924|0.303	2.057	0.686	3	2.426|1.669|1.403|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.384	0.918	
PDHA1	KIF1B	KIF1B	.|0.231|.	1.891	0.630	3	1.847|2.625|2.244|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.284	0.927	
PDHA1	REV3L	REV3L	.|0.460|.	2.120	0.707	3	2.026|2.634|2.560|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.296	0.927	
PDHA1	DPM1	DPM1	.|0.712|.	2.372	0.791	3	.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-8.983	0.953	0.903	
PDHA1	USO1	USO1	.|0.340|.	2.000	0.667	3	0.559|0.368|0.492|.|.|.	0.000	0.000	0.000	0.000	0.000	-10.371	1.430	0.910	
PDHA1	TOM1	TOM1	.|0.430|0.058	1.318	0.439	3	1.003|0.911|0.474|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.581	0.917	
PDHA1	PRAF2	PRAF2	.|0.413|0.429	1.672	0.557	3	.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-14.146	0.671	0.918	
PDHA1	RNGTT	RNGTT	.|0.154|.	1.814	0.605	3	0.899|1.619|0.544|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.654	0.933	
PDHA1	ABCB7	ABCB7	.|0.192|0.267	1.289	0.430	3	.|0.334|0.381|0.282|0.246|0.280	0.000	0.000	0.000	0.000	0.000	-11.617	1.428	0.901	
PDHA1	ROCK2	ROCK2	.|0.357|.	2.017	0.672	3	.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.810	0.927	
PDHA1	COQ9	COQ9	.|0.199|0.261	1.290	0.430	3	.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.518	0.924	
PDHA1	NDUFS6	NDUFS6	.|0.602|0.725	2.157	0.719	3	.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-10.415	0.866	0.901	
PDHA1	SPAG7	SPAG7	.|0.294|.	1.954	0.651	3	0.409|.|0.556|.|.|.	0.000	0.000	0.000	0.000	0.000	-9.886	1.365	0.908	
PDHA1	VPS26A	VPS26A	.|0.578|0.709	2.117	0.706	3	1.092|1.202|0.898|.|0.591|0.408	0.000	0.000	0.000	0.000	0.000	-10.192	0.908	0.899	
PDHA1	GCAT	GCAT	.|0.291|.	1.951	0.650	3	.|0.511|0.486|.|.|.	0.000	0.000	0.000	0.000	0.000	-10.388	1.305	0.910	
PDHA1	EIF3J	EIF3J	.|0.397|1.457	2.683	0.894	3	.|.|.|.|.|.	0.008	0.023	0.008	0.023	0.008	-14.600	1.078	0.821	
PDHA1	KBTBD11	KBTBD11	.|0.523|0.156	1.509	0.503	3	.|.|0.311|.|.|.	0.008	0.025	0.008	0.025	0.008	-10.557	1.617	0.818	
