Protein	Empty_1	Empty_2	Empty_3	EGFP_1	EGFP_2	EGFP_3	EGFR_1	EGFR_2	EGFR_3	PDHA1_1	PDHA1_2	PDHA1_3	RAB11A_1	RAB11A_2	RAB11A_3
AKR1B1	0	0	9184.294	0	0	0	0	0	0	0	0	9474.161	0	0	0
GSPT1	94748.8	131372.84	91994.93	297225.5	294490.62	260274.98	475654.6	411964.22	410135.44	51392.305	119193.586	190108.66	448379.97	414181.34	293950.03
IFNGR1	0	0	0	0	0	0	0	21837.562	25136.008	0	0	0	71675.89	33232.79	38960.82
ARSA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B4GALT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EZR	0	0	8609.481	293797.03	392233.25	308283.38	844327.56	1093302.9	1214559.8	0	0	24832.467	392856.34	411196.16	405843.66
UCHL3	0	0	0	0	0	0	9394.969	0	12370.824	0	0	0	0	11048.809	17193.016
NME1	304959.6	397260.34	321544.7	560305.6	538392.8	433997.25	388137.53	569553	297942.5	247507.81	345116.97	361837.22	1015492.4	782246.6	871285.2
GNS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF250	0	0	0	21012.693	26181.55	57311.35	0	0	0	0	0	0	0	0	0
HIVEP1	0	0	0	194607.03	295869.8	297318.03	0	0	0	0	0	0	0	0	0
RPS2	84080.37	129325.53	111780.984	763444.2	392747.72	566262.5	726882.1	692209.7	724811.3	127074.56	189032.16	222767.34	584634.8	542359.25	526326.5
CHN1	0	0	0	36079.15	0	0	27005.576	40702.438	25530.69	0	0	0	0	0	0
DSP	127727.836	957881.6	725872.8	3493243.8	4053478.2	3120878.5	1925202.2	1639995.2	1728763.1	1182241.1	2724145.2	402571.12	2393124	2301053.2	2097433.5
H2AX	0	0	0	44277.676	23148.92	7233.0156	0	0	0	0	0	0	0	0	0
ITGB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBR1	25711.225	31454.332	63071.64	82434.13	71529.98	48851.76	74211.58	78365.08	41169.984	43757.19	85039.48	51609.51	220970.81	177921.61	218522.7
ANK1	0	0	0	39089.445	24855.645	45482.7	148747.7	99380.89	180676.75	0	0	0	16605.512	0	11297.001
PNLIP	0	0	0	0	0	0	0	0	440.02252	0	0	0	3304.541	1962.9146	672.82196
GLB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCK1	0	0	0	0	0	0	24178.662	28523.125	31797.725	0	0	0	0	14635.322	15574.975
GCFC2	0	0	0	1151365.4	751322	861924.5	262539.2	122653.41	152047.95	0	0	0	134327.31	126582.94	100733.19
H1-3	0	0	0	50287.4	55900.953	0	57002.555	68842.555	66332.96	36131.527	82770.87	99043.13	125954.05	104226.85	118510.7
H1-2	437600.8	409756.03	390105.16	2628215.2	2327131.5	2011511	3318682.8	3801536.8	3982135	1457111.2	1486534.8	2614076.8	4790788.5	2708061	4163216
EPCAM	0	0	0	0	0	0	21678.445	18117.234	24535.555	0	0	0	27356.334	0	25369.635
MGMT	0	0	0	0	49690.773	38424.688	14583.891	0	16555.879	0	0	0	35050.33	20622.898	29790.07
ATP2A2	73626.88	88370.36	151651.1	837220.56	750289.8	933840.1	1002742.25	917767.75	897225.8	63333.164	219983.45	321139.03	993934.4	990881.8	1168533.6
CPE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLCG2	0	0	0	24003.285	13761.554	0	0	0	0	0	0	0	0	0	0
STMN1	0	0	0	0	1041409.44	0	29152.117	0	0	0	0	0	0	35422.008	0
ZFX	0	0	0	6551.3135	11707.311	14998.969	0	0	0	0	0	0	8123.036	0	6869.8325
ZNF12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF182	0	0	0	18018.365	0	0	0	0	0	0	0	0	0	0	0
ZNF24	0	0	0	0	35601.93	24410.762	0	0	0	0	0	0	0	0	0
ZKSCAN1	0	0	0	22365.854	0	22854.729	0	0	0	0	0	0	0	0	0
ZNF37A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF28	0	0	0	38174.805	0	0	0	0	0	0	0	0	0	0	0
ZNF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZSCAN20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAGA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNAR1	0	0	0	0	0	0	0	0	0	0	0	0	0	14305.546	0
PRKCA	0	0	0	241371.88	123650.13	65234.227	122774.06	102402.555	112555.53	0	0	0	103665.484	97452.46	130528.766
JUNB	0	0	0	0	0	0	0	0	101541.08	0	0	0	0	0	0
ITGA2	0	0	0	0	0	0	0	0	0	0	0	0	119427.56	96371.81	85002.375
GJA1	0	0	0	0	0	0	162394.39	138181.39	169853.02	0	0	0	489908.66	402309.25	420127.94
UBTF	0	0	0	4025705	4464746.5	4166482.8	3137122.8	2447484.2	2482480.5	837510.3	689621.75	727320.25	2911302.5	2163229	2062726.2
HOXB9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXB6	0	0	0	0	45651.938	0	8399.466	0	0	0	0	0	42010.96	16240.761	0
JUND	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATF7	0	0	0	50999.977	13869.98	0	0	0	0	0	0	0	0	0	0
PRKACA	48388.215	48619.875	43494.297	194054.56	155169.06	117190.69	216660.78	196534.55	129716.41	110118.45	49977.254	27204.242	298967.97	227092.33	305350.9
CAPN2	0	0	0	75554.47	50666.906	63013.715	219228.53	203108.25	212296.9	0	12535.942	1954.0879	153496.55	129015.6	103680.57
HLA-G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTPN2	0	0	0	0	0	0	42696.17	26860.426	5905.915	0	0	0	0	64436.938	0
CTPS1	31685.48	31140.594	36369.75	421507.62	498194.5	410930.6	473263.88	396109.75	478579.84	79427.44	158331.67	157794.05	525655.9	458680.2	483229
DDX5	544040.1	631872.44	520558.47	591042.4	758371.2	937720.2	1534960.5	1199706.9	1233946.9	584723.4	732679.7	713275.25	1220131.8	1519479.1	924529.06
PFKL	0	22638.04	42235.902	460195.3	510768.12	332664.72	282288.03	256355.28	256061.58	0	19502.99	30468.652	706314	423087.34	498941.78
FLT1	0	0	0	0	0	0	8765.779	8410.786	0	0	0	0	25557.145	28274.645	0
PSMC3	0	0	0	155006.67	135930.12	167177.16	82760.64	81649.734	71602.516	0	7199.5225	0	61796.395	51236.89	62403.54
TCP1	412682.47	508931.16	502320.5	1994716.9	2252785.5	1734426	1908745.4	1633868.9	2126982	1323826.5	1438914.5	1356997.1	2052419.8	2140835.5	2528398.2
PTPN1	14019.123	66785.336	58769.71	27076.074	87486.9	83687.47	475471.16	545105.56	448274.97	19163.602	17039.41	61947.87	379959.75	526077.06	391868.06
BMP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL35A	51128.496	67492.38	50225.348	0	0	0	129801.39	165758.61	141502.53	12304.526	0	0	38758.125	127455.016	89742.71
ITGB5	0	0	0	0	0	0	0	0	0	0	0	0	326817.66	242209.02	220675.33
ARF4	26495.066	33332.42	31263.64	115757.73	116524.74	247688.42	404647	309448.62	366654.12	55126.977	91840.36	96358.125	420489.22	419414.28	395377.34
RPL7	103135.36	162650.56	98749.97	137857.66	122447.83	172383	307640.2	321931.66	314266.66	169589.31	234668.3	199687.3	293854.12	309980.12	348914.28
VCL	0	0	9199.791	795239.56	0	0	90547.05	41308.137	46420.195	4698.6006	0	0	0	24987.502	0
PTPRA	0	0	0	0	0	0	112264.7	113699.555	134956.28	0	0	0	48840.305	51851.875	0
NAT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SON	0	0	0	1024511.06	1320324.8	963721.8	77387.83	42654.004	30313.29	4647.9263	31615.37	49528.29	111956.65	138780.12	133761.97
NELFE	0	0	0	158351.16	169906.39	216906.88	21115.693	16907.328	19411.984	0	0	0	19556.068	0	15723.471
RPL17	181887.78	324063.28	338471.4	510140.6	770509.9	503251.53	699677.2	486805.06	845315.75	177968.34	256667.84	310515.9	1452844	838493.5	1027904.06
PGAM1	0	4070.6404	0	270373.2	371439.8	212911.31	68649.79	85414.91	117785.49	0	0	0	243803.89	127362.09	182894.19
RCC1	5815.6753	17548.502	12168.487	0	0	0	18815.07	0	55855.93	495657.25	12912.697	13570.622	17718.328	35778.434	34952.656
ATF1	0	0	0	0	23880.19	0	0	0	0	0	0	0	0	0	0
ATF3	0	0	0	101296.945	107364.34	42622.95	0	0	0	0	0	0	0	0	0
ATF6	0	0	0	0	0	17360.242	35769.555	14458.263	50271.586	0	0	0	111257.01	128860.59	73895.45
LIG1	0	0	0	20484.209	0	24611.584	27150.094	0	19697.574	0	0	0	0	0	0
ATP5PF	0	0	0	0	0	0	0	0	0	284928.5	605232.3	549953.75	0	0	0
XRCC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT15	0	0	0	0	0	0	0	509006.5	0	605978.06	1332706.5	0	0	0	0
KRT4	0	0	0	0	25528.057	0	0	0	0	0	0	0	0	0	0
PAM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNAZ	0	0	0	0	0	0	0	15755.141	43838.7	0	0	0	201688.88	155566.81	177403.39
PLCG1	4967.5986	0	4814.4766	147808.6	76452.695	8151.2207	62826.2	101772.41	30955.41	0	0	0	67168.16	101900.5	155513.23
NCL	0	21204.516	32857.504	668778.8	609087.9	498369.2	427343	377331.78	349292	232447.36	344982.6	165858.67	424901.53	498018.22	470738.6
HK1	8432.258	28378.646	13059.511	53480.266	38869.426	88968.375	144681.36	96455.805	78178.18	0	23164.82	54823.28	134216.02	213863.84	147688.36
POLR2E	0	0	0	0	35090.15	27112.12	0	25489.748	76041.33	0	0	0	20503.871	0	17837.55
NDUFV2	0	0	0	0	0	0	0	0	0	7565.286	88851.71	158292.36	33536.47	20018.26	22790.402
ERCC3	0	0	0	0	32825.96	0	0	0	0	0	0	0	0	0	0
TRIM21	0	0	0	0	0	0	0	0	0	0	0	0	6015.547	0	0
EIF2AK2	0	0	11419.164	450572.8	255283.75	352044.25	158391.45	97374.38	304380.47	24196.74	48161.688	53832.562	187813.05	179758.53	200706.39
WT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRM	32570.016	39951.04	19675.896	0	0	0	206726.72	117517.96	103726.11	172519.34	168047.17	194379.6	84381.94	138103.88	82907.87
SLC9A1	0	0	0	0	0	0	0	0	0	0	0	0	3269.8875	0	13348.013
CSNK2A2	0	0	8480.082	0	53478.438	22811.574	0	72664.53	0	41526.504	0	44865.484	112535.23	25745.402	44127.234
RXRA	0	0	0	19286.955	66423.13	62597.46	0	0	0	0	0	0	10692.362	0	0
NFKB1	0	0	0	42030.31	64643.36	50299.61	12587.328	12500.6	0	0	0	0	27893.92	0	17033.926
ATP2B1	0	0	15439.681	151954.42	496970.5	244330.94	2116284.8	1990807.5	2580466.2	0	0	9120.651	1312011	994226	1263037.6
EIF2S2	0	0	0	84453.34	108106.19	127442.086	96812.07	83328.05	73590.42	0	35396.586	14785.107	76389.04	84610.766	78704.875
ANXA7	0	0	0	0	0	59874.6	46648.125	0	56106.234	0	33967.656	0	37941.473	49237.668	41015.617
TBP	0	0	0	0	0	0	0	0	0	0	0	0	0	7229.717	0
CCNA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTF3	4401.1123	0	0	56940.848	112058.55	94369.55	17867.676	17231.125	20094.475	0	0	0	127842.6	71878.445	120529.375
RAB5A	0	0	0	0	0	0	0	32960.48	11086.676	0	0	0	0	0	38588.113
MSH3	0	0	0	338645.12	163781.78	153514.66	111562.68	0	13834.281	0	0	0	157427.81	55822.938	29568.598
PSMB1	0	0	0	0	0	0	73731.84	0	0	0	0	0	0	65196.133	0
COX5A	0	0	0	0	0	0	0	0	0	39221.086	147133.19	247257.83	0	0	0
LMNB1	0	58505.227	0	19114.07	103142.67	26571.49	309586.62	313456.56	349542.3	39012.074	53609.758	44060.36	368423.4	385881.38	339260.3
HOXA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3755.1438
CAST	6701.285	6879.8174	5279.6997	100451.9	78586.26	76175.5	26490.115	30686.05	8016.4395	0	11889.781	12711.461	51001.656	68989.53	67592.2
FLG	0	108438.086	193775.55	0	0	26186.629	0	0	0	11866.117	185828.28	0	0	0	0
RASA1	0	2401.1206	0	183412.56	125582.58	18659.322	23850.732	61483.38	134897.95	0	0	0	47557.254	139252.92	56083.855
CDK11B	0	0	0	112077.5	202205.53	909963.44	0	0	0	0	0	0	0	0	0
GSTM3	178707.28	265262.06	182567.78	480993.78	339405.2	336236.3	375328.38	503292.25	347450.3	231558.6	263251.75	251837.34	623954.4	622284.3	535805.7
ATP6V1B2	0	0	0	0	0	26643.64	63914.043	94103.875	81256.49	0	0	25450.387	23787.879	24237.705	0
ATP6V1C1	0	0	6754.1387	92346.23	20529.445	30853.734	80523.09	54718.152	52916.812	0	0	7235.83	54253.17	18201.033	56850.047
FLNA	305686.47	416215.9	519514.53	3.38E+07	3.24E+07	3.00E+07	2.13E+07	1.98E+07	2.23E+07	1627669	2189623	1977490.8	1.44E+07	1.37E+07	1.46E+07
NF1	0	0	0	127683.16	157646.61	214159.5	246585.69	364868.56	277359.94	0	0	0	268451.25	142840.56	133164.33
ACO1	0	0	0	602482.44	503378.97	402191.3	196773.11	185753.33	277377.22	0	13745.843	0	497711.94	350409.66	410697.28
TAF1	0	0	0	0	26902.742	44783.766	0	0	0	0	0	0	17413.59	0	0
VDAC1	0	23574.082	33676.508	156357.67	137869.9	122954.67	68974.39	34467.58	38136.008	36942.957	19988.262	10673.722	0	0	0
SDHB	0	0	0	0	0	2997.1804	35850.395	33878.645	41620.082	46738.316	185635.6	229481.4	0	0	0
BCKDHB	0	0	0	108247.586	0	0	0	0	26367.346	0	0	0	0	0	0
COMT	0	0	0	33288.43	14977.068	21543.447	22442.838	24271.33	15016.21	0	0	0	38767.984	15577.582	16617.379
MMUT	0	0	0	0	0	0	8481.572	0	0	15891.032	110542.39	177955.69	0	0	0
OSBP	0	0	0	179678.28	178086.38	83157.83	650595.75	799252.94	929902.06	0	0	0	521827.75	356306.38	426952.16
PCMT1	885201.94	1246665.4	933256.25	1702711.2	2355817.2	1711269.6	1178394.2	1488933.4	1036846.9	1103076.6	1338625.4	1252714	3119270.5	2715440.8	3145333.2
FBL	287686.88	428492.94	559302	1041768.25	1321999.2	938977.94	875010.3	892459.1	924583.2	276246.44	318879.5	349425	1249911.9	748540.7	872129.94
