Bait	PreyGene	#Rep	AvgP	BFDR
EGFR	AP3B1	3	0.3890	0.2302
PDHA1	AP3B1	3	0.2081	0.3542
RAB11A	AP3B1	3	0.6571	0.1418
EGFR	APBB1	3	0.1068	0.4040
PDHA1	APBB1	3	0.0021	0.5295
RAB11A	APBB1	3	0.9999	0.0000
EGFR	NDUFS8	3	0.0300	0.4733
PDHA1	NDUFS8	3	0.8956	0.0100
RAB11A	NDUFS8	3	0.0569	0.4452
EGFR	NFKBIE	3	0.0180	0.4902
RAB11A	NFKBIE	3	0.1498	0.3784
EGFR	PSMD11	3	0.6164	0.1556
PDHA1	PSMD11	3	0.1096	0.4021
RAB11A	PSMD11	3	0.6310	0.1510
EGFR	PSMD12	3	0.7179	0.0838
PDHA1	PSMD12	3	0.1637	0.3721
RAB11A	PSMD12	3	0.5583	0.1729
EGFR	PSMD9	3	0.5992	0.1607
PDHA1	PSMD9	3	0.8621	0.0173
RAB11A	PSMD9	3	0.5341	0.1808
EGFR	ATOX1	3	0.2098	0.3537
PDHA1	ATOX1	3	0.0601	0.4419
PDHA1	CBX4	3	0.0000	0.5549
RAB11A	CBX4	3	0.0015	0.5330
EGFR	PGRMC1	3	0.7533	0.0648
PDHA1	PGRMC1	3	0.3954	0.2279
RAB11A	PGRMC1	3	0.7885	0.0452
EGFR	SUPT5H	3	0.6288	0.1520
PDHA1	SUPT5H	3	0.5564	0.1736
RAB11A	SUPT5H	3	0.7608	0.0605
EGFR	DFFA	3	0.0322	0.4708
PDHA1	DFFA	3	0.0237	0.4808
RAB11A	DFFA	3	0.1980	0.3569
EGFR	CLIC1	3	0.9991	0.0000
PDHA1	CLIC1	3	0.9679	0.0018
RAB11A	CLIC1	3	0.9890	0.0006
EGFR	EIF3F	3	0.2729	0.3305
PDHA1	EIF3F	3	0.0173	0.4913
RAB11A	EIF3F	3	0.3189	0.3149
EGFR	CACNB4	3	0.3333	0.2529
EGFR	WWP2	3	1.0000	0.0000
PDHA1	WWP2	3	0.4256	0.2165
RAB11A	WWP2	3	0.9506	0.0032
EGFR	CDC7	3	0.1118	0.4003
PDHA1	PDHX	3	1.0000	0.0000
PDHA1	DCTN6	3	1.0000	0.0000
RAB11A	DCTN6	3	0.6667	0.1110
EGFR	SLC33A1	3	0.1105	0.4014
RAB11A	SLC33A1	3	0.1036	0.4064
EGFR	IPO5	3	0.7725	0.0541
PDHA1	IPO5	3	0.5495	0.1755
RAB11A	IPO5	3	0.8003	0.0392
EGFR	POLRMT	3	0.0669	0.4356
PDHA1	POLRMT	3	0.7212	0.0823
RAB11A	POLRMT	3	0.5274	0.1828
RAB11A	EEF2K	3	0.0109	0.5038
EGFR	SAP18	3	0.6667	0.1110
EGFR	IGF2BP3	3	0.7762	0.0521
PDHA1	IGF2BP3	3	0.3228	0.3132
RAB11A	IGF2BP3	3	0.7952	0.0421
EGFR	DNM1L	3	0.0435	0.4592
RAB11A	DNM1L	3	0.7164	0.0843
EGFR	RTCA	3	0.2674	0.3321
PDHA1	RTCA	3	0.0465	0.4566
RAB11A	RTCA	3	0.5421	0.1781
EGFR	PIK3C2A	3	0.6643	0.1383
PDHA1	PIK3C2A	3	0.3083	0.3184
RAB11A	PIK3C2A	3	0.6579	0.1413
EGFR	PIK3R2	3	1.0000	0.0000
RAB11A	PIK3R2	3	0.6503	0.1439
EGFR	TRAF5	3	0.1299	0.3890
PDHA1	TRAF5	3	0.0007	0.5396
RAB11A	TRAF5	3	0.0114	0.5026
EGFR	PLOD2	3	0.3333	0.2529
EGFR	EXOC5	3	0.7153	0.0851
RAB11A	EXOC5	3	1.0000	0.0000
PDHA1	NDUFA4	3	0.6810	0.1049
RAB11A	NDUFA4	3	0.2396	0.3428
EGFR	PSMD14	3	0.3910	0.2295
RAB11A	PSMD14	3	0.5868	0.1646
EGFR	KPNA3	3	0.7206	0.0824
PDHA1	KPNA3	3	0.0788	0.4253
RAB11A	KPNA3	3	0.5095	0.1879
RAB11A	KRIT1	3	0.6667	0.1110
EGFR	PES1	3	0.0183	0.4896
PDHA1	PES1	3	0.0002	0.5476
RAB11A	PES1	3	0.0116	0.5020
EGFR	NOP56	3	0.7885	0.0452
PDHA1	NOP56	3	0.4235	0.2174
RAB11A	NOP56	3	0.7260	0.0795
EGFR	DDX3X	3	0.6224	0.1536
PDHA1	DDX3X	3	0.2041	0.3552
RAB11A	DDX3X	3	0.7147	0.0854
RAB11A	PODXL	3	1.0000	0.0000
EGFR	PEX7	3	0.2712	0.3310
PDHA1	PEX7	3	0.2402	0.3426
RAB11A	PEX7	3	0.7116	0.0872
RAB11A	KPNA4	3	0.0009	0.5377
EGFR	E2F3	3	0.0002	0.5476
RAB11A	E2F3	3	0.0000	0.5549
EGFR	PPP6C	3	0.0635	0.4387
PDHA1	PPP6C	3	0.0089	0.5084
RAB11A	PPP6C	3	0.2861	0.3260
EGFR	PIK3C2B	3	0.0220	0.4831
RAB11A	PIK3C2B	3	0.7125	0.0862
EGFR	MAN2B1	3	0.3333	0.2529
RAB11A	UBE2C	3	0.3082	0.3185
EGFR	ACACB	3	0.0133	0.4988
PDHA1	ACACB	3	0.0337	0.4684
RAB11A	ACACB	3	0.1897	0.3607
RAB11A	PDXK	3	0.1051	0.4055
EGFR	SCD	3	1.0000	0.0000
RAB11A	SCD	3	0.6667	0.1110
EGFR	ARID1A	3	0.1061	0.4047
RAB11A	ARID1A	3	0.3681	0.2380
EGFR	SOCS7	3	0.6667	0.1110
EGFR	C2CD2L	3	0.9994	0.0000
RAB11A	C2CD2L	3	0.0993	0.4094
EGFR	NEMP1	3	0.6666	0.1361
RAB11A	NEMP1	3	0.3333	0.2529
RAB11A	CUX2	3	0.3333	0.2529
EGFR	DPYSL4	3	0.0130	0.4993
RAB11A	DPYSL4	3	0.3190	0.3149
PDHA1	NDUFAB1	3	1.0000	0.0000
EGFR	UBFD1	3	0.3327	0.3072
PDHA1	UBFD1	3	0.1616	0.3730
RAB11A	UBFD1	3	0.7121	0.0868
EGFR	CIT	3	0.0826	0.4223
EGFR	COPE	3	0.3333	0.2529
EGFR	UTY	3	0.3333	0.2529
EGFR	CDC42EP2	3	0.6667	0.1110
EGFR	AP3D1	3	0.1608	0.3733
PDHA1	AP3D1	3	0.0045	0.5203
RAB11A	AP3D1	3	0.1424	0.3826
EGFR	ABLIM1	3	0.7967	0.0413
RAB11A	ABLIM1	3	0.0693	0.4336
EGFR	DVL1	3	0.0224	0.4823
RAB11A	DVL1	3	0.0165	0.4930
EGFR	DVL2	3	0.0955	0.4122
PDHA1	DVL2	3	0.0026	0.5269
RAB11A	DVL2	3	0.0773	0.4268
EGFR	CHD1	3	0.0010	0.5366
PDHA1	CHD1	3	0.0021	0.5295
RAB11A	CHD1	3	0.0217	0.4834
EGFR	GOSR2	3	0.4829	0.1963
RAB11A	GOSR2	3	0.6669	0.1110
EGFR	IRS4	3	0.8044	0.0373
PDHA1	IRS4	3	0.4000	0.2262
RAB11A	IRS4	3	0.6973	0.0951
RAB11A	TOR1A	3	0.3333	0.2529
EGFR	TOR1B	3	0.6667	0.1110
EGFR	STX16	3	0.0360	0.4660
RAB11A	STX16	3	0.7879	0.0456
EGFR	TP53I11	3	1.0000	0.0000
RAB11A	TP53I11	3	0.3333	0.2529
RAB11A	APAF1	3	0.0000	0.5549
PDHA1	RIOK3	3	0.0143	0.4967
RAB11A	MAP2K7	3	0.3333	0.2529
EGFR	ACOT8	3	0.3333	0.2529
RAB11A	ACOT8	3	0.6667	0.1110
EGFR	CDIPT	3	0.4759	0.1984
PDHA1	CDIPT	3	0.0318	0.4714
RAB11A	CDIPT	3	0.5596	0.1726
EGFR	PDCD5	3	0.0001	0.5502
RAB11A	PDCD5	3	0.0394	0.4628
EGFR	PRMT5	3	0.7242	0.0804
RAB11A	PRMT5	3	0.2017	0.3557
EGFR	SLC9A3R1	3	0.5048	0.1893
RAB11A	SLC9A3R1	3	1.0000	0.0000
EGFR	CHEK1	3	0.0052	0.5178
RAB11A	CHEK1	3	0.0066	0.5137
EGFR	TNFRSF10B	3	0.9954	0.0002
RAB11A	TNFRSF10B	3	0.9959	0.0002
RAB11A	TCERG1	3	0.0001	0.5502
EGFR	NDC80	3	0.0203	0.4859
RAB11A	NDC80	3	0.1168	0.3976
EGFR	NRP1	3	0.3333	0.2529
EGFR	TNPO2	3	0.3333	0.2529
EGFR	UNC13B	3	1.0000	0.0000
RAB11A	UNC13B	3	1.0000	0.0000
EGFR	POLR3A	3	0.1517	0.3776
RAB11A	POLR3A	3	0.0175	0.4909
EGFR	PSMA7	3	0.3333	0.2529
