Protein	EGFP_1	EGFP_2	EGFP_3	EGFR_1	EGFR_2	EGFR_3	HEK293_1	HEK293_2	HEK293_3	PDHA1_1	PDHA1_2	PDHA1_3	RAB11A_1	RAB11A_2	RAB11A_3
CEP164	920892.7	1107876.6	868126.6	54039.684	51964.504	109239.24	0	0	0	0	0	0	318240.62	323716.97	317789.7
AGTPBP1	423579.88	381098.2	375492.8	57775.7	79334.81	105678.78	0	0	0	0	0	0	127292.91	106011.95	106843.055
SATB2	66118.375	121538.234	121097.53	0	0	0	0	0	0	0	0	0	0	0	0
SHANK2	0	0	0	0	0	14283.963	0	0	0	0	0	0	0	0	0
DICER1	580910.7	575609.5	454358.06	11888.723	6536.3184	34189.383	0	0	0	0	0	2681.971	223753.4	131951.11	108696.6
MAPRE3	0	0	0	32230.258	0	0	0	33339.99	0	61268.164	25334.854	0	0	0	0
DNM3	0	0	48151.336	0	0	0	0	0	0	0	0	0	18454.7	0	0
SRRM2	1529480.8	1985193.6	1790277.1	1483812.2	1607429.1	1353984.6	199448.22	315959.44	288206.3	1433834.1	1896264.8	1821077.4	1875227	1592741.2	2394865.8
PA2G4	80628.875	87917.83	111204.734	111031.69	178514.36	137279.47	9862.682	10850.033	21661.74	7246.225	35657.055	47424.055	98634.78	119060.83	110102.89
EXO1	226727.47	304711.53	246361.62	90764.836	0	0	0	0	0	0	0	0	0	0	0
BAIAP2	0	28961.918	0	258390.03	298918.12	351958.56	0	0	0	0	0	0	0	0	0
GAB2	0	0	0	0	5720.1265	0	0	0	0	0	0	0	0	0	0
SMC3	296334.06	263498.4	330339.94	201706.34	154270.64	87153.99	156239.2	40724.586	34348.152	77912.92	2859.5903	127838.27	427183.38	135494.16	260360.05
SCML2	161911.08	162624.47	72223.11	52648.977	46554.78	0	18416.387	13496.795	9086.125	0	8912.545	0	167600.36	47195.477	73175.375
ZNF148	143306.83	168812.53	201651.31	0	0	0	0	0	0	0	0	0	0	0	0
MTMR6	22842.25	48634.22	43684.613	12140.53	0	16866.012	0	31740.395	0	0	0	0	74894.81	37764.06	20420.95
JAG2	0	0	0	40016.945	41980.246	47384.344	0	0	0	0	0	0	39437.555	88213.305	60070.973
NIP7	217359.78	199339.19	117709.72	172399.17	185543.97	160768.77	0	0	5048.602	0	80376.11	88753.586	261327.47	183147.02	181445.6
GNE	95713.7	88739.28	79111.695	109599.34	0	71232.64	0	0	0	0	0	0	83332.47	82916.06	19127.527
RTRAF	198077.9	203367.66	174654.88	103683.61	143343.8	181321.3	14712.543	14337.537	5312.6567	0	8081.5864	56001.023	61129.31	167748.1	145004.19
RUVBL2	170239.73	390774.88	339689.6	441981.7	372044.66	351272.2	53325.54	45408.21	6135.15	177484.62	278548.44	181594.02	570976.3	730253.3	453813.72
CDYL	36152.527	29048.492	35566.48	0	0	0	0	0	0	0	0	0	0	0	0
PDE10A	0	0	0	0	0	16821.83	0	0	0	0	0	0	0	0	0
PIN4	0	0	0	42131.914	0	33867.406	5702.577	11217.636	8074.9985	0	9635.038	10469.515	0	36400.03	0
POMP	0	0	27786.605	0	0	0	0	0	0	0	0	0	0	0	0
LZTS1	0	0	0	0	24791.191	29537.14	0	0	0	0	0	0	67926.414	46340.504	56175.75
EIF3L	112304.914	146322.33	184337.7	152935.62	118214.36	112950.72	12828.748	27388.764	29969.11	140632.23	157857.62	142662.95	179981.84	172219.06	162793.58
PLAA	21306.379	9029.678	0	0	0	46414.914	0	0	0	0	0	0	0	0	60866.324
RUVBL1	192378.25	251935.84	251420.84	403983.25	596649.75	274899.97	48964.85	34738.477	0	433633.1	357285.97	289030.2	517040.06	629530.06	553813.3
NUDC	1222307.1	1131683	1244301.8	712530.7	659474.4	777133.5	249566.78	453093.7	309016.44	228845.33	369950.12	419196.72	879210.6	980437.56	1051767.2
RASD1	1993385.6	2107835.5	0	6212795	2955398.5	507907.88	0	0	0	0	0	0	2134712	3298200.8	1897914.9
BCS1L	0	0	0	0	5047.9873	0	0	0	0	23047.773	69535.87	20744.492	0	0	0
VDAC3	695269.8	838097.1	641148.06	634650.5	709219.5	728747.4	180678.61	188031.69	253919.6	286788.9	344062.72	359386.97	900082.56	968875	1041168.56
CFL2	19038.879	49032.31	46048.117	94882.94	89739.31	66001.37	43545.5	34915.51	31876.346	78781.99	87560.97	72942.67	131981.98	71353.95	110559.875
FARSA	372541.34	277743.22	348711.38	282361.22	296234.44	265137.3	6183.895	22026.006	21655.893	38033.406	37477.85	32797.406	409875.88	287066	279399.8
ITM2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16623.059
SLC5A6	0	0	0	0	0	0	0	0	0	0	0	0	22779.674	0	54358.28
