Protein	EGFP_1	EGFP_2	EGFP_3	EGFR_1	EGFR_2	EGFR_3	HEK293_1	HEK293_2	HEK293_3	PDHA1_1	PDHA1_2	PDHA1_3	RAB11A_1	RAB11A_2	RAB11A_3
NUDT4B	0	0	0	0	0	0	6760.708	0	0	0	0	0	0	25285.39	0
GATD3B	122103.29	108699.08	152588.4	212336.94	158384.03	274353.94	17032.371	28536.875	55366.676	33612.758	185357.2	124188.33	323893.94	333586.66	347290.25
TTC26	0	0	0	0	0	0	0	0	0	0	0	0	0	56711.6	0
E2F8	139974.36	99414.36	66832.016	0	0	0	0	0	0	0	0	0	0	0	0
UBA6	139543.12	187450.9	126628.41	76335.516	169547.44	107780.41	47173.367	81621.3	105619.93	49431.684	56946.25	45893.07	250246.64	133539.53	242328.12
ESYT2	158796.64	179503.03	157078.83	576326.7	412996.28	657835.5	0	0	0	0	0	0	1190621	377445.7	400912.84
UHRF1BP1L	325799.56	545195.44	464442.44	170922.23	123035.84	165295.23	0	0	0	0	0	0	1.02E+07	1.06E+07	1.05E+07
SHTN1	409165.72	360361.78	388269.8	194977.61	147786.22	238114.39	0	7550.823	0	0	0	67287.484	148671.58	184150.88	129146.734
ARHGAP10	28536.334	47657.574	21457.018	0	0	0	0	0	0	0	0	0	40340.72	38415.76	16661.195
FAM168B	0	0	0	41946.582	39747.656	48503.75	32607.766	35817.94	35451.285	41452.85	55911.6	51668.457	0	63111.176	39497.26
MEX3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12468.116
ILVBL	49697.074	34034.973	65476.797	55492.676	37733.15	71455.95	0	0	0	0	0	13447.968	59787.39	64571.21	88966.79
C1orf226	0	0	0	45977.08	44374.883	70402.28	0	0	0	0	0	0	0	25774.668	0
PLEKHG3	89546.84	61077.133	83222.45	108107.76	10906.192	39490.07	0	0	0	0	0	0	0	0	69011.86
SH3PXD2B	31664.344	0	0	72939.19	54679.54	41448.633	0	0	0	0	0	0	0	0	0
FAM92A	0	0	0	0	0	19424.38	0	0	0	0	0	0	0	0	0
NBAS	23191.703	23104.738	12993.822	120683.72	74253.234	141414.61	0	0	0	0	0	0	118092.61	174028.03	68608.66
CCDC66	91095.78	108483.95	86262.19	11110.504	21557.672	11061.363	0	0	0	0	0	0	0	14708.433	0
TMEM131L	0	0	0	34961.97	242534.47	145518.2	0	0	0	0	0	0	111387.47	245659.44	48296.273
VWA8	57910.11	104489.94	0	32969.934	0	0	0	0	0	690660.4	1379949.2	1885563.6	17226.947	19588.14	7438.9854
SBNO1	348904.12	396079.53	276615.06	32053.31	0	40557.34	0	0	0	0	0	0	78874.27	31301.205	24243.445
FAM221A	193832.7	144313.2	116773.41	0	0	14998.154	0	0	0	0	0	0	72350.77	84782.55	89630.266
GTPBP10	0	0	0	0	0	0	0	0	0	3805.3665	114696.97	102534.03	0	0	0
WDR91	0	101494.16	0	0	0	0	0	0	0	0	0	4473.705	0	14665.003	0
EFCAB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25423.496
TRAPPC13	17523.701	0	0	0	0	0	0	0	0	0	0	0	59576.156	13228.108	59554.695
CNOT1	1812422.5	1957855.8	1923346.9	430490.22	411109.97	603379.1	0	0	0	7483.689	7909.8574	19932.488	668075.75	490621.22	558230
BDP1	62330.605	21192.953	0	0	0	0	0	23036.127	0	0	0	0	0	0	0
FAM83G	435610.1	903025.4	515910.47	348584.88	331104.84	273073.22	0	0	0	0	0	0	795500.6	825185.75	713184.25
PGP	0	0	0	0	0	13138.017	0	15586.278	7984.91	0	17241.426	24201.715	17587.2	48670.188	37947.246
C5orf51	41713.957	41738.266	0	0	0	0	0	4635.6323	0	0	0	15270.901	24201.443	0	0
TUBAL3	94739.97	111795.42	115956.89	48470.07	81400.68	118899.37	0	11517.802	24578.387	0	22549.459	58180.695	109791.836	91631.61	108084.98
SMCHD1	322525.53	263397.84	350332.47	165820.2	80208.234	111316.27	0	0	0	0	0	25250.135	266701.03	184767.69	176663.77
RIMBP3C	0	0	33235	0	0	0	0	0	0	0	0	0	0	0	0
CCDC85C	211050.12	223212.9	383341.44	504342.3	469260.25	618517.56	0	0	0	0	0	0	284686.56	236091.38	227960.05
BTBD11	16019.693	0	0	6078.72	8446.764	0	0	0	0	0	0	0	0	0	0
ZSWIM8	34985.56	26792.451	59041.336	17210.207	41936.97	42156.69	0	0	0	0	0	0	42084.008	12883.116	0
ARHGAP32	0	42262.72	38175.324	96703.98	103877.12	179826.95	0	0	0	0	0	1805.182	0	24719.434	0
TBKBP1	271588.22	378442	403602.06	46269.39	46753.914	101921.13	0	0	0	0	0	0	571976.25	427248.56	477897.28
ZNF850	74518.625	136724.56	112999.28	0	0	0	0	0	0	0	0	0	0	0	0
ZBBX	0	0	0	0	0	0	0	0	0	0	0	0	3452.3596	0	0
ZNF724	48746.707	44740.81	68869.06	0	0	0	0	0	0	0	0	0	0	0	0
FAM171A2	0	0	0	323513.03	216525.1	397043.9	0	0	0	0	0	0	34293.457	55979.492	62654.67
NUDT19	0	15786.7295	13962.34	0	0	0	0	0	0	72651.125	233272.03	164549.66	0	0	0
MYO9A	365065.7	216415.42	253555.36	418669.38	382612.78	498567.53	0	0	0	0	0	0	95522.164	39601.203	19648.762
IQCJ-SCHIP1	0	0	0	0	0	0	0	0	0	0	0	0	346325.8	271207.28	308013.7
RABGAP1L	39530.61	108107.445	44928.797	28118.578	14512.916	40611.51	0	0	0	0	0	0	1219025.9	892270.44	1072242
GPR89A	0	0	0	47614.4	0	76968.35	0	0	0	0	0	0	49863.098	34940.94	42522.027
SHISA8	0	0	0	92637.375	92776.6	88757.65	0	0	0	0	0	0	56251.418	54434.027	69528.695
WASH3P	0	0	28865.814	0	0	0	0	0	0	0	0	0	0	0	0
PRRT4	0	0	0	0	0	0	0	0	0	0	0	0	28683.344	16317.217	22095.422
ZNF587B	54054.594	14867.019	0	0	0	0	0	0	0	0	0	0	0	0	0
NACA	1190568.8	1083665.2	976509.9	668224.5	735764.44	712393.8	0	0	15989.597	85329.99	133416.77	134166.72	665096.8	386084.47	633042
AGPS	26533.633	170297.83	149554.22	123318.625	69992.42	38837.973	22950.012	28838.363	21927.402	19063.53	110953.44	33582.04	185428.97	116830.086	139543.25
KIF2A	35762.95	84584.06	49532.227	134278.98	58687.625	77601.37	0	0	0	0	9490.127	0	67673.74	83975.26	102496.6
DDX39A	92743.86	169192.34	145727.72	309330.78	242016.97	340260.88	40768.28	29108.91	29966.57	51202.15	178776.52	190575.31	241629.7	354856.38	296466.06
PDLIM1	443446	593276.3	602489	211825.61	160019.69	239099.3	0	17407.05	7492.5146	0	12124.02	30333.477	335256.6	386062.16	424191.1
ACOT7	522340	931725.2	822766.8	1173677.8	942173.7	1155118.8	270068.78	281764	390309.8	387520.56	596870.2	678829.06	1361370.2	1501489.6	1536609.1
MYO1C	90450.16	230306.03	252396.31	587116.8	516747.66	424230.7	0	0	0	0	11825.282	42143.9	593486.94	262030.84	158917.14
SNAP23	111000.16	73854.82	59489.746	2360347	2520089.8	2488418.2	19074.08	13783.847	11735.219	35470.004	0	36389.727	1239278.9	1460189.8	1266083.9
AIP	27925.355	78703.13	68224.086	165215.31	154228.7	152905.64	29925	21028.033	28420.697	13637.529	75103.54	63103.344	110406.42	129987.375	113303.89
GTPBP1	315532.34	338237.3	262718.62	292082.72	155979.05	188354.86	0	0	0	0	0	212331.05	362552.06	277368.75	319174.2
KCNK1	0	0	0	0	0	0	0	0	0	0	0	0	33677.766	20033.318	28192.484
STXBP3	46204.49	45447.605	53133.43	596595	431029.78	587347.4	0	0	0	0	0	10458.725	87185.08	174320.81	97114.23
SMAP	149638.67	179118.84	144379.44	72871.484	62986.133	63188.125	27983.863	48226.59	39397.72	18482.246	71713.3	75448.11	87210.33	77052.83	80867.2
RAB27B	64344.613	0	0	143474.78	145555.5	166721.25	0	0	0	0	0	0	212980.44	252772	264098.75
AP3B1	323408.6	85180.49	69945.39	193517.62	143555.17	99408.875	0	0	0	38158.78	137584.88	119182.01	163128.19	278904.72	217643.5
APBB1	2506200.2	2645682.5	2519973.5	2355352.2	2303507.5	2518120	0	0	0	0	8014.9614	0	1.09E+07	1.12E+07	1.21E+07
NDUFS8	42121.594	28572.75	30234.467	15845.019	18098.055	16059.722	0	0	0	87023.05	98578.44	56321.586	23408.494	22970.15	18241.703
NFKBIE	236027.19	420819.25	274962.28	11972.147	41255.887	54882.027	0	0	0	0	0	0	275319.16	229521.12	283717.7
PSMD11	630346.25	754203.25	633181.75	205991.94	232660.06	317256.1	13133.057	0	0	10318.951	0	6790.592	234903.22	574155.06	259928.33
PSMD12	169009.22	168943.94	119047.25	284424.12	320284.2	302990.12	30336.037	52482.01	31028.912	15830.291	18748.635	91206.26	204270.22	218751.97	168413.1
PSMD9	0	0	0	38931.957	43832.305	43844.793	46400.562	23773.7	18090.387	45238.87	62244.605	79301.734	36877.74	109548.69	26270.748
ATOX1	0	0	0	19004.852	0	0	0	9548.044	11799.197	0	0	12360.435	0	0	0
MEN1	38260.527	13138.601	16094.535	0	0	0	0	0	0	0	0	0	0	0	0
CBX4	118906.09	61737.895	47411.36	0	0	0	0	0	0	5387.375	0	0	0	19376.902	0
PGRMC1	154625.94	235115.47	155293.47	455552.97	444490.94	404034.38	8645.375	0	0	25771.723	25565.664	27092.625	618356.06	531364.25	559787.3
SUPT5H	228805.36	354209.12	348250.66	201758.28	23744.219	269555.62	3578.249	16823.824	0	17361.957	58318.453	88909.74	128333.75	187536.67	248160.95
TAF4	33106.344	32874.07	0	0	0	0	0	0	0	0	0	0	0	0	0
DFFA	68019.79	144998.8	129051.586	32366.229	26204.293	0	15818.664	26912.379	0	27629.127	24557.768	21719.867	46355.734	45828.31	45777.547
HIP1	0	0	14181.776	0	0	0	0	0	0	0	0	0	0	0	0
CLIC1	0	11724.289	0	41429.336	34677.5	64321.64	11141.424	0	0	63322.977	23980.82	45028.152	27074.467	57998.914	41932.473
EIF3F	305989.94	335310.44	358835.47	225462.9	250313.25	237321.94	86242.84	95013.06	84577.625	105483.31	83147.67	99793.055	251106.19	265549.06	221488.53
CACNB4	0	0	0	44919.73	0	0	0	0	0	0	0	0	0	0	0
WWP2	8018.1387	0	0	243254.4	49999.15	138534.73	0	0	0	0	49263.387	12268.872	263538.38	456477.84	17811.498
CDC7	28739.213	0	11043.296	0	13021.8125	16847.885	0	0	0	0	0	0	0	0	0
PDHX	0	0	0	0	0	0	0	0	0	1035907.7	1686099.1	1101487.9	0	0	0
DCTN6	0	0	0	0	0	0	0	0	0	20104.78	23519.504	17919.027	26466.428	17034.629	0
SLC33A1	0	18832.254	0	18623.344	0	25040.31	0	0	0	0	0	0	0	26253.936	0
IPO5	1223656	992079.06	799797.94	1104443.5	815914.6	1023678.25	13472.952	13756.891	42624.613	151390.89	106289.45	627517.4	1871874.1	1448126.2	1262576
POLRMT	0	26548.648	22727.273	11450.744	13515.2705	0	0	0	0	24907.35	256637.94	356317.06	44846.863	10909.879	46500.9
EEF2K	58344.367	88681.55	85727.984	0	0	0	0	0	0	0	0	0	47690.58	37978.5	0
SAP18	0	0	0	0	14058.722	16109.601	0	0	0	0	0	0	0	0	0
IGF2BP3	342741.75	363279.44	338829.2	331926.9	272196.3	305982.9	0	6349.5537	5636.902	0	28773.098	70593.78	538090.9	388254.53	371635.8
DNM1L	163477.97	115128.04	72972.12	85290.31	53997.883	54720.617	0	0	0	0	0	0	204908.16	149178.3	219033.03
RTCA	151728.03	145025.78	152553.9	77745.41	99444.91	48222.688	37666.61	168386.53	27409.457	18384.922	19934.502	13096.447	228448.86	255689.19	158283.11
PIK3C2A	530993.56	514730.94	709960.1	571411.3	523507.6	623809.2	10230.371	28789.469	0	16860.225	37348.22	14869.391	540356.1	441297.72	530977.94
PIK3R2	0	0	20165.543	590176	682363.8	889745.6	11216.045	0	0	0	0	0	0	32928.31	47756.387
TRAF5	42878.336	42497.22	42868.79	33463.94	29041.83	40908.5	0	0	0	0	0	0	4084.7622	0	4749.557
PLOD2	0	0	0	0	18396.736	0	0	0	0	0	0	0	0	0	0
EXOC5	8418.21	20155.572	0	41413.477	142122.47	106422.77	0	0	0	0	0	0	594089.3	1611779.5	927491.1
NDUFA4	0	0	0	0	0	0	20473.963	0	25086.29	33046.95	44736.78	49006.03	26782.088	0	37588.14
PSMD14	95354.375	35170.586	92116.1	97252.64	75471.18	59148.273	0	0	0	0	0	0	126458.5	65320.156	114327.06
KPNA3	46638.598	86538.375	110553.19	68169.78	68802.58	83936.56	0	0	10140.58	0	0	28631.928	42018.754	46195.066	47027.688
KRIT1	0	0	0	0	0	0	0	0	0	0	0	0	0	22974.129	30653.836
PES1	90218.305	84880.61	64467.043	40875.453	0	28770.512	0	0	0	0	0	11814.836	12246.895	5662.6514	38433.844
EBAG9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPHOSPH10	35678.574	41324.848	57373.67	0	0	0	0	0	0	0	0	0	0	0	0
NOP56	265797.34	214954.33	275145.44	301259.25	317388.47	202937	20895.5	24099.682	19210.973	86730.92	104616.58	114163.8	196434.22	179547.48	210493.72
DDX3X	1.29E+07	9089575	1.06E+07	5615159	5667223.5	5746664.5	671878.94	770365.25	625432.9	967379.06	1300072.2	1599982.8	1.13E+07	1.08E+07	9976981
PODXL	0	0	0	0	0	0	0	0	0	0	0	0	70236.59	494526.7	238143
PEX7	0	6049.8174	60133.81	0	59125.734	0	19723.543	30874.514	0	0	38985.54	0	98256.375	18851.113	77184.625
KPNA4	20257.158	22587.35	0	0	0	0	0	0	0	0	0	0	0	0	8764.256
E2F3	96794.41	200655.86	79452.13	6043.506	29605.445	0	0	0	0	0	0	0	17686.107	9048.141	9884.66
PPP6C	27243.033	0	10897.25	0	0	13969.012	0	0	0	5729.627	0	0	0	32024.09	0
PIK3C2B	69439.086	71786.805	83802.28	20037.656	0	37483.11	0	0	0	0	0	0	94759.54	89323.734	97362.56
UBE2C	0	22545.025	0	0	0	0	0	0	0	0	0	0	0	48500.86	0
ACACB	2750096.2	2334139.2	2303531	2117421	2137839.5	1755024.1	3637706.5	4372182.5	5461591	1736961.1	3166702	2269436.5	4726424.5	3968581.8	4307701
PDXK	0	0	34651.027	0	0	0	0	0	0	0	0	0	48471.5	0	0
SCD	0	0	0	27834.96	28218.277	16573.406	0	0	0	0	0	0	0	15521.486	11550.678
ARID1A	69224.625	37516.547	18650.766	18728.6	0	0	6931.16	11536.637	0	0	0	0	0	17445.178	81515.53
SOCS7	0	0	0	0	8700.857	86000.82	0	0	0	0	0	0	0	0	0
C2CD2L	0	25059.125	0	10545.613	77782.5	213967.92	0	0	0	0	0	0	24086.64	0	21215.488
NEMP1	0	4660.632	0	22622.645	0	17368.742	0	0	0	0	0	0	0	23527.59	0
CUX2	25155.105	0	0	0	0	0	0	0	0	0	0	0	0	0	229597.25
DPYSL4	0	0	25741.438	0	14125.607	0	0	0	0	0	0	0	60095.984	0	0
TRAFD1	20395.219	11167.336	0	0	0	0	0	0	0	0	0	0	0	0	0
GAPDHS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDUFAB1	0	0	0	0	0	0	0	0	0	0	10328.829	11098.367	0	0	0
UBFD1	192422.33	240820.5	310226.06	90309.53	87277.2	96689.89	23208.16	103689.47	25147.29	38665.58	54641.527	128472.13	313738.16	455113.8	286663.16
CIT	57463.406	90593.64	155770.53	146386.47	33819.434	76208.19	0	0	0	0	0	0	0	0	0
COPE	0	0	0	0	0	6682.741	0	0	0	0	0	0	0	0	0
CTDSP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC42EP2	0	0	0	16834.979	0	30372.959	0	0	0	0	0	0	0	0	0
AP3D1	555516.2	538277.25	575390.1	613135.56	482933.44	600419.25	0	0	0	0	29748.77	83287.2	507930.75	541244.7	511286.3
CCS	0	0	0	0	0	0	39903.266	0	37215.625	0	0	0	0	0	0
ZNF195	111473.65	74887.984	99584.5	0	0	0	0	0	0	0	0	0	0	0	0
ABLIM1	53194.066	0	0	175899.56	148210.64	77710.98	0	0	0	0	0	0	48533.332	22138.715	39766.332
DVL1	434467.34	636835.6	507423.75	323292.16	310533.3	380817.7	0	0	0	0	0	0	321270.25	309845.72	292092.2
DVL2	4180777.5	4425928	4282852.5	2340077.2	1494017	1949354.4	0	0	0	41779.84	98163.99	79816.99	1260136	1571054.5	1271734.8
CHD1	339682.38	411168.5	323907.62	131009.39	92800.03	114764.914	0	0	0	55520.93	169953.64	84290.52	280798.28	180994.47	202061.78
CHD2	17857.38	37021.04	17921.871	0	0	0	0	0	0	0	0	0	0	0	0
GOSR2	0	0	0	19137.652	13591.961	0	0	8604.316	0	0	0	0	15660.422	11447.281	50699.88
IRS4	2789974.8	2930229	2920387.8	1.45E+07	1.30E+07	1.53E+07	63279.055	42674.13	225707.88	139078.81	382135.16	514148.1	5056671.5	5829337	5230733
TOR1B	0	0	0	30912.762	31261.014	0	0	0	0	0	0	0	0	0	0
STX16	10509.189	11407.836	0	0	6948.1943	7682.999	0	0	0	0	0	0	37852.953	29919.193	15435.179
TP53I11	50888.65	0	0	37386.336	34563.727	44425.746	0	0	0	0	0	0	0	59127.793	0
KMT2D	574188.56	565997.8	648669.4	0	0	0	0	0	0	3624.626	0	0	0	0	0
APAF1	87131.28	64709.367	59718.367	0	0	0	0	0	0	0	0	0	14918.152	8010.0977	3766.4392
RIOK3	0	25889.293	0	0	0	0	0	0	0	0	0	14592.18	0	0	0
MAP2K7	0	0	0	0	0	0	0	0	0	0	0	0	20222.996	0	0
ACOT8	0	0	0	0	0	26285.012	0	0	0	0	0	0	15306.233	22306.97	0
CDIPT	73570.49	89836.59	83357.46	68676.12	48929.984	64227.055	0	0	15979.075	0	0	28905.994	76891.78	90752.25	50374.53
PDCD5	303225.22	230558.5	261650.11	0	0	75052.08	0	0	0	0	0	0	192801.39	237327.56	174146.92
PRMT5	30659.59	122791.016	41951.836	103744.766	91771.34	70173.37	0	8022.6113	0	0	0	0	23732.39	0	10482.15
SLC9A3R1	0	55640.727	43976.625	62469.758	52051.348	65452.92	11519.024	15024.784	0	0	0	0	1054076	1052773.4	1231016
CHEK1	21760.174	37573.805	43109.16	0	0	16417.543	0	0	0	0	0	0	0	16301.117	12516.559
TNFRSF10B	66398.46	34587.59	31026.738	112896.83	124564.66	132373.3	0	0	0	0	0	0	137724.77	213621.62	82503.48
TCERG1	363883.2	249517.47	159081.86	0	0	0	0	0	0	0	0	0	69430.64	0	0
NDC80	73638.4	139727.19	76257.25	40942.387	32257.658	75452.56	0	0	0	0	0	0	93876.92	109638.875	54792.195
NRP1	0	0	0	16142.518	0	0	0	0	0	0	0	0	0	0	0
TNPO2	0	0	0	0	0	10963.678	0	0	0	0	0	0	0	0	0
UNC13B	0	0	0	76185.375	122645.445	79518.984	0	0	0	0	0	0	317417.22	589826.06	500777.72
POLR3A	19092.01	81039.68	58293.055	0	52052.426	0	0	0	0	0	0	0	13227.801	0	0
PSMA7	0	0	0	23075.13	0	0	0	0	0	0	19155.518	0	0	0	0
SCAMP3	52260.977	49642.176	33173.133	254768.52	193496.88	220805.69	0	0	0	0	0	18636.055	1056225.9	1062079.1	1069512.9
PHYH	57572.164	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACH1	280237.75	307351	272190.62	86359.516	0	30670.004	0	0	0	0	0	0	62579.457	169150.47	194115.83
BCKDK	0	0	0	0	0	0	0	0	0	36786.22	92635.1	179950.92	0	0	0
MGST3	14223.989	18972.535	54597.188	14287.004	12328.922	15982.678	0	0	0	0	52052.445	22714.982	28564.3	61252.613	48292.92
GIPC1	44644.82	39920.332	36120.613	9807.924	141268.86	204313.62	0	0	12263.432	4930.718	0	0	30033.727	111923.13	75756.44
IKBKB	0	179005.9	116596.99	0	0	0	0	0	0	0	0	0	0	0	21893.824
RGS12	0	14881.931	0	117762.9	110034.64	166896.48	0	0	0	0	0	0	18353.314	15724.254	34227.953
TIMM23	0	0	25325.951	0	0	112242.05	0	3881.1943	0	40555.79	32590.945	37044.094	0	52587.363	0
HAT1	951807.3	1509464.1	1444537.6	157819.58	199669.83	200416.97	38965.387	49660.344	60490.348	21587.33	99580.016	70962.336	303713.22	325543.4	294445.44
CASK	98323.49	53689.395	49223.902	499754.06	531369.9	520220.97	0	0	0	0	0	6600.458	180030.31	197610.94	66036.125
PLD2	0	28538.27	19877.225	0	0	0	0	0	0	0	0	0	0	49880.5	0
MYL12B	51962.555	110268.02	74028.9	84645.734	104143.56	70921.875	13926.676	9370.402	13974.791	52772.57	71453.73	88719.98	134856.92	99034.125	97864.77
HGS	15272.141	25046.967	0	0	0	0	0	0	0	0	0	0	0	0	0
AURKA	25862.42	39478.836	22520.09	45504.61	63041.42	70553.39	0	6570.9424	5487.4565	0	0	0	43039.11	11853.171	65524.58
RAB29	0	0	0	0	0	0	0	0	0	0	0	0	0	61815.844	23421.312
CLGN	0	0	0	0	0	22583.418	0	0	0	0	0	0	0	0	0
VPS26C	0	47630.44	88479.29	42530.555	43313.79	70788.48	0	0	0	0	0	0	50603.094	51589.723	76003.45
PPP1R12A	20867.04	90842.09	5399.9062	0	0	0	0	0	0	0	0	0	0	25005.504	0
SLC27A2	0	0	12127.889	2667.869	0	0	0	0	0	0	0	0	27160.871	0	0
GAK	309238	509688.44	536249.6	134841.4	157562.7	239108.3	0	0	0	0	0	0	283045.5	442359.6	250483.89
HNRNPDL	522682.22	478118.9	618008.5	368598.38	444143.25	315944.56	66184.08	136312.8	71129.64	104216.05	2112736.5	241968.1	412884.88	376547.8	316958.5
XPO1	512354.5	553637.06	496252.88	375579.94	418523.53	477745.25	0	20661.438	0	93404.62	102008.78	126035.83	656665.3	535550.4	606604.5
BTAF1	262429.7	132606.75	172063.38	0	0	18872.12	0	0	0	0	0	0	35121.805	48960.203	0
ARHGEF10	15504.608	39085.69	35768.895	8088.868	8491.728	0	0	0	0	0	0	0	186161.97	123112.445	149923.78
ZNF609	0	23457.92	32257.09	0	0	0	0	0	0	0	0	0	0	0	0
SPTBN2	23738.5	29939.064	23957.072	713183.6	852383.4	958245.75	0	0	0	234423.53	0	0	14099.243	0	14441.947
MAST4	55042	49471.965	54444.605	0	0	0	0	0	0	0	0	0	0	0	0
SEC16A	1830390.1	1961660.4	1947973.9	864111.56	686813.8	822234.25	9298.887	0	0	0	16930.973	35089.598	1442737.4	1196929.1	1448088.6
PLXNB2	0	64132.11	38668.305	261769.77	247847.38	277314.72	0	0	0	0	0	0	185793.8	181821.66	158358.56
AREL1	0	0	0	17372.318	20969.676	212101.27	0	0	0	0	0	0	0	9445.828	0
KHNYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U2SURP	1549339.4	1847267.8	1490287.6	182879.83	176660.42	119868.77	2971.7961	0	22705.826	206966.7	217239.11	210226.05	424967.88	178361.33	328317.22
SETD1A	184866.42	364823.88	369818.44	0	0	0	0	0	0	0	0	0	0	0	0
SYNJ2	451295.47	161930.6	254439.89	278736.2	269607.53	476250.9	0	0	0	0	0	0	65013.38	79680.89	100599.55
GARRE1	14999.197	10042.308	8490.326	91973.55	0	160995.88	0	0	0	0	0	0	0	20419.045	38283.02
PFAS	1377719.5	1528733.9	1624149.6	770034.4	1007224.3	779001.5	701218.9	861485.4	688376.9	524701.4	469352.22	532640.44	2417016	1125163	1486546.8
DCLK1	23825.957	0	13028.011	0	0	0	0	0	0	0	0	0	13164.854	0	0
CEP290	1142817.8	1118219.2	1315578.4	0	0	5303.548	0	0	0	0	0	0	17711.225	46634.695	19094.379
ANKRD28	106207.266	204859.6	138640	0	0	4328.7754	0	0	0	0	0	0	13811.255	0	0
ARHGEF11	2408455.8	37358.125	0	91866.945	162362.62	63443.785	0	0	0	0	0	0	0	6064.0166	0
ZNF536	294544.44	533460.9	406411.38	0	0	9885.312	0	0	0	0	0	0	0	10684.351	11713.552
PRORP	30741.654	18548.266	18936.31	12271.74	0	6028.6704	0	0	0	159340.52	354564.7	466228.78	17700.996	0	12310.082
CHUK	35703.13	44641.645	7455.891	0	0	0	0	0	0	0	0	0	0	0	0
DEGS1	0	0	40012.625	0	23967.61	0	0	7225.7617	8162.25	0	0	0	44327.055	31070.734	62963.68
SCAMP1	0	0	0	126974.16	125507.83	88626.67	0	0	0	0	0	0	2200653.5	2688154	2782462.8
SCAMP2	0	0	0	0	0	0	0	0	0	0	0	0	0	41833.273	19111.291
ARPC1B	20103.787	18369.104	17346.979	18698.564	24088.062	17885.42	0	0	0	0	0	0	18975.559	13300.09	21342.785
ARPC2	0	0	0	0	0	42093.734	0	0	0	0	0	0	0	0	0
ARPC3	0	0	0	82974.75	42796.766	95123.51	0	0	0	0	0	0	0	0	0
BET1	0	76781.94	49574.96	63484.605	76646.07	63824.984	31581.27	36909.58	22271.719	21567.652	38767.67	36210.668	119019.48	97811.086	105242.95
POLR1C	0	0	0	0	0	0	0	0	0	4881.7607	0	0	0	0	18469.826
TRIM24	118244.99	177664.03	157176.08	0	0	0	0	0	0	0	0	0	0	0	0
PGRMC2	45683.125	46056.39	50366.047	132683.17	160810.56	227009.12	0	0	0	5718.8843	0	9851.461	257953.42	355967.16	236318.27
CETN3	24028.125	35063.117	73889.234	13968.4	0	15416.691	0	0	0	0	0	0	14780.309	17758.725	0
PFDN6	31645.46	0	27739.22	0	0	0	0	0	0	0	0	0	0	0	0
WDR46	15865.995	18808.71	39735.65	16686.723	9402.533	0	0	0	0	0	0	0	46464.344	11673.985	19635.91
NKRF	1964711.8	2628499.8	2680443.2	297937.75	291265.9	230987.7	34911.17	50660.438	64103.14	53749.453	123426.78	236092.25	520229.72	563369.7	288758.66
GNPAT	59056.953	0	68387.62	0	7737.006	0	0	0	0	0	0	0	125607.02	51096.215	64993.625
ZNF185	0	0	0	0	0	0	0	0	0	0	0	0	35131.375	0	27429.96
RER1	34244.6	0	0	30175.68	0	0	0	0	0	0	0	0	18207.383	27703.18	18598.443
SURF4	95946.48	27577.895	0	148957.89	111282.41	137068.31	8950.714	10884.996	0	21356.88	44081.707	38639.8	78969.7	175685.22	129963.14
MAPK13	0	0	25555.082	0	76049.7	0	0	0	0	0	0	0	0	0	0
ATXN7	0	0	18418.027	0	0	0	0	0	0	0	0	0	0	0	0
SPTLC1	0	0	0	132867.66	97896.086	54114.133	0	0	0	0	0	0	213382.12	169873.44	178394.1
OGT	382526.56	467383.62	459001.8	93425.625	97271.28	75335.336	0	37524.375	14758.682	0	0	0	123680.13	100395.414	140187.47
PMM2	0	0	0	32164.973	32258.92	20169.613	8681.642	28700.576	26004.195	13354.806	11172.264	49339.188	0	26848.992	85633.48
POLR3G	15375.995	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V0E1	0	0	0	0	0	0	0	0	0	0	0	0	0	112703.97	0
PPM1G	666851.5	1018789.06	812962.94	76874.81	91852.39	68979.3	16190.566	38260.58	26709.016	21632.625	198709.44	166596.06	260576.06	227540.2	251237.94
INPPL1	91716.516	65614.1	68507.91	36706.67	9276.508	1493329.5	0	0	0	0	0	0	14053.387	8243.043	14817.522
FANCA	160492.89	71981.72	97354.39	0	0	4414.309	0	0	0	0	0	0	21572.332	0	0
EIF3D	448759.75	671919.25	608669.56	570565.4	686364.7	454064.6	183309.8	311693.12	331579.16	350931.2	384642.34	346670.3	911160.56	911110.1	902353.8
EIF3H	114339.15	118022.016	176518.77	124564.91	147566.45	159439.5	40835.637	57609.406	33388.797	0	16446.895	15788.339	192435.97	103029.29	171091.39
NVL	189631.11	273495.12	280963.34	49736.492	75272.89	96090.03	0	0	0	0	0	30431.488	49581.816	80852.375	26595.824
YY2	0	0	0	0	0	0	3857.1653	0	0	0	0	0	0	9139.363	7161.9087
IPO8	173419.31	182443.53	118701.84	128035.98	74774.39	99045.74	0	0	0	0	0	0	177494.11	95567.82	18597.004
