Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	OddsScore	FoldChange	BFDR	boosted_by
EGFR	GATD3B	GATD3B	1.559|1.325|1.867	4.751	1.584	3	0.315|0.454|0.687|1.126|1.047|1.287	0.102	0.187	0.102	0.187	0.102	-3.278	2.176	0.544	
EGFR	UBA6	UBA6	0.839|1.382|1.062	3.284	1.095	3	0.619|0.875|1.028|1.224|1.475|1.152	0.001	0.004	0.001	0.004	0.001	-9.360	1.068	0.867	
EGFR	ESYT2	ESYT2	3.008|2.411|3.226	8.645	2.882	3	.|.|.|1.327|1.432|1.318	0.106	0.177	0.106	0.177	0.106	-3.644	2.122	0.535	
EGFR	UHRF1BP1L	UHRF1BP1L	1.389|1.132|1.360	3.882	1.294	3	.|.|.|2.079|2.868|2.718	0.000	0.000	0.000	0.000	0.000	-15.280	0.511	0.921	
EGFR	SHTN1	SHTN1	1.508|1.268|1.711	4.488	1.496	3	.|0.198|.|2.398|2.214|2.316	0.032	0.038	0.032	0.038	0.032	-3.609	1.198	0.734	
EGFR	FAM168B	FAM168B	0.577|0.558|0.632	1.768	0.589	3	0.493|0.523|0.510|.|.|.	0.001	0.002	0.001	0.002	0.001	-7.132	1.159	0.868	
EGFR	ILVBL	ILVBL	0.688|0.540|0.805	2.033	0.678	3	.|.|.|0.642|0.507|0.763	0.001	0.002	0.001	0.002	0.001	-8.960	1.079	0.870	
EGFR	C1orf226	C1orf226	1.090|0.598|0.798	2.486	0.829	3	.|.|.|.|.|.	0.001	0.003	0.001	0.003	0.001	-10.490	0.996	0.871	
EGFR	PLEKHG3	PLEKHG3	1.043|0.249|0.556	1.848	0.616	3	.|.|.|0.927|0.730|0.886	0.001	0.002	0.001	0.002	0.001	-15.280	0.730	0.877	
EGFR	SH3PXD2B	SH3PXD2B	0.816|0.681|0.573	2.070	0.690	3	.|.|.|0.484|.|.	0.011	0.023	0.011	0.023	0.011	-5.769	1.425	0.805	
EGFR	NBAS	NBAS	1.118|0.825|1.234	3.176	1.059	3	.|.|.|0.399|0.398|0.277	0.525	0.781	0.525	0.781	0.525	-1.651	3.000	0.160	
EGFR	CCDC66	CCDC66	0.252|0.381|0.251	0.883	0.294	3	.|.|.|0.937|1.046|0.906	0.000	0.000	0.000	0.000	0.000	-15.280	0.306	0.921	
EGFR	TMEM131L	TMEM131L	0.515|1.729|1.233	3.477	1.159	3	.|.|.|.|.|.	0.028	0.076	0.028	0.076	0.028	-11.887	1.393	0.749	
EGFR	VWA8	VWA8	0.497|.|.	2.161	0.720	3	.|.|.|0.710|1.021|.	0.000	0.000	0.000	0.000	0.000	-15.233	0.846	0.927	
EGFR	SBNO1	SBNO1	0.488|.|0.565	1.885	0.628	3	.|.|.|2.167|2.349|1.877	0.000	0.000	0.000	0.000	0.000	-15.280	0.296	0.924	
EGFR	CNOT1	CNOT1	2.475|2.401|3.056	7.931	2.644	3	.|.|.|6.076|6.055|6.301	0.000	0.000	0.000	0.000	0.000	-15.280	0.430	0.919	
EGFR	FAM83G	FAM83G	2.172|2.093|1.862	6.127	2.042	3	.|.|.|2.493|3.932|2.779	0.000	0.000	0.000	0.000	0.000	-11.891	0.679	0.907	
EGFR	TUBAL3	TUBAL3	0.632|0.874|1.107	2.613	0.871	3	.|0.257|0.413|0.961|1.065|1.090	0.016	0.031	0.016	0.031	0.016	-5.695	1.334	0.790	
EGFR	SMCHD1	SMCHD1	1.359|0.829|1.061	3.249	1.083	3	.|.|.|2.057|1.820|2.176	0.000	0.000	0.000	0.000	0.000	-15.280	0.538	0.912	
EGFR	CCDC85C	CCDC85C	2.739|2.615|3.104	8.457	2.819	3	.|.|.|1.585|1.641|2.283	0.011	0.020	0.011	0.020	0.011	-5.144	1.557	0.806	
EGFR	BTBD11	BTBD11	0.173|0.212|.	1.217	0.406	3	.|.|.|0.316|.|.	0.000	0.000	0.000	0.000	0.000	-10.068	1.282	0.900	
EGFR	ZSWIM8	ZSWIM8	0.331|0.577|0.579	1.487	0.496	3	.|.|.|0.515|0.436|0.715	0.000	0.001	0.000	0.001	0.000	-12.056	0.912	0.883	
EGFR	ARHGAP32	ARHGAP32	1.312|1.018|1.434	3.764	1.255	3	.|.|.|.|0.580|0.544	0.125	0.208	0.125	0.208	0.125	-3.368	2.233	0.501	
EGFR	TBKBP1	TBKBP1	0.614|0.587|1.006	2.207	0.736	3	.|.|.|1.856|2.285|2.374	0.000	0.000	0.000	0.000	0.000	-15.280	0.341	0.920	
