Bait	PreyGene	#Rep	#Pep	#Frag	AvgP	BFDR
LMNA	DNAJB4	3	7	13|13|13|13|13|26|26	0.3835	0.2393
MAPRE3	DNAJB4	3	7	13|13|13|13|13|26|26	0.1408	0.4171
KRT8	DNAJB6	3	1	13	0.3333	0.2523
LMNA	DNAJC1	3	9	13|13|13|13|13|13|13|13|13	0.7897	0.0726
ACTB	DNAJC10	3	5	13|13|13|13|13	0.3162	0.3251
CTNNA1	DNAJC10	3	5	13|13|13|13|13	0.2176	0.3636
KRT8	DNAJC10	3	5	13|13|13|13|13	0.7659	0.0798
LMNA	DNAJC10	3	5	13|13|13|13|13	0.5346	0.1712
MAPRE3	DNAJC10	3	5	13|13|13|13|13	0.1006	0.4511
ACTB	DNAJC11	3	9	13|13|13|26|13|13|13|13|13	0.8844	0.0429
KRT8	DNAJC11	3	9	13|13|13|26|13|13|13|13|13	0.9767	0.0135
LMNA	DNAJC11	3	9	13|13|13|26|13|13|13|13|13	0.6114	0.1439
ACTB	DNAJC12	3	3	13|13|13	0.3185	0.3227
CTNNA1	DNAJC12	3	3	13|13|13	0.0894	0.4565
KRT8	DNAJC12	3	3	13|13|13	0.5425	0.1666
LMNA	DNAJC12	3	3	13|13|13	0.2967	0.3360
MAPRE3	DNAJC12	3	3	13|13|13	0.2716	0.3427
ACTB	DNAJC13	3	68	26|26|13|13|13|26|13|13|13|13|26|13|13|13|13|13|13|13|13|13|13|13|25|13|13|26|13|13|13|12|13|26|13|13|13|13|13|26|13|13|13|26|13|13|13|13|26|13|13|13|13|26|13|13|13|13|13|13|13|13|26|13|13|13|13|13|10|13	0.9730	0.0167
CTNNA1	DNAJC13	3	68	26|26|13|13|13|26|13|13|13|13|26|13|13|13|13|13|13|13|13|13|13|13|25|13|13|26|13|13|13|12|13|26|13|13|13|13|13|26|13|13|13|26|13|13|13|13|26|13|13|13|13|26|13|13|13|13|13|13|13|13|26|13|13|13|13|13|10|13	0.5331	0.1718
KRT8	DNAJC13	3	68	26|26|13|13|13|26|13|13|13|13|26|13|13|13|13|13|13|13|13|13|13|13|25|13|13|26|13|13|13|12|13|26|13|13|13|13|13|26|13|13|13|26|13|13|13|13|26|13|13|13|13|26|13|13|13|13|13|13|13|13|26|13|13|13|13|13|10|13	0.9724	0.0172
LMNA	DNAJC13	3	68	26|26|13|13|13|26|13|13|13|13|26|13|13|13|13|13|13|13|13|13|13|13|25|13|13|26|13|13|13|12|13|26|13|13|13|13|13|26|13|13|13|26|13|13|13|13|26|13|13|13|13|26|13|13|13|13|13|13|13|13|26|13|13|13|13|13|10|13	0.6240	0.1394
