Bait	PreyGene	#Rep	#Pep	#Frag	AvgP	BFDR
MAPRE3	DPYD	3	11	13|13|13|13|13|12|13|13|13|26|13	0.1557	0.4121
ACTB	DPYSL2	3	14	26|13|13|25|13|13|25|26|26|26|13|13|26|13	0.9725	0.0171
CTNNA1	DPYSL2	3	14	26|13|13|25|13|13|25|26|26|26|13|13|26|13	0.8583	0.0515
KRT8	DPYSL2	3	14	26|13|13|25|13|13|25|26|26|26|13|13|26|13	0.9756	0.0144
LMNA	DPYSL2	3	14	26|13|13|25|13|13|25|26|26|26|13|13|26|13	0.9124	0.0353
MAPRE3	DPYSL2	3	14	26|13|13|25|13|13|25|26|26|26|13|13|26|13	0.9428	0.0281
ACTB	DPYSL3	3	22	13|13|13|13|13|25|11|26|13|26|13|13|26|13|26|13|38|13|25|26|13|13	0.9728	0.0169
CTNNA1	DPYSL3	3	22	13|13|13|13|13|25|11|26|13|26|13|13|26|13|26|13|38|13|25|26|13|13	0.8312	0.0598
KRT8	DPYSL3	3	22	13|13|13|13|13|25|11|26|13|26|13|13|26|13|26|13|38|13|25|26|13|13	0.9795	0.0110
LMNA	DPYSL3	3	22	13|13|13|13|13|25|11|26|13|26|13|13|26|13|26|13|38|13|25|26|13|13	0.9054	0.0370
MAPRE3	DPYSL3	3	22	13|13|13|13|13|25|11|26|13|26|13|13|26|13|26|13|38|13|25|26|13|13	0.9410	0.0286
ACTB	DPYSL4	3	1	13	0.3332	0.2754
