Bait,Prey
EGFR,GSTP1
EGFR,PEX5
EGFR,ERLIN1
EGFR,MS4A1
EGFR,TEAD2
EGFR,PTPN11
EGFR,WDR81
EGFR,ADCYAP1R1
EGFR,PPFIBP1
EGFR,SCOC
EGFR,GLRA2
EGFR,ENTPD7
EGFR,GALNT4
EGFR,CYP27C1
EGFR,TACC3
EGFR,ATAT1
EGFR,MYH2
EGFR,VAMP3
EGFR,CEMIP
EGFR,CASC3
EGFR,SHISA5
EGFR,RARA
EGFR,GTF2A2
EGFR,RAB40A
EGFR,EGFL7
EGFR,ERCC5
EGFR,FOCAD
EGFR,TNFRSF1B
EGFR,ACE2
EGFR,TRPV5
EGFR,INSL3
EGFR,MIOS
EGFR,CHMP3
EGFR,RAPGEF2
EGFR,ABCA2
EGFR,CAPN2
EGFR,PACRG
EGFR,PTOV1
EGFR,ITGB2
EGFR,CEACAM4
EGFR,CROT
EGFR,TRA2B
EGFR,SMARCC2
EGFR,CDH3
EGFR,GPR101
EGFR,SOCS1
EGFR,PLEKHG6
EGFR,AKAP5
EGFR,CLDN7
EGFR,ZC3HC1
EGFR,MRC2
EGFR,NKX2-5
EGFR,VPS35L
EGFR,NDRG4
EGFR,INPP5F
EGFR,AQP7B
EGFR,A3GALT2
EGFR,PEMT
EGFR,ANXA2
EGFR,SLCO1B7
EGFR,EIF4H
EGFR,MPP3
EGFR,PDE8A
EGFR,SPAG9
EGFR,escrt-i_human-3
EGFR,SLC29A4
EGFR,HDAC1
EGFR,RAB10
EGFR,ICOSLG
EGFR,COMMD7
EGFR,TOMM40L
EGFR,ATP6V0B
EGFR,IL13RA1
EGFR,AMOTL1
EGFR,SH3TC2
EGFR,SPPL2B
EGFR,SNTB1
EGFR,ANP32E
EGFR,CDH2
EGFR,TMEM235
EGFR,LIN7B
EGFR,SLAMF9
EGFR,CD2AP
EGFR,PACC1
EGFR,BICD2
EGFR,CYP2A6
EGFR,EREG
EGFR,P2RY4
EGFR,ATXN2
EGFR,KCNC1
EGFR,IGSF5
EGFR,DCTN3
EGFR,BGN
EGFR,ERGIC1
EGFR,TMX2
EGFR,HCK
EGFR,MSN
EGFR,USH2A
EGFR,RPL37A
EGFR,SCAMP3
EGFR,RDH16
EGFR,CFHR2
EGFR,CD5L
EGFR,ADSL
EGFR,ERBB2
EGFR,CYP1A2
EGFR,P2RY1
EGFR,MYO7A
EGFR,AFAP1
EGFR,LRFN2
EGFR,DYNC1I1
EGFR,UGT1A1
EGFR,CD207
EGFR,WASF2
EGFR,SLC43A2
EGFR,retromer_human
EGFR,CREG1
EGFR,TMEM258
EGFR,BRSK1
EGFR,HSD3B2
EGFR,SNX14
EGFR,PML
EGFR,ITGA2
EGFR,WASH4P
EGFR,GP1BA
EGFR,GOLPH3
EGFR,GNAS
EGFR,EPPK1
EGFR,FHL2
EGFR,ITGA8
EGFR,TRAPPC2L
EGFR,FNDC3A
EGFR,SERTM2
EGFR,PARD6A
EGFR,MVP
EGFR,wash_human-1-8
EGFR,WNT1
EGFR,PDGFRB
EGFR,MPL
EGFR,TLE2
EGFR,HLA-DRB1
EGFR,CSPG4
EGFR,RAB22A
EGFR,SNAP23
EGFR,IQCJ-SCHIP1
EGFR,BRAF
EGFR,MPP7
EGFR,cubam_human
EGFR,CLDN4
EGFR,GPR61
EGFR,LRRK2
EGFR,STRA6
EGFR,LBR
EGFR,SERPINH1
EGFR,DST
EGFR,MAG
EGFR,MPRIP
EGFR,SCARA5
EGFR,HSPG2
