Bait,Prey,log_fold_change,snr,mean_diff,median_diff,replicate_fold_change_sd,bait_cv,bait_control_sd_ratio,zero_or_neg_fc,nonzero_reps,reps_above_ctrl_med,single_rep_flag,composite_score,global_cv,predicted_probability,FDR,global_cv_flag
EGFR,AAAS,0.857787290919041,7.009354991722223,81156.19050000001,81995.49,0.3885298937437735,0.2143912869612604,1.5027446374436624,1,3,3,0,0.0644634116650939,0.4190947146964976,0.6245999999999998,0.4140470121778533,likely background
EGFR,AACS,-5.5365468248122705,0.0,-119.78935,0.0,0.0,0.0,0.0,0,0,0,0,-0.3464011226239607,3.103688176226683,0.0,1.0,
EGFR,AAGAB,0.1960578841087403,1.028868617092374,11746.448666666663,51360.380000000005,0.3579349158004462,0.3124557722000125,0.3214759382459567,1,3,3,0,0.0018897864626986,1.06701218913022,0.3777,1.0,
EGFR,AAK1,2.9968118064261513,7.962890730681812,354749.82449999993,-20673.671,10.520320736212671,1.3179510470556255,10.49470017609163,1,3,1,0,0.222354474806154,2.819899518875702,0.6288000000000002,0.4051749485445457,
EGFR,AAMDC,-2.4218073324692675,0.7780174751929465,-43648.4485,-45839.115999999995,0.1742999512299364,0.9340221776034772,0.7266855763932751,0,2,0,0,-0.1835966754236832,0.7386193099537729,0.042599999999999964,1.0,likely background
EGFR,AAMP,-5.5365468248122705,0.0,-119.78935,0.0,0.0,0.0,0.0,0,0,0,0,-0.3464011226239607,0.0,0.0,1.0,likely background
EGFR,AAR2,0.1231386874916345,1.0588187726662053,14691.756666666652,52025.05,0.0146706076111779,0.0134704979596081,0.0142628161167949,1,3,3,0,-0.0015958165174943,0.7615418269852308,0.3072,1.0,likely background
EGFR,AARS1,0.2042367177564834,1.1090668492091984,34230.304333333304,92401.22800000005,0.0721145425711726,0.0625958072423885,0.0694229347120222,1,3,3,0,0.0160997749899104,0.783638087703083,0.3349,1.0,likely background
EGFR,AARS2,-0.6339582828635657,1.135084522046454,-10596.652000000002,-10372.801,0.3340611149187293,0.5184097069478396,0.5884388344351309,0,3,1,0,-0.0646663136038828,1.205612023831912,0.0794,1.0,
EGFR,AARSD1,-5.5365468248122705,0.0,-9413.208333333334,0.0,0.0,0.0,0.0,0,0,0,0,-0.3482902200036614,1.7376033519378988,0.0,1.0,
EGFR,AASDH,-5.5365468248122705,0.0,-3915.504166666667,0.0,0.0,0.0,0.0,0,0,0,0,-0.3471726874191254,3.7416573867739418,0.0,1.0,
EGFR,AASDHPPT,-1.3650661023388524,0.0662076940396055,-29621.169166666663,-22514.667,0.2131250484115687,1.414213562373095,0.187263637688517,0,1,0,1,-0.1143754232526641,1.4445853636709869,0.012300000000000007,1.0,
EGFR,AASS,-5.5365468248122705,0.0,-7059.889166666665,-2187.151,0.0,0.0,0.0,0,0,0,0,-0.3482979589830449,2.0701581288585325,0.0,1.0,
EGFR,AATF,-5.5365468248122705,0.0,-270153.30833333335,-217182.69,0.0,0.0,0.0,0,0,0,0,-0.4495613782570902,1.8746905806206864,0.0,1.0,
