Bait,Prey
EGFR,ARHGEF7
EGFR,PICALM
EGFR,APP
EGFR,ZFYVE16
EGFR,STAT2
EGFR,EIF2B2
EGFR,EIF2B4
EGFR,DNAJA2
EGFR,PFKFB3
EGFR,KIF1A
EGFR,ATP5A1
EGFR,YES1
EGFR,ARHGAP1
EGFR,PTPRF
EGFR,NF1
EGFR,DNM2
EGFR,TNIK
EGFR,PLK1
EGFR,ATAD3B
EGFR,RPS6KA3
EGFR,DDX5
EGFR,BAG5
EGFR,H1FX
EGFR,S100A9
EGFR,CLTA
EGFR,ACOT9
EGFR,TNFRSF1A
EGFR,RAB18
EGFR,LSR
EGFR,GBF1
EGFR,LIMA1
EGFR,HLA-A
EGFR,SLC39A7
EGFR,ZC3HAV1
EGFR,FAR1
EGFR,EEF1G
EGFR,MRTO4
EGFR,SRPR
EGFR,HIST2H2AA3
EGFR,TFRC
EGFR,SOCS5
EGFR,PTPN20B
EGFR,UTP15
EGFR,NGLY1
EGFR,XIAP
EGFR,TSG101
EGFR,NTPCR
EGFR,DSG2
EGFR,EIF4G2
EGFR,SMC2
EGFR,IARS
EGFR,DNAJC10
EGFR,TRAPPC3
EGFR,TECR
EGFR,DNAJC16
EGFR,RCN2
EGFR,DNAAF5
EGFR,MAP4K5
EGFR,SH3GL3
EGFR,MON2
EGFR,MMS19
EGFR,EIF2B1
EGFR,AP1M1
EGFR,LTN1
EGFR,RPN1
EGFR,TNPO2
EGFR,AP1G2
EGFR,TNPO3
EGFR,ARL1
EGFR,ITGB2
EGFR,ARRB2
EGFR,TIMM50
EGFR,ATP6V1H
EGFR,EIF2B5
EGFR,ANXA2
EGFR,ARMC8
EGFR,CYLD
EGFR,YWHAQ
EGFR,YWHAB
EGFR,PRKCE
EGFR,ALDH3A2
EGFR,GEMIN4
EGFR,MAPT
EGFR,AP1G1
EGFR,XPO7
EGFR,HNRNPA3
EGFR,IPO11
EGFR,HEATR3
EGFR,PHLDA1
EGFR,ITIH2
EGFR,PFKL
EGFR,NCDN
EGFR,CAND2
EGFR,SSR4
EGFR,KPNB1
EGFR,PPM1A
EGFR,EREG
EGFR,FBXO6
EGFR,RQCD1
EGFR,PRKACA
EGFR,PTK2B
EGFR,PTPN23
EGFR,SH2D1A
EGFR,INSR
EGFR,IRS4
EGFR,RNF115
EGFR,CTGF
EGFR,TRPV1
EGFR,TOM1L1
EGFR,PTPRJ
EGFR,GRB7
EGFR,RABGEF1
EGFR,H2AFX
EGFR,TACC3
EGFR,SKAP2
EGFR,DOK3
EGFR,CNKSR2
EGFR,AMPH
EGFR,LZTS2
EGFR,USP33
EGFR,MBIP
EGFR,USP11
EGFR,ATXN2
EGFR,LAMC2
EGFR,CALM3
EGFR,CCDC50
EGFR,DERL1
EGFR,TMEM25
EGFR,AKTIP
EGFR,ANLN
EGFR,FRS2
EGFR,RIOK1
EGFR,HRAS
EGFR,RAB5A
EGFR,KIAA1429
EGFR,PLA2G2A
EGFR,GGA3
EGFR,LRRK1
EGFR,TRAF4
EGFR,SLC7A11
EGFR,PLEK2
EGFR,WWP1
EGFR,nsp4
EGFR,CGRRF1
EGFR,PARK2
EGFR,TRIB3
EGFR,LINC01139
EGFR,PTEN
EGFR,OCLN
EGFR,RAB4A
EGFR,RHOB
EGFR,FOS
EGFR,SCGB1D4
EGFR,CDH2
EGFR,LTK
EGFR,HIP1
EGFR,MIF
EGFR,PTPRB
EGFR,FER
EGFR,DDX53
EGFR,MAPK14
EGFR,FANCD2
EGFR,ARF4
EGFR,CAV3
EGFR,HBEGF
EGFR,GRB14
EGFR,WAS
EGFR,SNX2
EGFR,ATP5C1
EGFR,GABRA2
EGFR,PLSCR1
EGFR,KIAA1217
EGFR,SWT1
EGFR,EYS
EGFR,CEP170
EGFR,SPNS1
EGFR,DOPEY1
EGFR,SLC45A4
EGFR,FBLN7
EGFR,ARHGAP29
EGFR,AASDH
EGFR,TRIM13
EGFR,KRTAP15-1
EGFR,BTBD18
EGFR,PAGE3
EGFR,ZMYM4
EGFR,ATF7IP2
EGFR,PLEKHA7
EGFR,XRRA1
EGFR,KRTAP16-1
EGFR,ARMCX5
EGFR,MAST2
EGFR,ADAM5
EGFR,TFG
EGFR,NADSYN1
EGFR,GORASP2
EGFR,RAB11FIP1
EGFR,GOPC
EGFR,WWC2
EGFR,CES4A
EGFR,P3H1
EGFR,RNF128
EGFR,SEPT3
EGFR,HERC1
EGFR,MRGPRG-AS1
EGFR,IGLL5
EGFR,SLC3A1
EGFR,SSRP1
EGFR,RASGEF1B
EGFR,MIR22HG
EGFR,C5orf28
EGFR,BPTF
EGFR,CSTF3
EGFR,G3BP1
EGFR,TCOF1
EGFR,PDAP1
EGFR,TCIRG1
EGFR,HDAC1
EGFR,CDK13
EGFR,CIRBP
EGFR,MPP1
EGFR,LRP8
EGFR,PDE1C
EGFR,RASA4B
EGFR,UBAP2L
EGFR,CAPRIN1
EGFR,RBM39
EGFR,DIP2A
EGFR,CBX2
EGFR,GRM4
EGFR,STIL
EGFR,DIXDC1
EGFR,GIGYF2
EGFR,E2F4
EGFR,MICB
EGFR,SCYL2
EGFR,SMTNL1
EGFR,EML6
EGFR,LSM14A
EGFR,TRAF3IP1
