Protein	EIF4A2_1	EIF4A2_2	EIF4A2_3	MEPCE_1	MEPCE_2	MEPCE_3	GFP_1	GFP_2	GFP_3
IGKV2-29;IGKV2D-26;IGKV2D-29	5790430	21198	22211.4	18354.5	6593560	18555.9	21310.9	20561.8	20416
GATD3;GATD3B	0	0	873.728	0	0	0	0	846.023	0
IFT56	0	0	0	0	0	0	0	380.966	0
ESYT2	825.171	1078.29	994.983	1518.42	1274.22	1724.87	1383.55	1639.79	2179
SHTN1	283.453	306.08	0	331.267	0	354.45	346.297	287.02	445.101
ILVBL	459.627	810.534	696.794	1010.11	1339.57	835.71	920.021	929.614	911.871
VWA8	0	0	0	612.723	668.127	609.481	521.245	0	419.566
CNOT1	1030.26	1065.4	1249.69	1317.92	1489.88	1463.49	1349.74	5715.24	1520.61
MAP1LC3B;MAP1LC3B2	213.277	322.153	0	0	193.691	0	337.039	320.333	332.742
FAM83G	0	0	1408.42	1237.96	0	1676.32	0	0	0
TUBAL3	1927.19	2708.4	2735.24	3761.85	3041.8	3000.75	3207.94	2451.44	3202.26
SMCHD1	0	0	0	0	0	268.78	0	0	0
ARHGAP42	606.027	675.034	971.975	4869.8	4024.55	3466.78	1726.53	1370.32	1468.52
RTL8C	1844.31	1137.23	1666.38	1956.29	2032.54	1715.51	1719.01	1765.87	1663.62
SNRPG;SNRPGP15	0	886.921	606.695	938.877	859.525	818.762	0	925.789	951.651
WASH2P;WASH3P	530.374	847.084	1064.28	1424.92	1405.97	1682.58	807.215	1145.02	1602.71
egfp	0	0	0	0	0	0	114699	101119	118816
MCRIP1	307.086	504.431	0	0	0	0	792.013	443.339	0
A0A3Q1M3L6	0	0	0	0	0	191.491	0	445.268	0
FBLN1	0	0	0	0	0	668.228	174.876	251.521	660.272
G5E513	1220.7	1907.36	1756.41	1722.48	1668.54	1553.78	2488.74	2573.45	2195.05
ADH1	0	0	0	0	67.3169	0	0	0	0
lacZ	0	0	0	5331.76	5968.85	5299.21	2906.95	2956.83	3271.68
TRYP	78249.7	80334.7	80578.1	77951.5	81147.1	77339.8	73994.6	76903.4	79912.6
CHYM	1633.92	1777.28	2144.78	1895.72	1708.46	1548.89	1892.3	1854.88	1909.45
C4	5372.97	5582.67	5427.34	4798.45	5755.27	5205.27	5234.55	4898.1	5157.09
KNG1;KNG2	0	0	0	539.873	0	702.512	933.773	1017	1237.27
HBA	930.236	756.056	930.632	1757.36	1802.09	1785.59	2268.05	2403.9	2500.69
HBB	0	0	0	437.361	769.33	0	709.077	644.58	454.855
HBBF	2205.54	1990.99	1698.85	2422.08	2267.14	2909.56	2448.84	2783.95	2827.32
CSN1S1	1920.6	2962.92	2795.41	18345	17136.1	17107.3	941.955	0	1079.34
CSN1S2	0	0	0	7445.86	7900.44	7785.19	0	0	0
CSN2	475.581	729.978	722.387	5244.67	4795.13	4900.47	0	0	0
CSN3	0	0	0	8427.34	8527.83	8407.91	0	0	0
LGB	0	0	0	628.494	1049.07	731.395	0	0	0
ALB	37689.8	40637.7	42213.9	35741.5	37735.7	38492	33097.6	37267.4	33772.9
PF4	7121.17	7241.52	8505.85	11971.8	15988.5	0	28599.6	31586.6	34031.3
PLG	67.3018	0	0	0	0	0	0	0	0
AHSG	3837.88	3710.43	3659.24	3496.07	3542.01	3587.18	4092.7	3833.73	4252.94
APOA1	1298.93	1793.08	1516.35	1443.09	1275.18	1214.41	1717.89	1706.44	1351.43
APOH	0	0	0	1011.62	926.938	1413.71	0	0	0
ACTB;ACTG1	65894.8	70574	76640.4	170669	172359	177340	65169.3	63237.6	64434.9
YWHAZ	1734.7	1534.59	2072.53	2934.87	2961.81	2955.65	2120.86	2335.86	2130.73
EEF1A1	52315.5	53887.8	59377.6	73952.7	73701.2	79095.8	80710.9	87809.9	83397.4
ACTA1	11470.6	10516.3	12159.6	30704	27841.5	28930.8	11167.1	9609.71	10354.4
APOE	0	0	0	0	741.719	0	685.991	0	618.825
IGL	0	899.739	1760.01	1196.76	1094.3	1518.29	1108.7	1911.59	1438.22
F5	1842.39	2131.79	2003.13	754.079	1124.74	1017.47	2457	1916.46	2599.4
THBS1	541.518	521.441	1151.83	1333.46	859.834	977.352	0	662.511	0
TF	0	0	0	234.018	0	421.686	0	0	0
