Bait	PreyGene	#Rep	AvgP	BFDR
PSMC2	A0AVF1	4	0.3541	0.2874
PSMA4	A0AVF1	4	0.1195	0.4556
PSMC2	A0AVT1	4	0.7128	0.0795
PSMA4	A0AVT1	4	0.8376	0.0300
PSMC2	A0FGR8	4	0.0001	0.7672
PSMA4	A0FGR8	4	0.0000	0.7837
PSMC2	A0JNW5	4	0.8761	0.0195
PSMA4	A0JNW5	4	0.1143	0.4601
PSMC2	A0MZ66	4	0.9832	0.0020
PSMA4	A0MZ66	4	0.6215	0.1136
PSMC2	A1A4S6	4	0.1957	0.4017
PSMA4	A1A4S6	4	0.1301	0.4478
PSMC2	A1KXE4	4	0.0000	0.7837
PSMA4	A1KXE4	4	0.0000	0.7837
PSMC2	A1L0T0	4	0.0001	0.7672
PSMA4	A1L0T0	4	0.0000	0.7837
PSMC2	A1L170	4	0.0030	0.6834
PSMA4	A1L170	4	0.0026	0.6902
PSMC2	A1L390	4	0.1014	0.4683
PSMA4	A1L390	4	0.2244	0.3814
PSMC2	A1L3X0	4	0.0509	0.5281
PSMA4	A1L3X0	4	0.3694	0.2777
PSMC2	A1X283	4	0.3917	0.2682
PSMA4	A1X283	4	0.0516	0.5267
PSMC2	A1XBS5	4	0.0035	0.6763
PSMA4	A1XBS5	4	0.3707	0.2772
PSMC2	A2RRP1	4	0.8366	0.0303
PSMA4	A2RRP1	4	0.0561	0.5204
PSMC2	A2RTX5	4	0.0019	0.7019
PSMA4	A2RTX5	4	0.0004	0.7432
PSMC2	A2RUB6	4	0.1834	0.4091
PSMA4	A2RUB6	4	0.5048	0.1839
PSMC2	A2RUS2	4	0.9986	0.0002
PSMA4	A2RUS2	4	0.2514	0.3588
PSMC2	A3KMH1	4	0.0000	0.7837
PSMA4	A3KMH1	4	0.0000	0.7837
PSMC2	A3KN83	4	0.0002	0.7567
PSMA4	A3KN83	4	0.1230	0.4537
PSMC2	A4D1E9	4	0.0000	0.7837
PSMA4	A4D1E9	4	0.0002	0.7567
PSMC2	A5LHX3	4	0.0193	0.5895
PSMA4	A5LHX3	4	0.6566	0.0992
PSMC2	A5YKK6	4	0.9976	0.0003
PSMA4	A5YKK6	4	0.7041	0.0832
PSMC2	A6H8Y1	4	0.0001	0.7672
PSMA4	A6H8Y1	4	0.0059	0.6541
PSMC2	A6NDU8	4	0.1995	0.3989
PSMA4	A6NDU8	4	0.0394	0.5456
PSMC2	A6NEK1	4	0.0002	0.7567
PSMA4	A6NEK1	4	0.0046	0.6650
PSMC2	A6NFI3	4	0.0030	0.6834
PSMA4	A6NFI3	4	0.0019	0.7019
PSMC2	A6NHL2	4	0.5056	0.1822
PSMA4	A6NHL2	4	0.4967	0.1981
PSMC2	A6NHR9	4	0.0000	0.7837
PSMA4	A6NHR9	4	0.0001	0.7672
PSMC2	A6NIH7	4	0.1677	0.4198
PSMA4	A6NIH7	4	0.1461	0.4346
PSMC2	A6NKD9	4	0.9609	0.0051
PSMA4	A6NKD9	4	0.1897	0.4052
PSMC2	A6QL63	4	0.8377	0.0298
PSMA4	A6QL63	4	0.2243	0.3815
PSMC2	A7E2V4	4	0.0021	0.6979
PSMA4	A7E2V4	4	0.4424	0.2379
PSMC2	A7KAX9	4	0.0003	0.7494
PSMA4	A7KAX9	4	0.0001	0.7672
PSMC2	A7MCY6	4	1.0000	0.0000
PSMA4	A7MCY6	4	0.8103	0.0388
PSMC2	A8CG34	4	0.0001	0.7672
PSMA4	A8CG34	4	0.0000	0.7837
PSMC2	A8MQ14	4	0.0024	0.6931
PSMA4	A8MQ14	4	0.0004	0.7432
PSMC2	A8MTY0	4	0.0000	0.7837
PSMA4	A8MTY0	4	0.0000	0.7837
PSMC2	A8MV65	4	0.0124	0.6134
PSMA4	A8MV65	4	0.0005	0.7390
PSMC2	A8MVW0	4	0.9157	0.0124
PSMA4	A8MVW0	4	0.2554	0.3526
PSMC2	A8MXV4	4	0.6434	0.1041
PSMA4	A8MXV4	4	0.1768	0.4139
PSMC2	B1AJZ9	4	0.2707	0.3374
PSMA4	B1AJZ9	4	0.1438	0.4373
PSMC2	B2RTY4	4	0.0547	0.5225
PSMA4	B2RTY4	4	0.3308	0.2987
PSMC2	B7ZAP0	4	0.1364	0.4429
PSMA4	B7ZAP0	4	0.4932	0.2033
PSMC2	C9JLW8	4	0.0054	0.6575
PSMA4	C9JLW8	4	0.0006	0.7348
PSMC2	O00116	4	0.0001	0.7672
PSMA4	O00116	4	0.0000	0.7837
PSMC2	O00139	4	0.0032	0.6801
PSMA4	O00139	4	0.0159	0.6000
PSMC2	O00148	4	0.0002	0.7567
PSMA4	O00148	4	0.0000	0.7837
PSMC2	O00151	4	0.9999	0.0000
PSMA4	O00151	4	0.9740	0.0031
PSMC2	O00154	4	0.0001	0.7672
PSMA4	O00154	4	0.0000	0.7837
PSMC2	O00159	4	0.0003	0.7494
PSMA4	O00159	4	0.0274	0.5694
PSMC2	O00161	4	0.0046	0.6650
PSMA4	O00161	4	0.5180	0.1691
PSMC2	O00165	4	0.0123	0.6141
PSMA4	O00165	4	0.0002	0.7567
PSMC2	O00170	4	1.0000	0.0000
PSMA4	O00170	4	0.2488	0.3641
PSMC2	O00178	4	0.0001	0.7672
PSMA4	O00178	4	0.0000	0.7837
PSMC2	O00186	4	0.0007	0.7307
PSMA4	O00186	4	0.0001	0.7672
PSMC2	O00193	4	0.0010	0.7213
PSMA4	O00193	4	0.4356	0.2427
PSMC2	O00203	4	0.1459	0.4351
PSMA4	O00203	4	0.0185	0.5913
PSMC2	O00213	4	0.7191	0.0772
PSMA4	O00213	4	0.0155	0.6016
PSMC2	O00217	4	0.0011	0.7187
PSMA4	O00217	4	0.0011	0.7187
PSMC2	O00221	4	0.9262	0.0105
PSMA4	O00221	4	0.7442	0.0644
PSMC2	O00231	4	1.0000	0.0000
PSMA4	O00231	4	0.6246	0.1120
PSMC2	O00232	4	1.0000	0.0000
PSMA4	O00232	4	0.5159	0.1705
PSMC2	O00233	4	1.0000	0.0000
PSMA4	O00233	4	0.0234	0.5798
PSMC2	O00255	4	0.0697	0.5036
PSMA4	O00255	4	0.0018	0.7032
PSMC2	O00257	4	0.0000	0.7837
PSMA4	O00257	4	0.0000	0.7837
PSMC2	O00264	4	0.0044	0.6669
PSMA4	O00264	4	0.0072	0.6432
PSMC2	O00267	4	0.0004	0.7432
PSMA4	O00267	4	0.0040	0.6709
PSMC2	O00268	4	0.0000	0.7837
PSMA4	O00268	4	0.0010	0.7213
PSMC2	O00273	4	0.1697	0.4183
PSMA4	O00273	4	0.4900	0.2058
PSMC2	O00287	4	0.0210	0.5862
PSMA4	O00287	4	0.1994	0.3992
PSMC2	O00291	4	0.5161	0.1700
PSMA4	O00291	4	0.0526	0.5251
PSMC2	O00299	4	0.0014	0.7115
PSMA4	O00299	4	0.0126	0.6124
PSMC2	O00303	4	0.1111	0.4618
PSMA4	O00303	4	0.0002	0.7567
PSMC2	O00311	4	0.0000	0.7837
PSMA4	O00311	4	0.0000	0.7837
PSMC2	O00330	4	0.0000	0.7837
PSMA4	O00330	4	0.0000	0.7837
PSMC2	O00370	4	0.1184	0.4566
PSMA4	O00370	4	0.9938	0.0007
PSMC2	O00400	4	0.0005	0.7390
PSMA4	O00400	4	0.0001	0.7672
PSMC2	O00401	4	0.0008	0.7275
PSMA4	O00401	4	0.0004	0.7432
PSMC2	O00410	4	0.0412	0.5425
PSMA4	O00410	4	0.0028	0.6871
PSMC2	O00411	4	0.0000	0.7837
PSMA4	O00411	4	0.0000	0.7837
PSMC2	O00418	4	0.0245	0.5765
PSMA4	O00418	4	0.0096	0.6285
PSMC2	O00422	4	0.0000	0.7837
PSMA4	O00422	4	0.0000	0.7837
PSMC2	O00423	4	0.6843	0.0899
PSMA4	O00423	4	0.3837	0.2708
PSMC2	O00425	4	0.0000	0.7837
PSMA4	O00425	4	0.0114	0.6183
PSMC2	O00429	4	0.0143	0.6060
PSMA4	O00429	4	0.0526	0.5251
PSMC2	O00442	4	0.0000	0.7837
PSMA4	O00442	4	0.0000	0.7837
PSMC2	O00443	4	0.0000	0.7837
PSMA4	O00443	4	0.0000	0.7837
PSMC2	O00458	4	0.0003	0.7494
PSMA4	O00458	4	0.0016	0.7071
PSMC2	O00459	4	0.2928	0.3231
PSMA4	O00459	4	0.0008	0.7275
PSMC2	O00463	4	0.6956	0.0863
PSMA4	O00463	4	0.0717	0.5011
PSMC2	O00468	4	0.0165	0.5984
PSMA4	O00468	4	0.0964	0.4729
PSMC2	O00469	4	0.1521	0.4308
PSMA4	O00469	4	0.0082	0.6371
PSMC2	O00471	4	0.9977	0.0003
PSMA4	O00471	4	0.1103	0.4624
PSMC2	O00483	4	0.0004	0.7432
PSMA4	O00483	4	0.0009	0.7244
PSMC2	O00487	4	0.0456	0.5368
PSMA4	O00487	4	0.0037	0.6739
PSMC2	O00505	4	0.0067	0.6472
PSMA4	O00505	4	0.0132	0.6099
PSMC2	O00512	4	0.0011	0.7187
PSMA4	O00512	4	0.6292	0.1095
PSMC2	O00541	4	0.0010	0.7213
PSMA4	O00541	4	0.0263	0.5712
PSMC2	O00560	4	0.5407	0.1515
PSMA4	O00560	4	0.1622	0.4243
PSMC2	O00566	4	0.0001	0.7672
PSMA4	O00566	4	0.0071	0.6440
PSMC2	O00567	4	0.0000	0.7837
PSMA4	O00567	4	0.0060	0.6537
PSMC2	O00571	4	0.0000	0.7837
PSMA4	O00571	4	0.0000	0.7837
PSMC2	O00629	4	0.0001	0.7672
PSMA4	O00629	4	0.1462	0.4345
PSMC2	O00712	4	0.0000	0.7837
PSMA4	O00712	4	0.0000	0.7837
PSMC2	O00716	4	0.0031	0.6820
PSMA4	O00716	4	0.0215	0.5848
PSMC2	O00743	4	1.0000	0.0000
PSMA4	O00743	4	0.7462	0.0638
PSMC2	O00750	4	1.0000	0.0000
PSMA4	O00750	4	0.6679	0.0946
PSMC2	O00763	4	0.0000	0.7837
PSMA4	O00763	4	0.0000	0.7837
PSMC2	O00764	4	0.0001	0.7672
PSMA4	O00764	4	0.0008	0.7275
PSMC2	O00767	4	0.0000	0.7837
PSMA4	O00767	4	0.0000	0.7837
PSMC2	O14492	4	0.8562	0.0239
PSMA4	O14492	4	0.9975	0.0003
PSMC2	O14497	4	0.0010	0.7213
PSMA4	O14497	4	0.4914	0.2047
PSMC2	O14519	4	0.0010	0.7213
PSMA4	O14519	4	0.4046	0.2624
PSMC2	O14524	4	0.8362	0.0307
PSMA4	O14524	4	0.4312	0.2460
PSMC2	O14530	4	0.0008	0.7275
PSMA4	O14530	4	0.0046	0.6650
PSMC2	O14531	4	0.9984	0.0002
PSMA4	O14531	4	0.3179	0.3077
PSMC2	O14559	4	0.0000	0.7837
PSMA4	O14559	4	0.0000	0.7837
PSMC2	O14562	4	0.2455	0.3669
PSMA4	O14562	4	0.1026	0.4669
PSMC2	O14578	4	0.0004	0.7432
PSMA4	O14578	4	0.2727	0.3357
PSMC2	O14579	4	0.1753	0.4144
PSMA4	O14579	4	0.0002	0.7567
PSMC2	O14617	4	0.3745	0.2751
PSMA4	O14617	4	0.3295	0.3001
PSMC2	O14628	4	0.0000	0.7837
PSMA4	O14628	4	0.0002	0.7567
PSMC2	O14639	4	0.0003	0.7494
PSMA4	O14639	4	0.0467	0.5354
PSMC2	O14640	4	0.4065	0.2612
PSMA4	O14640	4	0.0039	0.6718
PSMC2	O14641	4	0.6909	0.0875
PSMA4	O14641	4	0.2895	0.3250
PSMC2	O14646	4	0.0000	0.7837
PSMA4	O14646	4	0.0024	0.6931
PSMC2	O14647	4	0.0000	0.7837
PSMA4	O14647	4	0.0000	0.7837
PSMC2	O14654	4	0.5814	0.1311
PSMA4	O14654	4	0.0384	0.5477
PSMC2	O14657	4	0.1731	0.4165
PSMA4	O14657	4	0.5047	0.1843
PSMC2	O14681	4	0.0000	0.7837
PSMA4	O14681	4	0.0000	0.7837
PSMC2	O14683	4	0.0137	0.6080
PSMA4	O14683	4	0.0035	0.6763
PSMC2	O14686	4	0.0000	0.7837
PSMA4	O14686	4	0.0002	0.7567
PSMC2	O14727	4	0.9508	0.0068
PSMA4	O14727	4	0.0947	0.4746
PSMC2	O14732	4	0.0310	0.5604
PSMA4	O14732	4	0.0062	0.6519
PSMC2	O14733	4	0.0001	0.7672
PSMA4	O14733	4	0.0003	0.7494
PSMC2	O14734	4	0.0217	0.5841
PSMA4	O14734	4	0.0023	0.6950
PSMC2	O14735	4	0.6223	0.1129
PSMA4	O14735	4	0.0033	0.6785
PSMC2	O14737	4	1.0000	0.0000
PSMA4	O14737	4	0.5311	0.1584
PSMC2	O14744	4	0.0038	0.6730
PSMA4	O14744	4	0.0010	0.7213
PSMC2	O14745	4	0.1707	0.4180
PSMA4	O14745	4	0.0390	0.5465
PSMC2	O14757	4	0.0001	0.7672
PSMA4	O14757	4	0.0002	0.7567
PSMC2	O14772	4	0.0171	0.5961
PSMA4	O14772	4	0.5017	0.1917
PSMC2	O14776	4	0.0000	0.7837
PSMA4	O14776	4	0.0005	0.7390
PSMC2	O14777	4	0.5308	0.1586
PSMA4	O14777	4	0.0384	0.5477
PSMC2	O14787	4	0.8536	0.0248
PSMA4	O14787	4	0.8806	0.0185
PSMC2	O14795	4	1.0000	0.0000
PSMA4	O14795	4	0.4245	0.2501
PSMC2	O14802	4	0.8620	0.0221
PSMA4	O14802	4	0.0030	0.6834
PSMC2	O14818	4	0.0354	0.5531
PSMA4	O14818	4	0.9453	0.0077
PSMC2	O14828	4	0.0135	0.6088
PSMA4	O14828	4	0.0015	0.7097
PSMC2	O14867	4	0.0733	0.4989
PSMA4	O14867	4	0.3573	0.2843
PSMC2	O14874	4	0.0000	0.7837
PSMA4	O14874	4	0.0000	0.7837
PSMC2	O14893	4	0.4746	0.2183
PSMA4	O14893	4	0.9950	0.0006
PSMC2	O14920	4	0.0253	0.5743
PSMA4	O14920	4	0.0001	0.7672
PSMC2	O14929	4	0.0014	0.7115
PSMA4	O14929	4	0.1417	0.4393
PSMC2	O14936	4	0.0038	0.6730
PSMA4	O14936	4	0.0126	0.6124
PSMC2	O14964	4	0.9999	0.0000
PSMA4	O14964	4	0.7222	0.0756
PSMC2	O14965	4	0.0004	0.7432
PSMA4	O14965	4	0.0066	0.6481
PSMC2	O14966	4	0.0001	0.7672
PSMA4	O14966	4	0.0000	0.7837
PSMC2	O14967	4	0.2403	0.3712
PSMA4	O14967	4	0.0054	0.6575
PSMC2	O14972	4	0.0019	0.7019
PSMA4	O14972	4	0.0000	0.7837
PSMC2	O14974	4	0.0009	0.7244
PSMA4	O14974	4	0.1102	0.4625
PSMC2	O14976	4	0.8868	0.0173
PSMA4	O14976	4	0.1326	0.4459
PSMC2	O14978	4	0.0002	0.7567
PSMA4	O14978	4	0.0035	0.6763
