Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	OddsScore	FoldChange	BFDR	boosted_by
PSMA4	Q96EX3	Q96EX3	1.039|0.859|0.957|0.505	3.360	0.840	4	0.956|1.205|0.861|0.848	0.000	0.000	0.000	0.000	0.000	-14.552	0.877	0.812	
PSMA4	Q96EY1	Q96EY1	6.762|5.132|5.015|5.796	22.706	5.676	4	6.652|10.763|6.465|6.883	0.000	0.000	0.000	0.000	0.000	-14.552	0.756	0.830	
PSMA4	Q96EY4	Q96EY4	0.918|0.631|0.923|0.733	3.206	0.801	4	0.875|0.837|1.056|0.788	0.000	0.000	0.000	0.000	0.000	-14.552	0.907	0.816	
PSMA4	Q96EY5	Q96EY5	1.015|0.871|1.063|1.709	4.658	1.164	4	1.056|1.441|1.772|1.033	0.000	0.000	0.000	0.000	0.000	-14.552	0.901	0.788	
PSMA4	Q96EY7	Q96EY7	0.970|0.974|1.114|1.460	4.517	1.129	4	1.222|1.243|0.987|1.032	0.000	0.000	0.000	0.000	0.000	-14.552	1.013	0.781	
PSMA4	Q96EZ8	Q96EZ8	0.382|0.666|0.613|0.214	1.876	0.469	4	0.489|0.697|0.620|0.446	0.000	0.000	0.000	0.000	0.000	-14.552	0.846	0.799	
PSMA4	Q96F07	Q96F07	0.785|1.126|1.228|1.063	4.203	1.051	4	0.720|0.614|0.410|0.533	0.232	0.750	0.232	0.750	0.232	-13.173	1.885	0.395	
PSMA4	Q96F24	Q96F24	0.855|1.474|1.660|0.635	4.624	1.156	4	0.603|0.633|0.767|0.640	0.488	0.997	0.488	0.997	0.488	-14.552	1.757	0.207	
PSMA4	Q96F45	Q96F45	0.266|0.499|0.269|0.289	1.324	0.331	4	1.065|0.926|0.589|0.591	0.000	0.000	0.000	0.000	0.000	-14.552	0.432	0.839	
PSMA4	Q96F86	Q96F86	2.128|2.125|1.466|1.861	7.580	1.895	4	1.672|3.016|1.327|1.297	0.000	0.000	0.000	0.000	0.000	-12.336	1.104	0.674	
PSMA4	Q96FC9	Q96FC9	0.340|0.529|0.460|0.415	1.745	0.436	4	0.741|0.316|0.199|0.290	0.012	0.027	0.012	0.027	0.012	-6.232	1.279	0.577	
PSMA4	Q96FF9	Q96FF9	1.041|0.868|0.739|1.020	3.668	0.917	4	1.380|1.063|1.729|1.382	0.000	0.000	0.000	0.000	0.000	-14.552	0.670	0.877	
PSMA4	Q96FJ2	Q96FJ2	7.160|8.771|7.325|9.302	32.558	8.140	4	8.720|9.603|9.489|9.818	0.000	0.000	0.000	0.000	0.000	-14.552	0.866	0.839	
PSMA4	Q96FV9	Q96FV9	1.026|2.155|2.014|1.601	6.796	1.699	4	0.664|0.727|0.763|0.783	0.729	1.000	0.729	1.000	0.729	-12.059	2.319	0.066	
PSMA4	Q96FW1	Q96FW1	0.869|0.979|1.416|1.352	4.617	1.154	4	1.535|1.976|1.247|1.371	0.000	0.000	0.000	0.000	0.000	-14.552	0.765	0.839	
PSMA4	Q96FZ2	Q96FZ2	0.283|0.706|0.841|0.403	2.234	0.558	4	0.644|0.907|0.715|0.740	0.000	0.000	0.000	0.000	0.000	-14.552	0.749	0.806	
PSMA4	Q96G03	Q96G03	0.729|0.668|0.784|0.824	3.006	0.751	4	1.015|1.335|1.052|1.134	0.000	0.000	0.000	0.000	0.000	-14.552	0.666	0.839	
PSMA4	Q96G21	Q96G21	1.364|0.878|0.740|4.014	6.996	1.749	4	2.136|3.397|1.640|3.030	0.001	0.005	0.001	0.005	0.001	-14.552	0.714	0.636	
PSMA4	Q96G23	Q96G23	0.996|1.046|1.132|1.466	4.639	1.160	4	1.819|3.028|2.745|1.744	0.000	0.000	0.000	0.000	0.000	-14.552	0.512	0.873	
PSMA4	Q96G25	Q96G25	0.732|1.740|1.492|0.834	4.798	1.200	4	1.279|1.333|1.535|0.829	0.000	0.000	0.000	0.000	0.000	-14.552	0.988	0.745	
PSMA4	Q96G28	Q96G28	0.614|0.778|0.654|1.163	3.210	0.802	4	0.523|0.675|0.627|0.332	0.123	0.489	0.123	0.489	0.123	-11.700	1.541	0.454	
PSMA4	Q96GA3	Q96GA3	2.662|1.076|1.227|1.892	6.857	1.714	4	3.360|1.538|2.022|2.368	0.000	0.000	0.000	0.000	0.000	-14.552	0.769	0.749	
PSMA4	Q96GC5	Q96GC5	11.720|0.401|0.369|0.783	13.274	3.318	4	0.756|0.646|9.762|16.930	0.051	0.165	0.051	0.165	0.051	-4.854	1.107	0.508	
PSMA4	Q96GD4	Q96GD4	0.678|0.979|0.992|0.752	3.400	0.850	4	2.102|2.697|2.279|2.336	0.000	0.000	0.000	0.000	0.000	-14.552	0.363	0.839	
PSMA4	Q96GE4	Q96GE4	2.228|0.140|0.477|2.064	4.909	1.227	4	0.467|0.348|0.192|0.387	0.500	1.000	0.500	1.000	0.500	-13.760	3.704	0.152	
PSMA4	Q96GG9	Q96GG9	1.145|0.746|0.800|0.626	3.317	0.829	4	0.762|0.784|0.885|0.916	0.000	0.000	0.000	0.000	0.000	-14.552	0.994	0.772	
PSMA4	Q96GK7	Q96GK7	0.228|0.527|0.298|0.250	1.303	0.326	4	0.747|1.659|0.975|0.684	0.000	0.000	0.000	0.000	0.000	-14.552	0.342	0.877	
PSMA4	Q96GM5	Q96GM5	1.514|1.970|1.971|1.619	7.075	1.769	4	1.253|1.408|1.425|1.277	0.000	0.000	0.000	0.000	0.000	-14.219	1.321	0.742	
PSMA4	Q96GM8	Q96GM8	0.961|1.008|1.156|1.083	4.208	1.052	4	1.846|2.069|2.055|1.750	0.000	0.000	0.000	0.000	0.000	-14.552	0.547	0.839	
PSMA4	Q96GQ7	Q96GQ7	2.699|1.669|0.973|2.373	7.714	1.929	4	2.306|1.976|1.907|4.023	0.000	0.000	0.000	0.000	0.000	-14.552	0.793	0.750	
PSMA4	Q96GX2	Q96GX2	1.521|2.150|2.154|1.419	7.244	1.811	4	3.258|3.591|4.775|3.885	0.000	0.000	0.000	0.000	0.000	-14.552	0.472	0.839	
PSMA4	Q96GX5	Q96GX5	1.227|3.315|3.324|1.266	9.132	2.283	4	1.547|1.360|1.444|0.704	0.457	0.915	0.457	0.915	0.457	-11.505	1.888	0.233	
PSMA4	Q96GY0	Q96GY0	0.857|1.400|1.553|0.899	4.709	1.177	4	2.773|3.072|2.506|2.284	0.000	0.000	0.000	0.000	0.000	-14.552	0.446	0.839	
PSMA4	Q96H22	Q96H22	0.352|0.293|0.228|0.249	1.122	0.280	4	0.471|0.338|0.496|0.607	0.000	0.000	0.000	0.000	0.000	-14.552	0.600	0.873	
PSMA4	Q96H55	Q96H55	0.839|0.816|1.074|1.048	3.776	0.944	4	1.594|0.782|1.835|1.541	0.000	0.000	0.000	0.000	0.000	-14.552	0.689	0.806	
