Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	OddsScore	FoldChange	BFDR	boosted_by
MEPCE	IQGAP3	IQGAP3	0.396|0.300|.	1.094	0.365	3	0.455|0.557|.	0.000	0.000	0.000	0.000	0.000	-16.005	0.725	0.966	
MEPCE	CAND1	CAND1	0.908|0.740|1.041	2.690	0.897	3	1.234|1.560|0.881	0.000	0.000	0.000	0.000	0.000	-16.005	0.752	0.952	
MEPCE	COMMD7	COMMD7	0.521|0.252|0.472	1.246	0.415	3	0.520|0.509|0.602	0.000	0.000	0.000	0.000	0.000	-16.005	0.766	0.952	
MEPCE	METTL16	METTL16	17.496|17.723|17.550	52.770	17.590	3	.|.|.	1.000	1.000	1.000	1.000	1.000	8.991	44.173	0.000	
MEPCE	GPBP1	GPBP1	0.465|0.690|0.416	1.571	0.524	3	0.829|.|.	0.000	0.000	0.000	0.000	0.000	-16.005	0.632	0.952	
MEPCE	PROSER2	PROSER2	0.661|0.734|0.722	2.117	0.706	3	0.506|0.589|0.589	0.000	0.000	0.000	0.000	0.000	-13.340	1.259	0.872	
MEPCE	RPS19BP1	RPS19BP1	1.034|1.065|1.039	3.137	1.046	3	0.741|0.739|0.846	0.013	0.029	0.013	0.029	0.013	-5.542	1.351	0.743	
MEPCE	CARM1	CARM1	0.783|0.689|0.713	2.185	0.728	3	1.051|0.985|1.012	0.000	0.000	0.000	0.000	0.000	-16.005	0.717	0.957	
MEPCE	COMMD2	COMMD2	0.765|0.751|0.809	2.325	0.775	3	0.759|0.700|0.769	0.000	0.000	0.000	0.000	0.000	-15.982	1.044	0.932	
MEPCE	CIR1	CIR1	2.326|2.538|2.552	7.416	2.472	3	3.847|3.714|3.679	0.000	0.000	0.000	0.000	0.000	-16.005	0.660	0.948	
MEPCE	NCAPG2	NCAPG2	0.564|0.534|0.494	1.592	0.531	3	0.711|0.693|0.696	0.000	0.000	0.000	0.000	0.000	-16.005	0.758	0.957	
MEPCE	DDX42	DDX42	1.682|1.585|1.600	4.867	1.622	3	0.689|1.105|1.119	0.001	0.001	0.001	0.001	0.001	-8.358	1.712	0.849	
MEPCE	DNAAF5	DNAAF5	0.774|0.899|0.769	2.443	0.814	3	0.724|0.722|0.726	0.000	0.000	0.000	0.000	0.000	-15.419	1.125	0.873	
MEPCE	HOMER1	HOMER1	0.552|0.530|0.466	1.549	0.516	3	0.550|0.301|0.308	0.000	0.000	0.000	0.000	0.000	-11.808	1.392	0.871	
MEPCE	GATAD2A	GATAD2A	0.378|.|.	1.174	0.391	3	.|.|.	0.000	0.000	0.000	0.000	0.000	-16.005	0.983	0.970	
MEPCE	C2CD5	C2CD5	0.533|0.502|0.502	1.536	0.512	3	0.556|0.617|0.597	0.000	0.000	0.000	0.000	0.000	-16.005	0.869	0.957	
