Bait	PreyGene	#Rep	AvgP	BFDR
MEPCE	HAX1	3	0.0000	0.6827
MEPCE	GTPBP1	3	0.3333	0.2157
MEPCE	STXBP3	3	0.0000	0.6827
EIF4A2	AP3B1	3	0.0000	0.6827
MEPCE	AP3B1	3	0.0000	0.6827
EIF4A2	NDUFS8	3	0.0000	0.6827
MEPCE	NDUFS8	3	0.0001	0.6560
EIF4A2	PSMD11	3	0.0000	0.6827
MEPCE	PSMD11	3	0.0000	0.6827
EIF4A2	PSMD12	3	0.0000	0.6827
MEPCE	PSMD12	3	0.0000	0.6827
EIF4A2	CBX4	3	0.0000	0.6827
MEPCE	CBX4	3	0.0000	0.6827
MEPCE	GET1	3	0.6667	0.0325
EIF4A2	PGRMC1	3	0.0000	0.6827
MEPCE	PGRMC1	3	0.0253	0.4755
EIF4A2	SUPT5H	3	0.0057	0.5379
MEPCE	SUPT5H	3	0.0000	0.6827
EIF4A2	TAF4	3	0.0000	0.6827
MEPCE	TAF4	3	0.0000	0.6827
EIF4A2	EIF3F	3	1.0000	0.0000
MEPCE	EIF3F	3	0.0289	0.4702
MEPCE	CDC7	3	0.0502	0.4415
MEPCE	WASL	3	0.0000	0.6827
EIF4A2	IPO5	3	0.0000	0.6827
MEPCE	IPO5	3	0.0000	0.6827
EIF4A2	IGF2BP3	3	1.0000	0.0000
MEPCE	IGF2BP3	3	1.0000	0.0000
EIF4A2	DNM1L	3	0.0000	0.6827
MEPCE	DNM1L	3	0.0000	0.6827
MEPCE	RTCA	3	1.0000	0.0000
EIF4A2	IFRD1	3	0.0001	0.6560
MEPCE	IFRD1	3	0.0000	0.6827
EIF4A2	EXOC5	3	0.0001	0.6560
MEPCE	EXOC5	3	0.0000	0.6827
EIF4A2	HMGN4	3	0.3386	0.1788
MEPCE	HMGN4	3	0.0041	0.5533
EIF4A2	NDUFA4	3	0.0000	0.6827
MEPCE	NDUFA4	3	0.0000	0.6827
EIF4A2	PSMD14	3	0.0000	0.6827
MEPCE	PSMD14	3	0.0000	0.6827
EIF4A2	ZNF593	3	0.0000	0.6827
MEPCE	ZNF593	3	0.0000	0.6827
EIF4A2	KPNA3	3	0.0111	0.5107
MEPCE	KPNA3	3	1.0000	0.0000
EIF4A2	PES1	3	0.0051	0.5430
MEPCE	PES1	3	0.6482	0.1141
EIF4A2	NOP56	3	0.0010	0.6030
MEPCE	NOP56	3	0.8810	0.0044
EIF4A2	DDX3X	3	1.0000	0.0000
MEPCE	DDX3X	3	0.0001	0.6560
EIF4A2	KPNA4	3	0.0528	0.4378
MEPCE	KPNA4	3	0.9381	0.0016
EIF4A2	PPP6C	3	0.0000	0.6827
MEPCE	PPP6C	3	0.0000	0.6827
EIF4A2	NME4	3	0.0002	0.6444
MEPCE	NME4	3	0.3337	0.2047
EIF4A2	TXNDC9	3	0.0001	0.6560
MEPCE	TXNDC9	3	0.1577	0.3907
EIF4A2	COPE	3	0.0000	0.6827
MEPCE	COPE	3	0.0000	0.6827
EIF4A2	EIF1AX;EIF1AY	3	0.0000	0.6827
MEPCE	EIF1AX;EIF1AY	3	0.0021	0.5788
EIF4A2	AP3D1	3	0.0000	0.6827
MEPCE	AP3D1	3	0.0000	0.6827
MEPCE	ABLIM1	3	0.0000	0.6827
EIF4A2	IRS4	3	0.0244	0.4773
MEPCE	IRS4	3	0.8352	0.0077
EIF4A2	EI24	3	0.0000	0.6827
MEPCE	EI24	3	0.2967	0.3540
EIF4A2	CDIPT	3	0.0000	0.6827
MEPCE	CDIPT	3	0.0000	0.6827
EIF4A2	PDCD5	3	0.0000	0.6827
MEPCE	PDCD5	3	0.0000	0.6827
EIF4A2	PRMT5	3	0.0000	0.6827
MEPCE	PRMT5	3	0.0000	0.6827
EIF4A2	TCERG1	3	0.0000	0.6827
MEPCE	TCERG1	3	0.0000	0.6827
MEPCE	NDC80	3	0.0001	0.6560
MEPCE	TNPO2	3	0.0000	0.6827
EIF4A2	POLR3A	3	0.0000	0.6827
MEPCE	POLR3A	3	0.0113	0.5097
EIF4A2	PSMA7	3	0.0000	0.6827
