"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Protein"	"Bait"
19.5554971739784	6.51849905799281	197.417821323377	8.26752199282225e-14	1.45563643271581e-10	14.5104592907	"PDCD4"	"EIF4A2"
-16.7638654836403	5.58795516121344	-188.86311521729	1.11074889943976e-13	1.45563643271581e-10	14.4916759170825	"egfp"	"EIF4A2"
14.6601335571803	4.88671118572676	172.837125122008	2.00586849621476e-13	1.75246044285963e-10	14.4490343120628	"PRKAR2B"	"EIF4A2"
12.2344040343661	4.07813467812202	156.848879449931	3.83069397355029e-13	2.04412371178461e-10	14.3935340389119	"IBTK"	"EIF4A2"
-12.9162227042483	4.30540756808276	-156.430427253446	3.89951108696034e-13	2.04412371178461e-10	14.3918616137982	"FBXO31"	"EIF4A2"
15.1038045652738	5.03460152175793	150.76132464413	4.98721651278429e-13	2.1785824133346e-10	14.3678946434124	"AKAP5"	"EIF4A2"
10.1658290669741	6.95608886685346	141.884143806089	7.47336542833282e-13	2.48513700558247e-10	14.3248166085907	"PTMS"	"EIF4A2"
11.0794370882854	3.69314569609512	141.567972651424	7.58530944092323e-13	2.48513700558247e-10	14.3231411223552	"FMR1"	"EIF4A2"
11.1580210730576	3.71934035768586	134.890197399439	1.04671146312957e-12	3.04825638318066e-10	14.2851534042744	"PTBP2"	"EIF4A2"
9.98521641555988	3.32840547185329	130.951527770128	1.27525424694629e-12	3.13260794164946e-10	14.2601802358984	"APOD"	"EIF4A2"
10.9147131040865	3.63823770136216	127.917463455463	1.49088497251292e-12	3.13260794164946e-10	14.2394739755417	"OSMR"	"EIF4A2"
11.914360296504	3.97145343216798	126.481955307774	1.60733800154503e-12	3.13260794164946e-10	14.2291958077049	"EDRF1"	"EIF4A2"
-11.5707889992266	8.00092738413763	-125.850712695022	1.66183434116835e-12	3.13260794164946e-10	14.2245734642768	"lacZ"	"EIF4A2"
-11.0720700097227	7.30793868981591	-125.721227107178	1.67327398638277e-12	3.13260794164946e-10	14.2236173764311	"MRPL54"	"EIF4A2"
