Protein	ACTB_1	ACTB_2	ACTB_3	CTNNA1_1	CTNNA1_2	CTNNA1_3	EGFP_1	EGFP_2	EGFP_3	Empty_1	Empty_2	Empty_3	KRT8_1	KRT8_2	KRT8_3	LMNA_1	LMNA_2	LMNA_3	MAPRE3_1	MAPRE3_2	MAPRE3_3	NminiTurbo_1	NminiTurbo_2	NminiTurbo_3
IGKV3-7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGLV3-9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGKV2-28	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-49	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGKV3D-20	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV5-51	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTC26	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBA6	1	4	2	4	9	5	5	4	7	9	10	10	9	3	9	4	3	3	3	0	2	8	7	12
ESYT2	0	1	3	0	0	0	8	7	9	0	0	0	15	12	11	0	4	2	0	0	0	0	0	0
UHRF1BP1L	31	32	35	1	2	6	40	47	48	0	0	0	36	36	52	4	1	3	14	8	14	0	0	0
SHTN1	46	57	44	16	15	16	38	40	40	0	0	0	38	42	43	10	13	9	32	28	35	3	0	4
FAM168B	1	1	1	3	2	0	0	1	2	2	2	1	1	1	1	0	1	2	1	2	0	0	2	1
MEX3A	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILVBL	0	0	1	0	0	0	1	0	3	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0
PLEKHG3	24	21	22	1	0	0	9	9	8	0	0	0	12	11	12	0	0	0	0	0	0	0	0	0
SH3PXD2B	16	15	16	3	3	6	11	10	11	0	1	0	8	10	8	4	3	4	16	13	11	1	1	0
PIPSL	0	1	1	0	0	0	3	0	1	0	1	1	3	3	1	0	0	0	0	0	0	0	0	0
ZNF320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
NBAS	1	0	2	0	0	0	4	4	3	0	0	0	1	2	2	0	1	0	0	0	0	0	0	0
CCDC66	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
VWA8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
SBNO1	5	4	7	0	1	0	60	55	47	0	0	0	0	2	2	62	81	67	6	3	2	1	1	0
GTPBP10	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0
POTEF	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
PEDS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CNOT1	37	39	63	0	2	2	37	61	49	0	0	0	37	46	53	0	0	0	12	16	16	0	0	0
BDP1	0	0	0	0	0	0	1	4	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
KRT87P	0	0	0	0	0	0	0	0	1	0	0	45	1	0	2	0	0	0	0	0	0	1	0	0
FAM83G	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4	0	0	0	2	4	1	0	0	0
PGP	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
C5orf51	1	0	1	0	0	0	0	1	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
DDTL	4	4	2	4	2	1	4	2	3	0	0	0	4	4	3	2	2	2	3	2	4	0	0	0
TUBAL3	2	1	1	2	1	2	1	3	1	2	1	1	2	3	3	2	1	1	1	1	2	1	1	1
SMCHD1	4	1	5	0	0	0	27	22	18	0	0	0	0	1	6	15	25	19	9	15	15	0	0	0
ARHGAP42	9	6	9	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CCDC85C	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0
SAC3D1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZSWIM8	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0
ARHGAP32	0	1	0	0	1	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0
POM121C	2	2	4	0	1	0	10	15	14	0	0	0	1	4	4	51	59	38	1	1	1	0	0	0
DDX11L8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0
PHF20L1	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNRPGP15	0	1	0	2	0	0	2	2	2	0	0	0	0	0	0	2	3	3	1	0	0	1	0	0
WASH4P	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AHRR	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
MYO9A	3	2	4	0	1	0	2	1	1	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0
GPR89A	0	0	1	0	0	0	1	1	1	0	0	0	1	1	1	6	6	6	1	0	0	0	0	0
IGLL5	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF587B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
NACA	7	4	6	2	2	3	5	8	6	0	0	6	5	6	4	2	3	2	3	6	1	0	1	1
AGPS	0	1	0	0	0	0	3	1	2	0	2	1	2	2	0	1	2	1	0	0	1	2	1	1
UBXN8	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
KIF2A	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	3	2	0	0	0	0
DDX39A	10	7	15	12	9	10	11	12	12	7	9	12	16	23	27	16	30	17	12	15	11	8	9	8
PDLIM1	29	32	41	7	3	6	13	11	15	0	0	0	16	15	13	1	1	0	6	4	5	0	0	1
ACOT7	2	1	5	2	1	0	3	3	2	0	2	1	10	10	10	11	11	15	0	1	1	0	0	0
MYO1C	39	23	23	8	7	2	14	16	19	0	3	0	15	16	20	13	14	8	14	11	0	1	0	0
SNAP23	4	5	4	8	5	6	8	5	7	0	4	2	2	3	2	1	0	0	0	3	0	2	2	2
AIP	5	2	5	2	2	1	3	2	6	1	1	0	5	8	11	2	5	2	0	1	0	2	0	1
GTPBP1	1	1	2	0	0	0	2	3	2	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0
AP4M1	0	0	0	0	0	0	1	0	2	0	0	0	2	3	9	0	0	0	0	0	0	0	0	0
SMAP	3	4	7	3	2	2	11	12	12	3	2	3	5	5	4	20	16	22	4	3	5	3	2	2
AP3B1	16	15	19	13	9	9	34	32	26	0	0	0	16	18	14	1	0	0	18	17	18	0	0	0
APBB1	15	12	13	10	9	8	16	17	18	0	0	0	17	15	18	25	22	17	12	15	13	0	0	0
NDUFS8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PSMD11	1	1	2	0	0	0	1	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
PSMD12	2	4	8	1	2	1	0	4	5	1	3	1	1	0	3	0	3	0	1	0	1	1	0	5
PSMD9	0	0	0	2	1	1	0	0	0	4	3	5	0	0	0	3	0	0	0	0	0	1	1	5
CBX4	0	0	0	0	0	0	3	3	5	0	0	0	0	0	0	5	0	3	4	7	5	0	0	0
PGRMC1	3	3	4	0	0	0	1	2	8	0	0	0	3	2	1	3	1	2	0	0	2	0	0	0
SUPT5H	0	0	0	0	0	1	9	7	6	0	0	0	0	1	1	21	20	16	0	0	0	0	0	0
TAF4	1	0	0	0	0	0	5	2	6	0	0	0	0	0	0	6	4	3	0	0	0	0	0	0
DFFA	2	2	1	1	0	0	2	1	4	0	0	0	2	2	1	1	2	3	0	0	0	0	0	0
CLIC1	4	2	4	6	5	4	2	3	3	3	4	4	3	6	4	2	4	2	1	1	1	4	3	5
EIF3F	13	15	15	5	12	5	12	18	14	6	5	7	15	15	16	7	8	8	9	5	5	7	6	11
SLC28A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SLC33A1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	5	0	0	0	0	0	0
WASL	33	40	43	2	1	1	10	7	11	0	0	0	6	5	8	0	1	2	2	1	3	0	0	0
PDE2A	9	10	8	1	1	3	12	6	9	0	0	0	13	13	18	0	0	1	6	6	4	0	0	0
IPO5	10	11	16	3	0	0	12	13	23	0	0	0	13	17	28	10	16	11	7	8	6	1	0	1
POLRMT	0	0	0	0	0	0	0	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
EEF2K	5	2	6	0	0	0	5	4	4	0	0	0	2	3	4	0	0	0	1	0	0	0	0	0
SAP18	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGF2BP3	13	12	12	3	3	2	11	8	11	1	0	0	8	14	12	4	3	0	4	4	3	0	0	0
DNM1L	21	16	28	0	1	2	33	32	33	0	0	0	13	18	25	2	1	1	5	2	4	1	0	0
PIK3C2A	33	20	28	7	3	12	35	28	34	0	0	0	47	47	60	0	2	1	28	16	24	0	0	0
