Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
LMNA	P31350	RRM2	0|1|1	2	0.67	3	9|8|12|0|0|0|0|0|3	0.00	0.00	0.00	0.00	0.00	-15.20	0.19	0.75	
LMNA	P31751	AKT2	0|2|0	2	0.67	3	3|1|1|0|0|0|0|0|0	0.13	0.40	0.13	0.40	0.13	-3.62	1.20	0.50	
LMNA	P31944	CASP14	0|3|1	4	1.33	3	0|0|0|0|0|0|0|10|0	0.15	0.45	0.15	0.45	0.15	-4.45	1.20	0.48	
LMNA	P37235	HPCAL1	0|2|0	2	0.67	3	1|0|2|1|2|1|1|1|0	0.04	0.11	0.04	0.11	0.04	-4.93	0.67	0.58	
LMNA	P37275	ZEB1	0|2|0	2	0.67	3	1|1|1|0|0|0|0|0|0	0.20	0.59	0.20	0.59	0.20	-2.73	2.00	0.45	
LMNA	P40937	RFC5	0|3|1	4	1.33	3	0|5|4|0|1|1|0|0|0	0.08	0.24	0.08	0.24	0.08	-5.55	1.09	0.54	
LMNA	P41162	ETV3	0|1|1	2	0.67	3	1|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-1.93	6.00	0.75	
LMNA	P41567	EIF1	0|1|0	1	0.33	3	0|0|2|0|1|1|0|0|1	0.00	0.00	0.00	0.00	0.00	-3.53	0.60	0.75	
LMNA	P43005	SLC1A1	0|2|0	2	0.67	3	0|0|0|0|0|0|0|0|0	0.31	0.93	0.31	0.93	0.31	-1.89	6.67	0.35	
LMNA	P43307	SSR1	0|1|0	1	0.33	3	0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-1.89	3.33	0.75	
LMNA	P43490	NAMPT	0|2|0	2	0.67	3	2|0|2|0|0|0|0|0|0	0.15	0.46	0.15	0.46	0.15	-3.20	1.50	0.48	
LMNA	P46019	PHKA2	0|1|1	2	0.67	3	2|3|3|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-4.92	0.75	0.75	
LMNA	P46459	NSF	0|1|0	1	0.33	3	0|2|2|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-3.20	0.75	0.75	
LMNA	P46783	RPS10	0|1|0	1	0.33	3	2|1|4|0|0|3|0|0|0	0.00	0.00	0.00	0.00	0.00	-5.19	0.30	0.75	
LMNA	P46977	STT3A	0|2|1	3	1.00	3	2|1|2|0|0|0|0|0|0	0.12	0.37	0.12	0.37	0.12	-3.56	1.80	0.51	
LMNA	P48382	RFX5	0|3|0	3	1.00	3	1|1|1|0|0|0|0|0|0	0.29	0.87	0.29	0.87	0.29	-2.73	3.00	0.38	
LMNA	P49419	ALDH7A1	0|1|0	1	0.33	3	0|1|0|1|1|1|0|0|0	0.00	0.00	0.00	0.00	0.00	-3.13	0.75	0.75	
LMNA	P49753	ACOT2	0|1|0	1	0.33	3	0|1|4|0|0|0|2|2|2	0.00	0.00	0.00	0.00	0.00	-5.83	0.27	0.75	
LMNA	P49770	EIF2B2	0|1|0	1	0.33	3	2|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-2.38	1.50	0.75	
LMNA	P50851	LRBA	0|1|1	2	0.67	3	8|12|13|1|0|1|0|0|0	0.00	0.00	0.00	0.00	0.00	-16.65	0.17	0.75	
LMNA	P51159	RAB27A	0|1|0	1	0.33	3	0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-1.89	3.33	0.75	
LMNA	P51398	DAP3	0|1|0	1	0.33	3	0|0|2|7|8|1|4|4|5	0.00	0.00	0.00	0.00	0.00	-15.12	0.10	0.75	
LMNA	P51970	NDUFA8	0|1|0	1	0.33	3	2|0|1|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-2.76	1.00	0.75	
LMNA	P52434	POLR2H	0|1|0	1	0.33	3	0|0|1|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-1.93	3.00	0.75	
LMNA	P52735	VAV2	0|2|1	3	1.00	3	0|0|0|1|0|0|0|0|0	0.31	0.92	0.31	0.92	0.31	-1.93	9.00	0.36	
LMNA	P52789	HK2	0|2|0	2	0.67	3	1|0|0|0|1|1|0|0|1	0.15	0.44	0.15	0.44	0.15	-3.13	1.50	0.48	
LMNA	P53007	SLC25A1	0|1|0	1	0.33	3	0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-1.89	3.33	0.75	
LMNA	P53041	PPP5C	0|2|0	2	0.67	3	0|0|1|1|8|1|0|0|1	0.03	0.08	0.03	0.08	0.03	-5.88	0.50	0.59	
LMNA	P53365	ARFIP2	0|2|2	4	1.33	3	5|5|2|0|0|0|0|0|0	0.05	0.07	0.05	0.07	0.05	-6.01	1.00	0.57	
LMNA	P53367	ARFIP1	0|1|0	1	0.33	3	4|4|2|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-5.06	0.30	0.75	
LMNA	P53701	HCCS	0|2|0	2	0.67	3	0|1|2|6|4|3|7|4|5	0.00	0.00	0.00	0.00	0.00	-15.84	0.19	0.75	
LMNA	P54619	PRKAG1	0|1|0	1	0.33	3	2|1|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-2.76	1.00	0.75	
LMNA	P55036	PSMD4	0|2|0	2	0.67	3	1|1|1|0|0|0|0|0|0	0.20	0.59	0.20	0.59	0.20	-2.73	2.00	0.45	
LMNA	P55327	TPD52	0|1|1	2	0.67	3	7|3|10|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-9.36	0.30	0.75	
LMNA	P57076	CFAP298	0|1|0	1	0.33	3	0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-1.89	3.33	0.75	
LMNA	P60174	TPI1	0|1|0	1	0.33	3	0|0|0|1|0|0|0|3|0	0.00	0.00	0.00	0.00	0.00	-3.24	0.75	0.75	
LMNA	P60983	GMFB	0|2|0	2	0.67	3	0|0|0|0|0|0|1|0|0	0.31	0.92	0.31	0.92	0.31	-1.93	6.00	0.36	
LMNA	P61244	MAX	0|1|1	2	0.67	3	0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-1.89	6.67	0.75	
LMNA	P61353	RPL27	0|1|0	1	0.33	3	1|3|2|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-4.05	0.50	0.75	
LMNA	P61981	YWHAG	0|1|0	1	0.33	3	1|1|1|0|0|1|0|0|1	0.00	0.00	0.00	0.00	0.00	-3.53	0.60	0.75	
