Bait	PreyGene	predicted_probability	FDR	background_flag_protein
ACTB	A2M	0.7617	0.137390275	likely background
ACTB	A2M	0.7485	0.145427168	
ACTB	A2ML1	0.7307	0.156659856	
ACTB	AAAS	0.6796	0.160118577	
ACTB	AAGAB	0.6011	0.22078299	
ACTB	AAK1	0.7626	0.136908893	
ACTB	AAR2	0.6136	0.211498559	
ACTB	AARS1	0.8681	0.020017794	
ACTB	AARS2	0.6801	0.160118577	
ACTB	AARSD1	0.0698	1	
ACTB	AASDH	0	1	
ACTB	AASDHPPT	0.5724	0.257450208	
ACTB	AATF	0.0097	1	
ACTB	ABCB7	0.5105	0.381163398	
ACTB	ABCC1	0.6856	0.160118577	
ACTB	ABCC3	0	1	
ACTB	ABCD1	0.5586	0.299264922	
ACTB	ABCD3	0.5888	0.233180538	
ACTB	ABCE1	0.6985	0.160118577	
ACTB	ABCF1	0.7405	0.151399031	likely background
ACTB	ABCF2	0.7626	0.136908893	
ACTB	ABCF3	0.7868	0.13554565	
ACTB	ABHD12	0.5198	0.373497428	likely background
ACTB	ABI1	0.7154	0.158189916	
ACTB	ABI2	0.6854	0.160118577	
ACTB	ABL1	0.6911	0.160118577	
ACTB	ABL2	0.7208	0.158189916	
ACTB	ABLIM1	0.9787	0	
ACTB	ABLIM3	0.83	0.064634146	
ACTB	ABR	0.6806	0.160118577	
ACTB	ABRAXAS1	0	1	
ACTB	ABRAXAS2	0.5095	0.382289618	
ACTB	ABTB2	0.6067	0.217094725	
ACTB	ACAA2	0.5259	0.365557441	
ACTB	ACACA	0.823	0.074910493	likely background
ACTB	ACACB	0.7213	0.158189916	likely background
ACTB	ACAD9	0.5095	0.382212818	
ACTB	ACADM	0	1	
ACTB	ACADVL	0.4328	0.555978744	
ACTB	ACAP2	0.535	0.350064452	
ACTB	ACAT1	0.5466	0.338730547	
ACTB	ACBD3	0.5456	0.341444256	
ACTB	ACBD6	0.6168	0.209140293	likely background
ACTB	ACIN1	0.0563	1	
ACTB	ACLY	0.7615	0.137717487	likely background
ACTB	ACO1	0.6717	0.163317916	
ACTB	ACO2	0.5359	0.350064452	
ACTB	ACOT2	0.7728	0.136908893	
ACTB	ACOT7	0.6025	0.219382861	likely background
ACTB	ACOT8	0.5119	0.380093476	
ACTB	ACOT9	0.5866	0.236934289	
ACTB	ACP1	0.0651	1	likely background
ACTB	ACSL3	0.5431	0.348329207	
ACTB	ACSL4	0.5098	0.38203101	likely background
ACTB	ACTA1	1	0	
ACTB	ACTB;ACTG1	0.9997	0	
ACTB	ACTBL2	1	0	
ACTB	ACTL6A	0.5713	0.260285866	likely background
ACTB	ACTMAP	0.6846	0.160118577	
ACTB	ACTN1	0.978	0	
ACTB	ACTN4	0.9785	0	
ACTB	ACTR10	0.5126	0.380093476	
ACTB	ACTR2	0.6911	0.160118577	likely background
ACTB	ACTR3	0.7867	0.13554565	likely background
ACTB	ACY1	0.535	0.350064452	
ACTB	ACYP2	0.6141	0.211240254	likely background
ACTB	ADA	0.4582	0.534739037	likely background
ACTB	ADAM12	0	1	
ACTB	ADAM17	0	1	
ACTB	ADAR	0.6848	0.160118577	
ACTB	ADD1	0.871	0.019572144	
ACTB	ADD3	0.9542	0.001915709	
ACTB	ADI1	0.4029	0.584768107	likely background
ACTB	ADNP	0.0077	1	
ACTB	ADNP2	0	1	
ACTB	ADPGK	0.585	0.238573721	
ACTB	ADRM1	0.5474	0.337270935	likely background
ACTB	ADSL	0.7037	0.160118577	
ACTB	ADSS2	0.512	0.380093476	likely background
ACTB	AFAP1	0.9889	0	
ACTB	AFAP1L1	0.7231	0.158189916	
ACTB	AFDN	0.929	0.003937008	
ACTB	AFF1	0.0066	1	
ACTB	AFF4	0.0076	1	
ACTB	AFG2A	0.6725	0.163317916	
ACTB	AFG2B	0.6679	0.164876156	
ACTB	AFG3L2	0.6726	0.163317916	
ACTB	AFTPH	0.687	0.160118577	
ACTB	AGAP1	0.6848	0.160118577	
ACTB	AGAP3	0.5505	0.329921231	likely background
ACTB	AGFG1	0.9646	0	likely background
ACTB	AGFG2	0.5294	0.35683874	
ACTB	AGGF1	0	1	
ACTB	AGK	0.6844	0.160118577	
ACTB	AGL	0.6848	0.160118577	
ACTB	AGO1	0.503	0.400078733	
ACTB	AGO2	0.5782	0.249390379	
ACTB	AGO3	0.6844	0.160118577	
ACTB	AGPS	0.6717	0.163317916	
ACTB	AGTPBP1	0.6717	0.163317916	
ACTB	AHCTF1	0.0429	1	
ACTB	AHCY	0.7529	0.143214995	likely background
ACTB	AHCYL1	0.7551	0.142511428	
ACTB	AHDC1	0.4749	0.491521206	
ACTB	AHI1	0.7484	0.145427168	
ACTB	AHNAK	0.9991	0	likely background
ACTB	AHNAK2	0.9869	0	likely background
ACTB	AHR	0.5568	0.309183238	
ACTB	AHRR	0.5251	0.365557441	
ACTB	AHSA1	0.7241	0.158189916	
ACTB	AIMP1	0.5363	0.350064452	
ACTB	AIMP2	0.7026	0.160118577	likely background
ACTB	AIP	0.6459	0.183571233	likely background
ACTB	AJUBA	0.619	0.207729179	
ACTB	AK1	0.6253	0.202222706	likely background
ACTB	AK2	0.5413	0.350064452	likely background
ACTB	AK6	0	1	
ACTB	AKAP1	0.7065	0.160118577	
ACTB	AKAP10	0.5445	0.344113063	
ACTB	AKAP11	0.7525	0.143553769	
ACTB	AKAP12	0.7088	0.160118577	
ACTB	AKAP13	0.7812	0.136908893	likely background
ACTB	AKAP17A	0.0429	1	
ACTB	AKAP8	0.0484	1	
ACTB	AKAP8L	0.5034	0.39947528	
ACTB	AKAP9	0.6894	0.160118577	likely background
ACTB	AKR1A1	0.6807	0.160118577	likely background
ACTB	AKR1C2	0.5387	0.350064452	likely background
ACTB	AKR1C3	0.8202	0.078030898	
ACTB	AKT1	0.5621	0.284783836	
ACTB	AKT1S1	0.6854	0.160118577	
ACTB	AKT2	0.5327	0.352238853	
ACTB	ALAS1	0.7116	0.159749919	
ACTB	ALB	0.9623	0	
ACTB	ALDH16A1	0.0645	1	
ACTB	ALDH18A1	0.7645	0.136908893	
ACTB	ALDH1A3	0.6884	0.160118577	
ACTB	ALDH1B1	0.5755	0.251612063	
ACTB	ALDH2	0.5053	0.391717776	
ACTB	ALDH3A1	0.5886	0.233304713	
ACTB	ALDH3A2	0.6668	0.165638701	
ACTB	ALDH3B1	0.6807	0.160118577	
ACTB	ALDH7A1	0.5565	0.310280121	
ACTB	ALDOA	0.6769	0.160666119	likely background
ACTB	ALG1	0.5055	0.391717776	
ACTB	ALKBH3	0.5146	0.380093476	likely background
ACTB	ALMS1	0.7097	0.160118577	
ACTB	ALOX12B	0.6794	0.160118577	
ACTB	ALPK2	0.5356	0.350064452	
ACTB	ALYREF	0.0102	1	likely background
ACTB	AMER1	0	1	
ACTB	AMOT	0.6588	0.171358096	
ACTB	AMOTL1	0.7529	0.143411856	
ACTB	AMOTL2	0.6786	0.160130719	
ACTB	AMPD2	0.7356	0.15514264	
ACTB	ANAPC1	0.6982	0.160118577	likely background
ACTB	ANAPC16	0.4953	0.441306245	likely background
ACTB	ANAPC2	0	1	
ACTB	ANAPC4	0	1	
ACTB	ANAPC5	0.7993	0.11891087	
ACTB	ANAPC7	0.5016	0.401807032	
ACTB	ANGEL2	0	1	
ACTB	ANK3	0.5057	0.391717776	
ACTB	ANKFY1	0.5513	0.327595562	
ACTB	ANKHD1	0.7576	0.141794514	likely background
ACTB	ANKLE2	0.6021	0.219587328	
ACTB	ANKRD11	0	1	
ACTB	ANKRD12	0	1	
ACTB	ANKRD17	0.7584	0.140485792	
ACTB	ANKRD20A12P	0.0563	1	
ACTB	ANKRD26	0.7678	0.136908893	
ACTB	ANKRD27	0.5329	0.352062388	
ACTB	ANKRD28	0.7522	0.144048328	
ACTB	ANKRD40	0.5377	0.350064452	
ACTB	ANKRD50	0.7049	0.160118577	
ACTB	ANKRD52	0.6	0.221931637	
ACTB	ANKS1A	0.6848	0.160118577	
ACTB	ANKS6	0.7484	0.145427168	
ACTB	ANKZF1	0.5148	0.380093476	
ACTB	ANLN	0.756	0.142511428	likely background
ACTB	ANO10	0.468	0.512848154	
ACTB	ANO6	0.5353	0.350064452	
ACTB	ANP32B	0.3616	0.628025616	
ACTB	ANTXR1	0.6679	0.164876156	
ACTB	ANXA1	0.822	0.077510917	likely background
ACTB	ANXA10	0.5201	0.372851938	likely background
ACTB	ANXA11	0.5393	0.350064452	
ACTB	ANXA2	0.9936	0	likely background
ACTB	ANXA3	0.4757	0.489751568	likely background
ACTB	ANXA5	0.5656	0.275270721	likely background
ACTB	ANXA6	0.685	0.160118577	
ACTB	ANXA7	0.5305	0.354976898	
ACTB	ANXA8;ANXA8L1	0.5144	0.380093476	
ACTB	AP1B1	0.4553	0.537809979	
ACTB	AP1G1	0.6786	0.160130719	
ACTB	AP1M1	0.5531	0.321814255	
ACTB	AP1S1	0	1	
ACTB	AP2A1	0.697	0.160118577	
ACTB	AP2A2	0.7119	0.159337398	
ACTB	AP2B1	0.6618	0.169237533	
ACTB	AP2S1	0.5868	0.236886712	
ACTB	AP3B1	0.7249	0.158189916	
ACTB	AP3D1	0.725	0.158189916	likely background
ACTB	AP3M1	0.5952	0.225071727	
ACTB	AP3S1	0.5973	0.223895891	likely background
ACTB	AP4B1	0.5038	0.397788786	
ACTB	AP4E1	0.6798	0.160118577	
ACTB	AP4M1	0.7628	0.136908893	
ACTB	AP5B1	0.516	0.380093476	
ACTB	AP5Z1	0	1	
ACTB	APBB1	0.7409	0.151399031	likely background
ACTB	APBB2	0.6844	0.160118577	
ACTB	APC	0.7095	0.160118577	likely background
ACTB	APEH	0.5898	0.231624816	
ACTB	APEX2	0.5365	0.350064452	likely background
ACTB	API5	0.5343	0.350165142	
ACTB	APOBEC4	0	1	
ACTB	APOOL	0.521	0.371078961	
ACTB	APP	0	1	
ACTB	APPL1	0.7702	0.136908893	
ACTB	APPL2	0.7646	0.136908893	
ACTB	AQR	0.6807	0.160118577	
ACTB	AR	0.4573	0.535684114	
ACTB	ARAF	0.6793	0.160118577	
ACTB	ARAP1	0.762	0.137020182	
ACTB	ARAP2	0.763	0.136908893	
ACTB	ARAP3	0.7376	0.153922261	
ACTB	ARB2A	0.8211	0.077801381	
ACTB	ARCN1	0.7091	0.160118577	
ACTB	ARF1;ARF3	0.7611	0.13799511	likely background
ACTB	ARF4	0.7469	0.146326373	likely background
ACTB	ARF5	0.7077	0.160118577	likely background
ACTB	ARF6	0.5783	0.249084818	likely background
ACTB	ARFGAP1	0.7358	0.154998959	likely background
ACTB	ARFGAP2	0.745	0.148361214	likely background
ACTB	ARFGAP3	0.6033	0.219123399	
ACTB	ARFGEF1	0.6629	0.168313921	
ACTB	ARFGEF2	0.5743	0.253512325	
ACTB	ARFIP1	0.685	0.160118577	
ACTB	ARFIP2	0.6959	0.160118577	
ACTB	ARG1	0.7088	0.160118577	
ACTB	ARHGAP1	0.7525	0.143553769	
ACTB	ARHGAP11A	0.8957	0.012694749	
ACTB	ARHGAP12	0.7961	0.128478497	
ACTB	ARHGAP17	0.7783	0.136908893	
ACTB	ARHGAP18	0.721	0.158189916	
ACTB	ARHGAP19	0	1	
ACTB	ARHGAP21	0.8211	0.077801381	
ACTB	ARHGAP23	0.669	0.164876156	
ACTB	ARHGAP29	0.8083	0.102267246	
ACTB	ARHGAP31	0.5596	0.294454234	
ACTB	ARHGAP32	0.8341	0.058842548	
ACTB	ARHGAP35	0.8	0.116659492	
ACTB	ARHGAP39	0.6856	0.160118577	
ACTB	ARHGAP42	0.9236	0.004535147	
ACTB	ARHGAP45	0.5167	0.380093476	
ACTB	ARHGAP5	0.7218	0.158189916	
ACTB	ARHGEF1	0.7	0.160118577	
ACTB	ARHGEF10	0.6965	0.160118577	
ACTB	ARHGEF10L	0.5715	0.259368439	
ACTB	ARHGEF11	0.9501	0.001915709	
ACTB	ARHGEF12	0.542	0.350064452	
ACTB	ARHGEF16	0.5217	0.370554632	
ACTB	ARHGEF17	0.7636	0.136908893	
ACTB	ARHGEF18	0.7289	0.157775182	
ACTB	ARHGEF2	0.5012	0.403903357	
ACTB	ARHGEF28	0.5335	0.351358589	
ACTB	ARHGEF40	0.6848	0.160118577	
ACTB	ARHGEF5	0.5866	0.237031988	
ACTB	ARHGEF7	0.6424	0.187055717	
ACTB	ARID1A	0.0063	1	
ACTB	ARID1B	0.0066	1	
ACTB	ARID2	0.0002	1	
ACTB	ARID4A	0	1	
ACTB	ARID4B	0.0182	1	
ACTB	ARID5B	0	1	
ACTB	ARL1	0.6831	0.160118577	
ACTB	ARL15	0.6911	0.160118577	likely background
ACTB	ARL2	0.7571	0.142342509	likely background
ACTB	ARL2BP	0.507	0.389827172	likely background
ACTB	ARL3	0.518	0.377021204	likely background
ACTB	ARL6IP4	0.0429	1	
ACTB	ARL6IP5	0.5406	0.350064452	
ACTB	ARMC6	0.6854	0.160118577	
ACTB	ARMC8	0.5369	0.350064452	
ACTB	ARMC9	0.7484	0.145427168	
ACTB	ARMCX3	0.5754	0.251762511	
ACTB	ARMCX5	0.7219	0.158189916	
ACTB	ARNT	0.0655	1	
ACTB	ARPC1A	0.6082	0.21601495	likely background
ACTB	ARPC1B	0.7153	0.158189916	
ACTB	ARPC2	0.7592	0.139782898	
ACTB	ARPC3	0.606	0.217728197	likely background
ACTB	ARPC4	0.6742	0.1632574	
ACTB	ARPC5	0.7488	0.145427168	likely background
ACTB	ARPIN	0.5867	0.236915119	likely background
ACTB	ASAP1	0.96	0	
ACTB	ASAP2	0.7153	0.158189916	
ACTB	ASCC1	0.5886	0.233366695	
ACTB	ASCC2	0.7171	0.158189916	
ACTB	ASCC3	0.8464	0.037707391	likely background
ACTB	ASF1B	0.0077	1	
ACTB	ASH1L	0.0047	1	
ACTB	ASH2L	0	1	
ACTB	ASL	0.5321	0.352478351	
ACTB	ASMTL	0.5641	0.279580874	
ACTB	ASNS	0.769	0.136908893	
ACTB	ASNSD1	0.5879	0.234251969	
ACTB	ASPH	0.5769	0.250378863	
ACTB	ASPM	0.7682	0.136908893	
ACTB	ASRGL1	0.742	0.150478696	
ACTB	ASTE1	0	1	
ACTB	ASXL1	0	1	
ACTB	ASXL2	0.0001	1	
ACTB	ATAD1	0.5295	0.35683874	
ACTB	ATAD2	0.4731	0.496576313	
ACTB	ATAD2B	0	1	
ACTB	ATAD3A	0.5796	0.247438628	likely background
ACTB	ATAD3B	0	1	
ACTB	ATAD5	0.0002	1	
ACTB	ATF2	0.0033	1	
ACTB	ATF6	0.5213	0.371071088	
ACTB	ATF6B	0.5612	0.286954087	
ACTB	ATF7	0.0108	1	
ACTB	ATF7IP	0.0066	1	
ACTB	ATG13	0.5111	0.380093476	
ACTB	ATG2A	0.6679	0.164876156	
ACTB	ATG2B	0.7208	0.158189916	
ACTB	ATG3	0.7209	0.158189916	likely background
ACTB	ATG4C	0.5121	0.380093476	
ACTB	ATG7	0.5495	0.331810142	
ACTB	ATG9A	0.5395	0.350064452	
ACTB	ATIC	0.704	0.160118577	
ACTB	ATL3	0.5309	0.354008381	
ACTB	ATM	0.5122	0.380093476	
ACTB	ATN1	0.0243	1	
ACTB	ATP13A1	0.685	0.160118577	
ACTB	ATP1A1	0.8096	0.099074976	likely background
ACTB	ATP2A2	0.5978	0.223522754	
ACTB	ATP2B1	0.6137	0.211498559	
ACTB	ATP2C1	0.4659	0.522361527	
ACTB	ATP5F1A	0.7577	0.141525266	likely background
ACTB	ATP5F1B	0.5707	0.261599814	
ACTB	ATP5F1C	0.7218	0.158189916	likely background
ACTB	ATP5MF	0.3876	0.597558117	likely background
ACTB	ATP5MK	0.74	0.1516765	likely background
ACTB	ATP5PD	0.6143	0.210978299	
ACTB	ATP5PO	0.6014	0.220538854	likely background
ACTB	ATP6AP1	0.5111	0.380093476	
ACTB	ATP6V0D1	0	1	
ACTB	ATP6V1A	0.7533	0.14288199	likely background
ACTB	ATP6V1C1	0.4835	0.474398549	
ACTB	ATP6V1E1	0.7484	0.145427168	
ACTB	ATP6V1G1	0.5223	0.369552915	likely background
ACTB	ATP6V1H	0.6884	0.160118577	
ACTB	ATP7A	0.4941	0.445221502	
ACTB	ATP9A	0.5185	0.376047068	likely background
ACTB	ATR	0.7687	0.136908893	
ACTB	ATRIP	0.0004	1	
ACTB	ATRX	0.0561	1	
ACTB	ATXN1	0.0001	1	
ACTB	ATXN10	0.7948	0.128478497	likely background
ACTB	ATXN2	0.5844	0.240076928	
ACTB	ATXN2L	0.7314	0.156659856	likely background
ACTB	ATXN3	0	1	
ACTB	ATXN7L3B	0.8034	0.112659963	
ACTB	AUNIP	0	1	
ACTB	AUP1	0.6834	0.160118577	
ACTB	AURKA	0.5552	0.314362416	
ACTB	AURKB	0.5375	0.350064452	
ACTB	AVEN	0.5465	0.338972701	
ACTB	AVL9	0.51	0.381936017	
ACTB	AXIN1	0.6319	0.195833199	
ACTB	AXL	0.5785	0.24875025	
ACTB	AZGP1	0.7914	0.130081301	
ACTB	AZI2	0.7013	0.160118577	
ACTB	B4GALT1	0.6988	0.160118577	
ACTB	BABAM2	0.0033	1	
ACTB	BACC1	0	1	
ACTB	BACH1	0	1	
ACTB	BAG1	0.5631	0.282456853	
ACTB	BAG2	0.7593	0.139782898	
ACTB	BAG3	0.699	0.160118577	
ACTB	BAG5	0	1	
ACTB	BAG6	0.7778	0.136908893	
ACTB	BAIAP2	0.8923	0.012694749	
ACTB	BAIAP2L1	0.7645	0.136908893	
ACTB	BANP	0	1	
ACTB	BAP1	0.0057	1	
ACTB	BARD1	0.0639	1	
ACTB	BASP1	0.5331	0.351776857	
ACTB	BAX	0.0429	1	
ACTB	BAZ1A	0.0042	1	
ACTB	BAZ1B	0.0186	1	
ACTB	BAZ2A	0.0002	1	
ACTB	BAZ2B	0.0655	1	
ACTB	BBS2	0	1	
ACTB	BBS7	0	1	
ACTB	BBX	0.0001	1	
ACTB	BCAP31	0.5949	0.225231325	
ACTB	BCAR1	0.8275	0.069476744	
ACTB	BCAR3	0.6044	0.218837392	
ACTB	BCAS2	0.4736	0.494763717	
ACTB	BCAS3	0.933	0.003937008	
ACTB	BCAT1	0.559	0.296640472	likely background
ACTB	BCCIP	0.5532	0.321368267	
ACTB	BCL10	0.0644	1	
ACTB	BCL3	0	1	
ACTB	BCL7C	0.5503	0.330313718	likely background
ACTB	BCL9	0	1	
ACTB	BCL9L	0.0005	1	
ACTB	BCLAF1	0.0096	1	
ACTB	BCOR	0.3971	0.58878075	
ACTB	BCORL1	0.0001	1	
ACTB	BCR	0.7222	0.158189916	likely background
ACTB	BCS1L	0	1	
ACTB	BDP1	0.0033	1	
ACTB	BEGAIN	0.8787	0.018090452	likely background
ACTB	BEND3	0.2637	1	
ACTB	BET1	0.4966	0.435545141	likely background
ACTB	BHLHE40	0.0486	1	
ACTB	BICC1	0.6206	0.206898648	
ACTB	BICD1	0.6772	0.160513141	
ACTB	BICD2	0.7484	0.145427168	
ACTB	BID	0.5139	0.380093476	
ACTB	BIN1	0.6249	0.202517874	
ACTB	BIRC6	0.6807	0.160118577	
ACTB	BLM	0.0004	1	
ACTB	BLMH	0.7581	0.14051982	
ACTB	BLTP1	0	1	
ACTB	BLTP2	0.7079	0.160118577	
ACTB	BLTP3A	0.5453	0.341969373	
ACTB	BLTP3B	0.7156	0.158189916	
ACTB	BLVRA	0.5586	0.298921569	likely background
ACTB	BMP2K	0.5111	0.380093476	
ACTB	BMS1	0.5311	0.353613921	
ACTB	BNC2	0	1	
ACTB	BNIP2	0.5381	0.350064452	
ACTB	BOD1L1	0.0035	1	
ACTB	BOLA2	0.5127	0.380093476	likely background
ACTB	BOP1	0.5175	0.378500759	
ACTB	BORA	0.5139	0.380093476	
ACTB	BORCS5	0.3829	0.601195825	
ACTB	BORCS6	0	1	
ACTB	BPIFA1	0.9671	0	
ACTB	BPIFB1	0.9695	0	
ACTB	BPIFB4	0.787	0.135395875	
ACTB	BPNT1	0.5315	0.353298584	likely background
ACTB	BPTF	0.4415	0.550668777	
ACTB	BRAF	0.5366	0.350064452	
ACTB	BRAP	0.5892	0.232298553	
ACTB	BRAT1	0.6601	0.170453718	
ACTB	BRCA1	0.3591	0.633092356	
ACTB	BRCA2	0.6996	0.160118577	
ACTB	BRCC3	0.56	0.292274704	
ACTB	BRD4	0.5051	0.391717776	
ACTB	BRD7	0	1	
ACTB	BRD8	0	1	
ACTB	BRD9	0.0448	1	
ACTB	BRF1	0	1	
ACTB	BRIP1	0.3975	0.588631239	
ACTB	BRIX1	0.5271	0.362396676	
ACTB	BRWD1	0	1	
ACTB	BTAF1	0.0429	1	
ACTB	BTBD1	0.5147	0.380093476	likely background
ACTB	BTBD10	0.5631	0.282456853	
ACTB	BUB1	0.767	0.136908893	
ACTB	BUB1B	0.8049	0.109576212	likely background
ACTB	BUB3	0.764	0.136908893	likely background
ACTB	BUD13	0.0031	1	
ACTB	BUD31	0.0107	1	
ACTB	BYSL	0.0047	1	
ACTB	BZW2	0.7484	0.145427168	
ACTB	C11orf54	0.7154	0.158189916	
ACTB	C12orf57	0.5975	0.223714278	likely background
ACTB	C15orf39	0.0104	1	
ACTB	C19orf25	0.5192	0.374789268	
ACTB	C1QBP	0.5139	0.380093476	likely background
ACTB	C1orf198	0.7737	0.136908893	
ACTB	C1orf43	0.6846	0.160118577	
ACTB	C1orf52	0.0096	1	
ACTB	C2CD2	0.5366	0.350064452	
ACTB	C2CD3	0.7758	0.136908893	
ACTB	C2CD5	0.6332	0.194716053	
ACTB	C2orf49	0	1	
ACTB	C3	0.8245	0.072910824	
ACTB	C3orf38	0	1	
ACTB	C5orf22	0	1	
ACTB	C5orf34	0.5496	0.331641786	
ACTB	C8orf33	0.0168	1	likely background
ACTB	C9orf72	0.648	0.181726908	
ACTB	C9orf78	0.0486	1	
ACTB	CAAP1	0.0096	1	
ACTB	CAB39	0.5445	0.344035153	
ACTB	CABIN1	0	1	
ACTB	CACTIN	0	1	
ACTB	CACUL1	0.0429	1	
ACTB	CACYBP	0.7182	0.158189916	likely background
ACTB	CAD	0.787	0.135395875	
ACTB	CALCOCO1	0.6717	0.163317916	
ACTB	CALD1	0.9144	0.007591442	
ACTB	CALML5	0.6848	0.160118577	
ACTB	CALR	0.52	0.373093026	likely background
ACTB	CAMK1D	0.5386	0.350064452	
ACTB	CAMK2D	0.7619	0.137163766	likely background
ACTB	CAMK2G	0.7154	0.158189916	likely background
ACTB	CAMK4	0	1	
ACTB	CAMKK1	0.5109	0.380457241	
ACTB	CAMLG	0	1	
ACTB	CAMSAP1	0.71	0.160118577	likely background
ACTB	CAMSAP2	0.6957	0.160118577	likely background
ACTB	CAND1	0.6032	0.219123399	
ACTB	CANX	0.6848	0.160118577	likely background
ACTB	CAP1	0.9124	0.008086253	
ACTB	CAP2	0.9794	0	
ACTB	CAPN1	0.7074	0.160118577	
ACTB	CAPN15	0.6531	0.177370467	
ACTB	CAPN2	0.6848	0.160118577	
ACTB	CAPN7	0.5361	0.350064452	
ACTB	CAPNS1	0.533	0.351974922	likely background
ACTB	CAPRIN1	0.5934	0.226021479	likely background
ACTB	CAPZA1	0.7379	0.15378627	likely background
ACTB	CAPZA2	0.5575	0.305978716	likely background
ACTB	CAPZB	0.7718	0.136908893	likely background
ACTB	CARD10	0	1	
ACTB	CARD11	0	1	
ACTB	CARD6	0.7925	0.129456248	
ACTB	CARHSP1	0.4707	0.501924186	likely background
ACTB	CARM1	0.0596	1	
ACTB	CARMIL1	0.7625	0.136908893	
ACTB	CARS1	0.7484	0.145427168	
ACTB	CARS2	0	1	
ACTB	CASK	0.7514	0.144366197	
ACTB	CASKIN2	0.7468	0.146326373	
ACTB	CASP14	0.7649	0.136908893	
ACTB	CASP4	0.5684	0.268042529	
ACTB	CASP8	0.7636	0.136908893	
ACTB	CASP8AP2	0	1	
ACTB	CAST	0.6658	0.166221926	
ACTB	CAT	0.6203	0.207117287	
ACTB	CAV1	0.0105	1	
ACTB	CAVIN1	0.4744	0.492307146	
ACTB	CAVIN3	0.5404	0.350064452	
ACTB	CBL	0.7208	0.158189916	
ACTB	CBLB	0.7294	0.157285844	likely background
ACTB	CBR1	0.5895	0.232029598	
ACTB	CBS	0.556	0.311667791	likely background
ACTB	CBX2	0	1	
ACTB	CBX3	0.5363	0.350064452	likely background
ACTB	CBX4	0	1	
ACTB	CBX5	0.5024	0.401136954	
ACTB	CBX8	0	1	
ACTB	CC2D1A	0.784	0.136908893	likely background
ACTB	CC2D1B	0.68	0.160118577	
ACTB	CC2D2A	0.6807	0.160118577	
ACTB	CCAR1	0.0429	1	
ACTB	CCAR2	0.0002	1	
ACTB	CCDC102A	0.7052	0.160118577	likely background
ACTB	CCDC124	0.6035	0.219123399	
ACTB	CCDC138	0.5359	0.350064452	
ACTB	CCDC14	0.4649	0.524384118	
ACTB	CCDC174	0.0002	1	
ACTB	CCDC18	0.7689	0.136908893	
ACTB	CCDC186	0.721	0.158189916	
ACTB	CCDC22	0.7943	0.128478497	
ACTB	CCDC34	0.5903	0.230758084	likely background
ACTB	CCDC43	0.6692	0.164876156	
ACTB	CCDC47	0.5055	0.391717776	
ACTB	CCDC50	0.6827	0.160118577	
ACTB	CCDC57	0	1	
ACTB	CCDC6	0.787	0.135395875	
ACTB	CCDC66	0.5613	0.286954087	
ACTB	CCDC77	0	1	
ACTB	CCDC85C	0.6802	0.160118577	
ACTB	CCDC88A	0.7044	0.160118577	
ACTB	CCDC88C	0.7025	0.160118577	
ACTB	CCDC93	0.8924	0.012694749	
ACTB	CCDC97	0	1	
ACTB	CCHCR1	0.6911	0.160118577	
ACTB	CCNA2	0.6806	0.160118577	
ACTB	CCNB1	0.6836	0.160118577	likely background
ACTB	CCNB2	0.6846	0.160118577	
ACTB	CCNE2	0	1	
ACTB	CCNK	0	1	
ACTB	CCNT1	0.0094	1	
ACTB	CCP110	0.619	0.207729179	
ACTB	CCSER2	0	1	
ACTB	CCT2	0.8157	0.087928844	
ACTB	CCT3	0.7321	0.156629742	likely background
ACTB	CCT4	0.7236	0.158189916	likely background
ACTB	CCT5	0.7496	0.145427168	likely background
ACTB	CCT6A	0.9385	0.003505697	likely background
ACTB	CCT7	0.7099	0.160118577	
ACTB	CCT8	0.9985	0	
ACTB	CCZ1;CCZ1B	0.6621	0.169013052	
ACTB	CD2AP	0.8812	0.016452442	likely background
ACTB	CD2BP2	0	1	
ACTB	CD44	0.6297	0.198009729	
ACTB	CDA	0.0694	1	likely background
ACTB	CDC123	0.7429	0.149295775	likely background
ACTB	CDC16	0.6164	0.209624724	likely background
ACTB	CDC20	0.5376	0.350064452	
ACTB	CDC23	0.5355	0.350064452	
ACTB	CDC25B	0	1	
ACTB	CDC25C	0.7262	0.158189916	
ACTB	CDC27	0.6679	0.164876156	
ACTB	CDC37	0.6962	0.160118577	likely background
ACTB	CDC37L1	0.5626	0.283483046	likely background
ACTB	CDC40	0	1	
ACTB	CDC42BPA	0.6395	0.189469112	
ACTB	CDC42BPB	0.6713	0.163362771	
ACTB	CDC42BPG	0.0688	1	
ACTB	CDC42EP1	0.5729	0.256342901	
ACTB	CDC42EP2	0.5631	0.282456853	likely background
ACTB	CDC42EP3	0.4477	0.544632066	
ACTB	CDC42EP4	0.5114	0.380093476	
ACTB	CDC45	0.8363	0.056578507	
ACTB	CDC5L	0.0066	1	
ACTB	CDC6	0	1	
ACTB	CDC7	0	1	
ACTB	CDC73	0.043	1	
ACTB	CDCA2	0.0429	1	
ACTB	CDCA5	0.4965	0.436880517	
ACTB	CDCA7L	0.0076	1	
ACTB	CDCA8	0.5047	0.392113544	likely background
ACTB	CDH2	0	1	
ACTB	CDIPT	0.6045	0.218837392	likely background
ACTB	CDK1	0.7311	0.156659856	likely background
ACTB	CDK11A	0	1	
ACTB	CDK11B	0.0033	1	
